START-OF-LOG: 3.0
CALLSIGN: VK4HG
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 15748
NAME: Iva Smits
LOCATION: DX
OPERATORS: VK4HG
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7583.0
SOAPBOX: Poor conditions made hard going from my small suburban station.
QSO:  7151 PH 2019-03-30 0837 VK4HG         59  0044   WX3B          59  0382
QSO:  7169 PH 2019-03-30 0840 VK4HG         59  0045   KU1CW         59  0655
QSO:  7128 PH 2019-03-30 0844 VK4HG         59  0046   K3LR          59  0875
QSO:  7141 PH 2019-03-30 0903 VK4HG         59  0047   W0RIC         59  0932
QSO:  7156 PH 2019-03-30 0924 VK4HG         59  0048   ZM4T          59  0474
QSO: 14199 PH 2019-03-30 0935 VK4HG         59  0049   RT0F          59  0903
QSO:  7134 PH 2019-03-30 1022 VK4HG         59  0050   KT5J          59  1209
QSO:  7177 PH 2019-03-30 1058 VK4HG         59  0051   JH4UYB        59  0621
QSO:  7188 PH 2019-03-30 1233 VK4HG         59  0052   VK6NC         59  0487
QSO:  7131 PH 2019-03-30 1318 VK4HG         59  0053   KW7Y          59  0842
QSO:  7146 PH 2019-03-30 1319 VK4HG         59  0054   KZ1W          59  0761
QSO: 14252 PH 2019-03-31 0052 VK4HG         59  0055   B4T           59  0806
QSO: 14209 PH 2019-03-31 0054 VK4HG         59  0056   BD7MQ         59  0588
QSO: 14145 PH 2019-03-31 0056 VK4HG         59  0057   YC8EJ         59  0163
QSO: 14197 PH 2019-03-31 0059 VK4HG         59  0058   YB8IW         59  0470
QSO: 14271 PH 2019-03-31 0105 VK4HG         59  0059   JR7XKN        59  0091
QSO: 14271 PH 2019-03-31 0109 VK4HG         59  0060   VK3GK         59  0149
QSO: 21251 PH 2019-03-31 0219 VK4HG         59  0061   BI8FZA        59  0865
QSO: 21240 PH 2019-03-31 0642 VK4HG         59  0062   JE6RPM        59  1174
QSO: 21257 PH 2019-03-31 0712 VK4HG         59  0063   YC2YIZ        59  0267
QSO: 21245 PH 2019-03-31 0715 VK4HG         59  0064   DX7EVM        59  0169
QSO: 14214 PH 2019-03-31 0725 VK4HG         59  0065   VK6NC         59  0798
QSO:  7197 PH 2019-03-31 0756 VK4HG         59  0066   WC6H          59  1735
QSO:  7200 PH 2019-03-31 0758 VK4HG         59  0067   N6US          59  0255
QSO:  7152 PH 2019-03-31 0759 VK4HG         59  0068   VK2IM         59  0432
QSO:  7134 PH 2019-03-31 0801 VK4HG         59  0069   NV9L          59  2421
QSO:  7172 PH 2019-03-31 0803 VK4HG         59  0070   YJ0CA         59  0360
QSO:  7205 PH 2019-03-31 0804 VK4HG         59  0071   VK3GK         59  0235
QSO: 14213 PH 2019-03-31 0822 VK4HG         59  0072   JG4AKL        59  0241
QSO: 14320 PH 2019-03-31 0824 VK4HG         59  0073   JA9LJS        59  0219
QSO:  7171 PH 2019-03-31 1050 VK4HG         59  0074   VE3EJ         59  2437
QSO:  7134 PH 2019-03-31 1054 VK4HG         59  0075   NN5J          59  1969
QSO:  7152 PH 2019-03-31 1056 VK4HG         59  0076   WB2ZAB        59  1226
QSO:  7186 PH 2019-03-31 1059 VK4HG         59  0077   K5WA          59  2144
QSO:  7213 PH 2019-03-31 1104 VK4HG         59  0078   W8MJ          59  0177
QSO:  7141 PH 2019-03-31 1107 VK4HG         59  0079   NR6O          59  1310
QSO:  7182 PH 2019-03-31 1109 VK4HG         59  0080   WA1Z          59  2462
END-OF-LOG:
