START-OF-LOG: 2.0
REF-SECTION: 49
CALLSIGN: F5NHJ
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  114939
CONTEST: REF-CW
CREATED-BY: WINREF-HF V9.7.18
NAME: MARQUIS JEAN-LOUIS
OFFTIME: 2025-01-25 2142 2025-01-26 1002
OFFTIME: 2025-01-25 0600 2025-01-25 1024
OFFTIME: 2025-01-25 1222 2025-01-25 1357
RIG: K3 - K2
RIG: K3 - K2
RIG: VERTICALES 
RIG: 80
SOAPBOX: Vent pluie.. merci pour les courageux. K2 au top
QSO: 21000 CW 2025-01-25 1452 F5NHJ         599 49     F6KOP         599 77   
QSO: 14000 CW 2025-01-25 1528 F5NHJ         599 49     YT1A          599 166  
QSO: 14000 CW 2025-01-25 1533 F5NHJ         599 49     CT7BJG        599 034  
QSO: 14000 CW 2025-01-25 1541 F5NHJ         599 49     F6FYA         599 37   
QSO: 14000 CW 2025-01-25 1547 F5NHJ         599 49     F5OZC         599 49   
QSO: 14000 CW 2025-01-25 1558 F5NHJ         599 49     EI4IT         599 014  
QSO: 7000  CW 2025-01-25 1616 F5NHJ         599 49     F2NY          599 13   
QSO: 7000  CW 2025-01-25 1619 F5NHJ         599 49     F5VV          599 01   
QSO: 7000  CW 2025-01-25 1621 F5NHJ         599 49     F5PGP         599 06   
QSO: 7000  CW 2025-01-25 1629 F5NHJ         599 49     F6KKH         599 11   
QSO: 7000  CW 2025-01-25 1631 F5NHJ         599 49     F6DTZ         599 65   
QSO: 7000  CW 2025-01-25 1633 F5NHJ         599 49     TM4S          599 04   
QSO: 7000  CW 2025-01-25 1644 F5NHJ         599 49     F6DJN         599 46   
QSO: 7000  CW 2025-01-25 1647 F5NHJ         599 49     F5OZC         599 49   
QSO: 7000  CW 2025-01-25 1653 F5NHJ         599 49     F6DEV         599 09   
QSO: 7000  CW 2025-01-25 1700 F5NHJ         599 49     F6BFQ         599 55   
QSO: 7000  CW 2025-01-25 1701 F5NHJ         599 49     F8BCU         599 26   
QSO: 7000  CW 2025-01-25 1702 F5NHJ         599 49     F6KHM         599 29   
QSO: 7000  CW 2025-01-25 1703 F5NHJ         599 49     F5KCC         599 89   
QSO: 7000  CW 2025-01-25 1704 F5NHJ         599 49     F8KLY         599 69   
QSO: 7000  CW 2025-01-25 1706 F5NHJ         599 49     F6FYA         599 37   
QSO: 7000  CW 2025-01-25 1720 F5NHJ         599 49     F6FTB         599 21   
QSO: 7000  CW 2025-01-25 1722 F5NHJ         599 49     F8FUA         599 46   
QSO: 7000  CW 2025-01-25 1724 F5NHJ         599 49     F6KNB         599 33   
QSO: 7000  CW 2025-01-25 1725 F5NHJ         599 49     F8KGZ         599 54   
QSO: 7000  CW 2025-01-25 1726 F5NHJ         599 49     F6HOK         599 57   
QSO: 7000  CW 2025-01-25 1728 F5NHJ         599 49     F5SJC         599 16   
QSO: 7000  CW 2025-01-25 1729 F5NHJ         599 49     F5IND         599 83   
QSO: 7000  CW 2025-01-25 1732 F5NHJ         599 49     F6KEH         599 34   
QSO: 7000  CW 2025-01-25 1734 F5NHJ         599 49     F5MMX         599 91   
QSO: 7000  CW 2025-01-25 1735 F5NHJ         599 49     TM3R          599 61   
QSO: 7000  CW 2025-01-25 1741 F5NHJ         599 49     F8FHI         599 71   
QSO: 7000  CW 2025-01-25 1749 F5NHJ         599 49     F4KKV         599 53   
QSO: 7000  CW 2025-01-25 1753 F5NHJ         599 49     F5PCV         599 62   
QSO: 7000  CW 2025-01-25 1757 F5NHJ         599 49     F4ILK         599 49   
QSO: 7000  CW 2025-01-25 1811 F5NHJ         599 49     F1PZZ         599 89   
QSO: 7000  CW 2025-01-25 1820 F5NHJ         599 49     F4KLR         599 62   
QSO: 7000  CW 2025-01-25 1829 F5NHJ         599 49     F5IYC         599 59   
QSO: 7000  CW 2025-01-25 1833 F5NHJ         599 49     F6EPY         599 46   
QSO: 7000  CW 2025-01-25 1913 F5NHJ         599 49     F4WEJ         599 68   
QSO: 7000  CW 2025-01-25 1917 F5NHJ         599 49     F4FFH/P       599 09   
QSO: 3500  CW 2025-01-25 1947 F5NHJ         599 49     F4GOE         599 19   
QSO: 3500  CW 2025-01-25 1954 F5NHJ         599 49     F4HVO/P       599 32   
QSO: 3500  CW 2025-01-25 2000 F5NHJ         599 49     F5OYM         599 81   
QSO: 3500  CW 2025-01-25 2003 F5NHJ         599 49     F6KEH         599 34   
QSO: 3500  CW 2025-01-25 2010 F5NHJ         599 49     F8DYD         599 14   
QSO: 3500  CW 2025-01-25 2012 F5NHJ         599 49     F4CWN         599 32   
QSO: 3500  CW 2025-01-25 2014 F5NHJ         599 49     F6DYX         599 49   
QSO: 3500  CW 2025-01-25 2019 F5NHJ         599 49     F6REF         599 00   
QSO: 3500  CW 2025-01-25 2025 F5NHJ         599 49     F6KHM         599 29   
QSO: 3500  CW 2025-01-25 2026 F5NHJ         599 49     F8AAN         599 33   
QSO: 3500  CW 2025-01-25 2027 F5NHJ         599 49     F6DCQ         599 74   
QSO: 3500  CW 2025-01-25 2035 F5NHJ         599 49     TM0P          599 75   
QSO: 3500  CW 2025-01-25 2041 F5NHJ         599 49     TM1C          599 31   
QSO: 3500  CW 2025-01-25 2044 F5NHJ         599 49     F6KOP         599 77   
QSO: 3500  CW 2025-01-25 2046 F5NHJ         599 49     F6DEV         599 09   
QSO: 3500  CW 2025-01-25 2048 F5NHJ         599 49     F5OWL         599 83   
QSO: 3500  CW 2025-01-25 2050 F5NHJ         599 49     F8GGZ         599 23   
QSO: 3500  CW 2025-01-25 2055 F5NHJ         599 49     F6KRK         599 78   
QSO: 3500  CW 2025-01-25 2057 F5NHJ         599 49     F5OZC         599 49   
QSO: 3500  CW 2025-01-25 2058 F5NHJ         599 49     F5NZY         599 76   
QSO: 3500  CW 2025-01-25 2106 F5NHJ         599 49     F5OCL         599 68   
QSO: 3500  CW 2025-01-25 2126 F5NHJ         599 49     F5RGY/P       599 25   
QSO: 3500  CW 2025-01-25 2130 F5NHJ         599 49     F6HQP         599 73   
QSO: 3500  CW 2025-01-25 2132 F5NHJ         599 49     F5IRQ         599 85   
QSO: 3500  CW 2025-01-25 2133 F5NHJ         599 49     F5RWE         599 36   
QSO: 3500  CW 2025-01-25 2135 F5NHJ         599 49     F5VV          599 01   
QSO: 3500  CW 2025-01-25 2137 F5NHJ         599 49     HF6W          599 202  
QSO: 3500  CW 2025-01-25 2141 F5NHJ         599 49     F6FET         599 53   
QSO: 3500  CW 2025-01-25 2142 F5NHJ         599 49     F5OIH         599 86   
QSO: 14000 CW 2025-01-26 1002 F5NHJ         599 49     F6KEH         599 34   
QSO: 14000 CW 2025-01-26 1003 F5NHJ         599 49     UR1UU         599 083  
QSO: 7000  CW 2025-01-26 1019 F5NHJ         599 49     F6KOP         599 77   
QSO: 7000  CW 2025-01-26 1021 F5NHJ         599 49     F5JSQ         599 51   
QSO: 7000  CW 2025-01-26 1022 F5NHJ         599 49     ON6FC         599 015  
QSO: 7000  CW 2025-01-26 1032 F5NHJ         599 49     F5KKD         599 93   
QSO: 7000  CW 2025-01-26 1033 F5NHJ         599 49     F5ROX         599 41   
QSO: 7000  CW 2025-01-26 1034 F5NHJ         599 49     F6HJO         599 69   
QSO: 7000  CW 2025-01-26 1038 F5NHJ         599 49     F5PHY         599 24   
QSO: 7000  CW 2025-01-26 1043 F5NHJ         599 49     F6BUL         599 74   
QSO: 7000  CW 2025-01-26 1045 F5NHJ         599 49     F5RFS         599 85   
QSO: 7000  CW 2025-01-26 1047 F5NHJ         599 49     F6GNG         599 76   
QSO: 7000  CW 2025-01-26 1105 F5NHJ         599 49     F5JKQ         599 44   
QSO: 7000  CW 2025-01-26 1108 F5NHJ         599 49     F8BMG         599 32   
QSO: 28000 CW 2025-01-26 1130 F5NHJ         599 49     FR8UA         599 FR   
QSO: 28000 CW 2025-01-26 1133 F5NHJ         599 49     FY5KE         599 FY   
QSO: 28000 CW 2025-01-26 1134 F5NHJ         599 49     RU8A          599 155  
QSO: 14000 CW 2025-01-26 1144 F5NHJ         599 49     F5RGY/P       599 25   
QSO: 14000 CW 2025-01-26 1152 F5NHJ         599 49     F5VV          599 01   
QSO: 14000 CW 2025-01-26 1158 F5NHJ         599 49     YO5DAS        599 007  
QSO: 14000 CW 2025-01-26 1221 F5NHJ         599 49     F6GOE         599 19   
QSO: 28000 CW 2025-01-26 1224 F5NHJ         599 49     RU7A          599 168  
QSO: 28000 CW 2025-01-26 1227 F5NHJ         599 49     F5PHY         599 24   
QSO: 28000 CW 2025-01-26 1233 F5NHJ         599 49     LY2PX         599 288  
QSO: 7000  CW 2025-01-26 1248 F5NHJ         599 49     F4EEI         599 52   
QSO: 7000  CW 2025-01-26 1258 F5NHJ         599 49     F5IN          599 45   
QSO: 7000  CW 2025-01-26 1302 F5NHJ         599 49     F4FDA         599 29   
QSO: 7000  CW 2025-01-26 1316 F5NHJ         599 49     F5MBM         599 54   
QSO: 7000  CW 2025-01-26 1411 F5NHJ         599 49     F8AAN         599 33   
QSO: 7000  CW 2025-01-26 1417 F5NHJ         599 49     F6AWN         599 14   
QSO: 7000  CW 2025-01-26 1419 F5NHJ         599 49     F6BQG         599 35   
QSO: 7000  CW 2025-01-26 1454 F5NHJ         599 49     F5RWE         599 36   
QSO: 14000 CW 2025-01-26 1459 F5NHJ         599 49     UA3R          599 207  
QSO: 14000 CW 2025-01-26 1502 F5NHJ         599 49     F5SJC         599 16   
QSO: 14000 CW 2025-01-26 1503 F5NHJ         599 49     UT5NC         599 122  
QSO: 14000 CW 2025-01-26 1506 F5NHJ         599 49     F8CRS         599 67   
QSO: 14000 CW 2025-01-26 1513 F5NHJ         599 49     F6AUS         599 79   
QSO: 14000 CW 2025-01-26 1520 F5NHJ         599 49     VA3AR         599 017  
QSO: 14000 CW 2025-01-26 1524 F5NHJ         599 49     F6KOP         599 77   
QSO: 14000 CW 2025-01-26 1528 F5NHJ         599 49     HA8TP         599 109  
QSO: 28000 CW 2025-01-26 1534 F5NHJ         599 49     F6KOP         599 77   
QSO: 28000 CW 2025-01-26 1603 F5NHJ         599 49     PU2TWZ        599 028  
QSO: 7000  CW 2025-01-26 1618 F5NHJ         599 49     F4GYM         599 77   
QSO: 7000  CW 2025-01-26 1622 F5NHJ         599 49     F8GGZ         599 71   
QSO: 7000  CW 2025-01-26 1625 F5NHJ         599 49     F5MAG         599 13   
QSO: 7000  CW 2025-01-26 1628 F5NHJ         599 49     F5PHW         599 56   
QSO: 7000  CW 2025-01-26 1629 F5NHJ         599 49     F6GCT         599 77   
QSO: 7000  CW 2025-01-26 1653 F5NHJ         599 49     F5OEV         599 85   
QSO: 7000  CW 2025-01-26 1658 F5NHJ         599 49     F6IPQ         599 47   
QSO: 3500  CW 2025-01-26 1717 F5NHJ         599 49     F5JKQ         599 44   
QSO: 3500  CW 2025-01-26 1721 F5NHJ         599 49     F5KDC         599 63   
QSO: 3500  CW 2025-01-26 1723 F5NHJ         599 49     F5IQJ         599 05   
QSO: 3500  CW 2025-01-26 1727 F5NHJ         599 49     F5IN          599 45   
QSO: 3500  CW 2025-01-26 1731 F5NHJ         599 49     F8KHO         599 51   
QSO: 3500  CW 2025-01-26 1734 F5NHJ         599 49     F5OQK         599 85   
QSO: 3500  CW 2025-01-26 1739 F5NHJ         599 49     F5LLN         599 59   
QSO: 3500  CW 2025-01-26 1743 F5NHJ         599 49     F2NY          599 13   
QSO: 3500  CW 2025-01-26 1746 F5NHJ         599 49     F5PGP/P       599 06   
QSO: 3500  CW 2025-01-26 1755 F5NHJ         599 49     F6KHT         599 47   
END-OF-LOG:
