START-OF-LOG:       2.0
CREATED-BY:         G4FON Contest!
CONTEST:            REF-CW
CALLSIGN:           G3ZGC
CATEGORY: 	    SINGLE-OP ALL HIGH
OPERATORS:          G3ZGC
CLUB:               NEWBURY & DISTRICT ARS
NAME:               R JOLLIFFE
SOAPBOX:            Less activity this year as my rig keeps tripping out.
QSO:  3519 CW 2025-01-26 0436 G3ZGC         599 042    F8AAN         599 33  
QSO:  3539 CW 2025-01-26 0438 G3ZGC         599 043    F5OHM         599 36  
QSO:  3522 CW 2025-01-26 0438 G3ZGC         599 044    F6KOP         599 77  
QSO:  3524 CW 2025-01-26 0441 G3ZGC         599 045    F8KGZ         599 54  
QSO:  3538 CW 2025-01-26 0443 G3ZGC         599 046    F4KJP         599 08  
QSO:  3521 CW 2025-01-26 0444 G3ZGC         599 047    F8KLY         599 69  
QSO:  3533 CW 2025-01-26 0446 G3ZGC         599 048    F1BIJ         599 06  
QSO:  3528 CW 2025-01-26 0447 G3ZGC         599 049    F6DCQ         599 74  
QSO:  3527 CW 2025-01-26 0511 G3ZGC         599 050    FY5KE         599 FY  
QSO:  3514 CW 2025-01-26 0512 G3ZGC         599 051    F4VBU         599 56  
QSO:  3528 CW 2025-01-26 0513 G3ZGC         599 052    TM1C          599 31  
QSO:  3515 CW 2025-01-26 0516 G3ZGC         599 053    F5KDC         599 63  
QSO:  3544 CW 2025-01-26 0516 G3ZGC         599 054    F4FFZ         599 56  
QSO:  3516 CW 2025-01-26 0517 G3ZGC         599 055    TM5DX         599 44  
QSO:  3518 CW 2025-01-26 0518 G3ZGC         599 056    F8CRS         599 67  
QSO:  3516 CW 2025-01-26 0618 G3ZGC         599 057    F5NZY         599 76  
QSO:  3537 CW 2025-01-26 0620 G3ZGC         599 058    F6KMX         599 94  
QSO:  3543 CW 2025-01-26 0622 G3ZGC         599 059    F5JU          599 35  
QSO:  3554 CW 2025-01-26 0623 G3ZGC         599 060    F8TMQ         599 38  
QSO:  3519 CW 2025-01-26 0624 G3ZGC         599 061    F5VHY         599 47  
QSO:  3512 CW 2025-01-26 0625 G3ZGC         599 062    F6EPY         599 46  
QSO:  3513 CW 2025-01-26 0626 G3ZGC         599 063    F8DFP         599 63  
QSO:  3517 CW 2025-01-26 0628 G3ZGC         599 064    F6FYA         599 37  
QSO:  3514 CW 2025-01-26 0630 G3ZGC         599 065    F5OZC         599 49  
QSO:  7020 CW 2025-01-26 1111 G3ZGC         599 066    F5PHY         599 24  
QSO: 14029 CW 2025-01-26 1114 G3ZGC         599 067    F6DYX         599 49  
QSO: 14040 CW 2025-01-26 1117 G3ZGC         599 068    F5KIY         599 57  
QSO: 14022 CW 2025-01-26 1121 G3ZGC         599 069    F5OIH         599 86  
QSO: 21023 CW 2025-01-26 1123 G3ZGC         599 070    F5PGP/P       599 06  
QSO:  7014 CW 2025-01-26 1210 G3ZGC         599 071    F5RFS         599 85  
QSO: 14023 CW 2025-01-26 1212 G3ZGC         599 072    F5KDC         599 63  
QSO: 14034 CW 2025-01-26 1213 G3ZGC         599 073    F5LLE         599 11  
QSO: 14024 CW 2025-01-26 1214 G3ZGC         599 074    F5OYM         599 81  
QSO: 14003 CW 2025-01-26 1216 G3ZGC         599 075    F4HCZ         599 68  
QSO: 14026 CW 2025-01-26 1218 G3ZGC         599 076    F5VV          599 01  
QSO: 14007 CW 2025-01-26 1219 G3ZGC         599 077    F4FFH/P       599 09  
QSO: 14019 CW 2025-01-26 1220 G3ZGC         599 078    F5FYA         599 37  
QSO: 14014 CW 2025-01-26 1325 G3ZGC         599 079    F5PHY         599 24  
QSO: 14023 CW 2025-01-26 1327 G3ZGC         599 080    TM4S          599 04  
QSO: 14027 CW 2025-01-26 1328 G3ZGC         599 081    F4VVG         599 67  
QSO: 14012 CW 2025-01-26 1432 G3ZGC         599 082    F5KLE         599 30  
QSO: 14013 CW 2025-01-26 1434 G3ZGC         599 083    F6AUS         599 79  
QSO:  7012 CW 2025-01-26 1436 G3ZGC         599 084    F5KKD         599 93  
QSO:  7020 CW 2025-01-26 1438 G3ZGC         599 085    F5ILS         599 62  
QSO:  7015 CW 2025-01-26 1439 G3ZGC         599 086    F5JSQ         599 51  
QSO:  7023 CW 2025-01-26 1440 G3ZGC         599 087    F5IAE         599 18  
QSO:  7015 CW 2025-01-26 1441 G3ZGC         599 088    F5NZY         599 76  
QSO: 21020 CW 2025-01-26 1444 G3ZGC         599 089    FR8UA         599 FR  
QSO: 14008 CW 2025-01-26 1447 G3ZGC         599 090    F5MAG         599 13  
QSO: 21005 CW 2025-01-26 1516 G3ZGC         599 091    FY5KE         599 FY  
QSO:  7016 CW 2025-01-26 1519 G3ZGC         599 092    F6KOP         599 77  
QSO:  7017 CW 2025-01-26 1521 G3ZGC         599 093    F5JU          599 35  
QSO:  7002 CW 2025-01-26 1553 G3ZGC         599 094    F4KLR         599 62  
QSO:  7005 CW 2025-01-26 1555 G3ZGC         599 095    F4JXS         599 60  
QSO:  7020 CW 2025-01-26 1557 G3ZGC         599 096    F6EPM         599 33  
QSO:  7025 CW 2025-01-26 1558 G3ZGC         599 097    TM3R          599 61  
QSO:  7010 CW 2025-01-26 1600 G3ZGC         599 098    F6FYA         599 37  
QSO:  7011 CW 2025-01-26 1601 G3ZGC         599 099    F5OWL         599 83  
QSO:  7011 CW 2025-01-26 1602 G3ZGC         599 100    F5PAL         599 63  
QSO:  7008 CW 2025-01-26 1606 G3ZGC         599 101    F4ILK         599 49  
QSO:  3529 CW 2025-01-26 1629 G3ZGC         599 102    F6FET         599 53  
END-OF-LOG:
