START-OF-LOG: 3.0
CALLSIGN: DL6SFR
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 203280
NAME: Steffen
LOCATION: DX
OPERATORS: DL6SFR
CLUB: DL-DX RTTY CONTEST GROUP
CERTIFICATE: NO
CREATED-BY: MixW 2.19
SOAPBOX: Nice contest, had a lot of fun and a ATNO -)
QSO: 14101 RY 2016-09-24 0941 DL6SFR        599 14 DX  RA4HL         599 16 DX
QSO: 14100 RY 2016-09-24 0943 DL6SFR        599 14 DX  OH8A          599 15 DX
QSO: 14100 RY 2016-09-24 0944 DL6SFR        599 14 DX  OG30OJ        599 15 DX
QSO: 14098 RY 2016-09-24 0947 DL6SFR        599 14 DX  YO6HSU        599 20 DX
QSO: 14098 RY 2016-09-24 0947 DL6SFR        599 14 DX  LY2NY         599 15 DX
QSO: 14096 RY 2016-09-24 0959 DL6SFR        599 14 DX  EA9LZ         599 33 DX
QSO: 14097 RY 2016-09-24 1000 DL6SFR        599 14 DX  UN6LN         599 17 DX
QSO: 14096 RY 2016-09-24 1002 DL6SFR        599 14 DX  OH8KVY        599 15 DX
QSO: 14093 RY 2016-09-24 1005 DL6SFR        599 14 DX  OH3FM         599 15 DX
QSO: 14093 RY 2016-09-24 1008 DL6SFR        599 14 DX  LZ7A          599 20 DX
QSO: 14085 RY 2016-09-24 1014 DL6SFR        599 14 DX  UR7GO         599 16 DX
QSO: 14084 RY 2016-09-24 1017 DL6SFR        599 14 DX  UR2Y          599 16 DX
QSO: 14084 RY 2016-09-24 1019 DL6SFR        599 14 DX  A71AE         599 21 DX
QSO: 14083 RY 2016-09-24 1020 DL6SFR        599 14 DX  SV2BXA        599 20 DX
QSO: 14083 RY 2016-09-24 1023 DL6SFR        599 14 DX  YO3VU         599 20 DX
QSO: 14082 RY 2016-09-24 1023 DL6SFR        599 14 DX  SV1PMR        599 20 DX
QSO: 14081 RY 2016-09-24 1027 DL6SFR        599 14 DX  UT5EPP        599 16 DX
QSO: 14080 RY 2016-09-24 1028 DL6SFR        599 14 DX  EA5XC         599 14 DX
QSO: 14077 RY 2016-09-24 1037 DL6SFR        599 14 DX  IQ9UI         599 15 DX
QSO: 14076 RY 2016-09-24 1038 DL6SFR        599 14 DX  OH2ET         599 15 DX
QSO: 14073 RY 2016-09-24 1039 DL6SFR        599 14 DX  SV9OFS        599 20 DX
QSO: 14072 RY 2016-09-24 1041 DL6SFR        599 14 DX  LZ9W          599 20 DX
QSO: 21134 RY 2016-09-24 1110 DL6SFR        599 14 DX  JH6QFJ        599 25 DX
QSO: 21122 RY 2016-09-24 1115 DL6SFR        599 14 DX  UA9UX         599 18 DX
QSO: 21116 RY 2016-09-24 1116 DL6SFR        599 14 DX  UB7K          599 16 DX
QSO: 21116 RY 2016-09-24 1118 DL6SFR        599 14 DX  YV1YLY        599 09 DX
QSO: 21106 RY 2016-09-24 1120 DL6SFR        599 14 DX  AN400N        599 14 DX
QSO: 21101 RY 2016-09-24 1124 DL6SFR        599 14 DX  EA8DED        599 33 DX
QSO: 21092 RY 2016-09-24 1137 DL6SFR        599 14 DX  R3PV          599 16 DX
QSO: 21089 RY 2016-09-24 1137 DL6SFR        599 14 DX  RK2M          599 16 DX
QSO: 21077 RY 2016-09-24 1149 DL6SFR        599 14 DX  UA4M          599 16 DX
QSO: 21129 RY 2016-09-24 1156 DL6SFR        599 14 DX  EA5HRT        599 14 DX
QSO: 21118 RY 2016-09-24 1410 DL6SFR        599 14 DX  VE2FK         599 05 QC
QSO: 21114 RY 2016-09-24 1413 DL6SFR        599 14 DX  N2MM          599 05 NJ
QSO: 21112 RY 2016-09-24 1415 DL6SFR        599 14 DX  NR4M          599 05 VA
QSO: 21131 RY 2016-09-24 1418 DL6SFR        599 14 DX  CT3HF         599 08 DX
QSO: 21123 RY 2016-09-24 1420 DL6SFR        599 14 DX  WP3C          599 08 DX
QSO: 21120 RY 2016-09-24 1424 DL6SFR        599 14 DX  NV9L          599 04 IL
QSO: 21121 RY 2016-09-24 1425 DL6SFR        599 14 DX  K3UW          599 05 PA
QSO: 21107 RY 2016-09-24 1431 DL6SFR        599 14 DX  4Z4AK         599 20 DX
QSO: 21106 RY 2016-09-24 1432 DL6SFR        599 14 DX  P49X          599 09 DX
QSO: 21101 RY 2016-09-24 1451 DL6SFR        599 14 DX  AC0C          599 04 KS
QSO: 21100 RY 2016-09-24 1453 DL6SFR        599 14 DX  W1DX          599 05 CT
QSO:  7055 RY 2016-09-24 1527 DL6SFR        599 14 DX  SP5UUD        599 15 DX
QSO:  7053 RY 2016-09-24 1528 DL6SFR        599 14 DX  OE3SGU        599 15 DX
QSO:  7046 RY 2016-09-24 1532 DL6SFR        599 14 DX  S51J          599 15 DX
QSO:  7042 RY 2016-09-24 1536 DL6SFR        599 14 DX  HA7PO         599 15 DX
QSO:  7041 RY 2016-09-24 1540 DL6SFR        599 14 DX  R0QA          599 19 DX
QSO:  7038 RY 2016-09-24 1547 DL6SFR        599 14 DX  M0OSH         599 14 DX
QSO:  7034 RY 2016-09-24 1551 DL6SFR        599 14 DX  UX1UX         599 16 DX
QSO:  7034 RY 2016-09-24 1553 DL6SFR        599 14 DX  LY5W          599 15 DX
QSO:  7032 RY 2016-09-24 1556 DL6SFR        599 14 DX  RO6A          599 16 DX
QSO:  3600 RY 2016-09-24 1558 DL6SFR        599 14 DX  OL9A          599 15 DX
QSO:  3594 RY 2016-09-24 1600 DL6SFR        599 14 DX  DK6SP         599 14 DX
QSO:  3585 RY 2016-09-24 1602 DL6SFR        599 14 DX  I4AVG         599 15 DX
QSO:  3584 RY 2016-09-24 1603 DL6SFR        599 14 DX  HG1G          599 15 DX
QSO: 21113 RY 2016-09-24 1609 DL6SFR        599 14 DX  EA8LG         599 33 DX
QSO: 21090 RY 2016-09-24 1617 DL6SFR        599 14 DX  K1LZ          599 05 DE
QSO: 14146 RY 2016-09-24 1912 DL6SFR        599 14 DX  ZZ2T          599 11 DX
QSO: 14145 RY 2016-09-24 1913 DL6SFR        599 14 DX  UT7CR         599 16 DX
QSO: 14143 RY 2016-09-24 1918 DL6SFR        599 14 DX  KG4SS         599 08 DX
QSO: 14142 RY 2016-09-24 1919 DL6SFR        599 14 DX  N3DXX         599 05 DE
QSO: 14141 RY 2016-09-24 1921 DL6SFR        599 14 DX  KB8O          599 04 OH
QSO: 14140 RY 2016-09-24 1924 DL6SFR        599 14 DX  8P2K          599 08 DX
QSO: 14140 RY 2016-09-24 1926 DL6SFR        599 14 DX  UT4ZG         599 16 DX
QSO: 14138 RY 2016-09-24 1928 DL6SFR        599 14 DX  W4PK          599 05 VA
QSO: 14137 RY 2016-09-24 1929 DL6SFR        599 14 DX  LZ3KB         599 20 DX
QSO: 14136 RY 2016-09-24 1931 DL6SFR        599 14 DX  ZB2TT         599 14 DX
QSO: 14136 RY 2016-09-24 1939 DL6SFR        599 14 DX  VE2FK         599 05 QC
QSO: 14135 RY 2016-09-24 1940 DL6SFR        599 14 DX  KU4V          599 05 NC
QSO: 14134 RY 2016-09-24 1942 DL6SFR        599 14 DX  N3QE          599 05 MD
QSO: 14133 RY 2016-09-24 1943 DL6SFR        599 14 DX  N0AT          599 04 MN
QSO: 14134 RY 2016-09-24 1945 DL6SFR        599 14 DX  K4HAL         599 04 AL
QSO: 14133 RY 2016-09-24 1947 DL6SFR        599 14 DX  IZ2KXC        599 15 DX
QSO: 14132 RY 2016-09-24 1949 DL6SFR        599 14 DX  EC7WA         599 14 DX
QSO: 14131 RY 2016-09-24 1951 DL6SFR        599 14 DX  AD4ES         599 05 FL
QSO: 14129 RY 2016-09-24 1952 DL6SFR        599 14 DX  CR3W          599 33 DX
QSO: 14127 RY 2016-09-24 1955 DL6SFR        599 14 DX  W4UK          599 05 SC
QSO: 14122 RY 2016-09-24 2008 DL6SFR        599 14 DX  VA2QR         599 05 QC
QSO: 14122 RY 2016-09-24 2009 DL6SFR        599 14 DX  N0NI          599 04 IA
QSO: 14119 RY 2016-09-24 2014 DL6SFR        599 14 DX  K3MJW         599 05 PA
QSO: 14119 RY 2016-09-24 2016 DL6SFR        599 14 DX  K9CT          599 04 IL
QSO: 14117 RY 2016-09-24 2018 DL6SFR        599 14 DX  NO2T          599 05 NJ
QSO: 14116 RY 2016-09-24 2019 DL6SFR        599 14 DX  AA3B          599 05 PA
QSO: 14115 RY 2016-09-24 2020 DL6SFR        599 14 DX  K1LZ          599 05 MA
QSO: 14102 RY 2016-09-24 2038 DL6SFR        599 14 DX  K4WW          599 04 KY
QSO: 14100 RY 2016-09-24 2042 DL6SFR        599 14 DX  W4MLB         599 05 FL
QSO: 14099 RY 2016-09-24 2044 DL6SFR        599 14 DX  W3BW          599 05 MD
QSO: 14098 RY 2016-09-24 2045 DL6SFR        599 14 DX  W2HDI         599 05 VT
QSO: 14097 RY 2016-09-24 2047 DL6SFR        599 14 DX  W4AAA         599 05 NC
QSO: 14096 RY 2016-09-24 2048 DL6SFR        599 14 DX  VE2SG         599 05 QC
QSO: 14091 RY 2016-09-24 2059 DL6SFR        599 14 DX  WD4GBW        599 05 VA
QSO: 14089 RY 2016-09-24 2101 DL6SFR        599 14 DX  N4CW          599 05 NC
QSO: 14085 RY 2016-09-24 2103 DL6SFR        599 14 DX  K2EQ          599 05 NY
QSO: 14084 RY 2016-09-24 2110 DL6SFR        599 14 DX  W2YE          599 05 VA
QSO: 14082 RY 2016-09-24 2112 DL6SFR        599 14 DX  NR4M          599 05 VA
QSO: 14073 RY 2016-09-24 2134 DL6SFR        599 14 DX  CO2AME        599 08 DX
QSO:  7074 RY 2016-09-24 2146 DL6SFR        599 14 DX  LZ5XQ         599 20 DX
QSO:  7073 RY 2016-09-24 2147 DL6SFR        599 14 DX  LB8IB         599 14 DX
QSO:  7067 RY 2016-09-24 2151 DL6SFR        599 14 DX  LZ7A          599 20 DX
QSO:  7067 RY 2016-09-24 2152 DL6SFR        599 14 DX  RM3DA         599 16 DX
QSO:  7066 RY 2016-09-24 2153 DL6SFR        599 14 DX  IQ9UI         599 15 DX
QSO:  7064 RY 2016-09-24 2155 DL6SFR        599 14 DX  OZ11A         599 14 DX
QSO:  7063 RY 2016-09-24 2155 DL6SFR        599 14 DX  UT7CR         599 16 DX
QSO:  7058 RY 2016-09-24 2201 DL6SFR        599 14 DX  OH5C          599 15 DX
QSO:  7053 RY 2016-09-24 2207 DL6SFR        599 14 DX  SZ1A          599 20 DX
QSO:  7052 RY 2016-09-24 2208 DL6SFR        599 14 DX  MD/DL4SVA     599 14 DX
QSO:  7052 RY 2016-09-24 2209 DL6SFR        599 14 DX  RV5K          599 16 DX
QSO:  7051 RY 2016-09-24 2210 DL6SFR        599 14 DX  EB5CUZ        599 14 DX
QSO:  7050 RY 2016-09-24 2210 DL6SFR        599 14 DX  LY6A          599 15 DX
QSO:  7046 RY 2016-09-24 2216 DL6SFR        599 14 DX  AN400D        599 14 DX
QSO:  7046 RY 2016-09-24 2218 DL6SFR        599 14 DX  UA4S          599 16 DX
QSO:  7041 RY 2016-09-24 2222 DL6SFR        599 14 DX  AN400T        599 14 DX
QSO:  7040 RY 2016-09-24 2227 DL6SFR        599 14 DX  EA3AQ         599 14 DX
QSO:  7038 RY 2016-09-24 2230 DL6SFR        599 14 DX  UW4I          599 16 DX
QSO:  7034 RY 2016-09-24 2232 DL6SFR        599 14 DX  UA4M          599 16 DX
QSO:  7034 RY 2016-09-24 2232 DL6SFR        599 14 DX  IT9CLN        599 15 DX
QSO:  7033 RY 2016-09-24 2234 DL6SFR        599 14 DX  KB1W          599 05 MA
QSO:  7030 RY 2016-09-24 2235 DL6SFR        599 14 DX  UB7K          599 16 DX
QSO:  3606 RY 2016-09-24 2239 DL6SFR        599 14 DX  LB8IB         599 14 DX
QSO:  3603 RY 2016-09-24 2242 DL6SFR        599 14 DX  G0BRC         599 14 DX
QSO:  3602 RY 2016-09-24 2243 DL6SFR        599 14 DX  DL0SLG        599 14 DX
QSO:  3597 RY 2016-09-24 2246 DL6SFR        599 14 DX  DL5XL         599 14 DX
QSO:  3596 RY 2016-09-24 2247 DL6SFR        599 14 DX  9A0Z          599 15 DX
QSO:  3595 RY 2016-09-24 2250 DL6SFR        599 14 DX  DF8XC         599 14 DX
QSO:  3592 RY 2016-09-24 2254 DL6SFR        599 14 DX  HA3LI         599 15 DX
QSO:  3591 RY 2016-09-24 2255 DL6SFR        599 14 DX  PA3T          599 14 DX
QSO:  3591 RY 2016-09-24 2256 DL6SFR        599 14 DX  SP8K          599 15 DX
QSO:  3587 RY 2016-09-24 2303 DL6SFR        599 14 DX  PA6B          599 14 DX
QSO:  3587 RY 2016-09-24 2304 DL6SFR        599 14 DX  HG1S          599 15 DX
QSO:  3584 RY 2016-09-24 2306 DL6SFR        599 14 DX  S51A          599 15 DX
QSO:  3583 RY 2016-09-24 2306 DL6SFR        599 14 DX  9A5X          599 15 DX
QSO:  3579 RY 2016-09-24 2318 DL6SFR        599 14 DX  LX7I          599 14 DX
QSO:  3578 RY 2016-09-24 2318 DL6SFR        599 14 DX  IV3ZXQ        599 15 DX
QSO:  3577 RY 2016-09-24 2320 DL6SFR        599 14 DX  AN400T        599 14 DX
QSO:  3574 RY 2016-09-24 2321 DL6SFR        599 14 DX  AN400V        599 14 DX
QSO:  3595 RY 2016-09-25 0543 DL6SFR        599 14 DX  ON4CT         599 14 DX
QSO:  3592 RY 2016-09-25 0546 DL6SFR        599 14 DX  9A701A        599 15 DX
QSO:  3592 RY 2016-09-25 0547 DL6SFR        599 14 DX  DJ50MUC       599 14 DX
QSO:  3578 RY 2016-09-25 0550 DL6SFR        599 14 DX  TM77X         599 14 DX
QSO:  3575 RY 2016-09-25 0552 DL6SFR        599 14 DX  DF0SAX        599 14 DX
QSO:  7077 RY 2016-09-25 0558 DL6SFR        599 14 DX  K3LR          599 05 PA
QSO:  7072 RY 2016-09-25 0559 DL6SFR        599 14 DX  G0BRC         599 14 DX
QSO:  7070 RY 2016-09-25 0606 DL6SFR        599 14 DX  RL3A          599 16 DX
QSO:  7067 RY 2016-09-25 0612 DL6SFR        599 14 DX  S570L         599 15 DX
QSO:  7066 RY 2016-09-25 0614 DL6SFR        599 14 DX  OM4Q          599 15 DX
QSO:  7064 RY 2016-09-25 0616 DL6SFR        599 14 DX  SE4E          599 14 DX
QSO:  7061 RY 2016-09-25 0619 DL6SFR        599 14 DX  LY7Z          599 15 DX
QSO:  7060 RY 2016-09-25 0620 DL6SFR        599 14 DX  K9CT          599 04 IL
QSO:  7060 RY 2016-09-25 0622 DL6SFR        599 14 DX  CR3W          599 33 DX
QSO:  7059 RY 2016-09-25 0623 DL6SFR        599 14 DX  G9V           599 14 DX
QSO:  7057 RY 2016-09-25 0625 DL6SFR        599 14 DX  OH8A          599 15 DX
QSO:  7055 RY 2016-09-25 0627 DL6SFR        599 14 DX  SP9KDA        599 15 DX
QSO:  7055 RY 2016-09-25 0628 DL6SFR        599 14 DX  OE3CHC        599 15 DX
QSO:  7054 RY 2016-09-25 0629 DL6SFR        599 14 DX  OH2T          599 15 DX
QSO:  7053 RY 2016-09-25 0633 DL6SFR        599 14 DX  OH2ET         599 15 DX
QSO:  7051 RY 2016-09-25 0635 DL6SFR        599 14 DX  YU7XX         599 15 DX
QSO:  7051 RY 2016-09-25 0638 DL6SFR        599 14 DX  S57DX         599 15 DX
QSO:  7050 RY 2016-09-25 0640 DL6SFR        599 14 DX  S50W          599 15 DX
QSO:  7048 RY 2016-09-25 0649 DL6SFR        599 14 DX  MW2I          599 14 DX
QSO:  7045 RY 2016-09-25 0654 DL6SFR        599 14 DX  4O10A         599 15 DX
QSO:  7044 RY 2016-09-25 0655 DL6SFR        599 14 DX  UT9UZ         599 16 DX
QSO:  7043 RY 2016-09-25 0655 DL6SFR        599 14 DX  F4GGQ         599 14 DX
QSO:  7043 RY 2016-09-25 0658 DL6SFR        599 14 DX  F4FDR         599 14 DX
QSO:  7041 RY 2016-09-25 0702 DL6SFR        599 14 DX  HG1S          599 15 DX
QSO:  7040 RY 2016-09-25 0705 DL6SFR        599 14 DX  W5MX          599 04 KY
QSO:  7040 RY 2016-09-25 0706 DL6SFR        599 14 DX  YT2B          599 15 DX
QSO:  7040 RY 2016-09-25 0710 DL6SFR        599 14 DX  SP9BNM        599 15 DX
QSO:  7039 RY 2016-09-25 0710 DL6SFR        599 14 DX  F4FFN         599 14 DX
QSO:  7038 RY 2016-09-25 0714 DL6SFR        599 14 DX  OK1FGD        599 15 DX
QSO:  7037 RY 2016-09-25 0716 DL6SFR        599 14 DX  CT2GMH        599 14 DX
QSO:  7033 RY 2016-09-25 0719 DL6SFR        599 14 DX  OG30OJ        599 15 DX
QSO:  7031 RY 2016-09-25 0721 DL6SFR        599 14 DX  HK3TU         599 09 DX
QSO:  7047 RY 2016-09-25 0724 DL6SFR        599 14 DX  C37NL         599 14 DX
QSO:  7047 RY 2016-09-25 0727 DL6SFR        599 14 DX  LZ5K          599 20 DX
QSO:  7071 RY 2016-09-25 0729 DL6SFR        599 14 DX  F1RHS         599 14 DX
QSO:  7066 RY 2016-09-25 0733 DL6SFR        599 14 DX  SO9C          599 15 DX
QSO:  7061 RY 2016-09-25 0736 DL6SFR        599 14 DX  S53EO         599 15 DX
QSO:  7057 RY 2016-09-25 0738 DL6SFR        599 14 DX  DF0SAX        599 14 DX
QSO:  7057 RY 2016-09-25 0739 DL6SFR        599 14 DX  GU0URR        599 14 DX
QSO:  7056 RY 2016-09-25 0741 DL6SFR        599 14 DX  IW7DBM        599 15 DX
QSO:  7054 RY 2016-09-25 0746 DL6SFR        599 14 DX  PA3GDD        599 14 DX
QSO:  7054 RY 2016-09-25 0747 DL6SFR        599 14 DX  OK1DBE        599 15 DX
QSO:  7050 RY 2016-09-25 0801 DL6SFR        599 14 DX  TF1AM         599 40 DX
QSO:  7049 RY 2016-09-25 0803 DL6SFR        599 14 DX  OU2DX         599 14 DX
QSO:  7046 RY 2016-09-25 0811 DL6SFR        599 14 DX  PI4CG         599 14 DX
QSO:  7044 RY 2016-09-25 0814 DL6SFR        599 14 DX  PA3ARM        599 14 DX
QSO:  7042 RY 2016-09-25 0816 DL6SFR        599 14 DX  M0P           599 14 DX
QSO:  7041 RY 2016-09-25 0817 DL6SFR        599 14 DX  IZ0PMV        599 15 DX
QSO:  7040 RY 2016-09-25 0818 DL6SFR        599 14 DX  PA5WT         599 14 DX
QSO:  7039 RY 2016-09-25 0820 DL6SFR        599 14 DX  DJ8OG         599 14 DX
QSO:  7038 RY 2016-09-25 0822 DL6SFR        599 14 DX  AN400I        599 14 DX
QSO: 14126 RY 2016-09-25 0830 DL6SFR        599 14 DX  EW8AX         599 16 DX
QSO: 14123 RY 2016-09-25 0834 DL6SFR        599 14 DX  LZ8U          599 20 DX
QSO: 14117 RY 2016-09-25 0845 DL6SFR        599 14 DX  LZ2JA         599 20 DX
QSO: 14109 RY 2016-09-25 0855 DL6SFR        599 14 DX  LY9Y          599 15 DX
QSO: 14104 RY 2016-09-25 0931 DL6SFR        599 14 DX  TF1AM         599 40 DX
QSO: 14100 RY 2016-09-25 0953 DL6SFR        599 14 DX  5C5W          599 33 DX
QSO: 14099 RY 2016-09-25 0956 DL6SFR        599 14 DX  F5MUX         599 14 DX
QSO: 14098 RY 2016-09-25 0957 DL6SFR        599 14 DX  RV3FF         599 16 DX
QSO: 14095 RY 2016-09-25 0959 DL6SFR        599 14 DX  LY7Z          599 15 DX
QSO: 14091 RY 2016-09-25 1001 DL6SFR        599 14 DX  GM5M          599 14 DX
QSO: 14090 RY 2016-09-25 1001 DL6SFR        599 14 DX  RV3ZN         599 16 DX
QSO: 14089 RY 2016-09-25 1002 DL6SFR        599 14 DX  UR8UZ         599 16 DX
QSO: 14089 RY 2016-09-25 1004 DL6SFR        599 14 DX  IT9ESW        599 15 DX
QSO: 14086 RY 2016-09-25 1007 DL6SFR        599 14 DX  GM5A          599 14 DX
QSO: 14082 RY 2016-09-25 1012 DL6SFR        599 14 DX  Z36N          599 15 DX
QSO: 14081 RY 2016-09-25 1013 DL6SFR        599 14 DX  CR5U          599 14 DX
