START-OF-LOG: 3.0
CATEGORY: Single operator, mixed, QRP
CONTEST: WAG
SPECIFIC: P30
CALLSIGN: DH0GDS
CLAIMED-SCORE: 4732
CREATED-BY: EASY CONTEST 1.30F, CABRILLO-FORMAT MANMADE, modified by DXHF upload.
QSO:  7160 PH 2018-10-21 1131 DH0GDS        59 P30     DH1DX         59   X28
QSO:  7160 PH 2018-10-21 1132 DH0GDS        59 P30     DK0XT         59   L12
QSO:  7160 PH 2018-10-21 1135 DH0GDS        59 P30     DL0CW         59   I53
QSO:  7160 PH 2018-10-21 1137 DH0GDS        59 P30     DL0DG         59   L02
QSO:  7160 PH 2018-10-21 1144 DH0GDS        59 P30     DG6SA         59   R24
QSO:  7160 PH 2018-10-21 1148 DH0GDS        59 P30     DF0BT         59   D04
QSO:  7160 PH 2018-10-21 1151 DH0GDS        59 P30     DA0C          59   F69
QSO:  7160 PH 2018-10-21 1153 DH0GDS        59 P30     DK0DI         59   F74
QSO: 14250 PH 2018-10-21 1201 DH0GDS        59 P30     RZ9SZ         59   708
QSO: 14250 PH 2018-10-21 1212 DH0GDS        59 P30     DK5DQ         59   O32
QSO: 14250 PH 2018-10-21 1218 DH0GDS        59 P30     SV1JG         59   444
QSO: 14250 PH 2018-10-21 1228 DH0GDS        59 P30     UW5ZM         59    10
QSO: 14250 PH 2018-10-21 1231 DH0GDS        59 P30     DF0RN         59   L19
QSO: 14250 PH 2018-10-21 1233 DH0GDS        59 P30     LC5C          59   341
QSO: 14250 PH 2018-10-21 1239 DH0GDS        59 P30     LZ1DM         59    80
QSO: 14250 PH 2018-10-21 1241 DH0GDS        59 P30     YO4DW         59   575
QSO: 14250 PH 2018-10-21 1242 DH0GDS        59 P30     SP9QMP        59   434
QSO: 14250 PH 2018-10-21 1244 DH0GDS        59 P30     LZ9V          59   772
QSO: 14250 PH 2018-10-21 1245 DH0GDS        59 P30     UA4Z          59   327
QSO: 14250 PH 2018-10-21 1251 DH0GDS        59 P30     9A5Y          59  1493
QSO: 14250 PH 2018-10-21 1253 DH0GDS        59 P30     UX3IT         59   229
QSO:  7160 PH 2018-10-21 1304 DH0GDS        59 P30     DG1UI         59   A36
QSO:  7160 PH 2018-10-21 1305 DH0GDS        59 P30     DL0LK         59   E03
QSO:  7160 PH 2018-10-21 1310 DH0GDS        59 P30     HF100SCI      59    52
QSO:  7160 PH 2018-10-21 1314 DH0GDS        59 P30     DH0F          59   B09
QSO:  7160 PH 2018-10-21 1315 DH0GDS        59 P30     9A3XV         59   113
QSO:  7160 PH 2018-10-21 1318 DH0GDS        59 P30     DA0CCC        59   D23
QSO:  7160 PH 2018-10-21 1319 DH0GDS        59 P30     DL4LAB        59   E13
QSO:  7160 PH 2018-10-21 1320 DH0GDS        59 P30     PA7WW         59   O48
QSO: 14250 PH 2018-10-21 1329 DH0GDS        59 P30     LZ1QN         59   193
QSO: 14250 PH 2018-10-21 1334 DH0GDS        59 P30     EI6HZB        59   584
QSO: 14250 PH 2018-10-21 1338 DH0GDS        59 P30     EA7/DJ4EL     59   N47
QSO:  7160 PH 2018-10-21 1354 DH0GDS        59 P30     DL0WSW        59   S28
QSO:  7160 PH 2018-10-21 1357 DH0GDS        59 P30     DK1K          59   G14
QSO:  7160 PH 2018-10-21 1359 DH0GDS        59 P30     DP6T          59   F49
QSO:  7160 PH 2018-10-21 1401 DH0GDS        59 P30     DK2R          59   U14
QSO:  7160 PH 2018-10-21 1405 DH0GDS        59 P30     RT2F          59   580
QSO:  7160 PH 2018-10-21 1413 DH0GDS        59 P30     SP3J          59    82
QSO: 14250 PH 2018-10-21 1419 DH0GDS        59 P30     LZ2PS         59   342
QSO: 14250 PH 2018-10-21 1421 DH0GDS        59 P30     DF2F          59   L06
QSO: 14250 PH 2018-10-21 1423 DH0GDS        59 P30     F6DRP         59   102
QSO: 14250 PH 2018-10-21 1427 DH0GDS        59 P30     DQ1P          59   E34
QSO: 14250 PH 2018-10-21 1435 DH0GDS        59 P30     ES2MC         59   570
QSO: 14250 PH 2018-10-21 1438 DH0GDS        59 P30     DF8XC         59   N01
QSO:  7160 PH 2018-10-21 1449 DH0GDS        59 P30     OZ3ANT        59   142
QSO:  7160 PH 2018-10-21 1551 DH0GDS        59 P30     DM3C          59   V22
QSO:  7160 PH 2018-10-21 1457 DH0GDS        59 P30     DF2F          59   L06
QSO:  7160 PH 2018-10-21 1458 DH0GDS        59 P30     9A3AG         59   174
END-OF-LOG:
