START-OF-LOG: 3.0
CREATED-BY: FLLOG 1.2.6

# The callsign used during the contest.
CALLSIGN: DL5BCT
CATEGORY: SINGLE-OP ALL LOW

# ASSISTED or NON-ASSISTED

# Band: ALL, 160M, 80M, 40M, 20M, 15M, 10M, 6M, 2M, 222, 432, 902, 1.2G

# Mode: SSB, CW, RTTY, MIXED 

# Operator: SINGLE-OP, MULTI-OP, CHECKLOG 

# Power: HIGH, LOW, QRP 

# Station: FIXED, MOBILE, PORTABLE, ROVER, EXPEDITION, HQ, SCHOOL 

# Time: 6-HOURS, 12-HOURS, 24-HOURS 

# Transmitter: ONE, TWO, LIMITED, UNLIMITED, SWL 

# Overlay: ROOKIE, TB-WIRES, NOVICE-TECH, OVER-50 

# Integer number
CLAIMED-SCORE: 39087

# Name of the radio club with which the score should be aggregated.
CLUB: DARC

CONTEST: EA-RTTY
# ARRL-SS-SSB, ARRL-UHF-AUG, ARRL-VHF-JAN, ARRL-VHF-JUN, ARRL-VHF-SEP,
# ARRL-RTTY, BARTG-RTTY, CQ-160-CW, CQ-160-SSB, CQ-WPX-CW, CQ-WPX-RTTY,
# CQ-WPX-SSB, CQ-VHF, CQ-WW-CW, CQ-WW-RTTY, CQ-WW-SSB, DARC-WAEDC-CW,
# DARC-WAEDC-RTTY, DARC-WAEDC-SSB, FCG-FQP, IARU-HF, JIDX-CW, JIDX-SSB,
# NAQP-CW, NAQP-RTTY, NAQP-SSB, NA-SPRINT-CW, NA-SPRINT-SSB, NCCC-CQP,
# NEQP, OCEANIA-DX-CW, OCEANIA-DX-SSB, RDXC, RSGB-IOTA, SAC-CW, SAC-SSB,
# STEW-PERRY, TARA-RTTY 
CONTEST: EA-RTTY


LOCATION: JN49GA

# Operator name
NAME: PETER CORNELIUS


# A space-delimited list of operator callsign(s). 
OPERATORS: DL5BCT

# Offtime yyyy-mm-dd nnnn yyyy-mm-dd nnnn 
OFFTIME: 2023-04-01 2255 2023-04-02 0515

# Soapbox comments.
SOAPBOX: FLDIGI LOGGING ISSUES BEFORE AND
SOAPBOX: PROGRAM CRASH AT 2023-04-01 1547
SOAPBOX: (I. E. BEFORE INCLUDING SER NO 009)

#SO: QRG   MO DAY        TIME MYCALL        RST SER        CALL          RST SER
QSO: 14099 RY 2023-04-01 2127 DL5BCT        599 075        EA1DA         599 lo
QSO: 14093 RY 2023-04-01 2132 DL5BCT        599 076        ED1B          599 o
QSO: 14093 RY 2023-04-01 2135 DL5BCT        599 077        ED1R          599 av
QSO:  7042 RY 2023-04-01 2151 DL5BCT        599 078        EA3X          599 b
QSO:  7043 RY 2023-04-01 2154 DL5BCT        599 079        HG3FMZ        599 077
QSO:  7044 RY 2023-04-01 2155 DL5BCT        599 080        9A1A          599 350
QSO:  7045 RY 2023-04-01 2157 DL5BCT        599 081        EA4URA        599 m
QSO:  7046 RY 2023-04-01 2157 DL5BCT        599 082        Z39A          599 168
QSO:  7046 RY 2023-04-01 2202 DL5BCT        599 083        OK1MSL        599 101
QSO:  7047 RY 2023-04-01 2203 DL5BCT        599 084        G0HDV         599 201
QSO:  7045 RY 2023-04-01 2205 DL5BCT        599 085        9A1HBC        599 394
QSO:  7051 RY 2023-04-01 2216 DL5BCT        599 086        EA5R          599 mu
QSO:  7052 RY 2023-04-01 2218 DL5BCT        599 087        ED1B          599 o
QSO:  7053 RY 2023-04-01 2219 DL5BCT        599 088        EB3EFU        599 gi
QSO:  7053 RY 2023-04-01 2220 DL5BCT        599 089        EA5HYJ        599 v
QSO:  7056 RY 2023-04-01 2222 DL5BCT        599 090        G0FGI         599 231
QSO:  7059 RY 2023-04-01 2225 DL5BCT        599 091        OZ11A         599 425
QSO:  7061 RY 2023-04-01 2229 DL5BCT        599 092        EA4EJP        599 m
QSO:  7061 RY 2023-04-01 2230 DL5BCT        599 093        EI6IKB        599 227
QSO:  7062 RY 2023-04-01 2231 DL5BCT        599 094        EA7HAB        599 gr
QSO:  7065 RY 2023-04-01 2235 DL5BCT        599 095        SV8DCY        599 400
QSO:  3603 RY 2023-04-01 2238 DL5BCT        599 096        DH8WR         599 141
QSO:  3598 RY 2023-04-01 2240 DL5BCT        599 097        RM3DA         599 405
QSO:  3592 RY 2023-04-01 2244 DL5BCT        599 098        DQ9Y          599 445
QSO:  3592 RY 2023-04-01 2245 DL5BCT        599 099        EA4R          599 to
QSO:  3591 RY 2023-04-01 2247 DL5BCT        599 100        E79D          599 119
QSO:  3590 RY 2023-04-01 2249 DL5BCT        599 101        9A1A          599 215
QSO:  3590 RY 2023-04-01 2250 DL5BCT        599 102        IK4QJF        599 168
QSO:  3589 RY 2023-04-01 2250 DL5BCT        599 103        9A5Y          599 516
QSO:  3589 RY 2023-04-01 2252 DL5BCT        599 104        DK3RA         599 096
QSO:  3587 RY 2023-04-01 2253 DL5BCT        599 105        YO4NF         599 437
QSO:  3584 RY 2023-04-01 2254 DL5BCT        599 106        F5BEG         599 116
QSO:  3590 RY 2023-04-02 0518 DL5BCT        599 107        I3PXN         599 113
QSO:  3596 RY 2023-04-02 0521 DL5BCT        599 108        EA3F          599 l
QSO:  7040 RY 2023-04-02 0525 DL5BCT        599 109        EA2DLX        599 bi
QSO:  7043 RY 2023-04-02 0526 DL5BCT        599 110        HA1TIB        599 67
QSO:  7048 RY 2023-04-02 0534 DL5BCT        599 111        EA5LU         599 mu
QSO:  7051 RY 2023-04-02 0536 DL5BCT        599 112        RG4A          599 345
QSO:  7052 RY 2023-04-02 0537 DL5BCT        599 113        ED7B          599 co
QSO:  7056 RY 2023-04-02 0544 DL5BCT        599 114        SP4NKJ        599 219
QSO:  7057 RY 2023-04-02 0545 DL5BCT        599 115        S52W          599 087
QSO:  7058 RY 2023-04-02 0546 DL5BCT        599 116        EA5ITJ        599 cs
QSO:  7059 RY 2023-04-02 0547 DL5BCT        599 117        EE1D          599 so
QSO:  7060 RY 2023-04-02 0548 DL5BCT        599 118        F4DSK         599 293
QSO:  7062 RY 2023-04-02 0551 DL5BCT        599 119        S56EM         599 158
QSO:  7064 RY 2023-04-02 0553 DL5BCT        599 120        PA5KT         599 043
QSO:  7065 RY 2023-04-02 0554 DL5BCT        599 121        K3MM          599 554
QSO: 14092 RY 2023-04-02 0601 DL5BCT        599 122        LZ2HT         599 186
QSO: 14094 RY 2023-04-02 0604 DL5BCT        599 123        OH8TS         599 042
QSO: 14094 RY 2023-04-02 0606 DL5BCT        599 124        EA4ZM         599 ba
QSO: 14095 RY 2023-04-02 0607 DL5BCT        599 125        UC6N          599 232
QSO: 14098 RY 2023-04-02 0615 DL5BCT        599 126        EF5K          599 v
QSO: 14103 RY 2023-04-02 0619 DL5BCT        599 127        CT7/PA3GCU    599 254
QSO: 14114 RY 2023-04-02 0623 DL5BCT        599 128        HI3MM         599 224
QSO: 14104 RY 2023-04-02 0636 DL5BCT        599 129        EA5FSJ        599 a
QSO: 14101 RY 2023-04-02 0641 DL5BCT        599 130        EW8DX         599 257
QSO: 14101 RY 2023-04-02 0642 DL5BCT        599 131        YO8OLY        599 043
QSO: 14094 RY 2023-04-02 0649 DL5BCT        599 132        LB6VI         599 162
QSO: 14094 RY 2023-04-02 0650 DL5BCT        599 133        EA7GE         599 co
QSO: 14090 RY 2023-04-02 0657 DL5BCT        599 134        RT2H          599 067
QSO: 14090 RY 2023-04-02 0658 DL5BCT        599 135        EA5GIE        599 v
QSO: 14088 RY 2023-04-02 0701 DL5BCT        599 136        EA4URA        599 m
QSO: 14087 RY 2023-04-02 0703 DL5BCT        599 137        IW8PQ         599 058
QSO: 14086 RY 2023-04-02 0705 DL5BCT        599 138        EA1BAF        599 ou
QSO: 14080 RY 2023-04-02 0710 DL5BCT        599 139        IK2SND        599 019
QSO: 21082 RY 2023-04-02 0719 DL5BCT        599 140        RA0WHE        599 052
QSO: 21085 RY 2023-04-02 0743 DL5BCT        599 141        TA2E          599 28
QSO: 28098 RY 2023-04-02 0820 DL5BCT        599 142        YC9AAI        599 170
QSO: 21111 RY 2023-04-02 0928 DL5BCT        599 143        ED4J          599 cr
QSO: 21104 RY 2023-04-02 0933 DL5BCT        599 144        EF5T          599 mu
QSO: 21101 RY 2023-04-02 0937 DL5BCT        599 145        EA4IE         599 to
QSO: 21083 RY 2023-04-02 0944 DL5BCT        599 146        LZ1ND         599 260
QSO: 14084 RY 2023-04-02 0950 DL5BCT        599 147        SV2BXA        599 020
QSO: 14085 RY 2023-04-02 0951 DL5BCT        599 148        RA6LIS        599 178
QSO: 14086 RY 2023-04-02 0952 DL5BCT        599 149        IU0PVM        599 215
QSO: 14089 RY 2023-04-02 1000 DL5BCT        599 150        SP4TXI        599 361
QSO: 14089 RY 2023-04-02 1001 DL5BCT        599 151        G3VMY         599 026
QSO: 14091 RY 2023-04-02 1004 DL5BCT        599 152        EA4URE        599 hq
QSO: 14093 RY 2023-04-02 1006 DL5BCT        599 153        EA5O          599 v
QSO: 14094 RY 2023-04-02 1008 DL5BCT        599 154        LY4BF         599 162
QSO: 14096 RY 2023-04-02 1012 DL5BCT        599 155        F4ITQ         599 252
QSO: 14101 RY 2023-04-02 1020 DL5BCT        599 156        EA1DP         599 bi
QSO: 14102 RY 2023-04-02 1043 DL5BCT        599 157        SV2BFN        599 446
QSO: 28090 RY 2023-04-02 1047 DL5BCT        599 158        SV9SIT        599 265
QSO: 28096 RY 2023-04-02 1050 DL5BCT        599 159        UW1M          599 1358
QSO: 21080 RY 2023-04-02 1104 DL5BCT        599 160        YO9BCM        599 161
QSO: 21081 RY 2023-04-02 1106 DL5BCT        599 161        EA4URA        599 m
QSO: 21084 RY 2023-04-02 1110 DL5BCT        599 162        RN3QQT        599 289
QSO: 21084 RY 2023-04-02 1112 DL5BCT        599 163        EA5O          599 v
QSO: 21086 RY 2023-04-02 1114 DL5BCT        599 164        ED1R          599 av
QSO: 21088 RY 2023-04-02 1116 DL5BCT        599 165        EA5BN         599 mu
QSO: 21091 RY 2023-04-02 1118 DL5BCT        599 166        SV4RNT        599 65
QSO: 21091 RY 2023-04-02 1119 DL5BCT        599 167        R2XM          599 250
QSO: 21099 RY 2023-04-02 1125 DL5BCT        599 168        EA2ESB        599 te
QSO: 21100 RY 2023-04-02 1127 DL5BCT        599 169        LZ1JZ         599 152
QSO: 21101 RY 2023-04-02 1129 DL5BCT        599 170        IK8IOO        599 301
QSO: 21108 RY 2023-04-02 1136 DL5BCT        599 171        EA8CNR        599 gc
QSO: 21110 RY 2023-04-02 1140 DL5BCT        599 172        ED1D          599 p
QSO: 21112 RY 2023-04-02 1142 DL5BCT        599 173        UA4FX         599 174
QSO: 21113 RY 2023-04-02 1143 DL5BCT        599 174        IT9STX        599 361
QSO: 21114 RY 2023-04-02 1144 DL5BCT        599 175        RT2H          599 177
QSO: 21116 RY 2023-04-02 1147 DL5BCT        599 176        R3LC          599 144
QSO: 21119 RY 2023-04-02 1150 DL5BCT        599 177        EA5WA         599 v
QSO: 14117 RY 2023-04-02 1153 DL5BCT        599 178        LC9S          599 165
QSO: 14110 RY 2023-04-02 1156 DL5BCT        599 179        IK4GNI        599 172
QSO: 14108 RY 2023-04-02 1157 DL5BCT        599 180        9A4R          599 182
QSO: 14106 RY 2023-04-02 1159 DL5BCT        599 181        RG2Y          599 354
END-OF-LOG:
