START-OF-LOG: 3.0
CALLSIGN: VE7BGP
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 20367
NAME: Gerry Pement
LOCATION: BC
OPERATORS: VE7BGP
CLUB: Nanaimo Amateur Radio Association
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: I had a lot of fun operating this Contest again.this year. I
SOAPBOX: mostly used my venerable old IC-751A radio. 73 Gerry
QSO: 14010 CW 2017-11-25 1915 VE7BGP        599 3      K0RF          599 04
QSO: 14012 CW 2017-11-25 1917 VE7BGP        599 3      N7DD          599 03
QSO: 21005 CW 2017-11-25 1925 VE7BGP        599 3      LW3DG         599 13
QSO: 21003 CW 2017-11-25 1926 VE7BGP        599 3      K3LR          599 05
QSO: 21003 CW 2017-11-25 1953 VE7BGP        599 3      CX2AQ         599 13
QSO: 21006 CW 2017-11-25 2052 VE7BGP        599 3      CW4MAX        599 13
QSO: 21008 CW 2017-11-25 2101 VE7BGP        599 3      W3LPL         599 05
QSO: 21009 CW 2017-11-25 2102 VE7BGP        599 3      PY2KJ         599 11
QSO: 21010 CW 2017-11-25 2110 VE7BGP        599 3      W9RE          599 04
QSO: 21012 CW 2017-11-25 2209 VE7BGP        599 3      WJ9B          599 03
QSO: 21014 CW 2017-11-25 2212 VE7BGP        599 3      PX2A          599 11
QSO: 21018 CW 2017-11-25 2222 VE7BGP        599 3      LU6DOT        599 13
QSO: 21018 CW 2017-11-25 2225 VE7BGP        599 3      LT1F          599 13
QSO: 21022 CW 2017-11-25 2228 VE7BGP        599 3      K5TU          599 04
QSO: 21019 CW 2017-11-25 2233 VE7BGP        599 3      JA1ZGP        599 25
QSO: 21022 CW 2017-11-25 2235 VE7BGP        599 3      KH6TU         599 31
QSO: 21024 CW 2017-11-25 2238 VE7BGP        599 3      CE2CT         599 12
QSO: 21025 CW 2017-11-25 2239 VE7BGP        599 3      N7RO          599 03
QSO: 21027 CW 2017-11-25 2254 VE7BGP        599 3      JA7ZFN        599 25
QSO: 21027 CW 2017-11-25 2255 VE7BGP        599 3      RT0F          599 19
QSO: 21022 CW 2017-11-25 2336 VE7BGP        599 3      JR3EOI        599 25
QSO: 21017 CW 2017-11-26 0003 VE7BGP        599 3      BV1EL         599 24
QSO: 21009 CW 2017-11-26 0012 VE7BGP        599 3      JA6BZI        599 25
QSO: 14009 CW 2017-11-26 0023 VE7BGP        599 3      JR2GRX        599 25
QSO: 14007 CW 2017-11-26 0024 VE7BGP        599 3      N7AT          599 03
QSO: 14008 CW 2017-11-26 0025 VE7BGP        599 3      JA6BZI        599 25
QSO: 14006 CW 2017-11-26 0027 VE7BGP        599 3      JH3CTQ        599 25
QSO: 14006 CW 2017-11-26 0031 VE7BGP        599 3      LW1EUD        599 13
QSO: 14004 CW 2017-11-26 0033 VE7BGP        599 3      JH3AIU        599 25
QSO: 14003 CW 2017-11-26 0035 VE7BGP        599 3      N5CR          599 03
QSO: 14001 CW 2017-11-26 0042 VE7BGP        599 3      JR4OZR        599 25
QSO: 14011 CW 2017-11-26 0045 VE7BGP        599 3      K5TU          599 04
QSO: 14011 CW 2017-11-26 0047 VE7BGP        599 3      WA7NB         599 03
QSO: 14012 CW 2017-11-26 0050 VE7BGP        599 3      LT1F          599 13
QSO: 14014 CW 2017-11-26 0056 VE7BGP        599 3      JK8PBO        599 25
QSO: 14017 CW 2017-11-26 0059 VE7BGP        599 3      DS4EOI        599 25
QSO: 14018 CW 2017-11-26 0101 VE7BGP        599 3      RA0FF         599 19
QSO: 14019 CW 2017-11-26 0106 VE7BGP        599 3      B7Q           599 24
QSO:  3517 CW 2017-11-26 0428 VE7BGP        599 3      K0RF          599 04
QSO:  7008 CW 2017-11-26 0437 VE7BGP        599 3      P40L          599 09
QSO:  7012 CW 2017-11-26 0443 VE7BGP        599 3      N0NI          599 04
QSO:  7005 CW 2017-11-26 0459 VE7BGP        599 3      K0RF          599 04
QSO:  3511 CW 2017-11-26 0532 VE7BGP        599 3      KC1XX         599 05
QSO:  3509 CW 2017-11-26 0535 VE7BGP        599 3      VE3XB         599 04
QSO:  3510 CW 2017-11-26 0537 VE7BGP        599 3      WA7NB         599 03
QSO:  3508 CW 2017-11-26 0549 VE7BGP        599 3      WX0B          599 04
QSO:  3508 CW 2017-11-26 0601 VE7BGP        599 3      W8AV          599 04
QSO:  7019 CW 2017-11-26 0631 VE7BGP        599 3      N7WA          599 03
QSO:  7014 CW 2017-11-26 0730 VE7BGP        599 3      N7IP          599 04
QSO:  7010 CW 2017-11-26 0736 VE7BGP        599 3      KH7M          599 31
QSO:  7014 CW 2017-11-26 0748 VE7BGP        599 3      W6XB          599 03
QSO:  7015 CW 2017-11-26 0805 VE7BGP        599 3      K9DX          599 04
QSO: 14015 CW 2017-11-26 1552 VE7BGP        599 3      TM1A          599 14
QSO: 14020 CW 2017-11-26 1625 VE7BGP        599 3      CT9/OM3ZI     599 33
QSO: 14016 CW 2017-11-26 1639 VE7BGP        599 3      EA5RS         599 14
QSO: 14022 CW 2017-11-26 1654 VE7BGP        599 3      G3V           599 14
QSO: 14000 CW 2017-11-26 2102 VE7BGP        599 3      KH6LC         599 31
QSO: 21006 CW 2017-11-26 2115 VE7BGP        599 3      HQ9X          599 07
QSO: 21009 CW 2017-11-26 2127 VE7BGP        599 3      HP3SS         599 07
QSO: 21013 CW 2017-11-26 2135 VE7BGP        599 3      K5RX          599 04
QSO: 21020 CW 2017-11-26 2141 VE7BGP        599 3      VE7NY         599 03
QSO: 21021 CW 2017-11-26 2145 VE7BGP        599 3      CW5W          599 13
QSO: 21025 CW 2017-11-26 2146 VE7BGP        599 3      KN0V          599 04
QSO: 21028 CW 2017-11-26 2248 VE7BGP        599 3      JA3YBK        599 25
QSO: 21029 CW 2017-11-26 2253 VE7BGP        599 3      N0KQ          599 03
QSO: 21033 CW 2017-11-26 2302 VE7BGP        599 3      TI7W          599 07
QSO: 21034 CW 2017-11-26 2304 VE7BGP        599 3      ZW5B          599 11
QSO: 21038 CW 2017-11-26 2306 VE7BGP        599 3      JH4UYB        599 25
QSO: 21040 CW 2017-11-26 2308 VE7BGP        599 3      KH2L          599 27
QSO: 21049 CW 2017-11-26 2310 VE7BGP        599 3      JA2XYO        599 25
QSO: 21049 CW 2017-11-26 2311 VE7BGP        599 3      7K4XNN        599 25
QSO: 21054 CW 2017-11-26 2313 VE7BGP        599 3      JA1WWO        599 25
QSO: 21056 CW 2017-11-26 2314 VE7BGP        599 3      JR8QFG        599 25
QSO: 21057 CW 2017-11-26 2318 VE7BGP        599 3      JF2WXS        599 25
QSO: 21003 CW 2017-11-26 2319 VE7BGP        599 3      NR5M          599 04
QSO: 21008 CW 2017-11-26 2326 VE7BGP        599 3      BI4SHV        599 24
QSO: 21016 CW 2017-11-26 2331 VE7BGP        599 3      AD5A          599 04
QSO: 21021 CW 2017-11-26 2333 VE7BGP        599 3      JA7NVF        599 25
QSO: 14024 CW 2017-11-26 2339 VE7BGP        599 3      BA4DL         599 24
QSO: 14026 CW 2017-11-26 2342 VE7BGP        599 3      NG7M          599 03
QSO: 14032 CW 2017-11-26 2345 VE7BGP        599 3      K6AW          599 03
QSO: 14035 CW 2017-11-26 2346 VE7BGP        599 3      JN1THL        599 25
QSO: 14036 CW 2017-11-26 2348 VE7BGP        599 3      JA1PNA        599 25
QSO: 14037 CW 2017-11-26 2350 VE7BGP        599 3      JQ1TIV        599 25
END-OF-LOG:
