START-OF-LOG: 3.0
CALLSIGN: K9QJ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 71250
NAME: Dwight Aussieker
LOCATION: IL
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY:
SOAPBOX: Second attempt at a CW contest. All S&P. If I get most QSO to confirm
SOAPBOX: I should have CW DXCC. I thought I would never be able to do CW or
SOAPBOX: even come close to CW DXCC. I'm beginning to like CW.
QSO:  7012 CW 2017-11-26 0117 K9QJ          599 04     US1Q          599 16    0
QSO:  7011 CW 2017-11-26 0115 K9QJ          599 04     TK0C          599 15    0
QSO:  7010 CW 2017-11-26 0111 K9QJ          599 04     YT5A          599 15    0
QSO:  7010 CW 2017-11-26 0110 K9QJ          599 04     LZ5R          599 20    0
QSO:  7009 CW 2017-11-26 0108 K9QJ          599 04     HG7T          599 15    0
QSO:  7007 CW 2017-11-26 0102 K9QJ          599 04     EF2A          599 14    0
QSO: 14057 CW 2017-11-25 2152 K9QJ          599 04     NP2X          599 08    0
QSO: 14064 CW 2017-11-25 2141 K9QJ          599 04     JA7ZFN        599 25    0
QSO: 14066 CW 2017-11-25 2135 K9QJ          599 04     CO2RQ         599 08    0
QSO: 21038 CW 2017-11-25 2123 K9QJ          599 04     YN2CC         599 07    0
QSO: 21026 CW 2017-11-25 2042 K9QJ          599 04     TO1A          599 09    0
QSO: 21024 CW 2017-11-25 2028 K9QJ          599 04     CE3CT         599 12    0
QSO: 21023 CW 2017-11-25 2025 K9QJ          599 04     VE7NY         599 03    0
QSO: 21020 CW 2017-11-25 2023 K9QJ          599 04     P40L          599 09    0
QSO: 21018 CW 2017-11-25 2017 K9QJ          599 04     HQ9X          599 07    0
QSO: 21013 CW 2017-11-25 2012 K9QJ          599 04     PX2A          599 11    0
QSO: 14059 CW 2017-11-25 1909 K9QJ          599 04     V47T          599 08    0
QSO: 14058 CW 2017-11-25 1902 K9QJ          599 04     9Y4/VE3EY     599 09    0
QSO: 14056 CW 2017-11-25 1901 K9QJ          599 04     V31MA         599 07    0
QSO: 14055 CW 2017-11-25 1855 K9QJ          599 04     6Y3M          599 08    0
QSO: 14055 CW 2017-11-25 1854 K9QJ          599 04     V26K          599 08    0
QSO: 14053 CW 2017-11-25 1852 K9QJ          599 04     ZF2MJ         599 08    0
QSO: 14052 CW 2017-11-25 1828 K9QJ          599 04     VE3RZ/VP9     599 05    0
QSO: 14052 CW 2017-11-25 1824 K9QJ          599 04     EA7TG         599 14    0
QSO: 14051 CW 2017-11-25 1823 K9QJ          599 04     PS0F          599 11    0
QSO: 14050 CW 2017-11-25 1815 K9QJ          599 04     ED8X          599 33    0
QSO: 14049 CW 2017-11-25 1813 K9QJ          599 04     TI7W          599 07    0
QSO: 14047 CW 2017-11-25 1810 K9QJ          599 04     VE7GL         599 03    0
QSO: 14045 CW 2017-11-25 1802 K9QJ          599 04     F6HKA         599 14    0
QSO: 14042 CW 2017-11-25 1757 K9QJ          599 04     F4WBN         599 14    0
QSO: 14041 CW 2017-11-25 1753 K9QJ          599 04     PJ4E          599 09    0
QSO: 14040 CW 2017-11-25 1751 K9QJ          599 04     DR4A          599 14    0
QSO: 14039 CW 2017-11-25 1750 K9QJ          599 04     CR5T          599 14    0
QSO: 14039 CW 2017-11-25 1748 K9QJ          599 04     KH7M          599 31    0
QSO: 14038 CW 2017-11-25 1747 K9QJ          599 04     CR3L          599 33    0
QSO: 14037 CW 2017-11-25 1738 K9QJ          599 04     CR6K          599 14    0
QSO: 14036 CW 2017-11-25 1713 K9QJ          599 04     DK8ZB         599 14    0
QSO: 14035 CW 2017-11-25 1712 K9QJ          599 04     CT9/OM3GI     599 33    0
QSO: 14034 CW 2017-11-25 1705 K9QJ          599 04     IR4M          599 15    0
QSO: 14031 CW 2017-11-25 1659 K9QJ          599 04     LN8W          599 14    0
QSO: 14028 CW 2017-11-25 1653 K9QJ          599 04     TM6M          599 14    0
QSO: 14027 CW 2017-11-25 1652 K9QJ          599 04     VE9ML         599 05    0
QSO: 14026 CW 2017-11-25 1651 K9QJ          599 04     TM0R          599 14    0
QSO: 14024 CW 2017-11-25 1644 K9QJ          599 04     TF3JB         599 40    0
QSO: 14022 CW 2017-11-25 1640 K9QJ          599 04     ON4UN         599 14    0
QSO: 14020 CW 2017-11-25 1633 K9QJ          599 04     GM2V          599 14    0
QSO: 14019 CW 2017-11-25 1629 K9QJ          599 04     DP6T          599 14    0
QSO: 14019 CW 2017-11-25 1628 K9QJ          599 04     S57AW         599 15    0
QSO: 14018 CW 2017-11-25 1559 K9QJ          599 04     VE2BWL        599 05    0
QSO: 14017 CW 2017-11-25 1557 K9QJ          599 04     OZ5E          599 14    0
QSO: 14015 CW 2017-11-25 1555 K9QJ          599 04     G4C           599 14    0
QSO: 14015 CW 2017-11-25 1551 K9QJ          599 04     6Y0W          599 08    0
QSO: 14015 CW 2017-11-25 1543 K9QJ          599 04     SN8B          599 15    0
QSO: 14014 CW 2017-11-25 1540 K9QJ          599 04     HG1R          599 15    0
QSO: 14013 CW 2017-11-25 1539 K9QJ          599 04     YT4W          599 15    0
QSO: 14013 CW 2017-11-25 1536 K9QJ          599 04     HA9RT         599 15    0
QSO: 14012 CW 2017-11-25 1533 K9QJ          599 04     OT6M          599 14    0
QSO: 14012 CW 2017-11-25 1530 K9QJ          599 04     OK2EA         599 15    0
QSO: 14012 CW 2017-11-25 1529 K9QJ          599 04     EA8/LZ1ABC    599 33    0
QSO: 14011 CW 2017-11-25 1527 K9QJ          599 04     IS0AFM        599 14    0
QSO: 14011 CW 2017-11-25 1522 K9QJ          599 04     9A7A          599 15    0
QSO: 14009 CW 2017-11-25 1520 K9QJ          599 04     YT6T          599 15    0
QSO: 14008 CW 2017-11-25 1518 K9QJ          599 04     EI3KE         599 14    0
QSO: 14008 CW 2017-11-25 1514 K9QJ          599 04     S58N          599 15    0
QSO: 14007 CW 2017-11-25 1511 K9QJ          599 04     YT5A          599 15    0
QSO: 14006 CW 2017-11-25 1508 K9QJ          599 04     EA1AOQ        599 14    0
QSO: 14005 CW 2017-11-25 1455 K9QJ          599 04     HA7GN         599 15    0
QSO: 14004 CW 2017-11-25 1451 K9QJ          599 04     PJ4Y          599 09    0
QSO: 14002 CW 2017-11-25 1420 K9QJ          599 04     DK3WW         599 14    0
QSO:  7047 CW 2017-11-25 1412 K9QJ          599 04     KH6J          599 31    0
QSO:  7018 CW 2017-11-25 1347 K9QJ          599 04     VE4EA         599 04    0
QSO:  7042 CW 2017-11-25 0829 K9QJ          599 04     CN2AA         599 33    0
QSO:  7042 CW 2017-11-25 0824 K9QJ          599 04     M6T           599 14    0
QSO:  7041 CW 2017-11-25 0822 K9QJ          599 04     LT1F          599 13    0
QSO:  7038 CW 2017-11-25 0816 K9QJ          599 04     S50A          599 15    0
QSO:  7037 CW 2017-11-25 0812 K9QJ          599 04     SN2B          599 15    0
QSO:  7036 CW 2017-11-25 0809 K9QJ          599 04     PZ5V          599 09    0
QSO:  7036 CW 2017-11-25 0806 K9QJ          599 04     P40C          599 09    0
QSO:  7031 CW 2017-11-25 0758 K9QJ          599 04     CR6K          599 14    0
QSO:  7028 CW 2017-11-25 0752 K9QJ          599 04     II9P          599 15    0
QSO:  7027 CW 2017-11-25 0750 K9QJ          599 04     HB9CA         599 14    0
QSO:  7023 CW 2017-11-25 0746 K9QJ          599 04     S51F          599 15    0
QSO:  7008 CW 2017-11-25 0737 K9QJ          599 04     HQ9X          599 07    0
QSO:  7081 CW 2017-11-25 0718 K9QJ          599 04     TO2SP         599 08    0
QSO:  7081 CW 2017-11-25 0715 K9QJ          599 04     HH2AA         599 08    0
QSO:  7067 CW 2017-11-25 0712 K9QJ          599 04     CR3OO         599 33    0
QSO:  7060 CW 2017-11-25 0709 K9QJ          599 04     PX2A          599 11    0
QSO:  7058 CW 2017-11-25 0704 K9QJ          599 04     NP2X          599 08    0
QSO:  7053 CW 2017-11-25 0657 K9QJ          599 04     VY2TT         599 05    0
QSO:  7047 CW 2017-11-25 0653 K9QJ          599 04     6Y0W          599 08    0
QSO:  7045 CW 2017-11-25 0651 K9QJ          599 04     FY5KE         599 09    0
QSO:  7040 CW 2017-11-25 0645 K9QJ          599 04     PJ2T          599 09    0
QSO:  7034 CW 2017-11-25 0638 K9QJ          599 04     ED8X          599 33    0
QSO:  7028 CW 2017-11-25 0631 K9QJ          599 04     EA7RM         599 14    0
QSO:  7026 CW 2017-11-25 0629 K9QJ          599 04     V34AO         599 07    0
QSO:  7024 CW 2017-11-25 0622 K9QJ          599 04     6Y3M          599 08    0
QSO:  7023 CW 2017-11-25 0618 K9QJ          599 04     CR3W          599 33    0
QSO:  7022 CW 2017-11-25 0617 K9QJ          599 04     VE3RZ/VP9     599 05    0
QSO:  7022 CW 2017-11-25 0605 K9QJ          599 04     ZW8T          599 11    0
QSO:  7018 CW 2017-11-25 0600 K9QJ          599 04     CN2R          599 33    0
QSO:  7014 CW 2017-11-25 0558 K9QJ          599 04     P40L          599 09    0
QSO:  7012 CW 2017-11-25 0553 K9QJ          599 04     CT9/OM3BH     599 33    0
QSO:  7009 CW 2017-11-25 0549 K9QJ          599 04     PR7AB         599 11    0
QSO:  7005 CW 2017-11-25 0543 K9QJ          599 04     CT9/OK6RA     599 33    0
END-OF-LOG:
