START-OF-LOG: 3.0
CALLSIGN: KS0M
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 52515
NAME: Richard White
LOCATION: MO
OPERATORS: KS0M
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: All S&P and I had a lot of fun.
QSO: 21000 CW 2017-11-25 1711 KS0M          599 4      EA5RS         599 14
QSO: 21000 CW 2017-11-25 1718 KS0M          599 4      F5NTU         599 14
QSO: 21000 CW 2017-11-25 1719 KS0M          599 4      VP5M          599 08
QSO: 21000 CW 2017-11-25 1721 KS0M          599 4      6Y3M          599 08
QSO: 21000 CW 2017-11-25 1722 KS0M          599 4      PZ5V          599 09
QSO: 21000 CW 2017-11-25 1725 KS0M          599 4      PS2T          599 11
QSO: 21000 CW 2017-11-25 1726 KS0M          599 4      CR3W          599 33
QSO: 21000 CW 2017-11-25 1727 KS0M          599 4      AA9A          599 04
QSO: 21000 CW 2017-11-25 1729 KS0M          599 4      NP3A          599 08
QSO: 21000 CW 2017-11-25 1730 KS0M          599 4      EA8R          599 33
QSO: 21000 CW 2017-11-25 1733 KS0M          599 4      EA8U          599 33
QSO: 21000 CW 2017-11-25 1735 KS0M          599 4      CR3OO         599 33
QSO: 21000 CW 2017-11-25 1737 KS0M          599 4      P40C          599 09
QSO: 14000 CW 2017-11-25 1741 KS0M          599 4      N1UR          599 05
QSO: 14000 CW 2017-11-25 1742 KS0M          599 4      K2NV          599 05
QSO: 14000 CW 2017-11-25 1744 KS0M          599 4      CT3R          599 33
QSO: 14000 CW 2017-11-25 1745 KS0M          599 4      EA5RI         599 14
QSO: 14000 CW 2017-11-25 1748 KS0M          599 4      K1TTT         599 05
QSO: 14000 CW 2017-11-25 1749 KS0M          599 4      W1GD          599 05
QSO: 14000 CW 2017-11-25 1753 KS0M          599 4      CR3W          599 33
QSO: 14000 CW 2017-11-25 1755 KS0M          599 4      CR5T          599 14
QSO: 14000 CW 2017-11-25 1757 KS0M          599 4      PJ4E          599 09
QSO: 14000 CW 2017-11-25 1758 KS0M          599 4      KU2C          599 05
QSO: 14000 CW 2017-11-25 1800 KS0M          599 4      EA1WX         599 14
QSO: 14000 CW 2017-11-25 1801 KS0M          599 4      EI5KR         599 14
QSO: 14000 CW 2017-11-25 1802 KS0M          599 4      N1MM          599 05
QSO: 14000 CW 2017-11-25 1805 KS0M          599 4      EA8R          599 33
QSO: 21000 CW 2017-11-25 1808 KS0M          599 4      HQ9X          599 07
QSO: 21000 CW 2017-11-25 1811 KS0M          599 4      CE3CT         599 12
QSO: 21000 CW 2017-11-25 1812 KS0M          599 4      PJ4Y          599 09
QSO: 21000 CW 2017-11-25 1822 KS0M          599 4      PT9X          599 11
QSO: 21000 CW 2017-11-25 1827 KS0M          599 4      ZW5D          599 11
QSO: 21000 CW 2017-11-25 1828 KS0M          599 4      VE6EX         599 04
QSO: 21000 CW 2017-11-25 1833 KS0M          599 4      CT9/OM3RM     599 33
QSO: 21000 CW 2017-11-25 1836 KS0M          599 4      NP4Z          599 08
QSO: 21000 CW 2017-11-25 1837 KS0M          599 4      V47T          599 08
QSO: 21000 CW 2017-11-25 2017 KS0M          599 4      TI7W          599 07
QSO: 21000 CW 2017-11-25 2019 KS0M          599 4      ZF2MJ         599 08
QSO: 21000 CW 2017-11-25 2025 KS0M          599 4      YN2CC         599 07
QSO: 21000 CW 2017-11-25 2026 KS0M          599 4      PP5EJ         599 11
QSO: 21000 CW 2017-11-25 2034 KS0M          599 4      CW5W          599 13
QSO: 21000 CW 2017-11-25 2037 KS0M          599 4      LU1DZ         599 13
QSO: 21000 CW 2017-11-25 2038 KS0M          599 4      PY2KJ         599 11
QSO: 21000 CW 2017-11-25 2043 KS0M          599 4      ZL3TE         599 32
QSO: 21000 CW 2017-11-25 2135 KS0M          599 4      N5AW          599 04
QSO: 21000 CW 2017-11-25 2138 KS0M          599 4      CW4MAX        599 13
QSO: 21000 CW 2017-11-25 2141 KS0M          599 4      N6RV          599 03
QSO: 21000 CW 2017-11-25 2142 KS0M          599 4      LT1F          599 13
QSO: 21000 CW 2017-11-25 2144 KS0M          599 4      KJ6MBW        599 03
QSO: 21000 CW 2017-11-25 2145 KS0M          599 4      LU3CW         599 13
QSO: 21000 CW 2017-11-25 2150 KS0M          599 4      V34AO         599 07
QSO: 21000 CW 2017-11-25 2152 KS0M          599 4      LU2WA         599 13
QSO: 21000 CW 2017-11-25 2154 KS0M          599 4      6Y0W          599 08
QSO: 14000 CW 2017-11-25 2210 KS0M          599 4      RM0F          599 19
QSO: 14000 CW 2017-11-25 2212 KS0M          599 4      OF5Z          599 15
QSO: 14000 CW 2017-11-25 2214 KS0M          599 4      JA3YBK        599 25
QSO: 14000 CW 2017-11-25 2220 KS0M          599 4      OH0V          599 15
QSO: 14000 CW 2017-11-25 2223 KS0M          599 4      W7RN          599 03
QSO: 14000 CW 2017-11-25 2227 KS0M          599 4      JH1GEX        599 25
QSO:  7000 CW 2017-11-26 0116 KS0M          599 4      N1MM          599 05
QSO:  7000 CW 2017-11-26 0116 KS0M          599 4      KC1XX         599 05
QSO:  7000 CW 2017-11-26 0120 KS0M          599 4      K9DX          599 04
QSO:  7000 CW 2017-11-26 0127 KS0M          599 4      HG7T          599 15
QSO:  7000 CW 2017-11-26 0130 KS0M          599 4      LZ5HR         599 20
QSO:  7000 CW 2017-11-26 0137 KS0M          599 4      CN2R          599 33
QSO:  7000 CW 2017-11-26 0138 KS0M          599 4      K1TTT         599 05
QSO:  7000 CW 2017-11-26 0145 KS0M          599 4      CN2AA         599 33
QSO:  7000 CW 2017-11-26 0148 KS0M          599 4      VE7KW         599 03
QSO:  7000 CW 2017-11-26 0149 KS0M          599 4      DR1D          599 14
QSO:  7000 CW 2017-11-26 0150 KS0M          599 4      VY2TT         599 05
QSO:  7000 CW 2017-11-26 0153 KS0M          599 4      OK2D          599 15
QSO:  7000 CW 2017-11-26 0200 KS0M          599 4      OK5W          599 15
QSO:  7000 CW 2017-11-26 0205 KS0M          599 4      S56X          599 15
QSO:  7000 CW 2017-11-26 0206 KS0M          599 4      N3AD          599 05
QSO:  7000 CW 2017-11-26 0207 KS0M          599 4      CR3WW         599 33
QSO:  7000 CW 2017-11-26 0209 KS0M          599 4      PJ4Y          599 09
QSO:  7000 CW 2017-11-26 0210 KS0M          599 4      N7IP          599 04
QSO:  7000 CW 2017-11-26 0211 KS0M          599 4      AF4RK         599 05
QSO:  7000 CW 2017-11-26 0212 KS0M          599 4      VE6WZ         599 04
QSO:  7000 CW 2017-11-26 0218 KS0M          599 4      CT9/R7KW      599 33
QSO:  7000 CW 2017-11-26 0220 KS0M          599 4      CT4DX         599 14
QSO:  7000 CW 2017-11-26 0224 KS0M          599 4      PZ5V          599 09
QSO:  7000 CW 2017-11-26 0226 KS0M          599 4      XE2X          599 06
QSO:  7000 CW 2017-11-26 0227 KS0M          599 4      EA5KM         599 14
QSO:  7000 CW 2017-11-26 0230 KS0M          599 4      TM3R          599 14
QSO:  7000 CW 2017-11-26 0237 KS0M          599 4      TK0C          599 15
QSO:  7000 CW 2017-11-26 0242 KS0M          599 4      LZ9W          599 20
QSO:  7000 CW 2017-11-26 1250 KS0M          599 4      K5TR          599 04
QSO:  7000 CW 2017-11-26 1251 KS0M          599 4      K6LL          599 03
QSO:  7000 CW 2017-11-26 1253 KS0M          599 4      XE1IM         599 06
QSO:  7000 CW 2017-11-26 1258 KS0M          599 4      VA2CZ         599 05
QSO:  7000 CW 2017-11-26 1259 KS0M          599 4      CF3FF         599 04
QSO:  7000 CW 2017-11-26 1300 KS0M          599 4      VE7NY         599 03
QSO:  7000 CW 2017-11-26 1302 KS0M          599 4      KE2VB         599 03
QSO:  7000 CW 2017-11-26 1304 KS0M          599 4      KJ5Y          599 04
QSO:  7000 CW 2017-11-26 1305 KS0M          599 4      NT6X          599 03
QSO:  7000 CW 2017-11-26 1307 KS0M          599 4      KH6LC         599 31
QSO:  7000 CW 2017-11-26 1310 KS0M          599 4      JR2GRX        599 25
QSO:  7000 CW 2017-11-26 1314 KS0M          599 4      JH4UYB        599 25
QSO:  7000 CW 2017-11-26 1315 KS0M          599 4      ZM4T          599 32
QSO:  7000 CW 2017-11-26 1316 KS0M          599 4      VE6WQ         599 04
QSO:  7000 CW 2017-11-26 1317 KS0M          599 4      K5FP          599 04
QSO:  7000 CW 2017-11-26 1323 KS0M          599 4      VK3TZ         599 30
QSO:  7000 CW 2017-11-26 1326 KS0M          599 4      JA3YBK        599 25
QSO:  7000 CW 2017-11-26 1329 KS0M          599 4      AH2R          599 27
QSO:  7000 CW 2017-11-26 1332 KS0M          599 4      JA7CM         599 25
QSO: 14000 CW 2017-11-26 1340 KS0M          599 4      UX0FF         599 16
QSO: 14000 CW 2017-11-26 1442 KS0M          599 4      OL6P          599 15
QSO: 14000 CW 2017-11-26 1443 KS0M          599 4      P40L          599 09
QSO: 14000 CW 2017-11-26 1445 KS0M          599 4      TM6X          599 14
QSO: 14000 CW 2017-11-26 1447 KS0M          599 4      OL0W          599 15
QSO: 14000 CW 2017-11-26 1448 KS0M          599 4      CR6K          599 14
QSO: 14000 CW 2017-11-26 1450 KS0M          599 4      LY5R          599 15
QSO: 14000 CW 2017-11-26 1453 KS0M          599 4      HQ9X          599 07
QSO: 14000 CW 2017-11-26 1455 KS0M          599 4      S57AW         599 15
QSO: 14000 CW 2017-11-26 1459 KS0M          599 4      CT9/OM3GI     599 33
QSO: 14000 CW 2017-11-26 1501 KS0M          599 4      HG7T          599 15
QSO: 21000 CW 2017-11-26 1506 KS0M          599 4      XE1IM         599 06
QSO: 21000 CW 2017-11-26 1508 KS0M          599 4      S57Q          599 15
QSO: 21000 CW 2017-11-26 1510 KS0M          599 4      CR5T          599 14
QSO: 21000 CW 2017-11-26 1512 KS0M          599 4      M6T           599 14
QSO: 14000 CW 2017-11-26 2002 KS0M          599 4      VP5M          599 08
QSO: 14000 CW 2017-11-26 2006 KS0M          599 4      W2FU          599 05
QSO: 14000 CW 2017-11-26 2008 KS0M          599 4      9G5W          599 35
QSO: 14000 CW 2017-11-26 2009 KS0M          599 4      S57AW         599 15
QSO: 14000 CW 2017-11-26 2013 KS0M          599 4      VE3KP         599 04
QSO: 14000 CW 2017-11-26 2014 KS0M          599 4      9A1A          599 15
QSO: 14000 CW 2017-11-26 2016 KS0M          599 4      VE3VY         599 04
QSO: 14000 CW 2017-11-26 2017 KS0M          599 4      TO5W          599 08
QSO: 14000 CW 2017-11-26 2018 KS0M          599 4      K0ZR          599 05
QSO: 14000 CW 2017-11-26 2022 KS0M          599 4      OH7Q          599 15
QSO: 14000 CW 2017-11-26 2023 KS0M          599 4      W2WC          599 05
QSO: 14000 CW 2017-11-26 2025 KS0M          599 4      VE3YAA        599 04
QSO: 14000 CW 2017-11-26 2026 KS0M          599 4      6Y0W          599 08
QSO: 14000 CW 2017-11-26 2027 KS0M          599 4      V47A          599 08
QSO: 14000 CW 2017-11-26 2028 KS0M          599 4      M6T           599 14
QSO: 14000 CW 2017-11-26 2031 KS0M          599 4      V26K          599 08
QSO: 14000 CW 2017-11-26 2033 KS0M          599 4      ZF2MJ         599 08
QSO: 14000 CW 2017-11-26 2035 KS0M          599 4      8R1/AG6UT     599 09
QSO: 14000 CW 2017-11-26 2038 KS0M          599 4      PI4COM        599 14
QSO: 14000 CW 2017-11-26 2044 KS0M          599 4      VY2TT         599 05
QSO: 14000 CW 2017-11-26 2045 KS0M          599 4      VE5MX         599 04
QSO: 14000 CW 2017-11-26 2049 KS0M          599 4      TM6M          599 14
QSO: 14000 CW 2017-11-26 2127 KS0M          599 4      JA3YBK        599 25
QSO: 14000 CW 2017-11-26 2129 KS0M          599 4      KH6LC         599 31
QSO: 14000 CW 2017-11-26 2130 KS0M          599 4      OH6CT         599 15
QSO: 14000 CW 2017-11-26 2132 KS0M          599 4      VE2FWW        599 05
QSO: 14000 CW 2017-11-26 2133 KS0M          599 4      VE3VEE        599 04
QSO: 14000 CW 2017-11-26 2134 KS0M          599 4      6Y3M          599 08
QSO: 14000 CW 2017-11-26 2136 KS0M          599 4      JA1BJI        599 25
QSO: 14000 CW 2017-11-26 2141 KS0M          599 4      JA7ACM        599 25
QSO: 14000 CW 2017-11-26 2154 KS0M          599 4      JE1LFX        599 25
QSO: 14000 CW 2017-11-26 2200 KS0M          599 4      NH2DX         599 27
QSO: 14000 CW 2017-11-26 2201 KS0M          599 4      VE9HF         599 05
QSO: 14000 CW 2017-11-26 2202 KS0M          599 4      JA2QNW        599 25
QSO: 14000 CW 2017-11-26 2206 KS0M          599 4      JJ0JML        599 25
QSO: 14000 CW 2017-11-26 2208 KS0M          599 4      PS2T          599 11
QSO: 14000 CW 2017-11-26 2210 KS0M          599 4      PY2EX         599 11
END-OF-LOG:
