START-OF-LOG: 3.0
CALLSIGN: OP6AT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 72660
NAME: Patrick Elyn
LOCATION: DX
OPERATORS: ON6AT
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: FT-950 40w - ant R8 vert + W8010 Dip
QSO: 21005 CW 2017-11-26 1213 OP6AT         599 14     P40C          599 09
QSO: 21007 CW 2017-11-26 1215 OP6AT         599 14     EF8R          599 33
QSO: 14000 CW 2017-11-26 1225 OP6AT         599 14     YT1A          599 15
QSO: 14001 CW 2017-11-26 1226 OP6AT         599 14     RK4FF         599 16
QSO: 14002 CW 2017-11-26 1228 OP6AT         599 14     YT4W          599 15
QSO: 14002 CW 2017-11-26 1229 OP6AT         599 14     LZ5R          599 20
QSO: 14003 CW 2017-11-26 1229 OP6AT         599 14     W4CB          599 05
QSO: 14004 CW 2017-11-26 1234 OP6AT         599 14     K3LR          599 05
QSO: 14004 CW 2017-11-26 1235 OP6AT         599 14     LZ5Z          599 20
QSO: 14006 CW 2017-11-26 1237 OP6AT         599 14     W2FU          599 05
QSO: 14006 CW 2017-11-26 1240 OP6AT         599 14     K1VR          599 05
QSO: 14007 CW 2017-11-26 1241 OP6AT         599 14     KC1XX         599 05
QSO: 14007 CW 2017-11-26 1242 OP6AT         599 14     OF6MW         599 15
QSO: 14008 CW 2017-11-26 1244 OP6AT         599 14     LY6A          599 15
QSO: 14009 CW 2017-11-26 1246 OP6AT         599 14     W8FJ          599 05
QSO: 14009 CW 2017-11-26 1247 OP6AT         599 14     WC1M          599 05
QSO: 14010 CW 2017-11-26 1249 OP6AT         599 14     LY5R          599 15
QSO: 14011 CW 2017-11-26 1258 OP6AT         599 14     UX4U          599 16
QSO: 14011 CW 2017-11-26 1301 OP6AT         599 14     4L2M          599 21
QSO: 14013 CW 2017-11-26 1312 OP6AT         599 14     LZ105PBP      599 20
QSO: 14013 CW 2017-11-26 1313 OP6AT         599 14     LZ5XQ         599 20
QSO: 14013 CW 2017-11-26 1315 OP6AT         599 14     PJ2T          599 09
QSO: 14014 CW 2017-11-26 1317 OP6AT         599 14     K5ZD          599 05
QSO: 14014 CW 2017-11-26 1318 OP6AT         599 14     RX7M          599 16
QSO: 14015 CW 2017-11-26 1320 OP6AT         599 14     HG6N          599 15
QSO: 14016 CW 2017-11-26 1321 OP6AT         599 14     E79EA         599 15
QSO: 14017 CW 2017-11-26 1440 OP6AT         599 14     NA8V          599 04
QSO: 14019 CW 2017-11-26 1443 OP6AT         599 14     W3LL          599 05
QSO: 14020 CW 2017-11-26 1445 OP6AT         599 14     K2QMF         599 05
QSO: 14020 CW 2017-11-26 1447 OP6AT         599 14     CT9/OM3GI     599 33
QSO: 14021 CW 2017-11-26 1448 OP6AT         599 14     K1KP          599 05
QSO: 14022 CW 2017-11-26 1513 OP6AT         599 14     LZ1RW         599 20
QSO: 14023 CW 2017-11-26 1518 OP6AT         599 14     K1TTT         599 05
QSO: 14029 CW 2017-11-26 1524 OP6AT         599 14     NC1I          599 05
QSO: 14031 CW 2017-11-26 1533 OP6AT         599 14     VE9HF         599 05
QSO: 14035 CW 2017-11-26 1539 OP6AT         599 14     K2AX          599 05
QSO: 14035 CW 2017-11-26 1540 OP6AT         599 14     N3RS          599 05
QSO: 14037 CW 2017-11-26 1543 OP6AT         599 14     VA2WA         599 05
QSO: 14044 CW 2017-11-26 1548 OP6AT         599 14     K3TC          599 05
QSO: 14050 CW 2017-11-26 1556 OP6AT         599 14     W8AV          599 04
QSO: 14054 CW 2017-11-26 1557 OP6AT         599 14     XL3T          599 04
QSO: 14057 CW 2017-11-26 1559 OP6AT         599 14     II9P          599 15
QSO: 14060 CW 2017-11-26 1601 OP6AT         599 14     CR6K          599 14
QSO: 14062 CW 2017-11-26 1604 OP6AT         599 14     ED8X          599 33
QSO: 14063 CW 2017-11-26 1607 OP6AT         599 14     EF8U          599 33
QSO: 14063 CW 2017-11-26 1607 OP6AT         599 14     K1GU          599 04
QSO: 14063 CW 2017-11-26 1608 OP6AT         599 14     P40L          599 09
QSO: 14066 CW 2017-11-26 1611 OP6AT         599 14     K5EK          599 05
QSO: 14067 CW 2017-11-26 1613 OP6AT         599 14     EF8R          599 33
QSO: 14068 CW 2017-11-26 1615 OP6AT         599 14     W4FS          599 05
QSO: 14001 CW 2017-11-26 1617 OP6AT         599 14     K1ZZ          599 05
QSO: 14001 CW 2017-11-26 1618 OP6AT         599 14     N1UR          599 05
QSO: 14001 CW 2017-11-26 1620 OP6AT         599 14     KV2K          599 05
QSO: 14003 CW 2017-11-26 1622 OP6AT         599 14     ZB2TT         599 14
QSO: 14004 CW 2017-11-26 1645 OP6AT         599 14     W3FV          599 05
QSO: 14009 CW 2017-11-26 1649 OP6AT         599 14     K3WW          599 05
QSO: 14012 CW 2017-11-26 1652 OP6AT         599 14     K3PH          599 05
QSO: 14018 CW 2017-11-26 1658 OP6AT         599 14     W8MJ          599 04
QSO: 14019 CW 2017-11-26 1659 OP6AT         599 14     K1GQ          599 05
QSO: 14019 CW 2017-11-26 1700 OP6AT         599 14     N3RD          599 05
