START-OF-LOG: 3.0
CALLSIGN: UN7PGA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: OLEG
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UR5EQF log v.3.31-60
SOAPBOX: FT 950, Delta  20    Inv  40
QSO: 21027 CW 2017-11-25 0843 UN7PGA        599 17     HS0ZLM        599 26
QSO: 21024 CW 2017-11-25 0844 UN7PGA        599 17     F4WBN         599 14
QSO: 21023 CW 2017-11-25 0846 UN7PGA        599 17     EW6M          599 16
QSO: 21023 CW 2017-11-25 0848 UN7PGA        599 17     SM5CIL        599 14
QSO: 21059 CW 2017-11-25 0854 UN7PGA        599 17     IR2L          599 15
QSO: 21037 CW 2017-11-25 0857 UN7PGA        599 17     A44A          599 21
QSO: 21035 CW 2017-11-25 0858 UN7PGA        599 17     ES9C          599 15
QSO: 21010 CW 2017-11-25 0901 UN7PGA        599 17     VR2CC         599 24
QSO: 21012 CW 2017-11-25 0902 UN7PGA        599 17     BY8AC         599 24
QSO: 21020 CW 2017-11-25 0904 UN7PGA        599 17     ER4A          599 16
QSO: 21029 CW 2017-11-25 0906 UN7PGA        599 17     RZ7T          599 16
QSO: 21030 CW 2017-11-25 0907 UN7PGA        599 17     EA5RS         599 14
QSO: 21025 CW 2017-11-25 0911 UN7PGA        599 17     EA3NN         599 14
QSO: 21024 CW 2017-11-25 0912 UN7PGA        599 17     SM3PZG        599 14
QSO: 21017 CW 2017-11-25 0913 UN7PGA        599 17     EW6W          599 16
QSO: 21012 CW 2017-11-25 0915 UN7PGA        599 17     VK3JA         599 30
QSO: 21041 CW 2017-11-25 0927 UN7PGA        599 17     SP7CVW        599 15
QSO: 21041 CW 2017-11-25 0929 UN7PGA        599 17     RA3W          599 16
QSO: 21041 CW 2017-11-25 0929 UN7PGA        599 17     OH1TN         599 15
QSO: 21057 CW 2017-11-25 0941 UN7PGA        599 17     3B8HA         599 39
QSO: 21063 CW 2017-11-25 0943 UN7PGA        599 17     DX3H          599 27
QSO: 21059 CW 2017-11-25 0946 UN7PGA        599 17     IT0YVV        599 15
QSO: 21055 CW 2017-11-25 0948 UN7PGA        599 17     EF8R          599 33
