START-OF-LOG: 3.0
CALLSIGN: WA8Y
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 52864
NAME: Steven Linley
LOCATION: MI
OPERATORS: WA8Y
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: CW contests hold my interest. Family took priority this wknd
QSO: 14011 CW 2017-11-26 1923 WA8Y          599 4      VE5MX         599 04
QSO: 14014 CW 2017-11-26 1928 WA8Y          599 4      PX2A          599 11
QSO: 14018 CW 2017-11-26 2040 WA8Y          599 4      C6AGU         599 08
QSO: 14019 CW 2017-11-26 2041 WA8Y          599 4      TO5M          599 08
QSO: 14022 CW 2017-11-26 2045 WA8Y          599 4      VA7DZ         599 03
QSO: 14024 CW 2017-11-26 2058 WA8Y          599 4      9Y4/VE3EY     599 09
QSO: 14026 CW 2017-11-26 2101 WA8Y          599 4      KH7B          599 31
QSO: 14000 CW 2017-11-26 2112 WA8Y          599 4      V73NS         599 31
QSO: 14048 CW 2017-11-26 2119 WA8Y          599 4      AH0K          599 27
QSO: 21016 CW 2017-11-26 2121 WA8Y          599 4      RI1ANO        599 13
QSO: 14028 CW 2017-11-26 2125 WA8Y          599 4      XF1IM         599 06
QSO: 14031 CW 2017-11-26 2129 WA8Y          599 4      5X1NH         599 37
QSO: 14009 CW 2017-11-26 2132 WA8Y          599 4      9G5W          599 35
QSO:  7074 CW 2017-11-26 2142 WA8Y          599 4      DA0WRTC       599 14
QSO:  7070 CW 2017-11-26 2150 WA8Y          599 4      OR3A          599 14
QSO:  7070 CW 2017-11-26 2151 WA8Y          599 4      PJ4Y          599 09
QSO:  7069 CW 2017-11-26 2154 WA8Y          599 4      F4WBN         599 14
QSO:  7068 CW 2017-11-26 2156 WA8Y          599 4      VY2TT         599 05
QSO:  7067 CW 2017-11-26 2157 WA8Y          599 4      YU7U          599 15
QSO:  7066 CW 2017-11-26 2158 WA8Y          599 4      VE3AQ         599 04
QSO:  7065 CW 2017-11-26 2159 WA8Y          599 4      CR6K          599 14
QSO:  7064 CW 2017-11-26 2200 WA8Y          599 4      VA2WA         599 05
QSO:  7064 CW 2017-11-26 2201 WA8Y          599 4      FY5KE         599 09
QSO:  7063 CW 2017-11-26 2201 WA8Y          599 4      G3TXF         599 14
QSO:  7063 CW 2017-11-26 2202 WA8Y          599 4      S51F          599 15
QSO:  7062 CW 2017-11-26 2203 WA8Y          599 4      ZA1WW         599 15
QSO:  7059 CW 2017-11-26 2207 WA8Y          599 4      C4W           599 20
QSO:  7055 CW 2017-11-26 2211 WA8Y          599 4      UZ2M          599 16
QSO:  7053 CW 2017-11-26 2213 WA8Y          599 4      GM5X          599 14
QSO:  7049 CW 2017-11-26 2216 WA8Y          599 4      F4SQZ         599 14
QSO:  7048 CW 2017-11-26 2218 WA8Y          599 4      IZ5DKJ        599 15
QSO:  7048 CW 2017-11-26 2219 WA8Y          599 4      M6T           599 14
QSO:  7047 CW 2017-11-26 2301 WA8Y          599 4      OM3TZZ        599 15
QSO:  7047 CW 2017-11-26 2302 WA8Y          599 4      DK9TA         599 14
QSO:  7046 CW 2017-11-26 2304 WA8Y          599 4      9A5Y          599 15
QSO:  7045 CW 2017-11-26 2306 WA8Y          599 4      ED8TU         599 33
QSO:  7044 CW 2017-11-26 2307 WA8Y          599 4      N4IQ          599 05
QSO:  7044 CW 2017-11-26 2307 WA8Y          599 4      TM3R          599 14
QSO:  7043 CW 2017-11-26 2309 WA8Y          599 4      DL6FBL        599 14
QSO:  7042 CW 2017-11-26 2309 WA8Y          599 4      II9P          599 15
QSO:  7039 CW 2017-11-26 2310 WA8Y          599 4      DD1A          599 14
QSO:  7038 CW 2017-11-26 2311 WA8Y          599 4      ED1K          599 14
QSO:  7037 CW 2017-11-26 2312 WA8Y          599 4      EA7RM         599 14
QSO:  7037 CW 2017-11-26 2313 WA8Y          599 4      S58N          599 15
QSO:  7036 CW 2017-11-26 2314 WA8Y          599 4      IR4M          599 15
QSO:  7036 CW 2017-11-26 2316 WA8Y          599 4      IQ3RK         599 15
QSO:  7035 CW 2017-11-26 2317 WA8Y          599 4      9A1A          599 15
QSO:  7035 CW 2017-11-26 2317 WA8Y          599 4      9A1A          599 15
QSO:  7035 CW 2017-11-26 2318 WA8Y          599 4      OK5W          599 15
QSO:  7034 CW 2017-11-26 2319 WA8Y          599 4      DK8ZB         599 14
QSO:  7032 CW 2017-11-26 2320 WA8Y          599 4      DL0GL         599 14
QSO:  7032 CW 2017-11-26 2321 WA8Y          599 4      VA7ST         599 03
QSO:  7032 CW 2017-11-26 2324 WA8Y          599 4      RG7T          599 16
QSO:  7031 CW 2017-11-26 2324 WA8Y          599 4      OK2D          599 15
QSO:  7030 CW 2017-11-26 2325 WA8Y          599 4      IR3K          599 15
QSO:  7029 CW 2017-11-26 2325 WA8Y          599 4      TM6M          599 14
QSO:  7029 CW 2017-11-26 2327 WA8Y          599 4      CR3W          599 33
QSO:  7026 CW 2017-11-26 2329 WA8Y          599 4      CO6RD         599 08
QSO:  7025 CW 2017-11-26 2330 WA8Y          599 4      P40W          599 09
QSO:  7025 CW 2017-11-26 2330 WA8Y          599 4      P40W          599 09
QSO:  7024 CW 2017-11-26 2331 WA8Y          599 4      EF2A          599 14
QSO:  7024 CW 2017-11-26 2332 WA8Y          599 4      DR4A          599 14
QSO:  7023 CW 2017-11-26 2333 WA8Y          599 4      OL3A          599 15
QSO:  7020 CW 2017-11-26 2334 WA8Y          599 4      DR1D          599 14
QSO:  7092 CW 2017-11-26 2338 WA8Y          599 4      OM7LM         599 15
QSO:  7083 CW 2017-11-26 2341 WA8Y          599 4      OK1HRA        599 15
QSO:  7081 CW 2017-11-26 2342 WA8Y          599 4      EA6SX         599 14
QSO:  7070 CW 2017-11-26 2344 WA8Y          599 4      P33W          599 20
QSO:  7070 CW 2017-11-26 2344 WA8Y          599 4      P33W          599 20
QSO:  7065 CW 2017-11-26 2346 WA8Y          599 4      TM5N          599 14
QSO:  7063 CW 2017-11-26 2347 WA8Y          599 4      V47T          599 08
QSO:  7052 CW 2017-11-26 2351 WA8Y          599 4      ZF2MJ         599 08
QSO:  7048 CW 2017-11-26 2352 WA8Y          599 4      VE6WZ         599 04
QSO:  7045 CW 2017-11-26 2353 WA8Y          599 4      PJ2T          599 09
QSO:  7044 CW 2017-11-26 2355 WA8Y          599 4      TM3R          599 14
QSO:  7096 CW 2017-11-26 2358 WA8Y          599 4      CT3KN         599 33
QSO:  7094 CW 2017-11-26 2359 WA8Y          599 4      PY2EX         599 11
END-OF-LOG:
