START-OF-LOG: 3.0
CALLSIGN: 4X1KS
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 62307
NAME: Mark Rosenberg
LOCATION: DX
OPERATORS: 
CLUB:
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Enjoyed working QRP this year.  Tiny signal = lots of fun.
QSO: 28000 CW 2017-11-26 1032 4X1KS         599 20     ZS2NF         599 38     0
QSO: 28000 CW 2017-11-26 1042 4X1KS         599 20     G3V           599 14     0
QSO: 14000 CW 2017-11-26 1100 4X1KS         599 20     LX4A          599 14     0
QSO: 14000 CW 2017-11-26 1102 4X1KS         599 20     PA3GVI        599 14     0
QSO: 14000 CW 2017-11-26 1105 4X1KS         599 20     YU1AHW        599 15     0
QSO: 14000 CW 2017-11-26 1109 4X1KS         599 20     SE4E          599 14     0
QSO: 14000 CW 2017-11-26 1112 4X1KS         599 20     ES1BH         599 15     0
QSO: 14000 CW 2017-11-26 1115 4X1KS         599 20     YO3IRM        599 20     0
QSO: 14000 CW 2017-11-26 1117 4X1KS         599 20     EA1WX         599 14     0
QSO: 14000 CW 2017-11-26 1119 4X1KS         599 20     UA1ANA        599 16     0
QSO: 14000 CW 2017-11-26 1121 4X1KS         599 20     CN2R          599 33     0
QSO: 14000 CW 2017-11-26 1123 4X1KS         599 20     IW7DMH        599 15     0
QSO: 14000 CW 2017-11-26 1129 4X1KS         599 20     DM3MM         599 14     0
QSO: 14000 CW 2017-11-26 1138 4X1KS         599 20     EC2DX         599 21     0
QSO: 28000 CW 2017-11-26 1143 4X1KS         599 20     CN2R          599 33     0
QSO: 14000 CW 2017-11-26 1201 4X1KS         599 20     TM0R          599 14     0
QSO: 14000 CW 2017-11-26 1202 4X1KS         599 20     DP6A          599 14     0
QSO: 14000 CW 2017-11-26 1210 4X1KS         599 20     II9P          599 15     0
QSO: 14000 CW 2017-11-26 1216 4X1KS         599 20     R7KZ          599 16     0
QSO: 14000 CW 2017-11-26 1218 4X1KS         599 20     S51YI         599 15     0
QSO: 14000 CW 2017-11-26 1227 4X1KS         599 20     LY4A          599 15     0
QSO: 14000 CW 2017-11-26 1257 4X1KS         599 20     IK6QON        599 15     0
QSO: 14000 CW 2017-11-26 1305 4X1KS         599 20     UT6UD         599 16     0
QSO: 14000 CW 2017-11-26 1305 4X1KS         599 20     UC7A          599 16     0
QSO: 14000 CW 2017-11-26 1305 4X1KS         599 20     S57AW         599 15     0
QSO: 14000 CW 2017-11-26 1313 4X1KS         599 20     HG6N          599 14     0
QSO: 14000 CW 2017-11-26 1319 4X1KS         599 20     UX4U          599 16     0
QSO: 14000 CW 2017-11-26 1323 4X1KS         599 20     YO8TNB        599 20     0
QSO: 14000 CW 2017-11-26 1323 4X1KS         599 20     LZ5Z          599 20     0
QSO: 21000 CW 2017-11-26 1333 4X1KS         599 20     CN2R          599 33     0
QSO: 21000 CW 2017-11-26 1334 4X1KS         599 20     LY5A          599 15     0
QSO: 21000 CW 2017-11-26 1336 4X1KS         599 20     DL6NDW        599 14     0
QSO: 21000 CW 2017-11-26 1338 4X1KS         599 20     A44A          599 21     0
QSO: 21000 CW 2017-11-26 1340 4X1KS         599 20     DK5DQ         599 14     0
QSO: 21000 CW 2017-11-26 1352 4X1KS         599 20     W3AA          599 05     0
QSO:  7000 CW 2017-11-26 1745 4X1KS         599 20     UZ2M          599 16     0
QSO:  7000 CW 2017-11-26 1747 4X1KS         599 20     SN8B          599 15     0
QSO:  7000 CW 2017-11-26 1750 4X1KS         599 20     SN2B          599 15     0
QSO:  7000 CW 2017-11-26 1754 4X1KS         599 20     IR4V          599 15     0
QSO:  7000 CW 2017-11-26 1755 4X1KS         599 20     RX7K          599 16     0
QSO:  7000 CW 2017-11-26 1807 4X1KS         599 20     DL1A          599 14     0
QSO:  7000 CW 2017-11-26 1818 4X1KS         599 20     HG6N          599 15     0
QSO:  7000 CW 2017-11-26 1820 4X1KS         599 20     YT1HA         599 15     0
QSO:  7000 CW 2017-11-26 1835 4X1KS         599 20     RZ7T          599 16     0
QSO:  3500 CW 2017-11-26 1853 4X1KS         599 20     LZ9W          599 20     0
QSO:  7000 CW 2017-11-26 1910 4X1KS         599 20     YL3FT         599 15     0
QSO:  7000 CW 2017-11-26 1935 4X1KS         599 20     S52AW         599 15     0
QSO:  7000 CW 2017-11-26 1943 4X1KS         599 20     IO2X          599 15     0
QSO:  7000 CW 2017-11-26 1952 4X1KS         599 20     II9P          599 15     0
QSO:  7000 CW 2017-11-26 2023 4X1KS         599 20     9A3AG         599 15     0
QSO:  7000 CW 2017-11-26 2028 4X1KS         599 20     HA8VV         599 15     0
QSO:  7000 CW 2017-11-26 2033 4X1KS         599 20     IB9T          599 15     0
QSO:  7000 CW 2017-11-26 2038 4X1KS         599 20     9A7A          599 15     0
QSO:  7000 CW 2017-11-26 2042 4X1KS         599 20     OK2D          599 15     0
QSO:  7000 CW 2017-11-26 2046 4X1KS         599 20     A44A          599 21     0
QSO:  3500 CW 2017-11-26 2050 4X1KS         599 20     9A1A          599 15     0
END-OF-LOG:
