START-OF-LOG: 3.0
CALLSIGN: RN4CA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 36162
NAME: SERGEY
LOCATION: DX
OPERATORS: RN4CA
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: SDR-1000, PA houm made etw 350wtt, TB antenna AD-335 (10/15/20)
QSO: 14079 CW 2017-11-25 1252 RN4CA         599 16     K0EJ          599 04
QSO: 14081 CW 2017-11-25 1253 RN4CA         599 16     3V8SS         599 33
QSO: 14082 CW 2017-11-25 1253 RN4CA         599 16     TF3JB         599 40
QSO: 14083 CW 2017-11-25 1255 RN4CA         599 16     N1MM          599 05
QSO: 14083 CW 2017-11-25 1256 RN4CA         599 16     K1TTT         599 05
QSO: 14084 CW 2017-11-25 1256 RN4CA         599 16     NC1I          599 05
QSO: 14085 CW 2017-11-25 1257 RN4CA         599 16     K3SW          599 05
QSO: 14086 CW 2017-11-25 1258 RN4CA         599 16     N2ZX          599 05
QSO: 14095 CW 2017-11-25 1302 RN4CA         599 16     ZF2MJ         599 08
QSO: 14101 CW 2017-11-25 1305 RN4CA         599 16     VE9HF         599 05
QSO: 14102 CW 2017-11-25 1307 RN4CA         599 16     ZB2TT         599 14
QSO: 14103 CW 2017-11-25 1308 RN4CA         599 16     P40C          599 09
QSO: 14105 CW 2017-11-25 1309 RN4CA         599 16     YW4D          599 09
QSO: 21004 CW 2017-11-25 1311 RN4CA         599 16     PX2A          599 11
QSO: 21024 CW 2017-11-25 1315 RN4CA         599 16     PY4SO         599 11
QSO: 21028 CW 2017-11-25 1318 RN4CA         599 16     TK0C          599 15
QSO: 14114 CW 2017-11-25 1322 RN4CA         599 16     SM6TOL        599 14
QSO: 14051 CW 2017-11-25 1339 RN4CA         599 16     A92GE         599 21
QSO: 14031 CW 2017-11-25 1346 RN4CA         599 16     5X1NH         599 37
QSO: 14018 CW 2017-11-25 1405 RN4CA         599 16     A44A          599 21
QSO: 14048 CW 2017-11-25 1412 RN4CA         599 16     TK0C          599 15
QSO: 14068 CW 2017-11-25 1421 RN4CA         599 16     9G5W          599 35
QSO: 14071 CW 2017-11-25 1422 RN4CA         599 16     4O7CC         599 15
QSO: 14094 CW 2017-11-25 1426 RN4CA         599 16     5X8B          599 37
QSO: 14098 CW 2017-11-25 1432 RN4CA         599 16     SZ1A          599 20
QSO:  7000 CW 2017-11-25 1629 RN4CA         599 16     SN2B          599 15
QSO:  7000 CW 2017-11-25 1632 RN4CA         599 16     4X/UA9CTT     599 20
QSO:  7001 CW 2017-11-25 1637 RN4CA         599 16     BY8AC         599 24
QSO:  7029 CW 2017-11-25 1642 RN4CA         599 16     OK2D          599 15
QSO:  7012 CW 2017-11-25 1644 RN4CA         599 16     DA0WRTC       599 14
QSO:  7017 CW 2017-11-25 1646 RN4CA         599 16     JE6RPM        599 25
QSO:  7019 CW 2017-11-25 1648 RN4CA         599 16     JA6SHL        599 25
QSO:  7048 CW 2017-11-25 1655 RN4CA         599 16     A45XR         599 21
QSO:  7049 CW 2017-11-25 1659 RN4CA         599 16     SW9AA         599 20
QSO:  7052 CW 2017-11-25 1700 RN4CA         599 16     JA0QNJ        599 25
QSO:  7061 CW 2017-11-25 1703 RN4CA         599 16     ZM4T          599 32
QSO:  7063 CW 2017-11-25 1705 RN4CA         599 16     4J5A          599 21
QSO:  7072 CW 2017-11-25 1709 RN4CA         599 16     9M2CNC        599 28
QSO:  3511 CW 2017-11-25 1713 RN4CA         599 16     LZ5R          599 20
QSO:  3517 CW 2017-11-25 1716 RN4CA         599 16     YL3CW         599 15
QSO:  3520 CW 2017-11-25 1718 RN4CA         599 16     E70T          599 15
QSO:  3521 CW 2017-11-25 1720 RN4CA         599 16     OK8WW         599 15
QSO:  3527 CW 2017-11-25 1722 RN4CA         599 16     A44A          599 21
QSO:  3534 CW 2017-11-25 1815 RN4CA         599 16     EW6W          599 16
QSO:  3537 CW 2017-11-25 1817 RN4CA         599 16     9A7A          599 15
QSO:  7071 CW 2017-11-25 1824 RN4CA         599 16     A44A          599 21
QSO:  7067 CW 2017-11-25 1826 RN4CA         599 16     LZ5XQ         599 20
QSO:  7065 CW 2017-11-25 1828 RN4CA         599 16     YO9SW         599 20
QSO:  7056 CW 2017-11-25 1833 RN4CA         599 16     LZ5R          599 20
QSO:  7040 CW 2017-11-25 1842 RN4CA         599 16     DS4EOI        599 25
QSO: 21001 CW 2017-11-26 0558 RN4CA         599 16     9M2TO         599 28
QSO: 21024 CW 2017-11-26 0559 RN4CA         599 16     HS0ZIA        599 26
QSO: 21036 CW 2017-11-26 0602 RN4CA         599 16     9V1XX         599 28
QSO: 21042 CW 2017-11-26 0604 RN4CA         599 16     E28AI         599 26
QSO: 21054 CW 2017-11-26 0605 RN4CA         599 16     JA5FDJ        599 25
QSO: 21057 CW 2017-11-26 0606 RN4CA         599 16     HS0ZAR        599 26
QSO: 21015 CW 2017-11-26 0608 RN4CA         599 16     BI4SSB        599 24
QSO: 21023 CW 2017-11-26 0609 RN4CA         599 16     AH0K          599 27
QSO: 21030 CW 2017-11-26 0611 RN4CA         599 16     3W1T          599 26
QSO: 21040 CW 2017-11-26 0616 RN4CA         599 16     EX8M          599 17
QSO: 21042 CW 2017-11-26 0617 RN4CA         599 16     9M6NA         599 28
QSO: 21049 CW 2017-11-26 0621 RN4CA         599 16     A31MM         599 32
QSO: 21007 CW 2017-11-26 0623 RN4CA         599 16     JR2GRX        599 25
QSO: 21008 CW 2017-11-26 0624 RN4CA         599 16     VR20EH        599 24
QSO: 21013 CW 2017-11-26 0626 RN4CA         599 16     JT1CD/0       599 23
QSO: 21028 CW 2017-11-26 0630 RN4CA         599 16     YE1K          599 28
QSO: 21030 CW 2017-11-26 0630 RN4CA         599 16     VK6LW         599 29
QSO: 21036 CW 2017-11-26 0633 RN4CA         599 16     3B9HA         599 39
QSO: 21037 CW 2017-11-26 0636 RN4CA         599 16     RI1ANC        599 29
QSO: 14000 CW 2017-11-26 0642 RN4CA         599 16     UK8OM         599 17
QSO: 14001 CW 2017-11-26 0643 RN4CA         599 16     BH1SCW        599 24
QSO: 14006 CW 2017-11-26 0645 RN4CA         599 16     B7Q           599 24
QSO: 14008 CW 2017-11-26 0649 RN4CA         599 16     VU2TMP        599 22
QSO: 14010 CW 2017-11-26 0650 RN4CA         599 16     BY8DX         599 24
QSO: 14011 CW 2017-11-26 0652 RN4CA         599 16     4L2M          599 21
QSO: 14019 CW 2017-11-26 0655 RN4CA         599 16     9M2M          599 28
QSO: 14063 CW 2017-11-26 0709 RN4CA         599 16     AH2R          599 27
QSO: 14081 CW 2017-11-26 0715 RN4CA         599 16     F5VMN         599 14
QSO: 21040 CW 2017-11-26 0726 RN4CA         599 16     7Q6M          599 37
QSO: 21048 CW 2017-11-26 0731 RN4CA         599 16     UN9GD         599 17
QSO: 21005 CW 2017-11-26 0734 RN4CA         599 16     SU9JG         599 34
QSO: 21007 CW 2017-11-26 0736 RN4CA         599 16     BG8SRQ        599 24
QSO: 21009 CW 2017-11-26 0737 RN4CA         599 16     VR2CO         599 24
QSO: 21012 CW 2017-11-26 0738 RN4CA         599 16     BY8AC         599 24
QSO: 21041 CW 2017-11-26 0742 RN4CA         599 16     A44A          599 21
QSO: 21043 CW 2017-11-26 0744 RN4CA         599 16     AH2R          599 27
QSO: 21036 CW 2017-11-26 0747 RN4CA         599 16     ZM2B          599 32
QSO: 21002 CW 2017-11-26 0749 RN4CA         599 16     A92GE         599 21
QSO: 21017 CW 2017-11-26 0751 RN4CA         599 16     9H6A          599 15
QSO: 21041 CW 2017-11-26 0753 RN4CA         599 16     A61EK         599 21
QSO: 21034 CW 2017-11-26 0756 RN4CA         599 16     EA6VQ         599 14
END-OF-LOG:
