START-OF-LOG: 3.0
CALLSIGN: VU2AE
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 71357
NAME: SRIVATHSA SATHYANARAYAN  (VATSA)
LOCATION: DX
OPERATORS: VU2AE
CLUB: VU CONTEST GROUP
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: First non-assisted contest!! I was in competition with myself.
QSO: 21005 CW 2017-11-25 0638 VU2AE         599 22     JE6RPM        599 25
QSO: 21006 CW 2017-11-25 0640 VU2AE         599 22     B7Q           599 24
QSO: 21007 CW 2017-11-25 0641 VU2AE         599 22     BI7OEZ        599 24
QSO: 21016 CW 2017-11-25 0655 VU2AE         599 22     UN7PGA        599 17
QSO: 21020 CW 2017-11-25 0657 VU2AE         599 22     UW7LL         599 16
QSO: 21023 CW 2017-11-25 0700 VU2AE         599 22     HS0ZIA        599 26
QSO: 21026 CW 2017-11-25 0705 VU2AE         599 22     LZ5R          599 20
QSO: 21027 CW 2017-11-25 0706 VU2AE         599 22     9A7A          599 15
QSO: 21029 CW 2017-11-25 0709 VU2AE         599 22     RZ7T          599 16
QSO: 21030 CW 2017-11-25 0710 VU2AE         599 22     IR4M          599 15
QSO: 21031 CW 2017-11-25 0711 VU2AE         599 22     DF0HQ         599 14
QSO: 21033 CW 2017-11-25 0713 VU2AE         599 22     EA6VQ         599 14
QSO: 21034 CW 2017-11-25 0715 VU2AE         599 22     9A5Y          599 15
QSO: 21035 CW 2017-11-25 0717 VU2AE         599 22     HG7T          599 15
QSO: 21035 CW 2017-11-25 0719 VU2AE         599 22     5X8B          599 37
QSO: 21037 CW 2017-11-25 0721 VU2AE         599 22     A44A          599 21
QSO: 21036 CW 2017-11-25 0723 VU2AE         599 22     YU7EE         599 15
QSO: 21040 CW 2017-11-25 0726 VU2AE         599 22     YU1ARC        599 15
QSO: 21041 CW 2017-11-25 0728 VU2AE         599 22     UZ2M          599 16
QSO: 21041 CW 2017-11-25 0729 VU2AE         599 22     YO7FB         599 20
QSO: 21042 CW 2017-11-25 0733 VU2AE         599 22     OK7K          599 15
QSO: 21042 CW 2017-11-25 0734 VU2AE         599 22     RT6A          599 16
QSO: 21043 CW 2017-11-25 1114 VU2AE         599 22     G4R           599 14
QSO: 21001 CW 2017-11-25 1117 VU2AE         599 22     P33W          599 20
QSO: 21026 CW 2017-11-25 1128 VU2AE         599 22     HS0AC         599 26
QSO: 14003 CW 2017-11-25 1132 VU2AE         599 22     YL2KO         599 15
QSO: 14011 CW 2017-11-25 1138 VU2AE         599 22     UK7AL         599 17
QSO: 14019 CW 2017-11-25 1141 VU2AE         599 22     RA7A          599 16
QSO: 14019 CW 2017-11-25 1143 VU2AE         599 22     OH9W          599 15
QSO: 14019 CW 2017-11-25 1143 VU2AE         599 22     R3ZZ          599 16
QSO: 14021 CW 2017-11-25 1149 VU2AE         599 22     LZ5R          599 20
QSO: 14022 CW 2017-11-25 1151 VU2AE         599 22     HA9T          599 15
QSO: 14033 CW 2017-11-25 1157 VU2AE         599 22     R7AB          599 16
QSO: 14038 CW 2017-11-25 1159 VU2AE         599 22     IT9BXR        599 15
QSO: 14041 CW 2017-11-25 1204 VU2AE         599 22     RT6A          599 16
QSO: 14041 CW 2017-11-25 1206 VU2AE         599 22     OH8X          599 15
QSO: 14040 CW 2017-11-25 1207 VU2AE         599 22     SN7Q          599 15
QSO: 14001 CW 2017-11-25 1352 VU2AE         599 22     9A5Y          599 15
QSO: 14003 CW 2017-11-25 1356 VU2AE         599 22     DK3WW         599 14
QSO: 14008 CW 2017-11-25 1405 VU2AE         599 22     YR9F          599 20
QSO:  7026 CW 2017-11-25 1411 VU2AE         599 22     E2X           599 26
QSO:  7027 CW 2017-11-25 1414 VU2AE         599 22     RU1A          599 16
QSO:  7029 CW 2017-11-25 1415 VU2AE         599 22     UD4F          599 16
QSO:  7032 CW 2017-11-25 1417 VU2AE         599 22     R3ZZ          599 16
QSO:  7035 CW 2017-11-25 1422 VU2AE         599 22     HS0ZAR        599 26
QSO:  7036 CW 2017-11-25 1424 VU2AE         599 22     E21YDP        599 26
QSO:  7000 CW 2017-11-25 1425 VU2AE         599 22     LY5W          599 15
QSO:  7004 CW 2017-11-25 1426 VU2AE         599 22     YE2C          599 28
QSO:  7032 CW 2017-11-25 1435 VU2AE         599 22     JA3YBK        599 25
QSO:  7004 CW 2017-11-25 1450 VU2AE         599 22     SJ2W          599 14
QSO: 14000 CW 2017-11-25 1456 VU2AE         599 22     YT1A          599 15
QSO: 14001 CW 2017-11-25 1457 VU2AE         599 22     DF3CB         599 14
QSO: 14006 CW 2017-11-25 1459 VU2AE         599 22     M6T           599 14
QSO: 14015 CW 2017-11-25 1505 VU2AE         599 22     9V1OW         599 28
QSO:  7021 CW 2017-11-25 1520 VU2AE         599 22     UZ2M          599 16
QSO:  7029 CW 2017-11-25 1524 VU2AE         599 22     OK2D          599 15
QSO:  7030 CW 2017-11-25 1526 VU2AE         599 22     RZ7T          599 16
QSO:  7032 CW 2017-11-25 1527 VU2AE         599 22     SK3W          599 14
QSO:  7040 CW 2017-11-25 1537 VU2AE         599 22     S52A          599 15
QSO:  7040 CW 2017-11-25 1537 VU2AE         599 22     YE1K          599 28
QSO:  7001 CW 2017-11-26 0155 VU2AE         599 22     EW8W          599 16
QSO: 14014 CW 2017-11-26 0224 VU2AE         599 22     HS0ZIA        599 26
QSO: 21021 CW 2017-11-26 0314 VU2AE         599 22     BD7BW         599 24
QSO: 21036 CW 2017-11-26 0316 VU2AE         599 22     KH6J          599 31
QSO: 21039 CW 2017-11-26 0318 VU2AE         599 22     V6A           599 27
QSO: 21042 CW 2017-11-26 0319 VU2AE         599 22     E28AI         599 26
QSO: 21028 CW 2017-11-26 0324 VU2AE         599 22     JA3YBK        599 25
QSO: 21030 CW 2017-11-26 0326 VU2AE         599 22     3W1T          599 26
QSO: 21030 CW 2017-11-26 0327 VU2AE         599 22     HS0ZAR        599 26
QSO: 21008 CW 2017-11-26 0341 VU2AE         599 22     VR20EH        599 24
QSO: 21023 CW 2017-11-26 0346 VU2AE         599 22     AH0K          599 27
QSO: 21027 CW 2017-11-26 0348 VU2AE         599 22     JH3KAI        599 25
QSO: 21047 CW 2017-11-26 0354 VU2AE         599 22     JL3RNZ        599 25
QSO: 14042 CW 2017-11-26 0401 VU2AE         599 22     RA9AC         599 17
QSO: 14043 CW 2017-11-26 0402 VU2AE         599 22     RW9DX         599 17
QSO: 14007 CW 2017-11-26 0459 VU2AE         599 22     RC3W          599 16
QSO: 14015 CW 2017-11-26 0502 VU2AE         599 22     RK4FF         599 16
QSO: 14021 CW 2017-11-26 0503 VU2AE         599 22     UZ2M          599 16
QSO: 14031 CW 2017-11-26 0508 VU2AE         599 22     YE2C          599 28
QSO: 21021 CW 2017-11-26 0512 VU2AE         599 22     E2X           599 26
QSO: 21021 CW 2017-11-26 0513 VU2AE         599 22     JT5DX         599 23
QSO: 21038 CW 2017-11-26 0600 VU2AE         599 22     R4IO          599 16
QSO: 21028 CW 2017-11-26 0611 VU2AE         599 22     HS0ZLM        599 26
QSO: 14030 CW 2017-11-26 0622 VU2AE         599 22     RZ7T          599 16
QSO: 14037 CW 2017-11-26 0627 VU2AE         599 22     DR4A          599 14
QSO: 14038 CW 2017-11-26 0629 VU2AE         599 22     A45XR         599 21
QSO: 14052 CW 2017-11-26 0634 VU2AE         599 22     OH1TX         599 15
QSO: 14054 CW 2017-11-26 0636 VU2AE         599 22     UR6IM         599 16
QSO: 14021 CW 2017-11-26 0641 VU2AE         599 22     HS0AC         599 26
QSO: 14020 CW 2017-11-26 0645 VU2AE         599 22     UA6CC         599 16
QSO: 21002 CW 2017-11-26 0752 VU2AE         599 22     RZ1A          599 16
QSO: 21013 CW 2017-11-26 0757 VU2AE         599 22     LZ9W          599 20
QSO: 21016 CW 2017-11-26 0758 VU2AE         599 22     UA2FF         599 15
QSO: 21016 CW 2017-11-26 0801 VU2AE         599 22     HG6N          599 15
QSO: 21016 CW 2017-11-26 0803 VU2AE         599 22     9H6A          599 15
QSO: 21032 CW 2017-11-26 0806 VU2AE         599 22     RT5A          599 16
QSO: 21048 CW 2017-11-26 0816 VU2AE         599 22     E77C          599 15
QSO: 21003 CW 2017-11-26 0820 VU2AE         599 22     LY7Z          599 15
QSO: 21003 CW 2017-11-26 0820 VU2AE         599 22     CN2R          599 33
QSO: 14001 CW 2017-11-26 0828 VU2AE         599 22     E2X           599 26
QSO: 14011 CW 2017-11-26 0832 VU2AE         599 22     4L2M          599 21
QSO: 14012 CW 2017-11-26 0833 VU2AE         599 22     EV1R          599 16
QSO: 14020 CW 2017-11-26 0841 VU2AE         599 22     IR4M          599 15
QSO: 21007 CW 2017-11-26 0955 VU2AE         599 22     M6T           599 14
QSO: 21005 CW 2017-11-26 0959 VU2AE         599 22     PI4COM        599 14
QSO: 21005 CW 2017-11-26 1000 VU2AE         599 22     OH0V          599 15
QSO: 21007 CW 2017-11-26 1003 VU2AE         599 22     PI4CC         599 14
QSO: 21009 CW 2017-11-26 1007 VU2AE         599 22     RN3TT         599 16
QSO: 21013 CW 2017-11-26 1009 VU2AE         599 22     S59N          599 15
QSO: 21013 CW 2017-11-26 1011 VU2AE         599 22     OL3Z          599 15
QSO: 21017 CW 2017-11-26 1012 VU2AE         599 22     GM2V          599 14
QSO: 21018 CW 2017-11-26 1015 VU2AE         599 22     YC1ZAZ        599 28
QSO: 21020 CW 2017-11-26 1017 VU2AE         599 22     HA9RT         599 15
QSO: 21020 CW 2017-11-26 1017 VU2AE         599 22     HA8IB         599 15
QSO: 21021 CW 2017-11-26 1021 VU2AE         599 22     YE2C          599 28
QSO: 21022 CW 2017-11-26 1023 VU2AE         599 22     SP5CNA        599 15
QSO: 21023 CW 2017-11-26 1027 VU2AE         599 22     S53JW         599 15
QSO: 21024 CW 2017-11-26 1029 VU2AE         599 22     OE5OHO        599 15
QSO: 21024 CW 2017-11-26 1030 VU2AE         599 22     IO2X          599 15
QSO: 21029 CW 2017-11-26 1034 VU2AE         599 22     TM3R          599 14
QSO: 21035 CW 2017-11-26 1037 VU2AE         599 22     ES9C          599 15
QSO: 21042 CW 2017-11-26 1041 VU2AE         599 22     M3I           599 14
QSO: 21043 CW 2017-11-26 1043 VU2AE         599 22     VK6LW         599 29
QSO: 21044 CW 2017-11-26 1046 VU2AE         599 22     EC2DX         599 14
QSO: 21048 CW 2017-11-26 1052 VU2AE         599 22     EW1I          599 16
QSO: 21048 CW 2017-11-26 1053 VU2AE         599 22     OP4K          599 14
QSO: 21049 CW 2017-11-26 1056 VU2AE         599 22     OH9W          599 15
QSO: 21050 CW 2017-11-26 1056 VU2AE         599 22     S58N          599 15
QSO: 21054 CW 2017-11-26 1058 VU2AE         599 22     DL6IAK        599 14
QSO: 21055 CW 2017-11-26 1059 VU2AE         599 22     C4W           599 20
QSO: 14109 CW 2017-11-26 1101 VU2AE         599 22     C4W           599 20
QSO: 14005 CW 2017-11-26 1107 VU2AE         599 22     HG7T          599 15
QSO: 14007 CW 2017-11-26 1109 VU2AE         599 22     EF5T          599 14
QSO: 14010 CW 2017-11-26 1119 VU2AE         599 22     HA8M          599 15
QSO:  7003 CW 2017-11-26 1526 VU2AE         599 22     DF0HQ         599 14
QSO:  7006 CW 2017-11-26 1529 VU2AE         599 22     S51SX         599 15
QSO:  7006 CW 2017-11-26 1531 VU2AE         599 22     RX7M          599 16
QSO: 14031 CW 2017-11-26 1541 VU2AE         599 22     9M2CNC        599 28
QSO: 14042 CW 2017-11-26 1544 VU2AE         599 22     CR3W          599 33
QSO:  7012 CW 2017-11-26 1554 VU2AE         599 22     US1Q          599 16
QSO:  7038 CW 2017-11-26 1602 VU2AE         599 22     HG7T          599 15
QSO: 21028 CW 2017-11-26 1610 VU2AE         599 22     ZW5B          599 11
QSO: 14015 CW 2017-11-26 1615 VU2AE         599 22     EA5RS         599 14
QSO:  7003 CW 2017-11-26 1624 VU2AE         599 22     OF5Z          599 15
QSO:  7010 CW 2017-11-26 1626 VU2AE         599 22     LZ9W          599 20
QSO:  7011 CW 2017-11-26 1628 VU2AE         599 22     S51F          599 15
QSO:  7016 CW 2017-11-26 1643 VU2AE         599 22     HS0ZIA        599 26
QSO:  7000 CW 2017-11-26 1748 VU2AE         599 22     S58M          599 15
QSO:  7006 CW 2017-11-26 1751 VU2AE         599 22     HG6N          599 15
QSO:  7006 CW 2017-11-26 1753 VU2AE         599 22     9A7A          599 15
QSO:  7007 CW 2017-11-26 1754 VU2AE         599 22     YT1HA         599 15
QSO:  7010 CW 2017-11-26 1757 VU2AE         599 22     LZ9R          599 20
QSO:  7010 CW 2017-11-26 1759 VU2AE         599 22     S52AW         599 15
QSO:  7011 CW 2017-11-26 1800 VU2AE         599 22     LZ5R          599 20
QSO:  7014 CW 2017-11-26 1802 VU2AE         599 22     R7AB          599 16
QSO:  7018 CW 2017-11-26 1805 VU2AE         599 22     S56X          599 15
QSO:  7032 CW 2017-11-26 1825 VU2AE         599 22     SN8B          599 15
QSO:  7032 CW 2017-11-26 1834 VU2AE         599 22     LY7Z          599 15
QSO:  7006 CW 2017-11-26 1839 VU2AE         599 22     9A3AG         599 15
QSO:  7006 CW 2017-11-26 1843 VU2AE         599 22     HG6T          599 15
QSO:  7006 CW 2017-11-26 1845 VU2AE         599 22     EW6W          599 16
QSO:  7014 CW 2017-11-26 1854 VU2AE         599 22     R4LC          599 16
QSO:  7018 CW 2017-11-26 1859 VU2AE         599 22     DR4A          599 14
QSO:  7020 CW 2017-11-26 1901 VU2AE         599 22     UP0L          599 17
QSO:  7024 CW 2017-11-26 1908 VU2AE         599 22     9M2M          599 28
QSO:  7025 CW 2017-11-26 1912 VU2AE         599 22     RT4M          599 16
QSO:  7031 CW 2017-11-26 1920 VU2AE         599 22     OM7M          599 15
QSO: 21011 CW 2017-11-26 1930 VU2AE         599 22     PX2A          599 11
QSO:  7001 CW 2017-11-26 1934 VU2AE         599 22     CN2R          599 33
QSO:  7002 CW 2017-11-26 1935 VU2AE         599 22     PA0BWL        599 14
QSO:  7005 CW 2017-11-26 1940 VU2AE         599 22     IR1Y          599 15
QSO:  7006 CW 2017-11-26 1943 VU2AE         599 22     JE6RPM        599 25
QSO:  7010 CW 2017-11-26 1949 VU2AE         599 22     IO2X          599 15
QSO:  7016 CW 2017-11-26 1957 VU2AE         599 22     HA60KNA       599 15
QSO:  7032 CW 2017-11-26 2009 VU2AE         599 22     IR4X          599 15
QSO:  7033 CW 2017-11-26 2011 VU2AE         599 22     PI4CC         599 14
QSO:  7048 CW 2017-11-26 2018 VU2AE         599 22     OQ5M          599 14
QSO:  7050 CW 2017-11-26 2019 VU2AE         599 22     LY2W          599 15
QSO:  7009 CW 2017-11-26 2024 VU2AE         599 22     UA7Q          599 16
QSO:  7022 CW 2017-11-26 2029 VU2AE         599 22     CN2AA         599 33
QSO:  7036 CW 2017-11-26 2036 VU2AE         599 22     SN2M          599 15
END-OF-LOG:
