START-OF-LOG: 3.0
CALLSIGN: JP1LRT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 17424
NAME: Yoshiharu Tsukuura
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: CTESTWIN by JI1AQY
SOAPBOX: Some QSO on 15m 20m 10m. These are check log.
QSO:  7002 CW 2017-11-25 1420 JP1LRT        599 25     SN8N          599 15     0
QSO:  7059 CW 2017-11-25 1421 JP1LRT        599 25     OH0R          599 15     0
QSO:  7048 CW 2017-11-25 1429 JP1LRT        599 25     HG5C          599 15     0
QSO:  7032 CW 2017-11-25 1438 JP1LRT        599 25     UX1UX         599 16     0
QSO:  7028 CW 2017-11-25 1439 JP1LRT        599 25     YL3FT         599 15     0
QSO:  7015 CW 2017-11-25 1441 JP1LRT        599 25     9A1P          599 15     0
QSO:  7011 CW 2017-11-25 1444 JP1LRT        599 25     OK2RRR        599 15     0
QSO:  7013 CW 2017-11-25 1447 JP1LRT        599 25     US1Q          599 16     0
QSO:  7019 CW 2017-11-25 1456 JP1LRT        599 25     UP0L          599 17     0
QSO:  7011 CW 2017-11-25 1458 JP1LRT        599 25     SN2B          599 15     0
QSO:  7006 CW 2017-11-25 1459 JP1LRT        599 25     LZ4T          599 20     0
QSO:  7020 CW 2017-11-25 1500 JP1LRT        599 25     DR1D          599 14     0
QSO:  7036 CW 2017-11-25 1502 JP1LRT        599 25     K9DX          599 03     0
QSO:  7030 CW 2017-11-25 1502 JP1LRT        599 25     ES9C          599 15     0
QSO:  7010 CW 2017-11-25 1505 JP1LRT        599 25     YT5A          599 15     0
QSO:  7031 CW 2017-11-25 1510 JP1LRT        599 25     LZ9W          599 20     0
QSO:  7031 CW 2017-11-25 1511 JP1LRT        599 25     N6WIN         599 03     0
QSO:  7020 CW 2017-11-25 1531 JP1LRT        599 25     ER4A          599 16     0
QSO:  7027 CW 2017-11-25 1550 JP1LRT        599 25     YR9F          599 20     0
QSO:  7005 CW 2017-11-25 1552 JP1LRT        599 25     EW8W          599 16     0
QSO:  7022 CW 2017-11-25 1553 JP1LRT        599 25     RT6A          599 16     0
QSO:  7026 CW 2017-11-25 1555 JP1LRT        599 25     R7AB          599 16     0
QSO:  7029 CW 2017-11-25 1556 JP1LRT        599 25     OK2D          599 15     0
QSO:  7039 CW 2017-11-25 1558 JP1LRT        599 25     R9PA          599 18     0
QSO:  7019 CW 2017-11-26 0713 JP1LRT        599 25     UI0L          599 19     0
QSO:  7029 CW 2017-11-26 0714 JP1LRT        599 25     W6XB          599 03     0
QSO:  7044 CW 2017-11-26 0729 JP1LRT        599 25     N6IE          599 03     0
QSO:  7046 CW 2017-11-26 0732 JP1LRT        599 25     6Y0W          599 08     0
QSO:  7022 CW 2017-11-26 0742 JP1LRT        599 25     CE3CT         599 12     0
QSO:  7028 CW 2017-11-26 0744 JP1LRT        599 25     PX2A          599 11     0
QSO:  7031 CW 2017-11-26 0748 JP1LRT        599 25     HQ9X          599 07     0
QSO:  7028 CW 2017-11-26 0820 JP1LRT        599 25     MW5B          599 14     0
QSO:  7061 CW 2017-11-26 0824 JP1LRT        599 25     GM5A          599 14     0
QSO:  7008 CW 2017-11-26 0828 JP1LRT        599 25     M0DXR         599 14     0
QSO:  7032 CW 2017-11-26 0829 JP1LRT        599 25     M6T           599 14     0
QSO:  7046 CW 2017-11-26 0832 JP1LRT        599 25     ZM4T          599 32     0
QSO:  7082 CW 2017-11-26 0851 JP1LRT        599 25     TI7W          599 07     0
QSO:  7003 CW 2017-11-26 0925 JP1LRT        599 25     K0RF          599 04     0
QSO:  7005 CW 2017-11-26 0926 JP1LRT        599 25     SJ2W          599 14     0
QSO:  7006 CW 2017-11-26 0928 JP1LRT        599 25     CX2AQ         599 13     0
QSO:  7007 CW 2017-11-26 0930 JP1LRT        599 25     P40L          599 09     0
QSO:  7013 CW 2017-11-26 0932 JP1LRT        599 25     K7RL          599 03     0
QSO:  7024 CW 2017-11-26 0935 JP1LRT        599 25     K7NJ          599 03     0
QSO:  7025 CW 2017-11-26 0935 JP1LRT        599 25     N7WA          599 03     0
QSO:  7026 CW 2017-11-26 0938 JP1LRT        599 25     K4PV          599 05     0
QSO:  7037 CW 2017-11-26 0940 JP1LRT        599 25     NX1P          599 03     0
QSO:  7017 CW 2017-11-26 1252 JP1LRT        599 25     K6XX          599 03     0
QSO:  7019 CW 2017-11-26 1253 JP1LRT        599 25     UA0DX         599 19     0
QSO:  7021 CW 2017-11-26 1253 JP1LRT        599 25     R0CW          599 19     0
QSO:  7021 CW 2017-11-26 1254 JP1LRT        599 25     OG2B          599 15     0
QSO:  7032 CW 2017-11-26 1256 JP1LRT        599 25     YE2C          599 28     0
QSO:  7059 CW 2017-11-26 1301 JP1LRT        599 25     UA3A          599 16     0
QSO:  7028 CW 2017-11-26 1302 JP1LRT        599 25     LY4A          599 15     0
QSO:  7017 CW 2017-11-26 1304 JP1LRT        599 25     LY5W          599 15     0
QSO:  7003 CW 2017-11-26 1306 JP1LRT        599 25     DF0HQ         599 14     0
QSO:  7025 CW 2017-11-26 1308 JP1LRT        599 25     PI4CC         599 14     0
QSO:  7056 CW 2017-11-26 1309 JP1LRT        599 25     XE2X          599 06     0
QSO:  7026 CW 2017-11-26 1311 JP1LRT        599 25     SN7Q          599 15     0
QSO:  7016 CW 2017-11-26 1312 JP1LRT        599 25     SO4M          599 15     0
QSO:  7010 CW 2017-11-26 1315 JP1LRT        599 25     YT4T          599 15     0
QSO:  7038 CW 2017-11-26 1316 JP1LRT        599 25     SN2M          599 15     0
QSO:  7072 CW 2017-11-26 1320 JP1LRT        599 25     A6LL          599 03     0
QSO:  7072 CW 2017-11-26 1321 JP1LRT        599 25     W0DLE         599 04     0
QSO:  7072 CW 2017-11-26 1321 JP1LRT        599 25     R0CAF         599 19     0
QSO:  7072 CW 2017-11-26 1323 JP1LRT        599 25     UA0UY         599 18     0
QSO:  7072 CW 2017-11-26 1324 JP1LRT        599 25     K4UB          599 03     0
QSO:  7011 CW 2017-11-26 1531 JP1LRT        599 25     DL1A          599 14     0
QSO:  7063 CW 2017-11-26 1533 JP1LRT        599 25     SX1T          599 20     0
QSO:  7058 CW 2017-11-26 1536 JP1LRT        599 25     SV5DKL        599 20     0
QSO:  7001 CW 2017-11-26 1540 JP1LRT        599 25     4X/UA9CTT     599 20     0
QSO:  7029 CW 2017-11-26 1545 JP1LRT        599 25     UZ2M          599 16     0
QSO:  7005 CW 2017-11-26 1549 JP1LRT        599 25     JT5DX         599 22     0
QSO:  7004 CW 2017-11-26 2306 JP1LRT        599 25     OM7M          599 15     0
QSO:  7088 CW 2017-11-26 2315 JP1LRT        599 25     UN9L          599 17     0
END-OF-LOG:
