START-OF-LOG: 3.0
CALLSIGN: SM7ZDI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Vic Pleshkevich
LOCATION: DX
OPERATORS: SM7ZDI
CLUB:
CERTIFICATE: YES
CREATED-BY: WINLOG32 v7.3.11
SOAPBOX: Casual entry as time permitted - mostly running with some S&P
QSO:  3500 CW 2017-11-26 0521 SM7ZDI        599 14     9A5G          599 15     0
QSO:  3500 CW 2017-11-26 0523 SM7ZDI        599 14     OM3CPF        599 15     0
QSO:  3500 CW 2017-11-26 0524 SM7ZDI        599 14     HA8BT         599 15     0
QSO:  3500 CW 2017-11-26 0524 SM7ZDI        599 14     TM3R          599 14     0
QSO:  3500 CW 2017-11-26 0525 SM7ZDI        599 14     UW7RV         599 16     0
QSO:  3500 CW 2017-11-26 0525 SM7ZDI        599 14     IZ2MGN        599 15     0
QSO:  3500 CW 2017-11-26 0526 SM7ZDI        599 14     K2LE          599 05     0
QSO:  3500 CW 2017-11-26 0527 SM7ZDI        599 14     UT5C          599 16     0
QSO:  3500 CW 2017-11-26 0529 SM7ZDI        599 14     OM7LM         599 15     0
QSO:  3500 CW 2017-11-26 0529 SM7ZDI        599 14     DL7URH        599 14     0
QSO:  3500 CW 2017-11-26 0530 SM7ZDI        599 14     UA3GAF        599 16     0
QSO:  3500 CW 2017-11-26 0531 SM7ZDI        599 14     LY4G          599 15     0
QSO:  3500 CW 2017-11-26 0531 SM7ZDI        599 14     YO5DAS        599 20     0
QSO:  3500 CW 2017-11-26 0532 SM7ZDI        599 14     US1PM         599 16     0
QSO:  3500 CW 2017-11-26 0533 SM7ZDI        599 14     EA1DAV        599 14     0
QSO:  3500 CW 2017-11-26 0534 SM7ZDI        599 14     DL0GL         599 14     0
QSO:  3500 CW 2017-11-26 0534 SM7ZDI        599 14     LY3B          599 15     0
QSO:  3500 CW 2017-11-26 0534 SM7ZDI        599 14     OK1ITK        599 15     0
QSO:  3500 CW 2017-11-26 0536 SM7ZDI        599 14     EF8R          599 33     0
QSO:  3500 CW 2017-11-26 0536 SM7ZDI        599 14     EC2DX         599 14     0
QSO:  3500 CW 2017-11-26 0538 SM7ZDI        599 14     DL8WEM        599 14     0
QSO:  3500 CW 2017-11-26 0539 SM7ZDI        599 14     OE3KAB        599 15     0
QSO:  3500 CW 2017-11-26 0540 SM7ZDI        599 14     R3DCX         599 16     0
QSO:  3500 CW 2017-11-26 0542 SM7ZDI        599 14     W3LPL         599 05     0
