START-OF-LOG: 3.0
CALLSIGN: KC7QY
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 91350
NAME: Jim Lommen
LOCATION: NM
OPERATORS: KC7QY
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: Better conditions than expected. Nice 80M condx SUnday morning.
QSO:  7033 CW 2017-11-26 0316 KC7QY         599 4      EF8R          599 33
QSO:  7036 CW 2017-11-26 0320 KC7QY         599 4      CR3W          599 33
QSO:  3503 CW 2017-11-26 0335 KC7QY         599 4      XE2B          599 06
QSO:  3509 CW 2017-11-26 0341 KC7QY         599 4      XL3T          599 04
QSO:  3517 CW 2017-11-26 0349 KC7QY         599 4      VE2BWL        599 05
QSO:  3523 CW 2017-11-26 0352 KC7QY         599 4      VE3XB         599 04
QSO:  3540 CW 2017-11-26 0409 KC7QY         599 4      VE7AX         599 03
QSO:  3543 CW 2017-11-26 0413 KC7QY         599 4      VE6BBP        599 04
QSO:  7059 CW 2017-11-26 0449 KC7QY         599 4      TI7W          599 07
QSO:  7057 CW 2017-11-26 0450 KC7QY         599 4      V47T          599 08
QSO:  7056 CW 2017-11-26 0453 KC7QY         599 4      CT9/R7KW      599 33
QSO:  7055 CW 2017-11-26 0456 KC7QY         599 4      PJ4I          599 09
QSO:  7054 CW 2017-11-26 0458 KC7QY         599 4      CU4DX         599 14
QSO:  7052 CW 2017-11-26 0501 KC7QY         599 4      6Y3M          599 08
QSO:  7051 CW 2017-11-26 0503 KC7QY         599 4      ED8X          599 33
QSO:  7050 CW 2017-11-26 0506 KC7QY         599 4      TO2SP         599 08
QSO:  7049 CW 2017-11-26 0508 KC7QY         599 4      EA3DU         599 14
QSO:  7046 CW 2017-11-26 0514 KC7QY         599 4      6Y0W          599 08
QSO:  7046 CW 2017-11-26 0514 KC7QY         599 4      KH6LC         599 31
QSO:  7045 CW 2017-11-26 0516 KC7QY         599 4      PJ2T          599 09
QSO:  7045 CW 2017-11-26 0518 KC7QY         599 4      ZF2MJ         599 08
QSO:  7043 CW 2017-11-26 0520 KC7QY         599 4      VE6WZ         599 04
QSO:  7043 CW 2017-11-26 0522 KC7QY         599 4      CO6RD         599 08
QSO:  7042 CW 2017-11-26 0525 KC7QY         599 4      UD4F          599 16
QSO:  7039 CW 2017-11-26 0552 KC7QY         599 4      ZM4T          599 32
QSO:  7027 CW 2017-11-26 0607 KC7QY         599 4      VE7FO         599 03
QSO:  3567 CW 2017-11-26 0620 KC7QY         599 4      PI4COM        599 14
QSO:  3565 CW 2017-11-26 0622 KC7QY         599 4      CR3OO         599 33
QSO:  3560 CW 2017-11-26 0630 KC7QY         599 4      M6T           599 14
QSO:  3556 CW 2017-11-26 0638 KC7QY         599 4      EC2DX         599 14
QSO:  3554 CW 2017-11-26 0646 KC7QY         599 4      DR4A          599 14
QSO:  3552 CW 2017-11-26 0647 KC7QY         599 4      VE7NY         599 03
QSO:  3552 CW 2017-11-26 0647 KC7QY         599 4      RW2F          599 15
QSO:  3547 CW 2017-11-26 0651 KC7QY         599 4      OK1CRM        599 15
QSO:  3547 CW 2017-11-26 0653 KC7QY         599 4      KH6J          599 31
QSO:  3542 CW 2017-11-26 0655 KC7QY         599 4      IR4M          599 15
QSO:  3538 CW 2017-11-26 0711 KC7QY         599 4      GM2V          599 14
QSO:  3534 CW 2017-11-26 0714 KC7QY         599 4      TO2SP         599 08
QSO:  3533 CW 2017-11-26 0716 KC7QY         599 4      VY2TT         599 05
QSO:  3529 CW 2017-11-26 0722 KC7QY         599 4      DF0HQ         599 14
QSO:  3526 CW 2017-11-26 0724 KC7QY         599 4      P40L          599 09
QSO:  3522 CW 2017-11-26 0731 KC7QY         599 4      OP4K          599 14
QSO:  3519 CW 2017-11-26 0733 KC7QY         599 4      G3V           599 14
QSO:  3508 CW 2017-11-26 0746 KC7QY         599 4      F5NTV         599 14
QSO:  3558 CW 2017-11-26 0754 KC7QY         599 4      V47T          599 08
QSO:  3555 CW 2017-11-26 0756 KC7QY         599 4      PJ2T          599 09
QSO:  3536 CW 2017-11-26 0801 KC7QY         599 4      PJ4Y          599 09
QSO:  3519 CW 2017-11-26 0813 KC7QY         599 4      PZ5V          599 09
QSO:  7005 CW 2017-11-26 0825 KC7QY         599 4      SK3W          599 14
QSO:  7011 CW 2017-11-26 0830 KC7QY         599 4      K1TTT         599 05
QSO:  3531 CW 2017-11-26 1323 KC7QY         599 4      VA7ST         599 03
QSO:  7011 CW 2017-11-26 1331 KC7QY         599 4      JE2YRB        599 25
QSO:  7018 CW 2017-11-26 1342 KC7QY         599 4      JA6SHL        599 25
QSO:  7022 CW 2017-11-26 1346 KC7QY         599 4      VE7SZ         599 03
QSO:  7024 CW 2017-11-26 1347 KC7QY         599 4      VE3MGY        599 04
QSO:  7036 CW 2017-11-26 1353 KC7QY         599 4      JA3YBK        599 25
QSO:  7040 CW 2017-11-26 1358 KC7QY         599 4      JE6RPM        599 25
QSO:  3528 CW 2017-11-26 1420 KC7QY         599 4      JA3YBK        599 25
QSO:  3505 CW 2017-11-26 1426 KC7QY         599 4      JA0QNJ        599 25
QSO:  7004 CW 2017-11-26 1434 KC7QY         599 4      JH1FNU        599 25
QSO:  7014 CW 2017-11-26 1443 KC7QY         599 4      JH4UTP        599 25
QSO:  7039 CW 2017-11-26 1646 KC7QY         599 4      VE7FE         599 03
QSO: 21007 CW 2017-11-26 1700 KC7QY         599 4      6Y0W          599 08
QSO: 21016 CW 2017-11-26 1706 KC7QY         599 4      CR2M          599 14
QSO: 21019 CW 2017-11-26 1707 KC7QY         599 4      V26K          599 08
QSO: 21023 CW 2017-11-26 1711 KC7QY         599 4      LT1F          599 13
QSO: 21025 CW 2017-11-26 1713 KC7QY         599 4      FM5FJ         599 08
QSO: 21026 CW 2017-11-26 1716 KC7QY         599 4      PZ5V          599 09
QSO: 21030 CW 2017-11-26 1729 KC7QY         599 4      9Y4/VE3EY     599 09
QSO: 21031 CW 2017-11-26 1730 KC7QY         599 4      V34AO         599 07
QSO: 21033 CW 2017-11-26 1732 KC7QY         599 4      C6AGU         599 08
QSO: 21034 CW 2017-11-26 1734 KC7QY         599 4      ZF2MJ         599 08
QSO: 21035 CW 2017-11-26 1736 KC7QY         599 4      6Y3M          599 08
QSO: 21038 CW 2017-11-26 1737 KC7QY         599 4      EF8R          599 33
QSO: 21039 CW 2017-11-26 1738 KC7QY         599 4      CB1H          599 12
QSO: 21040 CW 2017-11-26 1740 KC7QY         599 4      LU2WA         599 13
QSO: 21040 CW 2017-11-26 1743 KC7QY         599 4      VA3SY         599 04
QSO: 21041 CW 2017-11-26 1744 KC7QY         599 4      CR2OO         599 14
QSO: 21043 CW 2017-11-26 1746 KC7QY         599 4      PJ4Y          599 09
QSO: 21044 CW 2017-11-26 1747 KC7QY         599 4      PY4YY         599 11
QSO: 21045 CW 2017-11-26 1748 KC7QY         599 4      CR3W          599 33
QSO: 21046 CW 2017-11-26 1751 KC7QY         599 4      CT9/OM3RM     599 33
QSO: 21047 CW 2017-11-26 1753 KC7QY         599 4      YN2CC         599 07
QSO: 21050 CW 2017-11-26 1758 KC7QY         599 4      A31MM         599 32
QSO: 21014 CW 2017-11-26 1801 KC7QY         599 4      CN2R          599 33
QSO: 21027 CW 2017-11-26 1802 KC7QY         599 4      P40L          599 09
QSO: 28013 CW 2017-11-26 1959 KC7QY         599 4      6Y0W          599 08
QSO: 28009 CW 2017-11-26 2006 KC7QY         599 4      PJ2T          599 09
QSO: 28019 CW 2017-11-26 2009 KC7QY         599 4      CW5W          599 13
QSO: 21002 CW 2017-11-26 2015 KC7QY         599 4      ZF9CW         599 08
QSO: 21005 CW 2017-11-26 2017 KC7QY         599 4      K3LR          599 05
QSO: 21006 CW 2017-11-26 2024 KC7QY         599 4      HQ9X          599 07
QSO: 21018 CW 2017-11-26 2036 KC7QY         599 4      PS2T          599 11
QSO: 21020 CW 2017-11-26 2047 KC7QY         599 4      PJ2T          599 09
QSO: 21038 CW 2017-11-26 2059 KC7QY         599 4      TI7W          599 07
QSO: 21044 CW 2017-11-26 2102 KC7QY         599 4      FG/F6ARC      599 08
QSO: 28040 CW 2017-11-26 2112 KC7QY         599 4      LW8DQ         599 13
QSO: 14005 CW 2017-11-26 2118 KC7QY         599 4      JN4MMO        599 25
QSO: 14008 CW 2017-11-26 2120 KC7QY         599 4      VE6EX         599 04
QSO: 14014 CW 2017-11-26 2135 KC7QY         599 4      PZ5V          599 09
QSO: 14018 CW 2017-11-26 2139 KC7QY         599 4      C6AGU         599 08
QSO: 14009 CW 2017-11-26 2152 KC7QY         599 4      9G5W          599 35
QSO: 14022 CW 2017-11-26 2156 KC7QY         599 4      VA7DZ         599 03
QSO: 14027 CW 2017-11-26 2203 KC7QY         599 4      K4ZU          599 05
QSO: 21034 CW 2017-11-26 2224 KC7QY         599 4      ZW5B          599 11
QSO: 14044 CW 2017-11-26 2237 KC7QY         599 4      JE2YRB        599 25
QSO: 14045 CW 2017-11-26 2243 KC7QY         599 4      JH1OGC        599 25
QSO: 14047 CW 2017-11-26 2245 KC7QY         599 4      XF1IM         599 06
QSO: 14050 CW 2017-11-26 2253 KC7QY         599 4      JR3NZC        599 25
QSO: 14051 CW 2017-11-26 2300 KC7QY         599 4      VK6LW         599 29
QSO: 14053 CW 2017-11-26 2303 KC7QY         599 4      JK2RCP        599 25
QSO: 14054 CW 2017-11-26 2304 KC7QY         599 4      JA6LCJ        599 25
QSO: 14055 CW 2017-11-26 2308 KC7QY         599 4      JH1EAQ        599 25
QSO: 14055 CW 2017-11-26 2309 KC7QY         599 4      JA1BJI        599 25
QSO: 14058 CW 2017-11-26 2313 KC7QY         599 4      JE6RPM        599 25
QSO: 14060 CW 2017-11-26 2317 KC7QY         599 4      LW3DC         599 13
QSO: 14063 CW 2017-11-26 2322 KC7QY         599 4      UA0ZAM        599 19
QSO: 14063 CW 2017-11-26 2324 KC7QY         599 4      NH2DX         599 27
QSO: 14064 CW 2017-11-26 2326 KC7QY         599 4      VA7KO         599 03
QSO: 14066 CW 2017-11-26 2334 KC7QY         599 4      8R1/AG6UT     599 09
QSO: 14066 CW 2017-11-26 2336 KC7QY         599 4      JF1SEK        599 25
QSO: 14067 CW 2017-11-26 2338 KC7QY         599 4      JF2QNM        599 25
QSO: 14068 CW 2017-11-26 2340 KC7QY         599 4      JG8NKJ        599 25
QSO: 14070 CW 2017-11-26 2344 KC7QY         599 4      JJ0JML        599 25
QSO: 14072 CW 2017-11-26 2350 KC7QY         599 4      7K4GUR        599 25
QSO: 14073 CW 2017-11-26 2352 KC7QY         599 4      JJ3JJL        599 25
END-OF-LOG:
