START-OF-LOG: 3.0
CALLSIGN: LU8EHR
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 21087
NAME: Hugo Daniel Blanco
LOCATION: DX
OPERATORS: LU8EHR
CLUB: LU Contest Group
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: I did work this contest with a "Plan B" EFLW, 10m long, vertically
SOAPBOX: hanging from my shack window, about 0.5m from building wall !
QSO: 21000 CW 2017-11-26 1946 LU8EHR        599 13     N7AT          599 03     0
QSO: 21000 CW 2017-11-26 1952 LU8EHR        599 13     NR4M          599 05     0
QSO: 21000 CW 2017-11-26 1954 LU8EHR        599 13     PT5N          599 11     0
QSO: 21000 CW 2017-11-26 1957 LU8EHR        599 13     KU2M          599 05     0
QSO: 21000 CW 2017-11-26 2020 LU8EHR        599 13     VE5MX         599 04     0
QSO: 21000 CW 2017-11-26 2023 LU8EHR        599 13     K8AZ          599 04     0
QSO: 21000 CW 2017-11-26 2024 LU8EHR        599 13     N4BP          599 05     0
QSO: 21000 CW 2017-11-26 2030 LU8EHR        599 13     W9RE          599 04     0
QSO: 21000 CW 2017-11-26 2036 LU8EHR        599 13     NN3W          599 05     0
QSO: 21000 CW 2017-11-26 2049 LU8EHR        599 13     W0GXA         599 04     0
QSO: 21000 CW 2017-11-26 2053 LU8EHR        599 13     W0AIH         599 04     0
QSO: 21000 CW 2017-11-26 2056 LU8EHR        599 13     K4LQ          599 05     0
QSO: 21000 CW 2017-11-26 2107 LU8EHR        599 13     XQ1CR         599 12     0
QSO: 14000 CW 2017-11-26 2155 LU8EHR        599 13     CE3CT         599 12     0
QSO: 14000 CW 2017-11-26 2314 LU8EHR        599 13     K6AW          599 03     0
QSO: 14000 CW 2017-11-26 2321 LU8EHR        599 13     KO7SS         599 03     0
END-OF-LOG:
