START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: M0CVO
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 13667
NAME: NIGEL BOOTH
OPERATORS: M0CVO
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: Some good activity in this year's contest from new QTH.
QSO: 14000 PH 2018-10-27 0951 M0CVO         59  14     S57DX         59  15
QSO: 14000 PH 2018-10-27 1217 M0CVO         59  14     SN7H          59  15
QSO: 21000 PH 2018-10-27 1225 M0CVO         59  14     SX2X          59  20
QSO: 21000 PH 2018-10-27 1227 M0CVO         59  14     R7AB          59  16
QSO: 21000 PH 2018-10-27 1233 M0CVO         59  14     J42L          59  20
QSO: 21000 PH 2018-10-27 1238 M0CVO         59  14     CR3DE         59  33
QSO: 21000 PH 2018-10-27 1240 M0CVO         59  14     HZ1SK         59  21
QSO: 21000 PH 2018-10-27 1241 M0CVO         59  14     C4A           59  20
QSO: 21000 PH 2018-10-27 1244 M0CVO         59  14     TC0F          59  20
QSO: 21000 PH 2018-10-27 1246 M0CVO         59  14     CQ2W          59  33
QSO: 14000 PH 2018-10-27 1254 M0CVO         59  14     UA4M          59  16
QSO: 14000 PH 2018-10-27 1258 M0CVO         59  14     EA3M          59  14
QSO: 14000 PH 2018-10-27 1300 M0CVO         59  14     IO3X          59  15
QSO: 14000 PH 2018-10-27 1302 M0CVO         59  14     HA7A          59  15
QSO: 14000 PH 2018-10-27 1303 M0CVO         59  14     W2RE          59  05
QSO: 14000 PH 2018-10-27 1309 M0CVO         59  14     N1UR          59  05
QSO: 14000 PH 2018-10-27 1311 M0CVO         59  14     W1NA          59  05
QSO: 14000 PH 2018-10-27 1317 M0CVO         59  14     RL4A          59  16
QSO: 14000 PH 2018-10-27 1322 M0CVO         59  14     RL3A          59  16
QSO: 14000 PH 2018-10-27 1325 M0CVO         59  14     EU1WW         59  16
QSO: 14000 PH 2018-10-27 1330 M0CVO         59  14     IQ7YP         59  15
QSO: 14000 PH 2018-10-27 1332 M0CVO         59  14     RD9SA         59  16
QSO: 14000 PH 2018-10-27 1337 M0CVO         59  14     RW1F          59  16
QSO: 14000 PH 2018-10-27 1340 M0CVO         59  14     YT70SRV       59  15
QSO: 14000 PH 2018-10-27 1342 M0CVO         59  14     SN8B          59  15
QSO: 14000 PH 2018-10-27 1346 M0CVO         59  14     YL2GD         59  15
QSO:  7000 PH 2018-10-27 1349 M0CVO         59  14     S57O          59  15
QSO:  7000 PH 2018-10-27 1414 M0CVO         59  14     ES9C          59  15
QSO:  7000 PH 2018-10-27 1417 M0CVO         59  14     F4HIK         59  14
QSO:  7000 PH 2018-10-27 1429 M0CVO         59  14     HG8R          59  15
QSO:  7000 PH 2018-10-27 1434 M0CVO         59  14     DF0HQ         59  14
QSO:  7000 PH 2018-10-27 1442 M0CVO         59  14     S54ZZ         59  15
QSO:  7000 PH 2018-10-27 1451 M0CVO         59  14     IB2A          59  15
QSO: 14000 PH 2018-10-27 1543 M0CVO         59  14     VY2ZM         59  05
QSO: 14000 PH 2018-10-27 1547 M0CVO         59  14     9H6A          59  15
QSO: 14000 PH 2018-10-27 1549 M0CVO         59  14     YP0C          59  20
QSO: 14000 PH 2018-10-27 1551 M0CVO         59  14     LZ2JA         59  20
QSO: 14000 PH 2018-10-27 1557 M0CVO         59  14     K1KI          59  05
QSO: 14000 PH 2018-10-27 1600 M0CVO         59  14     EA5V          59  14
QSO:  7000 PH 2018-10-28 0706 M0CVO         59  14     IW4MZX        59  15
QSO:  7000 PH 2018-10-28 0712 M0CVO         59  14     SP8K          59  15
QSO:  7000 PH 2018-10-28 0715 M0CVO         59  14     YT1HA         59  15
QSO:  7000 PH 2018-10-28 0717 M0CVO         59  14     OK1CF         59  15
QSO:  7000 PH 2018-10-28 0719 M0CVO         59  14     OM7JG         59  15
QSO:  7000 PH 2018-10-28 0720 M0CVO         59  14     LY1FW         59  15
QSO:  7000 PH 2018-10-28 0725 M0CVO         59  14     EE5T          59  14
QSO:  7000 PH 2018-10-28 0727 M0CVO         59  14     OH5Z          59  15
QSO:  7000 PH 2018-10-28 0734 M0CVO         59  14     EE7P          59  14
QSO:  7000 PH 2018-10-28 0738 M0CVO         59  14     UX0LL         59  16
QSO: 14000 PH 2018-10-28 0746 M0CVO         59  14     SV9FBG        59  20
QSO: 14000 PH 2018-10-28 0751 M0CVO         59  14     LZ9W          59  20
QSO: 14000 PH 2018-10-28 0753 M0CVO         59  14     J42L          59  20
QSO: 14000 PH 2018-10-28 0755 M0CVO         59  14     R5AJ          59  16
QSO: 14000 PH 2018-10-28 0758 M0CVO         59  14     EA7HLU        59  14
QSO: 14000 PH 2018-10-28 0806 M0CVO         59  14     ES6RW         59  15
QSO: 14000 PH 2018-10-28 0808 M0CVO         59  14     OH2KW         59  15
QSO: 14000 PH 2018-10-28 0842 M0CVO         59  14     S50C          59  15
QSO: 14000 PH 2018-10-28 0844 M0CVO         59  14     LY5XX         59  15
QSO: 14000 PH 2018-10-28 0854 M0CVO         59  14     I0LYO         59  15
QSO: 14000 PH 2018-10-28 0858 M0CVO         59  14     SO7M          59  15
QSO: 14000 PH 2018-10-28 0903 M0CVO         59  14     IK4UXB        59  15
QSO: 14000 PH 2018-10-28 0907 M0CVO         59  14     RU5TT         59  16
QSO: 14000 PH 2018-10-28 1104 M0CVO         59  14     SP4DZT        59  15
QSO: 21000 PH 2018-10-28 1111 M0CVO         59  14     RL4F          59  16
QSO: 21000 PH 2018-10-28 1113 M0CVO         59  14     UA4S          59  16
QSO: 21000 PH 2018-10-28 1204 M0CVO         59  14     C44C          59  20
QSO: 21000 PH 2018-10-28 1214 M0CVO         59  14     OM5CM         59  15
QSO: 21000 PH 2018-10-28 1219 M0CVO         59  14     CR2L          59  14
QSO: 21000 PH 2018-10-28 1221 M0CVO         59  14     HA1TJ         59  15
QSO: 21000 PH 2018-10-28 1223 M0CVO         59  14     YT9X          59  15
QSO: 21000 PH 2018-10-28 1225 M0CVO         59  14     9A7A          59  15
END-OF-LOG:
