START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: NE1B
LOCATION: NH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 31654
NAME: Bill Barber
OPERATORS: NE1B
CLUB: Yankee Clipper Contest Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: Had more fun chasing the DXpedition to Ducie Is.
QSO:  7208 PH 2018-10-27 1029 NE1B          59  5      VK3GK         59  30
QSO:  7213 PH 2018-10-27 1029 NE1B          59  5      VP5W          59  08
QSO:  7249 PH 2018-10-27 1030 NE1B          59  5      VK2BCQ        59  30
QSO:  7243 PH 2018-10-27 1031 NE1B          59  5      VK7GN         59  30
QSO:  7144 PH 2018-10-27 1032 NE1B          59  5      XE2T          59  06
QSO:  7218 PH 2018-10-27 1036 NE1B          59  5      KP2M          59  08
QSO:  7239 PH 2018-10-27 1037 NE1B          59  5      KH6TU         59  31
QSO: 14150 PH 2018-10-27 1040 NE1B          59  5      VP2MPG        59  08
QSO: 14155 PH 2018-10-27 1136 NE1B          59  5      CT9ABO        59  33
QSO: 14165 PH 2018-10-27 1413 NE1B          59  5      YT1A          59  15
QSO: 14200 PH 2018-10-27 1449 NE1B          59  5      T42T          59  08
QSO: 28490 PH 2018-10-27 1957 NE1B          59  5      VP6D          59  32
QSO:  1827 PH 2018-10-28 0226 NE1B          59  5      VE3JM         59  04
QSO:  1828 PH 2018-10-28 0227 NE1B          59  5      VE3MIS        59  04
QSO:  3605 PH 2018-10-28 0235 NE1B          59  5      V26B          59  08
QSO:  3612 PH 2018-10-28 0236 NE1B          59  5      ED9E          59  33
QSO:  3637 PH 2018-10-28 0237 NE1B          59  5      F4HUA         59  14
QSO:  3680 PH 2018-10-28 0239 NE1B          59  5      S53M          59  15
QSO:  3682 PH 2018-10-28 0239 NE1B          59  5      HB9H          59  14
QSO:  3706 PH 2018-10-28 0249 NE1B          59  5      VP5W          59  08
QSO:  3719 PH 2018-10-28 0253 NE1B          59  5      OK8WW         59  15
QSO:  3731 PH 2018-10-28 0255 NE1B          59  5      XE2X          59  06
QSO:  3737 PH 2018-10-28 0257 NE1B          59  5      9A7A          59  15
QSO:  3750 PH 2018-10-28 0258 NE1B          59  5      CT1DVV        59  14
QSO:  3763 PH 2018-10-28 0259 NE1B          59  5      EA6FO         59  14
QSO:  3766 PH 2018-10-28 0302 NE1B          59  5      EC6AAE        59  14
QSO:  3756 PH 2018-10-28 0309 NE1B          59  5      PZ5K          59  09
QSO:  3760 PH 2018-10-28 0309 NE1B          59  5      FM5DN         59  08
QSO:  3786 PH 2018-10-28 0312 NE1B          59  5      T42T          59  08
QSO:  3793 PH 2018-10-28 0314 NE1B          59  5      M6T           59  14
QSO:  3624 PH 2018-10-28 0317 NE1B          59  5      OQ5M          59  14
QSO:  3697 PH 2018-10-28 0325 NE1B          59  5      IR6T          59  15
QSO:  3711 PH 2018-10-28 0326 NE1B          59  5      8P5A          59  08
QSO:  3732 PH 2018-10-28 0330 NE1B          59  5      EF8R          59  33
QSO:  3738 PH 2018-10-28 0331 NE1B          59  5      PI4AMF        59  14
QSO:  3740 PH 2018-10-28 0332 NE1B          59  5      OM2VL         59  15
QSO:  3743 PH 2018-10-28 0333 NE1B          59  5      CR5E          59  14
QSO:  3770 PH 2018-10-28 0342 NE1B          59  5      YV4YC         59  09
QSO:  3777 PH 2018-10-28 0345 NE1B          59  5      TI2OY         59  07
QSO:  3781 PH 2018-10-28 0346 NE1B          59  5      HA8RM         59  15
QSO:  3784 PH 2018-10-28 0346 NE1B          59  5      UW7LL         59  16
QSO:  3791 PH 2018-10-28 0349 NE1B          59  5      ED3M          59  14
QSO:  3795 PH 2018-10-28 0352 NE1B          59  5      S57AL         59  15
QSO:  3716 PH 2018-10-28 0355 NE1B          59  5      SN8B          59  15
QSO:  3661 PH 2018-10-28 0357 NE1B          59  5      LY7Z          59  15
QSO:  3669 PH 2018-10-28 0400 NE1B          59  5      G4L           59  14
QSO:  3741 PH 2018-10-28 0404 NE1B          59  5      PJ2T          59  09
QSO:  3751 PH 2018-10-28 0407 NE1B          59  5      OS8A          59  14
QSO:  3753 PH 2018-10-28 0408 NE1B          59  5      IZ6FXP        59  15
QSO:  3675 PH 2018-10-28 0414 NE1B          59  5      HI3T          59  08
QSO:  3725 PH 2018-10-28 0417 NE1B          59  5      IR2L          59  15
QSO:  7138 PH 2018-10-28 1026 NE1B          59  5      KC7V          59  03
QSO:  7140 PH 2018-10-28 1027 NE1B          59  5      V26B          59  08
QSO:  7153 PH 2018-10-28 1027 NE1B          59  5      N9RV          59  04
QSO:  7155 PH 2018-10-28 1028 NE1B          59  5      VP2MDG        59  08
QSO:  7172 PH 2018-10-28 1030 NE1B          59  5      OA4O          59  10
QSO:  7178 PH 2018-10-28 1032 NE1B          59  5      CB1H          59  12
QSO:  7199 PH 2018-10-28 1035 NE1B          59  5      TO1J          59  08
QSO:  7143 PH 2018-10-28 1040 NE1B          59  5      VO1GRC        59  05
QSO:  7165 PH 2018-10-28 1043 NE1B          59  5      PJ4G          59  09
QSO:  7186 PH 2018-10-28 1045 NE1B          59  5      P40T          59  09
QSO:  7193 PH 2018-10-28 1047 NE1B          59  5      4M6R          59  09
QSO:  7202 PH 2018-10-28 1048 NE1B          59  5      ZL1RQ         59  32
QSO:  7203 PH 2018-10-28 1048 NE1B          59  5      YW5DX         59  09
QSO:  7161 PH 2018-10-28 1055 NE1B          59  5      HI3LT         59  08
QSO:  7208 PH 2018-10-28 1059 NE1B          59  5      HI3T          59  08
END-OF-LOG:
