START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: 4U73B
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 6150
NAME: Pezer Ivo
OPERATORS: 9A3A
CLUB:
CERTIFICATE: NO
CREATED-BY: DXLog.net v2.3.16
SOAPBOX: Just a couple of hours operation accessing 4U1GSC station remotely.
QSO:  7151 PH 2018-10-28 1823 4U73B         59  15     OZ1KVM        59  14     0
QSO:  7151 PH 2018-10-28 1823 4U73B         59  15     R4LR          59  16     0
QSO:  7151 PH 2018-10-28 1824 4U73B         59  15     RO2E          59  16     0
QSO:  7151 PH 2018-10-28 1824 4U73B         59  15     UA9MA         59  17     0
QSO:  7151 PH 2018-10-28 1825 4U73B         59  15     R6FY          59  16     0
QSO:  7151 PH 2018-10-28 1825 4U73B         59  15     RT0C          59  19     0
QSO:  7151 PH 2018-10-28 1825 4U73B         59  15     UI8J          59  17     0
QSO:  7151 PH 2018-10-28 1825 4U73B         59  15     US7IY         59  16     0
QSO:  7151 PH 2018-10-28 1826 4U73B         59  15     LY1FW         59  15     0
QSO:  7151 PH 2018-10-28 1826 4U73B         59  15     BA7JA         59  24     0
QSO:  7151 PH 2018-10-28 1826 4U73B         59  15     DL5L          59  14     0
QSO:  7151 PH 2018-10-28 1826 4U73B         59  15     OZ5EV         59  14     0
QSO:  7151 PH 2018-10-28 1827 4U73B         59  15     UA4S          59  16     0
QSO:  7151 PH 2018-10-28 1827 4U73B         59  15     UV2IZ         59  16     0
QSO:  7151 PH 2018-10-28 1827 4U73B         59  15     UA9SMU        59  16     0
QSO:  7151 PH 2018-10-28 1828 4U73B         59  15     OE3TWA        59  15     0
QSO:  7151 PH 2018-10-28 1828 4U73B         59  15     DL5GAC        59  14     0
QSO:  7151 PH 2018-10-28 1829 4U73B         59  15     JI2ZJS        59  25     0
QSO:  7151 PH 2018-10-28 1829 4U73B         59  15     DQ1P          59  14     0
QSO:  7151 PH 2018-10-28 1829 4U73B         59  15     OR2M          59  14     0
QSO:  7151 PH 2018-10-28 1829 4U73B         59  15     SO4R          59  15     0
QSO:  7151 PH 2018-10-28 1830 4U73B         59  15     RC6U          59  16     0
QSO:  7151 PH 2018-10-28 1830 4U73B         59  15     RK9UE         59  18     0
QSO:  7151 PH 2018-10-28 1830 4U73B         59  15     SQ2WHH        59  15     0
QSO:  7151 PH 2018-10-28 1830 4U73B         59  15     PI4M          59  14     0
QSO:  7151 PH 2018-10-28 1831 4U73B         59  15     LY5T          59  15     0
QSO:  7151 PH 2018-10-28 1831 4U73B         59  15     DP6T          59  14     0
QSO:  7151 PH 2018-10-28 1831 4U73B         59  15     3Z5A          59  15     0
QSO:  7151 PH 2018-10-28 1831 4U73B         59  15     TA7MVL        59  20     0
QSO:  7151 PH 2018-10-28 1832 4U73B         59  15     DP7D          59  14     0
QSO:  7151 PH 2018-10-28 1832 4U73B         59  15     US7UW         59  16     0
QSO:  7151 PH 2018-10-28 1833 4U73B         59  15     SQ8LUU        59  15     0
QSO:  7151 PH 2018-10-28 1834 4U73B         59  15     UW5ZM         59  16     0
QSO:  7151 PH 2018-10-28 1834 4U73B         59  15     OK2PAY        59  15     0
QSO:  7151 PH 2018-10-28 1835 4U73B         59  15     C4A           59  20     0
QSO:  7151 PH 2018-10-28 1835 4U73B         59  15     RA3Y          59  16     0
QSO:  7151 PH 2018-10-28 1835 4U73B         59  15     YL7A          59  15     0
QSO:  7151 PH 2018-10-28 1836 4U73B         59  15     DR5N          59  14     0
QSO:  7151 PH 2018-10-28 1836 4U73B         59  15     PI4COM        59  14     0
QSO:  7151 PH 2018-10-28 1836 4U73B         59  15     LY5W          59  15     0
QSO:  7151 PH 2018-10-28 1836 4U73B         59  15     DM4M          59  14     0
QSO:  7151 PH 2018-10-28 1837 4U73B         59  15     ON6LR         59  14     0
QSO:  7151 PH 2018-10-28 1837 4U73B         59  15     UT5GW         59  16     0
QSO:  7151 PH 2018-10-28 1837 4U73B         59  15     DL4SKF        59  14     0
QSO:  7151 PH 2018-10-28 1838 4U73B         59  15     PA3MRO        59  14     0
QSO:  7151 PH 2018-10-28 1838 4U73B         59  15     YL2SW         59  14     0
QSO:  7151 PH 2018-10-28 1839 4U73B         59  15     DK5EZ         59  14     0
QSO:  7151 PH 2018-10-28 1840 4U73B         59  15     SO5L          59  15     0
QSO:  7151 PH 2018-10-28 1840 4U73B         59  15     DJ3DQ         59  14     0
QSO:  7151 PH 2018-10-28 1840 4U73B         59  15     DQ5M          59  14     0
QSO:  7151 PH 2018-10-28 1840 4U73B         59  15     JA3YBK        59  25     0
QSO:  7151 PH 2018-10-28 1842 4U73B         59  15     DF8XC         59  14     0
QSO:  7151 PH 2018-10-28 1842 4U73B         59  15     ES3V          59  15     0
QSO:  7151 PH 2018-10-28 1843 4U73B         59  15     RN6DR         59  16     0
QSO:  7151 PH 2018-10-28 1843 4U73B         59  15     4X6TT         59  20     0
QSO:  7151 PH 2018-10-28 1844 4U73B         59  15     SP1RKR        59  15     0
QSO:  7151 PH 2018-10-28 2327 4U73B         59  15     KC1XX         59  05     0
QSO:  7126 PH 2018-10-28 2332 4U73B         59  15     A44A          59  21     0
QSO:  7169 PH 2018-10-28 2339 4U73B         59  15     W3LPL         59  05     0
END-OF-LOG:
