START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL7CX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 580720
NAME: Olaf Brunner
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0
SOAPBOX: During a GMA (global mountain activity) I used dl7cx/p with qrp.
SOAPBOX: I hope that is not too be confused
SOAPBOX: because the maintime I was in the contest with dl7cx only.
SOAPBOX: On the end I made the 2 logs together. 73 Olaf
QSO: 21271 PH 2018-10-27 1309 DL7CX         59  14     PX2A          59  11     0
QSO: 21175 PH 2018-10-27 1310 DL7CX         59  14     PJ4G          59  09     0
QSO: 21163 PH 2018-10-27 1310 DL7CX         59  14     CQ3W          59  33     0
QSO: 21203 PH 2018-10-27 1311 DL7CX         59  14     ZF9CW         59  08     0
QSO: 21207 PH 2018-10-27 1311 DL7CX         59  14     W3LPL         59  05     0
QSO: 21248 PH 2018-10-27 1312 DL7CX         59  14     TF2R          59  40     0
QSO: 21306 PH 2018-10-27 1313 DL7CX         59  14     NR3X          59  05     0
QSO: 21249 PH 2018-10-27 1315 DL7CX         59  14     CM2RSV        59  08     0
QSO: 21224 PH 2018-10-27 1315 DL7CX         59  14     KP3Z          59  08     0
QSO: 14200 PH 2018-10-27 1413 DL7CX         59  14     TM3Z          59  14     0
QSO: 14200 PH 2018-10-27 1415 DL7CX         59  14     EM2G          59  16     0
QSO: 14200 PH 2018-10-27 1419 DL7CX         59  14     OH8X          59  15     0
QSO: 14200 PH 2018-10-27 1420 DL7CX         59  14     SX2X          59  20     0
QSO: 14200 PH 2018-10-27 1423 DL7CX         59  14     CN3A          59  33     0
QSO: 14200 PH 2018-10-27 1422 DL7CX         59  14     UA6LUG        59  16     0
QSO: 14200 PH 2018-10-27 1426 DL7CX         59  14     P33W          59  20     0
QSO: 14200 PH 2018-10-27 1428 DL7CX         59  14     CR6P          59  14     0
