START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: N4ETC
LOCATION: NC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 13122
NAME: Eden Crowson
OPERATORS: N4ETC
CLUB: NORTH CAROLINA DX AND CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7182.0
SOAPBOX: Had lots of fun picking up new DXCC entities!
QSO: 14000 PH 2018-10-27 2257 N4ETC         59  5      ZF1A          59  08
QSO: 14000 PH 2018-10-27 2300 N4ETC         59  5      PY2COY        59  11
QSO: 14000 PH 2018-10-27 2301 N4ETC         59  5      ZW5B          59  11
QSO: 14000 PH 2018-10-27 2302 N4ETC         59  5      K7UT          59  03
QSO: 14000 PH 2018-10-27 2303 N4ETC         59  5      VE7GL         59  03
QSO: 14000 PH 2018-10-27 2306 N4ETC         59  5      JA7ZFN        59  25
QSO: 14000 PH 2018-10-27 2310 N4ETC         59  5      KL7RA         59  01
QSO: 14000 PH 2018-10-27 2312 N4ETC         59  5      ZY2A          59  11
QSO: 14000 PH 2018-10-27 2313 N4ETC         59  5      W0GJ          59  04
QSO: 14000 PH 2018-10-27 2318 N4ETC         59  5      PW2COY        59  11
QSO: 14000 PH 2018-10-27 2320 N4ETC         59  5      LT1F          59  13
QSO: 14000 PH 2018-10-27 2324 N4ETC         59  5      ZP6A          59  11
QSO: 14000 PH 2018-10-27 2326 N4ETC         59  5      4M1K          59  09
QSO: 14000 PH 2018-10-27 2327 N4ETC         59  5      NH7A          59  31
QSO:  7000 PH 2018-10-27 2334 N4ETC         59  5      VE6FI         59  04
QSO:  7000 PH 2018-10-28 0105 N4ETC         59  5      HI3T          59  08
QSO:  7000 PH 2018-10-28 0110 N4ETC         59  5      K4AJA/VP9     59  05
QSO:  7000 PH 2018-10-28 0120 N4ETC         59  5      AA4LS         59  05
QSO: 28000 PH 2018-10-28 0120 N4ETC         59  5      AA4LS         59  05
QSO: 14000 PH 2018-10-28 0120 N4ETC         59  5      AA4LS         59  05
QSO:  3500 PH 2018-10-28 0121 N4ETC         59  5      AA4LS         59  05
QSO:  7000 PH 2018-10-28 0125 N4ETC         59  5      PZ5K          59  09
QSO:  7000 PH 2018-10-28 1045 N4ETC         59  5      KP2M          59  08
QSO:  7000 PH 2018-10-28 1050 N4ETC         59  5      VE7NY         59  03
QSO:  7000 PH 2018-10-28 1056 N4ETC         59  5      VK4KW         59  30
QSO:  7000 PH 2018-10-28 1110 N4ETC         59  5      P40W          59  09
QSO: 21000 PH 2018-10-28 1443 N4ETC         59  5      MI0M          59  14
QSO: 21000 PH 2018-10-28 1509 N4ETC         59  5      PJ4Q          59  09
QSO: 21000 PH 2018-10-28 1543 N4ETC         59  5      FY5KE         59  09
QSO: 21000 PH 2018-10-28 1548 N4ETC         59  5      EF8R          59  33
QSO: 14000 PH 2018-10-28 2227 N4ETC         59  5      FY5KE         59  09
QSO: 14000 PH 2018-10-28 2228 N4ETC         59  5      PJ2T          59  09
QSO: 14000 PH 2018-10-28 2233 N4ETC         59  5      AL1G          59  01
QSO: 14000 PH 2018-10-28 2235 N4ETC         59  5      KP3Z          59  08
QSO:  7000 PH 2018-10-28 2239 N4ETC         59  5      EF8R          59  33
QSO:  7000 PH 2018-10-28 2250 N4ETC         59  5      VC3R          59  04
QSO:  7000 PH 2018-10-28 2333 N4ETC         59  5      VY2ZM         59  05
QSO:  7000 PH 2018-10-28 2337 N4ETC         59  5      PJ4Q          59  09
QSO:  7000 PH 2018-10-28 2352 N4ETC         59  5      KL7RA         59  01
QSO: 14000 PH 2018-10-28 2356 N4ETC         59  5      KH6J          59  31
END-OF-LOG:
