START-OF-LOG: 3.0
CALLSIGN: G3RTU
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 38220
NAME: Keith Kahn
LOCATION: DX
OPERATORS: G3RTU
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger V12.1.4
SOAPBOX: Only able to operate part time. Running just 40w
QSO:  7059 RY 2017-02-11 1720 G3RTU         599 0096   P3X           599 0675
QSO:  7043 RY 2017-02-11 1724 G3RTU         599 0097   DP9A          599 0269
QSO:  7048 RY 2017-02-11 1725 G3RTU         599 0098   IQ2CJ         599 0102
QSO:  7060 RY 2017-02-11 2009 G3RTU         599 0099   IZ4NIC        599 0776
QSO:  7042 RY 2017-02-11 2015 G3RTU         599 0100   CT7AJL        599 0535
QSO:  7066 RY 2017-02-11 2018 G3RTU         599 0101   EA5GIE        599 0140
QSO:  7051 RY 2017-02-11 2024 G3RTU         599 0102   EC1DBO        599 0842
QSO:  7075 RY 2017-02-11 2031 G3RTU         599 0103   E73Y          599 0246
QSO:  7080 RY 2017-02-11 2039 G3RTU         599 0104   IW0SAF        599 0038
QSO:  7097 RY 2017-02-11 2121 G3RTU         599 0105   IK0XBX        599 0093
QSO:  7058 RY 2017-02-12 0505 G3RTU         599 0106   IQ9UI         599 1817
QSO:  7072 RY 2017-02-12 0507 G3RTU         599 0107   F6CXJ         599 0124
QSO:  3595 RY 2017-02-12 0534 G3RTU         599 0108   DP7D          599 0608
QSO:  7039 RY 2017-02-12 0618 G3RTU         599 0109   HF9M          599 1105
QSO:  7069 RY 2017-02-12 0625 G3RTU         599 0110   IK3TPP        599 0613
QSO:  7061 RY 2017-02-12 0633 G3RTU         599 0111   DM5TI         599 0698
QSO:  7097 RY 2017-02-12 2249 G3RTU         599 0112   4M1K          599 1225
QSO:  7073 RY 2017-02-12 2250 G3RTU         599 0113   SN7Q          599 2493
QSO:  7063 RY 2017-02-12 2255 G3RTU         599 0114   E79D          599 0473
QSO:  7052 RY 2017-02-12 2256 G3RTU         599 0115   9A6NA         599 0716
QSO:  7083 RY 2017-02-12 2304 G3RTU         599 0116   SO4M          599 1210
QSO:  7061 RY 2017-02-12 2311 G3RTU         599 0117   LZ5K          599 0996
QSO:  7041 RY 2017-02-12 2329 G3RTU         599 0118   HG17EYOF      599 2945
QSO:  7059 RY 2017-02-12 2331 G3RTU         599 0119   AA5AU         599 0969
QSO:  7093 RY 2017-02-12 2337 G3RTU         599 0120   AK1W          599 2459
END-OF-LOG:
