START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: HC2GRC
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: FI07BS
CLAIMED-SCORE: 1421880
NAME: GRC
OPERATORS: HC2AO HC2DR HC2IC HC2TKV HC2TPR HC2TMW HC2TVK HC2TRL
CREATED-BY: N1MM Logger+ 1.0.9319.0
SOAPBOX: We were Low Power on all bands this time.73
QSO: 14000 PH 2021-10-30 0232 HC2GRC 59   10 LU9MBY 59   13 
QSO: 14000 PH 2021-10-30 0233 HC2GRC 59   10 PY2IG  59   11 
QSO: 14000 PH 2021-10-30 0234 HC2GRC 59   10 KH6CJJ 59   31 
QSO:  7000 PH 2021-10-30 0235 HC2GRC 59   10 W7YAQ  59   03 
QSO:  7000 PH 2021-10-30 0235 HC2GRC 59   10 K3EST  59   03 
QSO:  7000 PH 2021-10-30 0239 HC2GRC 59   10 N5ZC   59   04 
QSO:  7000 PH 2021-10-30 0239 HC2GRC 59   10 K1TTT  59   05 
QSO:  7000 PH 2021-10-30 0239 HC2GRC 59   10 KC1XX  59   05 
QSO:  7000 PH 2021-10-30 0239 HC2GRC 59   10 K1CC   59   05 
QSO:  7000 PH 2021-10-30 0240 HC2GRC 59   10 CB4T   59   12 
QSO:  7000 PH 2021-10-30 0240 HC2GRC 59   10 K9CT   59   04 
QSO:  7000 PH 2021-10-30 0240 HC2GRC 59   10 AA4VT  59   05 
QSO:  7000 PH 2021-10-30 0240 HC2GRC 59   10 WD0BGZ 59   04 
QSO:  7000 PH 2021-10-30 0240 HC2GRC 59   10 K3ZU   59   05 
QSO:  7000 PH 2021-10-30 0240 HC2GRC 59   10 AB3CX  59   05 
QSO:  7000 PH 2021-10-30 0241 HC2GRC 59   10 NA2U   59   03 
QSO:  7000 PH 2021-10-30 0241 HC2GRC 59   10 WA3C   59   04 
QSO:  7000 PH 2021-10-30 0241 HC2GRC 59   10 K6XX   59   03 
QSO: 14000 PH 2021-10-30 0241 HC2GRC 59   10 XQ7IR  59   12 
QSO:  7000 PH 2021-10-30 0241 HC2GRC 59   10 N8BI   59   04 
QSO:  7000 PH 2021-10-30 0241 HC2GRC 59   10 NU4E   59   05 
QSO:  7000 PH 2021-10-30 0242 HC2GRC 59   10 W0ERP  59   04 
QSO:  7000 PH 2021-10-30 0242 HC2GRC 59   10 N1RR   59   05 
QSO:  7000 PH 2021-10-30 0242 HC2GRC 59   10 NG7M   59   03 
QSO:  7000 PH 2021-10-30 0242 HC2GRC 59   10 W6YX   59   03 
QSO:  7000 PH 2021-10-30 0242 HC2GRC 59   10 NB1U   59   05 
QSO:  7000 PH 2021-10-30 0243 HC2GRC 59   10 W1JQ   59   05 
QSO:  7000 PH 2021-10-30 0243 HC2GRC 59   10 KC3PIB 59   05 
QSO:  7000 PH 2021-10-30 0243 HC2GRC 59   10 N0FUK  59   04 
QSO:  7000 PH 2021-10-30 0243 HC2GRC 59   10 W9ZCL  59   04 
QSO:  7000 PH 2021-10-30 0244 HC2GRC 59   10 VE3EJ  59   04 
QSO:  7000 PH 2021-10-30 0244 HC2GRC 59   10 N3AML  59   05 
QSO:  7000 PH 2021-10-30 0244 HC2GRC 59   10 VA2EBI 59   05 
QSO:  7000 PH 2021-10-30 0244 HC2GRC 59   10 N0NZG  59   04 
QSO:  7000 PH 2021-10-30 0244 HC2GRC 59   10 KC8YDS 59   04 
QSO:  7000 PH 2021-10-30 0244 HC2GRC 59   10 W0PR   59   04 
QSO:  7000 PH 2021-10-30 0245 HC2GRC 59   10 N2IC   59   04 
QSO:  7000 PH 2021-10-30 0245 HC2GRC 59   10 NX8Y   59   04 
QSO: 14000 PH 2021-10-30 0245 HC2GRC 59   10 OA4O   59   10 
QSO:  7000 PH 2021-10-30 0246 HC2GRC 59   10 K3PA   59   04 
QSO:  7000 PH 2021-10-30 0246 HC2GRC 59   10 W4RM   59   05 
QSO:  7000 PH 2021-10-30 0246 HC2GRC 59   10 K1KD   59   04 
QSO:  7000 PH 2021-10-30 0246 HC2GRC 59   10 WB0CHS 59   04 
QSO:  7000 PH 2021-10-30 0246 HC2GRC 59   10 W5GN   59   04 
QSO:  7000 PH 2021-10-30 0247 HC2GRC 59   10 W2CG   59   05 
QSO: 14000 PH 2021-10-30 0247 HC2GRC 59   10 HC4CS  59   10 
QSO:  7000 PH 2021-10-30 0247 HC2GRC 59   10 K8AZ   59   04 
QSO:  7000 PH 2021-10-30 0247 HC2GRC 59   10 N5YT   59   04 
QSO:  7000 PH 2021-10-30 0247 HC2GRC 59   10 N5HC   59   04 
QSO:  7000 PH 2021-10-30 0247 HC2GRC 59   10 AE0A   59   04 
QSO:  7000 PH 2021-10-30 0248 HC2GRC 59   10 WA7AN  59   03 
QSO: 14000 PH 2021-10-30 0248 HC2GRC 59   10 6D1CRG 59   06 
QSO:  7000 PH 2021-10-30 0248 HC2GRC 59   10 N6AA   59   03 
QSO:  7000 PH 2021-10-30 0249 HC2GRC 59   10 W3LPL  59   05 
QSO:  7000 PH 2021-10-30 0249 HC2GRC 59   10 W1HS   59   05 
QSO:  7000 PH 2021-10-30 0249 HC2GRC 59   10 W7OM   59   03 
QSO:  7000 PH 2021-10-30 0250 HC2GRC 59   10 AJ4A   59   04 
QSO:  7000 PH 2021-10-30 0250 HC2GRC 59   10 W6YI   59   03 
QSO:  7000 PH 2021-10-30 0251 HC2GRC 59   10 AC8AG  59   04 
QSO:  7000 PH 2021-10-30 0251 HC2GRC 59   10 WX1S   59   05 
QSO:  7000 PH 2021-10-30 0252 HC2GRC 59   10 K3CCR  59   05 
QSO:  7000 PH 2021-10-30 0252 HC2GRC 59   10 N0HJZ  59   04 
QSO:  7000 PH 2021-10-30 0252 HC2GRC 59   10 W2A    59   05 
QSO:  7000 PH 2021-10-30 0253 HC2GRC 59   10 AG3I   59   05 
QSO:  7000 PH 2021-10-30 0253 HC2GRC 59   10 K1OFO  59   05 
QSO:  7000 PH 2021-10-30 0253 HC2GRC 59   10 WY3A   59   05 
QSO:  7000 PH 2021-10-30 0254 HC2GRC 59   10 W3GM   59   05 
QSO:  7000 PH 2021-10-30 0254 HC2GRC 59   10 W3FIZ  59   05 
QSO:  7000 PH 2021-10-30 0254 HC2GRC 59   10 K2CJ   59   05 
QSO:  7000 PH 2021-10-30 0255 HC2GRC 59   10 AK3B   59   05 
QSO:  7000 PH 2021-10-30 0255 HC2GRC 59   10 W8FJ   59   05 
QSO:  7000 PH 2021-10-30 0255 HC2GRC 59   10 K8CX   59   04 
QSO:  7000 PH 2021-10-30 0255 HC2GRC 59   10 K3PP   59   05 
QSO:  7000 PH 2021-10-30 0255 HC2GRC 59   10 NE3F   59   05 
QSO: 14000 PH 2021-10-30 0255 HC2GRC 59   10 PP2DX  59   11 
QSO:  7000 PH 2021-10-30 0255 HC2GRC 59   10 KA3YJM 59   05 
QSO:  7000 PH 2021-10-30 0256 HC2GRC 59   10 WA3EKL 59   05 
QSO:  7000 PH 2021-10-30 0256 HC2GRC 59   10 W4STY  59   05 
QSO:  7000 PH 2021-10-30 0256 HC2GRC 59   10 AD4EB  59   04 
QSO:  7000 PH 2021-10-30 0256 HC2GRC 59   10 WR2G   59   05 
QSO:  7000 PH 2021-10-30 0256 HC2GRC 59   10 K3WW   59   05 
QSO:  7000 PH 2021-10-30 0256 HC2GRC 59   10 K2AX   59   05 
QSO:  7000 PH 2021-10-30 0257 HC2GRC 59   10 W3PP   59   05 
QSO:  7000 PH 2021-10-30 0257 HC2GRC 59   10 W2LU   59   05 
QSO:  7000 PH 2021-10-30 0257 HC2GRC 59   10 N2SR   59   05 
QSO:  7000 PH 2021-10-30 0257 HC2GRC 59   10 KA2K   59   05 
QSO: 14000 PH 2021-10-30 0257 HC2GRC 59   10 CO8RH  59   08 
QSO:  7000 PH 2021-10-30 0257 HC2GRC 59   10 K3LR   59   05 
QSO:  7000 PH 2021-10-30 0257 HC2GRC 59   10 K1BX   59   05 
QSO:  7000 PH 2021-10-30 0257 HC2GRC 59   10 VA3PDX 59   04 
QSO: 14000 PH 2021-10-30 0258 HC2GRC 59   10 HK4KM  59   09 
QSO:  7000 PH 2021-10-30 0258 HC2GRC 59   10 N2MM   59   05 
QSO:  7000 PH 2021-10-30 0258 HC2GRC 59   10 W4NF   59   05 
QSO: 14000 PH 2021-10-30 0258 HC2GRC 59   10 HK4W   59   09 
QSO:  7000 PH 2021-10-30 0258 HC2GRC 59   10 K9RS   59   05 
QSO:  7000 PH 2021-10-30 0259 HC2GRC 59   10 N5RZ   59   04 
QSO:  7000 PH 2021-10-30 0259 HC2GRC 59   10 K4RM   59   05 
QSO:  7000 PH 2021-10-30 0259 HC2GRC 59   10 N3RS   59   05 
QSO:  7000 PH 2021-10-30 0259 HC2GRC 59   10 K0JJR  59   04 
QSO:  7000 PH 2021-10-30 0300 HC2GRC 59   10 W8VI   59   04 
QSO:  7000 PH 2021-10-30 0300 HC2GRC 59   10 WX7F   59   04 
QSO:  7000 PH 2021-10-30 0300 HC2GRC 59   10 AA3B   59   05 
QSO:  7000 PH 2021-10-30 0300 HC2GRC 59   10 K4ZW   59   05 
QSO:  7000 PH 2021-10-30 0301 HC2GRC 59   10 K4AB   59   04 
QSO:  7000 PH 2021-10-30 0301 HC2GRC 59   10 K3IB   59   05 
QSO:  7000 PH 2021-10-30 0301 HC2GRC 59   10 K1DG   59   05 
QSO:  7000 PH 2021-10-30 0301 HC2GRC 59   10 K2RD   59   03 
QSO:  7000 PH 2021-10-30 0301 HC2GRC 59   10 W3MF   59   05 
QSO:  7000 PH 2021-10-30 0301 HC2GRC 59   10 W1GD   59   05 
QSO:  7000 PH 2021-10-30 0302 HC2GRC 59   10 K3AJ   59   05 
QSO:  7000 PH 2021-10-30 0302 HC2GRC 59   10 WN2X   59   05 
QSO:  7000 PH 2021-10-30 0302 HC2GRC 59   10 N2DVQ  59   05 
QSO:  7000 PH 2021-10-30 0303 HC2GRC 59   10 NL7WA  59   05 
QSO:  7000 PH 2021-10-30 0303 HC2GRC 59   10 KK6P   59   03 
QSO:  7000 PH 2021-10-30 0303 HC2GRC 59   10 K5LJ   59   04 
QSO:  7000 PH 2021-10-30 0303 HC2GRC 59   10 K9TWW  59   04 
QSO:  7000 PH 2021-10-30 0304 HC2GRC 59   10 VE2IDX 59   02 
QSO:  7000 PH 2021-10-30 0304 HC2GRC 59   10 KQ3F   59   05 
QSO:  7000 PH 2021-10-30 0305 HC2GRC 59   10 W9HT   59   04 
QSO:  7000 PH 2021-10-30 0305 HC2GRC 59   10 WO4ROG 59   05 
QSO:  7000 PH 2021-10-30 0306 HC2GRC 59   10 N4RA   59   05 
QSO:  7000 PH 2021-10-30 0306 HC2GRC 59   10 KB7RJ  59   03 
QSO:  7000 PH 2021-10-30 0306 HC2GRC 59   10 PJ2T   59   09 
QSO:  7000 PH 2021-10-30 0306 HC2GRC 59   10 NN3Q   59   05 
QSO:  7000 PH 2021-10-30 0307 HC2GRC 59   10 W2TT   59   05 
QSO:  7000 PH 2021-10-30 0307 HC2GRC 59   10 K3DNE  59   05 
QSO:  7000 PH 2021-10-30 0308 HC2GRC 59   10 WA2CP  59   05 
QSO:  7000 PH 2021-10-30 0308 HC2GRC 59   10 N6RV   59   03 
QSO:  7000 PH 2021-10-30 0308 HC2GRC 59   10 WA2VYA 59   04 
QSO:  7000 PH 2021-10-30 0309 HC2GRC 59   10 LU7MT  59   13 
QSO:  7000 PH 2021-10-30 0309 HC2GRC 59   10 K2ZR   59   05 
QSO:  7000 PH 2021-10-30 0309 HC2GRC 59   10 K9BGL  59   04 
QSO:  7000 PH 2021-10-30 0309 HC2GRC 59   10 K8LX   59   04 
QSO:  7000 PH 2021-10-30 0309 HC2GRC 59   10 KB1QU  59   05 
QSO:  7000 PH 2021-10-30 0310 HC2GRC 59   10 K9OM   59   04 
QSO:  7000 PH 2021-10-30 0312 HC2GRC 59   10 K3SW   59   05 
QSO:  7000 PH 2021-10-30 0312 HC2GRC 59   10 CF3A   59   04 
QSO:  7000 PH 2021-10-30 0313 HC2GRC 59   10 WB0TEV 59   04 
QSO:  7000 PH 2021-10-30 0314 HC2GRC 59   10 W2UM   59   05 
QSO:  7000 PH 2021-10-30 0315 HC2GRC 59   10 WE9R   59   04 
QSO:  7000 PH 2021-10-30 0315 HC2GRC 59   10 K2EP   59   05 
QSO:  7000 PH 2021-10-30 0316 HC2GRC 59   10 W0HXL  59   04 
QSO:  7000 PH 2021-10-30 0316 HC2GRC 59   10 K1KP   59   05 
QSO:  7000 PH 2021-10-30 0317 HC2GRC 59   10 W8BI   59   04 
QSO:  7000 PH 2021-10-30 0317 HC2GRC 59   10 K4FJW  59   05 
QSO:  7000 PH 2021-10-30 0321 HC2GRC 59   10 N6AR   59   05 
QSO:  7000 PH 2021-10-30 0321 HC2GRC 59   10 NW3Y   59   05 
QSO:  7000 PH 2021-10-30 0322 HC2GRC 59   10 K5PAR  59   04 
QSO:  7000 PH 2021-10-30 0324 HC2GRC 59   10 W7WA   59   03 
QSO:  7000 PH 2021-10-30 0336 HC2GRC 59   10 WX3B   59   05 
QSO:  7000 PH 2021-10-30 0339 HC2GRC 59   10 KU5MEC 59   04 
QSO:  7000 PH 2021-10-30 0340 HC2GRC 59   10 K1KA   59   05 
QSO:  7000 PH 2021-10-30 0342 HC2GRC 59   10 AB1JV  59   05 
QSO:  7000 PH 2021-10-30 0346 HC2GRC 59   10 W2OIB  59   05 
QSO: 14000 PH 2021-10-30 0356 HC2GRC 59   10 RM8L   59   17 
QSO: 14000 PH 2021-10-30 0357 HC2GRC 59   10 YQ6A   59   20 
QSO: 14000 PH 2021-10-30 0357 HC2GRC 59   10 OM7M   59   15 
QSO: 14000 PH 2021-10-30 0358 HC2GRC 59   10 YT1Z   59   15 
QSO: 14000 PH 2021-10-30 0358 HC2GRC 59   10 LZ5R   59   20 
QSO: 14000 PH 2021-10-30 0358 HC2GRC 59   10 OL9Z   59   15 
QSO: 14000 PH 2021-10-30 0358 HC2GRC 59   10 OK5Z   59   15 
QSO: 14000 PH 2021-10-30 0359 HC2GRC 59   10 DA2X   59   14 
QSO: 14000 PH 2021-10-30 0359 HC2GRC 59   10 SP8R   59   15 
QSO: 14000 PH 2021-10-30 0359 HC2GRC 59   10 PP4T   59   14 
QSO: 14000 PH 2021-10-30 0400 HC2GRC 59   10 JA6ZPR 59   25 
QSO: 14000 PH 2021-10-30 0400 HC2GRC 59   10 OG6N   59   15 
QSO: 14000 PH 2021-10-30 0400 HC2GRC 59   10 UN7QF  59   17 
QSO: 14000 PH 2021-10-30 0401 HC2GRC 59   10 JR8AMF 59   25 
QSO: 14000 PH 2021-10-30 0401 HC2GRC 59   10 OM3CW  59   15 
QSO: 14000 PH 2021-10-30 0401 HC2GRC 59   10 HC1QRC 59   10 
QSO: 14000 PH 2021-10-30 0402 HC2GRC 59   10 S51YI  59   15 
QSO: 14000 PH 2021-10-30 0402 HC2GRC 59   10 HG5A   59   15 
QSO: 14000 PH 2021-10-30 0402 HC2GRC 59   10 UA9MA  59   17 
QSO: 14000 PH 2021-10-30 0403 HC2GRC 59   10 OH8X   59   15 
QSO: 14000 PH 2021-10-30 0404 HC2GRC 59   10 RG9A   59   17 
QSO: 14000 PH 2021-10-30 0404 HC2GRC 59   10 HA3HA  59   15 
QSO: 14000 PH 2021-10-30 0405 HC2GRC 59   10 JI2ZJS 59   25 
QSO: 14000 PH 2021-10-30 0405 HC2GRC 59   10 RU1A   59   16 
QSO: 14000 PH 2021-10-30 0405 HC2GRC 59   10 E7CW   59   15 
QSO: 14000 PH 2021-10-30 0406 HC2GRC 59   10 UA9BA  59   17 
QSO: 14000 PH 2021-10-30 0406 HC2GRC 59   10 LU7MT  59   13 
QSO: 14000 PH 2021-10-30 0407 HC2GRC 59   10 LN8W   59   14 
QSO: 14000 PH 2021-10-30 0408 HC2GRC 59   10 E7DX   59   15 
QSO: 14000 PH 2021-10-30 0408 HC2GRC 59   10 ES9C   59   15 
QSO: 14000 PH 2021-10-30 0409 HC2GRC 59   10 OK1TD  59   15 
QSO: 14000 PH 2021-10-30 0410 HC2GRC 59   10 IB9T   59   15 
QSO: 14000 PH 2021-10-30 0411 HC2GRC 59   10 LN2T   59   14 
QSO: 14000 PH 2021-10-30 0411 HC2GRC 59   10 ZL4AS  59   32 
QSO: 14000 PH 2021-10-30 0412 HC2GRC 59   10 S52BB  59   15 
QSO: 14000 PH 2021-10-30 0412 HC2GRC 59   10 ZM4T   59   32 
QSO: 14000 PH 2021-10-30 0413 HC2GRC 59   10 IV3ZYB 59   15 
QSO: 14000 PH 2021-10-30 0413 HC2GRC 59   10 YT1A   59   15 
QSO: 14000 PH 2021-10-30 0413 HC2GRC 59   10 TI3SAC 59   07 
QSO: 14000 PH 2021-10-30 0417 HC2GRC 59   10 S52OT  59   15 
QSO: 14000 PH 2021-10-30 0418 HC2GRC 59   10 CE5NK  59   12 
QSO: 14000 PH 2021-10-30 0418 HC2GRC 59   10 SJ2W   59   14 
QSO: 14000 PH 2021-10-30 0419 HC2GRC 59   10 LW5HR  59   13 
QSO: 14000 PH 2021-10-30 0420 HC2GRC 59   10 YT5A   59   15 
QSO: 14000 PH 2021-10-30 0420 HC2GRC 59   10 CB4T   59   12 
QSO: 14000 PH 2021-10-30 0422 HC2GRC 59   10 PY2IG  59   11 
QSO: 14000 PH 2021-10-30 0423 HC2GRC 59   10 TI5GCO 59   07 
QSO:  3500 PH 2021-10-30 0424 HC2GRC 59   10 OM7M   59   15 
QSO:  3500 PH 2021-10-30 0426 HC2GRC 59   10 HC1QRC 59   10 
QSO: 14000 PH 2021-10-30 0426 HC2GRC 59   10 JR8VSE 59   25 
QSO:  3500 PH 2021-10-30 0428 HC2GRC 59   10 TM3R   59   14 
QSO: 14000 PH 2021-10-30 0428 HC2GRC 59   10 9A2EU  59   15 
QSO: 14000 PH 2021-10-30 0429 HC2GRC 59   10 II8K   59   15 
QSO: 14000 PH 2021-10-30 0431 HC2GRC 59   10 LZ9W   59   20 
QSO:  3500 PH 2021-10-30 0431 HC2GRC 59   10 E7DX   59   15 
QSO: 14000 PH 2021-10-30 0455 HC2GRC 59   10 JG4AKL 59   25 
QSO: 14000 PH 2021-10-30 0504 HC2GRC 59   10 HB9H   59   14 
QSO: 14000 PH 2021-10-30 0504 HC2GRC 59   10 JE1LFX 59   25 
QSO: 14000 PH 2021-10-30 0506 HC2GRC 59   10 JA2VHO 59   25 
QSO: 14000 PH 2021-10-30 0507 HC2GRC 59   10 JO4IPQ 59   25 
QSO: 14000 PH 2021-10-30 0508 HC2GRC 59   10 JE1BMJ 59   25 
QSO:  3500 PH 2021-10-30 0509 HC2GRC 59   10 RU1A   59   16 
QSO: 14000 PH 2021-10-30 0509 HC2GRC 59   10 9A7A   59   15 
QSO:  3500 PH 2021-10-30 0512 HC2GRC 59   10 YT5A   59   15 
QSO: 14000 PH 2021-10-30 0513 HC2GRC 59   10 F6KOP  59   14 
QSO: 14000 PH 2021-10-30 0515 HC2GRC 59   10 RA9Y   59   18 
QSO: 14000 PH 2021-10-30 0518 HC2GRC 59   10 HB9TOC 59   14 
QSO:  3500 PH 2021-10-30 0519 HC2GRC 59   10 CO2JD  59   08 
QSO: 14000 PH 2021-10-30 0520 HC2GRC 59   10 DM6DX  59   14 
QSO:  3500 PH 2021-10-30 0520 HC2GRC 59   10 SP8R   59   15 
QSO:  3500 PH 2021-10-30 0524 HC2GRC 59   10 ZF1A   59   08 
QSO: 14000 PH 2021-10-30 0527 HC2GRC 59   10 RT2C   59   16 
QSO: 14000 PH 2021-10-30 0529 HC2GRC 59   10 TM0DX  59   14 
QSO:  3500 PH 2021-10-30 0529 HC2GRC 59   10 W9RE   59   04 
