START-OF-LOG: 3.0
CALLSIGN: IQ2CU
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 240846
NAME: ANTONIO BONETTI
LOCATION: DX
OPERATORS: IN3OWY
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW 2.19
SOAPBOX: TS-590  95 W    ANT.  VERTICAL
QSO: 14043 CW 2017-05-27 0615 IQ2CU         599 052    LY8O          599 649
QSO: 14043 CW 2017-05-27 0616 IQ2CU         599 053    OH0X          599 817
QSO: 14044 CW 2017-05-27 0617 IQ2CU         599 054    RT3T          599 255
QSO: 14044 CW 2017-05-27 0618 IQ2CU         599 055    DL7ON         599 518
QSO: 14044 CW 2017-05-27 0619 IQ2CU         599 056    DL5LYM        599 442
QSO: 14046 CW 2017-05-27 0620 IQ2CU         599 057    UX0KR         599 195
QSO: 14047 CW 2017-05-27 0621 IQ2CU         599 058    SM5CSS        599 102
QSO: 14047 CW 2017-05-27 0623 IQ2CU         599 059    UZ3A          599 548
QSO: 14048 CW 2017-05-27 0624 IQ2CU         599 060    UC7A          599 464
QSO: 14049 CW 2017-05-27 0625 IQ2CU         599 061    SZ8L          599 039
QSO: 14049 CW 2017-05-27 0627 IQ2CU         599 062    RM3Z          599 073
QSO: 14050 CW 2017-05-27 0629 IQ2CU         599 063    IT9LKX        599 099
QSO: 14050 CW 2017-05-27 0629 IQ2CU         599 064    OG2P          599 492
QSO: 14053 CW 2017-05-27 0630 IQ2CU         599 065    YT1T          599 148
QSO: 14053 CW 2017-05-27 0631 IQ2CU         599 066    OK2EQ         599 145
QSO: 14054 CW 2017-05-27 0633 IQ2CU         599 067    SN8T          599 278
QSO: 14055 CW 2017-05-27 0634 IQ2CU         599 068    YT1HA         599 232
QSO: 14055 CW 2017-05-27 0634 IQ2CU         599 069    IT9RBW        599 094
QSO: 14056 CW 2017-05-27 0635 IQ2CU         599 070    LY4A          599 406
QSO: 14057 CW 2017-05-27 0636 IQ2CU         599 071    OM4Q          599 475
QSO: 14057 CW 2017-05-27 0638 IQ2CU         599 072    OF3OJ         599 316
QSO: 14058 CW 2017-05-27 0639 IQ2CU         599 073    HA5PP         599 192
QSO: 14060 CW 2017-05-27 0641 IQ2CU         599 074    HG10CC        599 088
QSO: 14065 CW 2017-05-27 0644 IQ2CU         599 075    YT6W          599 773
QSO: 14066 CW 2017-05-27 0645 IQ2CU         599 076    HA3DX         599 314
QSO: 14082 CW 2017-05-27 0656 IQ2CU         599 077    UF3A          599 093
QSO: 14006 CW 2017-05-27 0701 IQ2CU         599 078    DF0WRTC       599 523
QSO: 14005 CW 2017-05-27 0703 IQ2CU         599 079    LZ5R          599 817
QSO: 14009 CW 2017-05-27 0704 IQ2CU         599 080    S57K          599 575
QSO: 14012 CW 2017-05-27 0706 IQ2CU         599 081    YT5A          599 453
QSO: 14021 CW 2017-05-27 0713 IQ2CU         599 082    UI2K          599 091
QSO: 14022 CW 2017-05-27 0715 IQ2CU         599 083    EC2DX         599 616
QSO: 14023 CW 2017-05-27 0716 IQ2CU         599 084    Z3B           599 532
QSO: 14027 CW 2017-05-27 0720 IQ2CU         599 085    DF0SAX        599 514
QSO: 14029 CW 2017-05-27 0721 IQ2CU         599 086    ES5RR         599 904
QSO: 14032 CW 2017-05-27 0721 IQ2CU         599 087    M3I           599 056
QSO: 14033 CW 2017-05-27 0722 IQ2CU         599 088    RM5A          599 620
QSO: 14039 CW 2017-05-27 0729 IQ2CU         599 089    ZA/OG1N       599 509
QSO: 14008 CW 2017-05-27 0833 IQ2CU         599 090    R3XA          599 513
QSO: 14007 CW 2017-05-27 0834 IQ2CU         599 091    YT1A          599 586
QSO: 14006 CW 2017-05-27 0835 IQ2CU         599 092    RT5K          599 640
QSO: 14002 CW 2017-05-27 0837 IQ2CU         599 093    ED5O          599 429
QSO: 14001 CW 2017-05-27 0840 IQ2CU         599 094    RK4FF         599 615
QSO: 14011 CW 2017-05-27 0841 IQ2CU         599 095    G9Y           599 600
QSO: 14020 CW 2017-05-27 0844 IQ2CU         599 096    EW6W          599 709
QSO: 14025 CW 2017-05-27 0848 IQ2CU         599 097    F5OZC         599 137
QSO: 14030 CW 2017-05-27 0850 IQ2CU         599 098    SM5D          599 081
QSO: 14031 CW 2017-05-27 0851 IQ2CU         599 099    YL5T          599 048
QSO: 14031 CW 2017-05-27 0852 IQ2CU         599 100    DD0CC         599 432
QSO: 14032 CW 2017-05-27 0854 IQ2CU         599 101    F5ROX         599 130
QSO: 14033 CW 2017-05-27 0855 IQ2CU         599 102    OR1Z          599 240
QSO: 14034 CW 2017-05-27 0858 IQ2CU         599 103    TM6X          599 604
QSO: 14036 CW 2017-05-27 0859 IQ2CU         599 104    RK3T          599 427
QSO: 14038 CW 2017-05-27 0900 IQ2CU         599 105    SK3W          599 544
QSO: 14041 CW 2017-05-27 0902 IQ2CU         599 106    DM6V          599 468
QSO: 14046 CW 2017-05-27 0903 IQ2CU         599 107    RN3T          599 201
QSO: 14046 CW 2017-05-27 0904 IQ2CU         599 108    LZ1GE         599 113
QSO: 14047 CW 2017-05-27 0905 IQ2CU         599 109    E77W          599 718
QSO: 14050 CW 2017-05-27 0906 IQ2CU         599 110    DJ0SP         599 561
QSO: 14055 CW 2017-05-27 0908 IQ2CU         599 111    HG6O          599 236
QSO: 14057 CW 2017-05-27 0910 IQ2CU         599 112    LY7Z          599 435
QSO: 14060 CW 2017-05-27 0912 IQ2CU         599 113    UX1UX         599 302
QSO: 14062 CW 2017-05-27 0913 IQ2CU         599 114    GI5I          599 017
QSO: 14063 CW 2017-05-27 0914 IQ2CU         599 115    DK5AD         599 241
QSO: 14064 CW 2017-05-27 0915 IQ2CU         599 116    SN8B          599 554
QSO: 14064 CW 2017-05-27 0915 IQ2CU         599 117    YO2LEA        599 097
QSO: 14064 CW 2017-05-27 0917 IQ2CU         599 118    ER1LW         599 106
QSO: 14068 CW 2017-05-27 0917 IQ2CU         599 119    LZ3FN         599 630
QSO: 14073 CW 2017-05-27 0918 IQ2CU         599 120    DK5AX         599 340
QSO: 14079 CW 2017-05-27 0952 IQ2CU         599 121    YU3EEA        599 082
QSO: 14000 CW 2017-05-27 1030 IQ2CU         599 122    YT8A          599 445
QSO: 14000 CW 2017-05-27 1034 IQ2CU         599 123    AC1U          599 739
QSO: 14000 CW 2017-05-27 1034 IQ2CU         599 124    EI/W5GN       599 415
QSO: 14001 CW 2017-05-27 1039 IQ2CU         599 125    UA6LUQ        599 304
QSO: 14005 CW 2017-05-27 1045 IQ2CU         599 126    KD4D          599 644
QSO: 14006 CW 2017-05-27 1047 IQ2CU         599 127    WX3B          599 206
QSO: 14016 CW 2017-05-27 1054 IQ2CU         599 128    OH8X          599 1051
QSO: 14018 CW 2017-05-27 1057 IQ2CU         599 129    SF3A          599 303
QSO: 14018 CW 2017-05-27 1058 IQ2CU         599 130    HA9RT         599 523
QSO: 14021 CW 2017-05-27 1102 IQ2CU         599 131    SP1NY         599 305
QSO: 14022 CW 2017-05-27 1103 IQ2CU         599 132    SP2MHC        599 014
QSO: 14023 CW 2017-05-27 1106 IQ2CU         599 133    K9OM          599 437
QSO: 14029 CW 2017-05-27 1110 IQ2CU         599 134    EF5T          599 059
QSO: 14030 CW 2017-05-27 1111 IQ2CU         599 135    N3RS          599 753
QSO: 14032 CW 2017-05-27 1112 IQ2CU         599 136    UX3IO         599 529
QSO: 14035 CW 2017-05-27 1116 IQ2CU         599 137    UY2TT         599 1114
QSO: 14035 CW 2017-05-27 1117 IQ2CU         599 138    EA1AOQ        599 016
QSO: 14036 CW 2017-05-27 1119 IQ2CU         599 139    RM2U          599 720
QSO: 14046 CW 2017-05-27 1127 IQ2CU         599 140    LZ7A          599 510
QSO: 14046 CW 2017-05-27 1128 IQ2CU         599 141    DL6KVA        599 526
QSO: 14046 CW 2017-05-27 1129 IQ2CU         599 142    RM2D          599 551
QSO: 14049 CW 2017-05-27 1132 IQ2CU         599 143    OZ8SW         599 267
QSO: 14049 CW 2017-05-27 1133 IQ2CU         599 144    RA3AN         599 704
QSO: 14050 CW 2017-05-27 1134 IQ2CU         599 145    YL3CW         599 031
QSO: 14056 CW 2017-05-27 1139 IQ2CU         599 146    UC4C          599 465
QSO: 14059 CW 2017-05-27 1143 IQ2CU         599 147    Z37M          599 339
QSO: 14060 CW 2017-05-27 1145 IQ2CU         599 148    Z31NA         599 314
QSO: 14060 CW 2017-05-27 1145 IQ2CU         599 149    W3LL          599 787
QSO: 14061 CW 2017-05-27 1147 IQ2CU         599 150    LZ45YE        599 533
QSO: 14062 CW 2017-05-27 1148 IQ2CU         599 151    UA9MA         599 716
QSO: 14064 CW 2017-05-27 1150 IQ2CU         599 152    IT9VDQ        599 636
QSO: 14064 CW 2017-05-27 1151 IQ2CU         599 153    UZ0U          599 548
QSO: 14065 CW 2017-05-27 1152 IQ2CU         599 154    LY2XW         599 772
QSO: 14065 CW 2017-05-27 1152 IQ2CU         599 155    LZ8E          599 930
QSO: 14066 CW 2017-05-27 1153 IQ2CU         599 156    3V8SS         599 1021
QSO: 14066 CW 2017-05-27 1155 IQ2CU         599 157    WX7T          599 071
QSO: 14067 CW 2017-05-27 1156 IQ2CU         599 158    VC3T          599 635
QSO: 14072 CW 2017-05-27 1158 IQ2CU         599 159    LZ1QZ         599 548
QSO: 14074 CW 2017-05-27 1159 IQ2CU         599 160    OH6BG         599 380
QSO: 14074 CW 2017-05-27 1200 IQ2CU         599 161    UY0ZG         599 130
QSO: 14078 CW 2017-05-27 1201 IQ2CU         599 162    OG3G          599 220
QSO: 14079 CW 2017-05-27 1202 IQ2CU         599 163    YO9HP         599 690
QSO: 14100 CW 2017-05-27 1203 IQ2CU         599 164    UW2Q          599 103
QSO: 14003 CW 2017-05-27 1210 IQ2CU         599 165    YR32A         599 091
QSO: 14004 CW 2017-05-27 1212 IQ2CU         599 166    R8WF          599 307
QSO: 14007 CW 2017-05-27 1223 IQ2CU         599 167    RT9S          599 939
QSO: 14012 CW 2017-05-27 1227 IQ2CU         599 168    P33W          599 1181
QSO: 14013 CW 2017-05-27 1228 IQ2CU         599 169    EF5Y          599 944
QSO: 14013 CW 2017-05-27 1231 IQ2CU         599 170    LA8HGA        599 447
QSO: 14014 CW 2017-05-27 1233 IQ2CU         599 171    RM7C          599 369
QSO: 14014 CW 2017-05-27 1234 IQ2CU         599 172    EA5KV         599 193
QSO: 14017 CW 2017-05-27 1236 IQ2CU         599 173    IK2AOO        599 161
QSO: 14017 CW 2017-05-27 1237 IQ2CU         599 174    RL4F          599 830
QSO: 14022 CW 2017-05-27 1248 IQ2CU         599 175    YQ6A          599 568
QSO: 14052 CW 2017-05-27 1252 IQ2CU         599 176    OM7LM         599 445
QSO: 14043 CW 2017-05-27 1255 IQ2CU         599 177    UT5C          599 773
QSO: 14002 CW 2017-05-27 1300 IQ2CU         599 178    EN4U          599 1019
QSO: 14060 CW 2017-05-27 1308 IQ2CU         599 179    K3WJV         599 377
QSO: 14057 CW 2017-05-27 1313 IQ2CU         599 180    LY8Z          599 700
QSO: 14003 CW 2017-05-27 1315 IQ2CU         599 181    NR3X          599 1372
QSO: 14025 CW 2017-05-27 1318 IQ2CU         599 182    RN1ON         599 703
QSO: 14012 CW 2017-05-27 1330 IQ2CU         599 183    NW7R          599 1134
QSO: 14026 CW 2017-05-27 1333 IQ2CU         599 184    EF8U          599 741
QSO: 14059 CW 2017-05-27 1336 IQ2CU         599 185    NA8V          599 914
QSO: 14056 CW 2017-05-27 1338 IQ2CU         599 186    M7R           599 136
QSO: 14051 CW 2017-05-27 1343 IQ2CU         599 187    WR3O          599 312
QSO: 14001 CW 2017-05-27 1353 IQ2CU         599 188    WC1M          599 1049
QSO: 14012 CW 2017-05-27 1355 IQ2CU         599 189    TM4Q          599 791
QSO: 14007 CW 2017-05-27 1356 IQ2CU         599 190    PA3AAV        599 694
QSO: 14062 CW 2017-05-27 1414 IQ2CU         599 191    4Z5LY         599 700
QSO: 14061 CW 2017-05-27 1415 IQ2CU         599 192    EA8OM         599 668
QSO: 14042 CW 2017-05-27 1425 IQ2CU         599 193    WQ6X          599 753
QSO: 14042 CW 2017-05-27 1429 IQ2CU         599 194    HS0ZLM        599 544
QSO: 14028 CW 2017-05-27 1446 IQ2CU         599 195    UR7R          599 384
QSO: 14033 CW 2017-05-27 1449 IQ2CU         599 196    UX3HA         599 527
QSO: 14036 CW 2017-05-27 1457 IQ2CU         599 197    F5OHM         599 649
QSO: 14035 CW 2017-05-27 1507 IQ2CU         599 198    RM9I          599 1001
QSO: 14021 CW 2017-05-27 1514 IQ2CU         599 199    G8X           599 562
QSO: 14044 CW 2017-05-27 1518 IQ2CU         599 200    EA1WX         599 197
QSO: 14047 CW 2017-05-27 1519 IQ2CU         599 201    YR8D          599 1107
QSO: 14051 CW 2017-05-27 1522 IQ2CU         599 202    F4WBN         599 802
QSO: 14051 CW 2017-05-27 1523 IQ2CU         599 203    F/G4BJM       599 327
QSO: 14009 CW 2017-05-27 1534 IQ2CU         599 204    NA9V          599 1068
QSO: 14012 CW 2017-05-27 1535 IQ2CU         599 205    G0T           599 145
QSO: 14033 CW 2017-05-27 1546 IQ2CU         599 206    CT9/R7KW      599 943
QSO: 14015 CW 2017-05-27 1549 IQ2CU         599 207    VE5MX         599 405
QSO: 14000 CW 2017-05-27 1556 IQ2CU         599 208    UP0L          599 1680
QSO: 14035 CW 2017-05-27 1558 IQ2CU         599 209    BA4MY         599 704
QSO: 14057 CW 2017-05-27 1601 IQ2CU         599 210    JR2PMT        599 425
QSO: 14041 CW 2017-05-27 1614 IQ2CU         599 211    TM7M          599 409
QSO: 14003 CW 2017-05-27 1615 IQ2CU         599 212    EF5F          599 871
QSO: 14012 CW 2017-05-27 1619 IQ2CU         599 213    UX7IW         599 646
QSO: 14018 CW 2017-05-27 1631 IQ2CU         599 214    UA9LDD        599 754
QSO: 14009 CW 2017-05-27 1702 IQ2CU         599 215    UY5VA         599 822
QSO: 14008 CW 2017-05-27 1703 IQ2CU         599 216    RT5Z          599 1150
QSO: 14013 CW 2017-05-27 1708 IQ2CU         599 217    B1Z           599 724
QSO: 14014 CW 2017-05-27 1709 IQ2CU         599 218    UT1AA         599 647
QSO: 14018 CW 2017-05-27 1711 IQ2CU         599 219    EG8CID        599 939
QSO: 14020 CW 2017-05-27 1713 IQ2CU         599 220    JM1TUY        599 903
QSO: 14029 CW 2017-05-27 1716 IQ2CU         599 221    RW3XZ         599 803
QSO: 14032 CW 2017-05-27 1719 IQ2CU         599 222    CN8KD         599 689
QSO: 14036 CW 2017-05-27 1720 IQ2CU         599 223    JN2AMD        599 829
QSO: 14058 CW 2017-05-27 1727 IQ2CU         599 224    JH1FSF        599 431
QSO: 14063 CW 2017-05-27 1733 IQ2CU         599 225    8J1ITU        599 721
QSO: 14068 CW 2017-05-27 1736 IQ2CU         599 226    NG1R          599 289
QSO: 14093 CW 2017-05-27 1740 IQ2CU         599 227    RU3FM         599 481
QSO: 14009 CW 2017-05-27 1813 IQ2CU         599 228    UW1M          599 1466
QSO: 14016 CW 2017-05-27 1822 IQ2CU         599 229    SV1ME         599 018
QSO: 14026 CW 2017-05-27 1824 IQ2CU         599 230    UR5VR         599 201
QSO: 14044 CW 2017-05-27 1826 IQ2CU         599 231    OH6NC         599 829
QSO: 14063 CW 2017-05-27 1906 IQ2CU         599 232    Z33C          599 626
QSO: 14075 CW 2017-05-27 1908 IQ2CU         599 233    EA5/DK5IM     599 727
QSO: 14004 CW 2017-05-27 1912 IQ2CU         599 234    RC9A          599 229
QSO: 14023 CW 2017-05-27 1931 IQ2CU         599 235    UT8AL         599 444
QSO: 14023 CW 2017-05-27 1932 IQ2CU         599 236    RA1AL         599 283
QSO: 14051 CW 2017-05-27 1947 IQ2CU         599 237    8P5A          599 1941
QSO: 14059 CW 2017-05-27 1951 IQ2CU         599 238    UX7U          599 228
QSO: 14010 CW 2017-05-27 1954 IQ2CU         599 239    UW6M          599 573
QSO: 14041 CW 2017-05-28 0605 IQ2CU         599 240    UA4M          599 2405
QSO: 14046 CW 2017-05-28 0608 IQ2CU         599 241    YL9T          599 492
QSO: 14016 CW 2017-05-28 0613 IQ2CU         599 242    R4RR          599 2001
QSO: 14001 CW 2017-05-28 0646 IQ2CU         599 243    4X7R          599 2458
QSO: 14002 CW 2017-05-28 0646 IQ2CU         599 244    OF6MW         599 340
QSO: 14035 CW 2017-05-28 0653 IQ2CU         599 245    RY7Y          599 1877
QSO: 14037 CW 2017-05-28 0654 IQ2CU         599 246    SX1T          599 1501
QSO: 14039 CW 2017-05-28 0656 IQ2CU         599 247    LZ3ZZ         599 277
QSO: 14045 CW 2017-05-28 0701 IQ2CU         599 248    OF1TM         599 718
QSO: 14045 CW 2017-05-28 0702 IQ2CU         599 249    ES2MC         599 577
QSO: 14052 CW 2017-05-28 0704 IQ2CU         599 250    LZ5XQ         599 1032
QSO: 14061 CW 2017-05-28 0706 IQ2CU         599 251    YO4BEX        599 347
QSO: 14063 CW 2017-05-28 0708 IQ2CU         599 252    SW8WW         599 1119
QSO: 14028 CW 2017-05-28 0728 IQ2CU         599 253    R1AT          599 884
QSO: 14033 CW 2017-05-28 0730 IQ2CU         599 254    LZ9M          599 1966
QSO: 14035 CW 2017-05-28 0734 IQ2CU         599 255    SO4R          599 2002
QSO: 14060 CW 2017-05-28 0743 IQ2CU         599 256    OF5CZ         599 1209
QSO: 14065 CW 2017-05-28 0744 IQ2CU         599 257    OF8WW         599 1298
QSO: 14002 CW 2017-05-28 0816 IQ2CU         599 258    YP9J          599 967
QSO: 14005 CW 2017-05-28 0818 IQ2CU         599 259    UR5R          599 1049
QSO: 14030 CW 2017-05-28 0822 IQ2CU         599 260    OG7O          599 1487
QSO: 14059 CW 2017-05-28 0829 IQ2CU         599 262    RD7T          599 2018
QSO: 14006 CW 2017-05-28 0839 IQ2CU         599 263    ED1R          599 854
QSO: 14035 CW 2017-05-28 0849 IQ2CU         599 264    EA8U          599 087
QSO: 14022 CW 2017-05-28 0956 IQ2CU         599 265    OH3FM         599 1247
QSO: 14006 CW 2017-05-28 1117 IQ2CU         599 266    YL3FT         599 1502
QSO: 14004 CW 2017-05-28 1136 IQ2CU         599 267    EI7KD         599 941
QSO: 14017 CW 2017-05-28 1140 IQ2CU         599 268    UT8AS         599 640
QSO: 14033 CW 2017-05-28 1143 IQ2CU         599 269    TM6M          599 1380
QSO: 14053 CW 2017-05-28 1147 IQ2CU         599 270    OF3R          599 988
QSO: 14061 CW 2017-05-28 1149 IQ2CU         599 271    LY2T          599 153
QSO: 14003 CW 2017-05-28 1309 IQ2CU         599 272    TM77M         599 2041
QSO: 14000 CW 2017-05-28 1311 IQ2CU         599 273    YL2KO         599 2060
QSO: 14007 CW 2017-05-28 1313 IQ2CU         599 274    ES4RD         599 1011
QSO: 14016 CW 2017-05-28 1317 IQ2CU         599 275    UY5QR         599 449
QSO: 14035 CW 2017-05-28 1335 IQ2CU         599 276    EB7KA         599 148
QSO: 14041 CW 2017-05-28 1336 IQ2CU         599 277    OG6N          599 1081
QSO: 14043 CW 2017-05-28 1338 IQ2CU         599 278    YL2QV         599 222
QSO: 14046 CW 2017-05-28 1340 IQ2CU         599 279    CR6K          599 2932
QSO: 14061 CW 2017-05-28 1345 IQ2CU         599 280    OH2BAH        599 362
QSO: 14063 CW 2017-05-28 1345 IQ2CU         599 281    UA3ABJ        599 823
QSO: 14005 CW 2017-05-28 1410 IQ2CU         599 282    RM7F          599 1956
QSO: 14003 CW 2017-05-28 1411 IQ2CU         599 283    LY4L          599 1790
QSO: 14048 CW 2017-05-28 1421 IQ2CU         599 284    I2VXJ         599 1017
QSO: 14056 CW 2017-05-28 1424 IQ2CU         599 285    OH7KBF        599 434
QSO: 14057 CW 2017-05-28 1428 IQ2CU         599 286    OH3Z          599 483
QSO: 14009 CW 2017-05-28 1537 IQ2CU         599 287    IZ2AVK        599 651
QSO: 14020 CW 2017-05-28 1623 IQ2CU         599 288    IK2QEI        599 087
QSO: 14020 CW 2017-05-28 1624 IQ2CU         599 289    UN9L          599 533
QSO: 14024 CW 2017-05-28 1626 IQ2CU         599 290    US8UA         599 221
QSO: 14037 CW 2017-05-28 1631 IQ2CU         599 291    YO3FRI        599 1120
QSO: 14056 CW 2017-05-28 1635 IQ2CU         599 292    IZ2DII        599 057
QSO: 14018 CW 2017-05-28 1728 IQ2CU         599 293    IK2CLB        599 102
QSO: 14037 CW 2017-05-28 1830 IQ2CU         599 294    SP2KPD        599 2062
QSO: 14058 CW 2017-05-28 1834 IQ2CU         599 295    SN4A          599 1334
QSO: 14063 CW 2017-05-28 1836 IQ2CU         599 296    G2X           599 663
QSO: 14020 CW 2017-05-28 1840 IQ2CU         599 297    SN7Q          599 2920
QSO: 14024 CW 2017-05-28 1843 IQ2CU         599 298    SP9A          599 381
QSO: 14048 CW 2017-05-28 1846 IQ2CU         599 299    SP2MKI        599 061
QSO: 14054 CW 2017-05-28 1850 IQ2CU         599 300    DL1DTL        599 606
QSO: 14049 CW 2017-05-28 1851 IQ2CU         599 301    PA4O          599 1188
QSO: 14046 CW 2017-05-28 1853 IQ2CU         599 302    DL6DH         599 939
QSO: 14043 CW 2017-05-28 1903 IQ2CU         599 303    HA8IB         599 538
QSO: 14042 CW 2017-05-28 1905 IQ2CU         599 304    HG60JLO       599 075
QSO: 14040 CW 2017-05-28 1906 IQ2CU         599 305    HG4I          599 643
QSO: 14038 CW 2017-05-28 1907 IQ2CU         599 306    OL0W          599 1575
QSO: 14015 CW 2017-05-28 1912 IQ2CU         599 307    R3YC          599 124
QSO: 14008 CW 2017-05-28 1914 IQ2CU         599 308    OM7JG         599 1306
QSO: 14007 CW 2017-05-28 1915 IQ2CU         599 309    YL5X          599 1159
QSO: 14004 CW 2017-05-28 1916 IQ2CU         599 310    SP1D          599 459
QSO: 14001 CW 2017-05-28 1919 IQ2CU         599 311    M0UNN         599 287
QSO: 14012 CW 2017-05-28 1929 IQ2CU         599 312    DF3AX         599 1068
QSO: 14013 CW 2017-05-28 1931 IQ2CU         599 313    OL3Z          599 3233
QSO: 14014 CW 2017-05-28 1932 IQ2CU         599 314    S57DX         599 1852
QSO: 14020 CW 2017-05-28 1938 IQ2CU         599 315    OM3CW         599 150
QSO: 14026 CW 2017-05-28 1940 IQ2CU         599 316    PW5A          599 134
QSO: 14026 CW 2017-05-28 1942 IQ2CU         599 317    S52ZW         599 1773
QSO: 14031 CW 2017-05-28 1945 IQ2CU         599 318    S51A          599 2627
QSO: 14032 CW 2017-05-28 1947 IQ2CU         599 319    IZ8GCB        599 573
QSO: 14033 CW 2017-05-28 1952 IQ2CU         599 320    UV5U          599 1580
