START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: OM3BA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 350796
CREATED-BY: UcxLog 6.62
OPERATORS: OM3BA
NAME: Jozef Lancaric
SOAPBOX: tcvr  ICOM 735    out  90 Watts
SOAPBOX: ant   random wire + LC matchbox
SOAPBOX:  [ my age  is  85 yrs + 8 monat ] sorry,not category -  over 80 years age.
QSO: 14000 CW 2017-05-27 0545 OM3BA         599 023    UA3ABJ        599 180    0
QSO: 14000 CW 2017-05-27 0545 OM3BA         599 024    G4R           599 393    0
QSO: 14000 CW 2017-05-27 0547 OM3BA         599 025    OH3Z          599 122    0
QSO: 14000 CW 2017-05-27 0548 OM3BA         599 026    Z31NA         599 035    0
QSO: 14000 CW 2017-05-27 0550 OM3BA         599 027    RC9A          599 128    0
QSO: 14000 CW 2017-05-27 0551 OM3BA         599 028    ER1LW         599 047    0
QSO: 14000 CW 2017-05-27 0553 OM3BA         599 029    UY7C          599 328    0
QSO: 14000 CW 2017-05-27 0554 OM3BA         599 030    RM7C          599 135    0
QSO: 14000 CW 2017-05-27 0556 OM3BA         599 031    RG9A          599 620    0
QSO: 14000 CW 2017-05-27 0558 OM3BA         599 032    8P5A          599 946    0
QSO: 14000 CW 2017-05-27 0600 OM3BA         599 033    LY2LF         599 017    0
QSO: 14000 CW 2017-05-27 0601 OM3BA         599 034    LZ5XQ         599 373    0
QSO: 14000 CW 2017-05-27 0602 OM3BA         599 035    R9PA          599 115    0
QSO: 14000 CW 2017-05-27 0603 OM3BA         599 036    YT1A          599 365    0
QSO: 14000 CW 2017-05-27 0605 OM3BA         599 037    RT9L          599 488    0
QSO: 14000 CW 2017-05-27 0606 OM3BA         599 038    RY7Y          599 485    0
QSO: 14000 CW 2017-05-27 0607 OM3BA         599 039    RM5A          599 526    0
QSO: 14000 CW 2017-05-27 0608 OM3BA         599 040    F6KOP         599 222    0
QSO: 14000 CW 2017-05-27 0609 OM3BA         599 041    UY5VA         599 247    0
QSO: 14000 CW 2017-05-27 0612 OM3BA         599 042    ON5JT         599 290    0
QSO: 14000 CW 2017-05-27 0617 OM3BA         599 043    LX7I          599 705    0
QSO: 14000 CW 2017-05-27 0618 OM3BA         599 044    EC2DX         599 514    0
QSO: 14000 CW 2017-05-27 0619 OM3BA         599 045    IZ4ICH        599 274    0
QSO: 14000 CW 2017-05-27 0619 OM3BA         599 046    G9Y           599 482    0
QSO: 14000 CW 2017-05-27 0621 OM3BA         599 047    M0DSL/P       599 042    0
QSO: 14000 CW 2017-05-27 0622 OM3BA         599 048    RK90DR        599 197    0
QSO: 14000 CW 2017-05-27 0624 OM3BA         599 049    WY8DX         599 396    0
QSO: 14000 CW 2017-05-27 0628 OM3BA         599 050    9A1A          599 596    0
QSO: 14000 CW 2017-05-27 0628 OM3BA         599 051    RN1ON         599 088    0
QSO: 14000 CW 2017-05-27 0630 OM3BA         599 052    OL4A          599 600    0
QSO: 14000 CW 2017-05-27 0632 OM3BA         599 053    LY5E          599 656    0
QSO: 14000 CW 2017-05-27 0632 OM3BA         599 054    S53A          599 630    0
QSO: 14000 CW 2017-05-27 0635 OM3BA         599 055    RA9SN         599 093    0
QSO: 14000 CW 2017-05-27 0636 OM3BA         599 056    SX1T          599 439    0
QSO: 14000 CW 2017-05-27 0637 OM3BA         599 057    LY8O          599 677    0
QSO: 14000 CW 2017-05-27 0638 OM3BA         599 058    RT3T          599 290    0
QSO: 14000 CW 2017-05-27 0638 OM3BA         599 059    RK9AK         599 168    0
QSO: 14000 CW 2017-05-27 0639 OM3BA         599 060    DK5KK         599 259    0
QSO: 14000 CW 2017-05-27 0640 OM3BA         599 061    EW8OM         599 409    0
QSO: 14000 CW 2017-05-27 0642 OM3BA         599 062    E77W          599 482    0
QSO: 14000 CW 2017-05-27 0644 OM3BA         599 063    SZ8L          599 056    0
QSO: 14000 CW 2017-05-27 0645 OM3BA         599 064    LZ8E          599 793    0
QSO: 14000 CW 2017-05-27 0655 OM3BA         599 065    LY4A          599 442    0
QSO: 14000 CW 2017-05-27 0656 OM3BA         599 066    UF8T          599 030    0
QSO: 14000 CW 2017-05-27 0657 OM3BA         599 067    ON4CAU        599 006    0
QSO: 14000 CW 2017-05-27 0658 OM3BA         599 068    R7MM          599 308    0
QSO: 14000 CW 2017-05-27 0659 OM3BA         599 069    DJ5MO         599 026    0
QSO: 14000 CW 2017-05-27 0701 OM3BA         599 070    TM6M          599 031    0
QSO: 14000 CW 2017-05-27 0702 OM3BA         599 071    UC8U          599 281    0
QSO: 14000 CW 2017-05-27 0703 OM3BA         599 072    OF5CZ         599 177    0
QSO: 14000 CW 2017-05-27 0703 OM3BA         599 073    RW3XZ         599 275    0
QSO: 14000 CW 2017-05-27 0704 OM3BA         599 074    YO9HP         599 436    0
QSO: 14000 CW 2017-05-27 0706 OM3BA         599 075    YT6W          599 824    0
QSO: 14000 CW 2017-05-27 0709 OM3BA         599 076    OP7B          599 285    0
QSO: 14000 CW 2017-05-27 0710 OM3BA         599 077    PG2AA         599 057    0
QSO: 14000 CW 2017-05-27 0710 OM3BA         599 078    YO4BEX        599 159    0
QSO: 14000 CW 2017-05-27 0711 OM3BA         599 079    RT5K          599 487    0
QSO: 14000 CW 2017-05-27 0712 OM3BA         599 080    ER4A          599 811    0
QSO: 14000 CW 2017-05-27 0713 OM3BA         599 081    RU1A          599 696    0
QSO: 14000 CW 2017-05-27 0715 OM3BA         599 082    IK8TEO        599 045    0
QSO: 14000 CW 2017-05-27 0716 OM3BA         599 083    UX7IW         599 263    0
QSO: 14000 CW 2017-05-27 0719 OM3BA         599 084    OF100FI/3     599 206    0
QSO: 14000 CW 2017-05-27 0721 OM3BA         599 085    RA4Y          599 166    0
QSO: 14000 CW 2017-05-27 0723 OM3BA         599 086    RT0F          599 571    0
QSO: 14000 CW 2017-05-27 0725 OM3BA         599 087    OP4K          599 658    0
QSO: 14000 CW 2017-05-27 0728 OM3BA         599 088    IZ5ICH        599 341    0
QSO: 14000 CW 2017-05-27 0728 OM3BA         599 089    LA8HGA        599 230    0
QSO: 14000 CW 2017-05-27 0729 OM3BA         599 090    LZ3ZZ         599 107    0
QSO: 14000 CW 2017-05-27 0732 OM3BA         599 091    UA9LDD        599 211    0
QSO: 14000 CW 2017-05-27 0733 OM3BA         599 092    YL3VW         599 102    0
QSO: 14000 CW 2017-05-27 0734 OM3BA         599 093    EG8CID        599 518    0
QSO: 14000 CW 2017-05-27 0735 OM3BA         599 094    ES5RR         599 955    0
QSO: 14000 CW 2017-05-27 0756 OM3BA         599 095    SM9A          599 290    0
QSO: 14000 CW 2017-05-27 0757 OM3BA         599 096    IF9A          599 214    0
QSO: 14000 CW 2017-05-27 0759 OM3BA         599 097    F5ROX         599 072    0
QSO: 14000 CW 2017-05-27 0800 OM3BA         599 098    LZ9W          599 640    0
QSO: 14000 CW 2017-05-27 0802 OM3BA         599 099    IZ0LZC        599 027    0
QSO: 14000 CW 2017-05-27 0803 OM3BA         599 100    DF4XX         599 435    0
QSO: 21000 CW 2017-05-27 0809 OM3BA         599 101    TM6X          599 522    0
QSO: 21000 CW 2017-05-27 0809 OM3BA         599 102    OP7B          599 300    0
QSO: 21000 CW 2017-05-27 0811 OM3BA         599 103    M0BJL         599 033    0
QSO: 21000 CW 2017-05-27 0813 OM3BA         599 104    RU6AV         599 259    0
QSO: 21000 CW 2017-05-27 0814 OM3BA         599 105    UA9MA         599 574    0
QSO: 21000 CW 2017-05-27 0818 OM3BA         599 106    RT5Z          599 647    0
QSO: 21000 CW 2017-05-27 0819 OM3BA         599 107    OG7O          599 569    0
QSO: 21000 CW 2017-05-27 0821 OM3BA         599 108    RL4F          599 452    0
QSO: 21000 CW 2017-05-27 0823 OM3BA         599 109    GM2V          599 044    0
QSO: 21000 CW 2017-05-27 0824 OM3BA         599 110    DF6JC         599 030    0
QSO: 21000 CW 2017-05-27 0825 OM3BA         599 111    RY7Y          599 756    0
QSO: 21000 CW 2017-05-27 0831 OM3BA         599 112    EA/DK5IM      599 263    0
QSO: 21000 CW 2017-05-27 0832 OM3BA         599 113    UX7IW         599 361    0
QSO: 21000 CW 2017-05-27 0836 OM3BA         599 114    UZ3A          599 729    0
QSO: 21000 CW 2017-05-27 0838 OM3BA         599 115    OH6BG         599 161    0
QSO: 21000 CW 2017-05-27 0840 OM3BA         599 116    LA2HFA        599 289    0
QSO: 21000 CW 2017-05-27 0843 OM3BA         599 117    OG6N          599 689    0
QSO: 21000 CW 2017-05-27 0847 OM3BA         599 118    EF3T          599 619    0
QSO: 21000 CW 2017-05-27 0848 OM3BA         599 119    G5O           599 040    0
QSO: 21000 CW 2017-05-27 0851 OM3BA         599 120    UF3A          599 061    0
QSO: 21000 CW 2017-05-27 0852 OM3BA         599 121    UW1M          599 894    0
QSO: 21000 CW 2017-05-27 0857 OM3BA         599 122    OE3DSA        599 022    0
QSO: 21000 CW 2017-05-27 0901 OM3BA         599 123    UP0L          599 1083   0
QSO: 21000 CW 2017-05-27 0907 OM3BA         599 124    UN7PGA        599 143    0
QSO: 21000 CW 2017-05-27 0908 OM3BA         599 125    G3RXP         599 047    0
QSO: 21000 CW 2017-05-27 0927 OM3BA         599 126    UC7A          599 610    0
QSO: 21000 CW 2017-05-27 0929 OM3BA         599 127    UB6B          599 362    0
QSO: 21000 CW 2017-05-27 0932 OM3BA         599 128    4X7R          599 912    0
QSO: 21000 CW 2017-05-27 0933 OM3BA         599 129    UN6LN         599 418    0
QSO: 21000 CW 2017-05-27 0936 OM3BA         599 130    VK6LW         599 207    0
QSO: 21000 CW 2017-05-27 0940 OM3BA         599 131    R4BZ          599 104    0
QSO: 21000 CW 2017-05-27 0945 OM3BA         599 132    RM9I          599 593    0
QSO: 14000 CW 2017-05-27 0957 OM3BA         599 133    RW7F          599 819    0
QSO: 14000 CW 2017-05-27 0959 OM3BA         599 134    K3LR          599 491    0
QSO: 14000 CW 2017-05-27 1004 OM3BA         599 135    UA4M          599 1031   0
QSO: 14000 CW 2017-05-27 1007 OM3BA         599 136    IZ8GCB        599 144    0
QSO: 14000 CW 2017-05-27 1009 OM3BA         599 137    MM3N          599 195    0
QSO: 14000 CW 2017-05-27 1009 OM3BA         599 138    UW6M          599 330    0
QSO: 14000 CW 2017-05-27 1010 OM3BA         599 139    UX3IO         599 415    0
QSO: 14000 CW 2017-05-27 1012 OM3BA         599 140    LA2AB         599 325    0
QSO: 14000 CW 2017-05-27 1014 OM3BA         599 141    OF8WW         599 333    0
QSO: 14000 CW 2017-05-27 1016 OM3BA         599 142    OG2P          599 714    0
QSO: 14000 CW 2017-05-27 1018 OM3BA         599 143    DL4YR         599 099    0
QSO: 14000 CW 2017-05-27 1019 OM3BA         599 144    R1AT          599 181    0
QSO: 14000 CW 2017-05-27 1020 OM3BA         599 145    AA3B          599 853    0
QSO: 14000 CW 2017-05-27 1022 OM3BA         599 146    R70SRC        599 393    0
QSO: 14000 CW 2017-05-27 1027 OM3BA         599 147    AK1W          599 720    0
QSO: 14000 CW 2017-05-27 1029 OM3BA         599 148    UR5VR         599 078    0
QSO: 14000 CW 2017-05-27 1030 OM3BA         599 149    VE3EJ         599 690    0
QSO: 14000 CW 2017-05-27 1103 OM3BA         599 150    LZ45YE        599 494    0
QSO: 14000 CW 2017-05-27 1107 OM3BA         599 151    LZ3FN         599 757    0
QSO: 14000 CW 2017-05-27 1109 OM3BA         599 152    YL3FT         599 699    0
QSO: 14000 CW 2017-05-27 1112 OM3BA         599 153    P33W          599 1081   0
QSO: 14000 CW 2017-05-27 1113 OM3BA         599 154    OR3A          599 164    0
QSO: 14000 CW 2017-05-27 1115 OM3BA         599 155    SF3A          599 345    0
QSO: 14000 CW 2017-05-27 1116 OM3BA         599 156    VB3E          599 838    0
QSO: 14000 CW 2017-05-27 1120 OM3BA         599 157    YL2BJ         599 421    0
QSO: 14000 CW 2017-05-27 1122 OM3BA         599 158    N3RS          599 778    0
QSO: 14000 CW 2017-05-27 1125 OM3BA         599 159    RD7T          599 909    0
QSO: 14000 CW 2017-05-27 1126 OM3BA         599 160    EA1AOQ        599 023    0
QSO: 14000 CW 2017-05-27 1127 OM3BA         599 161    RM2U          599 723    0
QSO: 14000 CW 2017-05-27 1130 OM3BA         599 162    UR7MZ         599 072    0
QSO: 14000 CW 2017-05-27 1135 OM3BA         599 163    RA3AN         599 706    0
QSO: 14000 CW 2017-05-27 1137 OM3BA         599 164    UT5C          599 648    0
QSO: 14000 CW 2017-05-27 1139 OM3BA         599 165    ED5O          599 506    0
QSO: 14000 CW 2017-05-27 1140 OM3BA         599 166    ES6Q          599 598    0
QSO: 14000 CW 2017-05-27 1142 OM3BA         599 167    UC4C          599 473    0
QSO: 14000 CW 2017-05-27 1144 OM3BA         599 168    UY2UQ         599 365    0
QSO: 14000 CW 2017-05-27 1149 OM3BA         599 169    ES2MC         599 346    0
QSO: 14000 CW 2017-05-27 1151 OM3BA         599 170    3V8SS         599 1024   0
QSO: 14000 CW 2017-05-27 1155 OM3BA         599 171    UA6CC         599 637    0
QSO: 14000 CW 2017-05-27 1159 OM3BA         599 172    EF5Y          599 878    0
QSO: 14000 CW 2017-05-27 1200 OM3BA         599 173    US7IY         599 469    0
QSO: 14000 CW 2017-05-27 1246 OM3BA         599 174    ES4RR         599 1192   0
QSO:  7000 CW 2017-05-27 1251 OM3BA         599 175    YT7A          599 696    0
QSO:  7000 CW 2017-05-27 1252 OM3BA         599 176    RM1T          599 444    0
QSO:  7000 CW 2017-05-27 1253 OM3BA         599 177    EW5Z          599 738    0
QSO:  7000 CW 2017-05-27 1254 OM3BA         599 178    IP0TRC        599 444    0
QSO:  7000 CW 2017-05-27 1255 OM3BA         599 179    SP1AEN        599 582    0
QSO:  7000 CW 2017-05-27 1256 OM3BA         599 180    DR4A          599 699    0
QSO:  7000 CW 2017-05-27 1257 OM3BA         599 181    LZ1EV         599 744    0
QSO:  7000 CW 2017-05-27 1257 OM3BA         599 182    SN3A          599 729    0
QSO:  7000 CW 2017-05-27 1258 OM3BA         599 183    DD2ML         599 651    0
QSO:  7000 CW 2017-05-27 1259 OM3BA         599 184    HG5D          599 591    0
QSO:  7000 CW 2017-05-27 1300 OM3BA         599 185    9A5D          599 689    0
QSO:  7000 CW 2017-05-27 1302 OM3BA         599 186    YO4NF         599 416    0
QSO:  7000 CW 2017-05-27 1303 OM3BA         599 187    PA1CC         599 112    0
QSO:  7000 CW 2017-05-27 1305 OM3BA         599 188    HG7T          599 403    0
QSO:  7000 CW 2017-05-27 1308 OM3BA         599 189    S58WW         599 253    0
QSO:  7000 CW 2017-05-27 1313 OM3BA         599 190    OH0X          599 1390   0
QSO:  7000 CW 2017-05-27 1314 OM3BA         599 191    DM6V          599 650    0
QSO:  7000 CW 2017-05-27 1316 OM3BA         599 192    DJ3WE         599 327    0
QSO:  7000 CW 2017-05-27 1317 OM3BA         599 193    SP6TGC        599 220    0
QSO:  7000 CW 2017-05-27 1318 OM3BA         599 194    EV1R          599 577    0
QSO:  7000 CW 2017-05-27 1319 OM3BA         599 195    LZ4T          599 383    0
QSO:  7000 CW 2017-05-27 1320 OM3BA         599 196    OL8M          599 640    0
QSO:  7000 CW 2017-05-27 1325 OM3BA         599 197    DL8UD         599 197    0
QSO:  7000 CW 2017-05-27 1325 OM3BA         599 198    YT4W          599 606    0
QSO:  7000 CW 2017-05-27 1327 OM3BA         599 199    R5WW          599 455    0
QSO:  7000 CW 2017-05-27 1328 OM3BA         599 200    DF0WRTC       599 670    0
QSO:  7000 CW 2017-05-27 1329 OM3BA         599 201    SN8B          599 757    0
QSO:  7000 CW 2017-05-27 1330 OM3BA         599 202    I3JSS         599 144    0
QSO:  7000 CW 2017-05-27 1332 OM3BA         599 203    SP2KPD        599 871    0
QSO:  7000 CW 2017-05-27 1333 OM3BA         599 204    YT0Z          599 789    0
QSO:  7000 CW 2017-05-27 1335 OM3BA         599 205    SN6O          599 446    0
QSO:  7000 CW 2017-05-27 1337 OM3BA         599 206    R8TT          599 145    0
QSO:  7000 CW 2017-05-27 1338 OM3BA         599 207    SW8WW         599 582    0
QSO:  7000 CW 2017-05-27 1340 OM3BA         599 208    YU1RA         599 538    0
QSO:  7000 CW 2017-05-27 1350 OM3BA         599 209    DF3AX         599 441    0
QSO:  7000 CW 2017-05-27 1352 OM3BA         599 210    Z35F          599 294    0
QSO:  7000 CW 2017-05-27 1353 OM3BA         599 211    LY9Y          599 867    0
QSO:  7000 CW 2017-05-27 1355 OM3BA         599 212    EU8F          599 079    0
QSO:  7000 CW 2017-05-27 1357 OM3BA         599 213    UV3QF         599 216    0
QSO:  7000 CW 2017-05-27 1359 OM3BA         599 214    ES7GM         599 1112   0
QSO:  7000 CW 2017-05-27 1401 OM3BA         599 215    YR5N          599 385    0
QSO:  7000 CW 2017-05-27 1403 OM3BA         599 216    LZ7DX         599 037    0
QSO:  7000 CW 2017-05-27 1408 OM3BA         599 217    OH5TS         599 306    0
QSO:  7000 CW 2017-05-27 1409 OM3BA         599 218    SV1JG         599 328    0
QSO:  7000 CW 2017-05-27 1410 OM3BA         599 219    DF9GR         599 853    0
QSO:  7000 CW 2017-05-27 1412 OM3BA         599 220    OG25YL        599 377    0
QSO:  7000 CW 2017-05-27 1413 OM3BA         599 221    OG73X         599 1147   0
QSO:  7000 CW 2017-05-27 1415 OM3BA         599 222    UV7V          599 519    0
QSO:  7000 CW 2017-05-27 1416 OM3BA         599 223    EU1U          599 377    0
QSO:  7000 CW 2017-05-27 1419 OM3BA         599 224    YT5L          599 066    0
QSO:  7000 CW 2017-05-27 1422 OM3BA         599 225    DD3D          599 042    0
QSO:  7000 CW 2017-05-27 1424 OM3BA         599 226    DL1WA         599 360    0
QSO:  7000 CW 2017-05-27 1425 OM3BA         599 227    HB9ARF        599 499    0
QSO:  7000 CW 2017-05-27 1426 OM3BA         599 228    UW5U          599 472    0
QSO:  7000 CW 2017-05-27 1427 OM3BA         599 229    F8AAN         599 111    0
QSO:  7000 CW 2017-05-27 1429 OM3BA         599 230    DK1NO         599 051    0
QSO:  7000 CW 2017-05-27 1432 OM3BA         599 231    YL3FW         599 065    0
QSO:  7000 CW 2017-05-27 1434 OM3BA         599 232    YR8V          599 313    0
QSO:  7000 CW 2017-05-27 1436 OM3BA         599 233    RO5F          599 410    0
QSO:  7000 CW 2017-05-27 1439 OM3BA         599 234    DF1IAQ        599 299    0
QSO:  7000 CW 2017-05-27 1449 OM3BA         599 235    SM0HRP        599 051    0
QSO:  7000 CW 2017-05-27 1451 OM3BA         599 236    UB7K          599 805    0
QSO:  7000 CW 2017-05-27 1459 OM3BA         599 237    EW3LN         599 409    0
QSO:  7000 CW 2017-05-27 1502 OM3BA         599 238    9A3AG         599 559    0
QSO:  7000 CW 2017-05-27 1505 OM3BA         599 239    OM1XQ         599 047    0
QSO:  7000 CW 2017-05-27 1509 OM3BA         599 240    SO4M          599 139    0
QSO:  7000 CW 2017-05-27 1514 OM3BA         599 241    US1I          599 686    0
QSO:  7000 CW 2017-05-27 1515 OM3BA         599 242    YO6FGZ        599 160    0
QSO:  7000 CW 2017-05-27 1516 OM3BA         599 243    DL6MHW        599 201    0
QSO:  7000 CW 2017-05-27 1520 OM3BA         599 244    RK2M          599 375    0
QSO:  7000 CW 2017-05-27 1616 OM3BA         599 245    SP3IPB        599 301    0
QSO:  7000 CW 2017-05-27 1617 OM3BA         599 246    SM2U          599 480    0
QSO:  7000 CW 2017-05-27 1619 OM3BA         599 247    RM3TO         599 085    0
QSO:  7000 CW 2017-05-27 1621 OM3BA         599 248    DL2ZBO        599 118    0
QSO:  7000 CW 2017-05-27 1622 OM3BA         599 249    UX0KR         599 469    0
QSO:  7000 CW 2017-05-27 1626 OM3BA         599 250    RL5A          599 501    0
QSO:  7000 CW 2017-05-27 1627 OM3BA         599 251    OF2BBM        599 062    0
QSO:  7000 CW 2017-05-27 1628 OM3BA         599 252    SD6E          599 341    0
QSO:  7000 CW 2017-05-27 1633 OM3BA         599 253    RM4W          599 156    0
QSO:  7000 CW 2017-05-27 1635 OM3BA         599 254    I2CZQ         599 137    0
QSO:  7000 CW 2017-05-27 1636 OM3BA         599 255    RO4A          599 334    0
QSO:  7000 CW 2017-05-27 1639 OM3BA         599 256    I1NVU         599 225    0
QSO:  7000 CW 2017-05-27 1645 OM3BA         599 257    IR2C          599 779    0
QSO:  7000 CW 2017-05-27 1648 OM3BA         599 258    ZA/OU2I       599 522    0
QSO:  7000 CW 2017-05-27 1649 OM3BA         599 259    EN4U          599 1314   0
QSO:  7000 CW 2017-05-27 1650 OM3BA         599 260    UG9C          599 189    0
QSO:  7000 CW 2017-05-27 1651 OM3BA         599 261    SE0X          599 595    0
QSO:  7000 CW 2017-05-27 1654 OM3BA         599 262    YL6W          599 646    0
QSO:  7000 CW 2017-05-27 1655 OM3BA         599 263    PC2L          599 465    0
QSO:  7000 CW 2017-05-27 1656 OM3BA         599 264    UF4M          599 158    0
QSO:  7000 CW 2017-05-27 1700 OM3BA         599 265    RX9AF         599 257    0
QSO:  7000 CW 2017-05-27 1703 OM3BA         599 266    RU5A          599 928    0
QSO:  3500 CW 2017-05-27 1707 OM3BA         599 267    OK3A          599 221    0
QSO:  3500 CW 2017-05-27 1708 OM3BA         599 268    S57Z          599 359    0
QSO:  3500 CW 2017-05-27 1709 OM3BA         599 269    S50B          599 342    0
QSO:  3500 CW 2017-05-27 1710 OM3BA         599 270    HA8AR         599 051    0
QSO:  3500 CW 2017-05-27 1712 OM3BA         599 271    S52AW         599 413    0
QSO:  3500 CW 2017-05-27 1713 OM3BA         599 272    OK7O          599 360    0
QSO:  3500 CW 2017-05-27 1714 OM3BA         599 273    UX2X          599 330    0
QSO:  3500 CW 2017-05-27 1716 OM3BA         599 274    EU4E          599 331    0
QSO:  3500 CW 2017-05-27 1717 OM3BA         599 275    LY2FN         599 328    0
QSO:  3500 CW 2017-05-27 1748 OM3BA         599 276    9A1A          599 447    0
QSO:  3500 CW 2017-05-27 1749 OM3BA         599 277    9A3B          599 349    0
QSO:  3500 CW 2017-05-27 1751 OM3BA         599 278    YU1FJK        599 294    0
QSO:  3500 CW 2017-05-27 1751 OM3BA         599 279    YU1XX         599 229    0
QSO:  3500 CW 2017-05-27 1752 OM3BA         599 280    SP9BNM        599 163    0
QSO:  3500 CW 2017-05-27 1753 OM3BA         599 281    OK1VK         599 242    0
QSO:  3500 CW 2017-05-27 1755 OM3BA         599 282    E70T          599 431    0
QSO:  3500 CW 2017-05-27 1756 OM3BA         599 283    OL4A          599 313    0
QSO:  3500 CW 2017-05-27 1757 OM3BA         599 284    UV7V          599 683    0
QSO:  3500 CW 2017-05-27 1758 OM3BA         599 285    SP1AEN        599 731    0
QSO:  3500 CW 2017-05-27 1759 OM3BA         599 286    DF0WRTC       599 259    0
QSO:  3500 CW 2017-05-27 1800 OM3BA         599 287    HG5I          599 048    0
QSO:  3500 CW 2017-05-27 1801 OM3BA         599 288    OK1KMU        599 071    0
QSO:  3500 CW 2017-05-27 1802 OM3BA         599 289    UT8NT         599 213    0
QSO:  3500 CW 2017-05-27 1803 OM3BA         599 290    OM0WR         599 314    0
QSO:  3500 CW 2017-05-27 1806 OM3BA         599 291    E73ESP        599 202    0
QSO:  3500 CW 2017-05-27 1807 OM3BA         599 292    ES3VI         599 247    0
QSO:  3500 CW 2017-05-27 1808 OM3BA         599 293    DL1NEO        599 543    0
QSO:  3500 CW 2017-05-27 1809 OM3BA         599 294    UT1V          599 195    0
QSO:  3500 CW 2017-05-27 1809 OM3BA         599 295    OK2HBR        599 192    0
QSO:  3500 CW 2017-05-27 1812 OM3BA         599 296    HA3PT         599 386    0
QSO:  3500 CW 2017-05-27 1813 OM3BA         599 297    DP7D          599 379    0
QSO:  3500 CW 2017-05-27 1814 OM3BA         599 298    OK5WF         599 165    0
QSO:  3500 CW 2017-05-27 1816 OM3BA         599 299    DO6SR         599 216    0
QSO:  3500 CW 2017-05-27 1817 OM3BA         599 300    DL8UD         599 314    0
QSO:  3500 CW 2017-05-27 1818 OM3BA         599 301    LY3B          599 319    0
QSO:  3500 CW 2017-05-27 1819 OM3BA         599 302    YP9J          599 437    0
QSO:  3500 CW 2017-05-27 1821 OM3BA         599 303    YU0U          599 316    0
QSO:  3500 CW 2017-05-27 1822 OM3BA         599 304    OK1P          599 055    0
QSO:  3500 CW 2017-05-27 1823 OM3BA         599 305    9A4QV         599 249    0
QSO:  3500 CW 2017-05-27 1826 OM3BA         599 306    OK9PEP        599 005    0
QSO:  3500 CW 2017-05-27 1830 OM3BA         599 307    R2017CC       599 132    0
QSO:  3500 CW 2017-05-27 1832 OM3BA         599 308    UT3SO         599 419    0
QSO:  3500 CW 2017-05-27 1833 OM3BA         599 309    II1A          599 482    0
QSO:  3500 CW 2017-05-27 1835 OM3BA         599 310    DF4XX         599 862    0
QSO:  3500 CW 2017-05-27 1836 OM3BA         599 311    DO1AYJ        599 083    0
QSO:  3500 CW 2017-05-27 1839 OM3BA         599 312    DG7EE         599 420    0
