START-OF-LOG: 3.0
CALLSIGN: DK5DC
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 48140
NAME: Peter Glasmacher
LOCATION: DX
OPERATORS: DK5DC
CLUB: Rhein Ruhr DX Association
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7290.0
SOAPBOX: Got only a few hours. Participation is the magic word :-)
QSO: 14081 RY 2018-09-30 0948 DK5DC         599 14 DX  4O4YCP        599 15 DX
QSO: 14084 RY 2018-09-30 0950 DK5DC         599 14 DX  S51A          599 15 DX
QSO: 14086 RY 2018-09-30 0952 DK5DC         599 14 DX  TM6V          599 14 DX
QSO: 21106 RY 2018-09-30 0955 DK5DC         599 14 DX  EC5CR         599 14 DX
QSO: 21104 RY 2018-09-30 0956 DK5DC         599 14 DX  US2YW         599 16 DX
QSO: 21100 RY 2018-09-30 0958 DK5DC         599 14 DX  A61QQ         599 21 DX
QSO: 21081 RY 2018-09-30 1002 DK5DC         599 14 DX  A44A          599 21 DX
QSO: 21101 RY 2018-09-30 1103 DK5DC         599 14 DX  IT9WDC        599 15 DX
QSO: 21079 RY 2018-09-30 1105 DK5DC         599 14 DX  CS5CRE        599 14 DX
QSO: 21081 RY 2018-09-30 1106 DK5DC         599 14 DX  F4GWY         599 14 DX
QSO: 21088 RY 2018-09-30 1117 DK5DC         599 14 DX  C37NL         599 14 DX
QSO: 21095 RY 2018-09-30 1119 DK5DC         599 14 DX  PI4COM        599 14 DX
QSO: 21098 RY 2018-09-30 1120 DK5DC         599 14 DX  MI4I          599 14 DX
QSO: 28084 RY 2018-09-30 1125 DK5DC         599 14 DX  EA4BAS        599 14 DX
QSO: 14130 RY 2018-09-30 1134 DK5DC         599 14 DX  K5ZD          599 05 MA
QSO: 14126 RY 2018-09-30 1139 DK5DC         599 14 DX  MJ5Z          599 14 DX
QSO: 14124 RY 2018-09-30 1140 DK5DC         599 14 DX  VA3DF         599 04 ON
QSO: 14120 RY 2018-09-30 1143 DK5DC         599 14 DX  VE1OP         599 05 NS
QSO: 14145 RY 2018-09-30 1144 DK5DC         599 14 DX  NV1Q          599 05 MA
QSO: 14146 RY 2018-09-30 1144 DK5DC         599 14 DX  VE3DZ         599 04 ON
QSO: 14116 RY 2018-09-30 1316 DK5DC         599 14 DX  N8OO          599 04 LA
QSO: 14117 RY 2018-09-30 1317 DK5DC         599 14 DX  V31VP         599 07 DX
QSO: 14148 RY 2018-09-30 1318 DK5DC         599 14 DX  VE5MX         599 04 SK
QSO: 14080 RY 2018-09-30 1321 DK5DC         599 14 DX  CT7AJL        599 14 DX
QSO: 14134 RY 2018-09-30 1324 DK5DC         599 14 DX  N3ND          599 05 NC
QSO: 14133 RY 2018-09-30 1325 DK5DC         599 14 DX  W4TTY         599 05 VA
QSO: 14142 RY 2018-09-30 1327 DK5DC         599 14 DX  AB8M          599 04 OH
QSO: 14125 RY 2018-09-30 1336 DK5DC         599 14 DX  VE2GSO        599 02 QC
QSO: 14148 RY 2018-09-30 1337 DK5DC         599 14 DX  KG4SS         599 08 DX
QSO: 14149 RY 2018-09-30 1338 DK5DC         599 14 DX  W4GO          599 05 VA
QSO: 14148 RY 2018-09-30 1340 DK5DC         599 14 DX  K0KX          599 04 MN
QSO: 21084 RY 2018-09-30 1349 DK5DC         599 14 DX  CW4MAX        599 13 DX
QSO: 14099 RY 2018-09-30 1354 DK5DC         599 14 DX  9A1A          599 15 DX
QSO: 14151 RY 2018-09-30 1356 DK5DC         599 14 DX  EW8AX         599 16 DX
QSO: 14145 RY 2018-09-30 1358 DK5DC         599 14 DX  K4WW          599 04 KY
QSO: 14129 RY 2018-09-30 1400 DK5DC         599 14 DX  AB0RX         599 04 MO
QSO: 14115 RY 2018-09-30 1401 DK5DC         599 14 DX  K9CT          599 04 IL
QSO: 14093 RY 2018-09-30 1403 DK5DC         599 14 DX  K2PAL         599 05 NY
QSO: 14146 RY 2018-09-30 1405 DK5DC         599 14 DX  MI0SAI        599 14 DX
QSO: 14122 RY 2018-09-30 1406 DK5DC         599 14 DX  AA8OY         599 04 OH
QSO: 14130 RY 2018-09-30 1421 DK5DC         599 14 DX  AA3B          599 05 PA
QSO: 21096 RY 2018-09-30 1428 DK5DC         599 14 DX  K3PP          599 05 PA
QSO: 21105 RY 2018-09-30 1430 DK5DC         599 14 DX  K5ZD          599 05 MA
QSO: 14138 RY 2018-09-30 1432 DK5DC         599 14 DX  VE3CX         599 04 ON
QSO: 14095 RY 2018-09-30 1434 DK5DC         599 14 DX  W0LSD         599 04 CO
QSO: 14098 RY 2018-09-30 1446 DK5DC         599 14 DX  K0OO          599 05 MD
QSO: 14104 RY 2018-09-30 1449 DK5DC         599 14 DX  N2YB          599 05 NY
QSO: 14101 RY 2018-09-30 1450 DK5DC         599 14 DX  AA2MF         599 05 FL
QSO: 14146 RY 2018-09-30 1455 DK5DC         599 14 DX  W4AAW         599 05 VA
QSO: 14140 RY 2018-09-30 1457 DK5DC         599 14 DX  W3FIZ         599 05 PA
QSO: 14131 RY 2018-09-30 1500 DK5DC         599 14 DX  VE3RZ         599 04 ON
QSO: 14126 RY 2018-09-30 1501 DK5DC         599 14 DX  K3MD          599 05 PA
QSO: 14149 RY 2018-09-30 1518 DK5DC         599 14 DX  WI9WI         599 04 WI
END-OF-LOG:
