START-OF-LOG: 3.0
CALLSIGN: G4OZG
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 100415
NAME: Ted Haskett
LOCATION: DX
OPERATORS: G4OZG
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7290.0
SOAPBOX: Icom 706Mk2G, 100 watts, 80/40 Trap Dipole and HB 20M Vertical
QSO:  7062 RY 2018-09-29 0947 G4OZG         599 14 DX  DP8M          599 14 DX
QSO:  7062 RY 2018-09-29 0948 G4OZG         599 14 DX  IW2MXY        599 15 DX
QSO:  7061 RY 2018-09-29 0949 G4OZG         599 14 DX  GM3W          599 14 DX
QSO:  7061 RY 2018-09-29 0951 G4OZG         599 14 DX  I2CZQ         599 15 DX
QSO:  7060 RY 2018-09-29 0952 G4OZG         599 14 DX  IN3JJI        599 15 DX
QSO:  7057 RY 2018-09-29 0959 G4OZG         599 14 DX  LY2W          599 15 DX
QSO:  7056 RY 2018-09-29 1001 G4OZG         599 14 DX  5Q2J          599 14 DX
QSO:  7051 RY 2018-09-29 1006 G4OZG         599 14 DX  IZ1PKV        599 15 DX
QSO:  7050 RY 2018-09-29 1011 G4OZG         599 14 DX  OM4Q          599 15 DX
QSO:  7050 RY 2018-09-29 1014 G4OZG         599 14 DX  HB0/DL5YM     599 14 DX
QSO:  7049 RY 2018-09-29 1016 G4OZG         599 14 DX  SO9M          599 15 DX
QSO:  7049 RY 2018-09-29 1017 G4OZG         599 14 DX  S51CK         599 15 DX
QSO:  7048 RY 2018-09-29 1019 G4OZG         599 14 DX  SO3O          599 15 DX
QSO:  7044 RY 2018-09-29 1023 G4OZG         599 14 DX  OZ11A         599 14 DX
QSO:  7043 RY 2018-09-29 1024 G4OZG         599 14 DX  LX7I          599 14 DX
QSO:  7060 RY 2018-09-29 1035 G4OZG         599 14 DX  DL5JS         599 14 DX
QSO:  7058 RY 2018-09-29 1036 G4OZG         599 14 DX  OM3CW         599 15 DX
QSO:  7048 RY 2018-09-29 1039 G4OZG         599 14 DX  OM3IAG        599 15 DX
QSO:  7046 RY 2018-09-29 1045 G4OZG         599 14 DX  9A1A          599 15 DX
QSO:  7045 RY 2018-09-29 1046 G4OZG         599 14 DX  S51A          599 15 DX
QSO: 14081 RY 2018-09-29 1048 G4OZG         599 14 DX  RW0A          599 18 DX
QSO: 14082 RY 2018-09-29 1049 G4OZG         599 14 DX  EA4BAS        599 14 DX
QSO: 14082 RY 2018-09-29 1442 G4OZG         599 14 DX  CT7AJL        599 14 DX
QSO: 14082 RY 2018-09-29 1444 G4OZG         599 14 DX  YT6T          599 15 DX
QSO: 14082 RY 2018-09-29 1447 G4OZG         599 14 DX  SZ1A          599 20 DX
QSO: 14083 RY 2018-09-29 1507 G4OZG         599 14 DX  RK3PWR        599 16 DX
QSO: 14085 RY 2018-09-29 1510 G4OZG         599 14 DX  RM3DA         599 16 DX
QSO: 14088 RY 2018-09-29 1512 G4OZG         599 14 DX  EA5ICS        599 14 DX
QSO: 14089 RY 2018-09-29 1512 G4OZG         599 14 DX  YQ6A          599 20 DX
QSO: 14091 RY 2018-09-29 1515 G4OZG         599 14 DX  9A5D          599 15 DX
QSO: 14092 RY 2018-09-29 1522 G4OZG         599 14 DX  IZ7NMD        599 15 DX
QSO: 14094 RY 2018-09-29 1531 G4OZG         599 14 DX  LZ6Y          599 20 DX
QSO: 14095 RY 2018-09-29 1532 G4OZG         599 14 DX  4O4YCP        599 15 DX
QSO: 14095 RY 2018-09-29 1533 G4OZG         599 14 DX  UR7GO         599 16 DX
QSO: 14100 RY 2018-09-29 1542 G4OZG         599 14 DX  IU8DKG        599 15 DX
QSO: 14101 RY 2018-09-29 1546 G4OZG         599 14 DX  LZ7A          599 20 DX
QSO: 14102 RY 2018-09-29 1547 G4OZG         599 14 DX  IZ8GNR        599 15 DX
QSO: 14103 RY 2018-09-29 1548 G4OZG         599 14 DX  EM0I          599 16 DX
QSO: 14104 RY 2018-09-29 1555 G4OZG         599 14 DX  5C5W          599 33 DX
QSO: 14107 RY 2018-09-29 1558 G4OZG         599 14 DX  UW1M          599 16 DX
QSO: 14107 RY 2018-09-29 1559 G4OZG         599 14 DX  Z37M          599 15 DX
QSO: 14108 RY 2018-09-29 1601 G4OZG         599 14 DX  CR3DX         599 33 DX
QSO: 14108 RY 2018-09-29 1602 G4OZG         599 14 DX  IT9DGZ/QRP    599 15 DX
QSO: 14116 RY 2018-09-29 1610 G4OZG         599 14 DX  US4EWY        599 16 DX
QSO: 14119 RY 2018-09-29 1614 G4OZG         599 14 DX  EA5EJ         599 14 DX
QSO: 14125 RY 2018-09-29 1740 G4OZG         599 14 DX  PX2A          599 11 DX
QSO: 14135 RY 2018-09-29 1744 G4OZG         599 14 DX  K1SFA         599 05 MA
QSO: 14141 RY 2018-09-29 1750 G4OZG         599 14 DX  TM5T          599 14 DX
QSO: 14080 RY 2018-09-29 1752 G4OZG         599 14 DX  ED7P          599 14 DX
QSO: 14082 RY 2018-09-29 1754 G4OZG         599 14 DX  CR3W          599 33 DX
QSO: 14088 RY 2018-09-29 1756 G4OZG         599 14 DX  YM7KA         599 20 DX
QSO: 14089 RY 2018-09-29 1758 G4OZG         599 14 DX  IQ4FC         599 15 DX
QSO: 14118 RY 2018-09-29 1804 G4OZG         599 14 DX  IQ1RY         599 15 DX
QSO: 14118 RY 2018-09-29 1807 G4OZG         599 14 DX  N1MD          599 05 CT
QSO: 14121 RY 2018-09-29 1810 G4OZG         599 14 DX  N0NI          599 04 IA
QSO: 14127 RY 2018-09-29 1818 G4OZG         599 14 DX  N0AV          599 04 IA
QSO: 14128 RY 2018-09-29 1820 G4OZG         599 14 DX  DM5TI         599 14 DX
QSO: 14133 RY 2018-09-29 1822 G4OZG         599 14 DX  HG1S          599 15 DX
QSO:  7047 RY 2018-09-29 1828 G4OZG         599 14 DX  EV1R          599 16 DX
QSO:  7048 RY 2018-09-29 1832 G4OZG         599 14 DX  IK4ZHH        599 15 DX
QSO:  7049 RY 2018-09-29 1833 G4OZG         599 14 DX  EW6EN         599 16 DX
QSO:  7050 RY 2018-09-29 1835 G4OZG         599 14 DX  RC5Z          599 16 DX
QSO:  7054 RY 2018-09-29 1842 G4OZG         599 14 DX  SZ1A          599 20 DX
QSO:  7056 RY 2018-09-29 1844 G4OZG         599 14 DX  S53S          599 15 DX
QSO:  7057 RY 2018-09-29 1846 G4OZG         599 14 DX  LZ7A          599 20 DX
QSO:  7058 RY 2018-09-29 1848 G4OZG         599 14 DX  LZ5K          599 20 DX
QSO:  7059 RY 2018-09-29 1851 G4OZG         599 14 DX  LC2C          599 14 DX
QSO:  7059 RY 2018-09-29 1853 G4OZG         599 14 DX  UR5CN         599 16 DX
QSO:  7059 RY 2018-09-29 1854 G4OZG         599 14 DX  IZ0KBR        599 15 DX
QSO:  7059 RY 2018-09-29 1856 G4OZG         599 14 DX  IZ4GOL        599 15 DX
QSO:  7061 RY 2018-09-29 1900 G4OZG         599 14 DX  G2F           599 14 DX
QSO:  7062 RY 2018-09-29 1902 G4OZG         599 14 DX  LZ6Y          599 20 DX
QSO:  7063 RY 2018-09-29 1906 G4OZG         599 14 DX  IQ3RK         599 15 DX
QSO:  7064 RY 2018-09-29 1911 G4OZG         599 14 DX  UA4M          599 16 DX
QSO:  7065 RY 2018-09-29 1912 G4OZG         599 14 DX  EA1AP         599 14 DX
QSO:  7066 RY 2018-09-29 1913 G4OZG         599 14 DX  Z37M          599 15 DX
QSO:  7067 RY 2018-09-29 1915 G4OZG         599 14 DX  EF1Z          599 14 DX
QSO:  7070 RY 2018-09-29 1917 G4OZG         599 14 DX  IQ6AN         599 15 DX
QSO:  7073 RY 2018-09-29 1925 G4OZG         599 14 DX  SV2CLJ        599 20 DX
QSO:  7073 RY 2018-09-29 1927 G4OZG         599 14 DX  A44A          599 21 DX
QSO:  7074 RY 2018-09-29 1928 G4OZG         599 14 DX  EE7Y          599 14 DX
QSO:  7075 RY 2018-09-29 1929 G4OZG         599 14 DX  OK1FRD        599 15 DX
QSO:  7076 RY 2018-09-29 1930 G4OZG         599 14 DX  OK1DOY        599 15 DX
QSO:  7040 RY 2018-09-29 1931 G4OZG         599 14 DX  S58M          599 15 DX
QSO:  7041 RY 2018-09-29 1934 G4OZG         599 14 DX  IK2ZJR        599 15 DX
QSO:  7043 RY 2018-09-29 1935 G4OZG         599 14 DX  HA1DAE        599 15 DX
QSO:  7044 RY 2018-09-29 1941 G4OZG         599 14 DX  EM0I          599 16 DX
QSO:  7046 RY 2018-09-29 1943 G4OZG         599 14 DX  OK1CF         599 15 DX
QSO:  7043 RY 2018-09-29 1946 G4OZG         599 14 DX  VY2/W5AJ      599 05 PE
QSO:  7047 RY 2018-09-29 1951 G4OZG         599 14 DX  UW1M          599 16 DX
QSO:  7049 RY 2018-09-29 1953 G4OZG         599 14 DX  EA3HLT        599 14 DX
QSO:  7051 RY 2018-09-29 1954 G4OZG         599 14 DX  UZ2I          599 16 DX
QSO:  7051 RY 2018-09-29 1956 G4OZG         599 14 DX  R7AB          599 16 DX
QSO:  7052 RY 2018-09-29 2119 G4OZG         599 14 DX  CR3DX         599 33 DX
QSO:  7043 RY 2018-09-29 2129 G4OZG         599 14 DX  VE2IDX        599 02 QC
QSO:  7040 RY 2018-09-29 2133 G4OZG         599 14 DX  YT6T          599 15 DX
QSO:  7039 RY 2018-09-29 2134 G4OZG         599 14 DX  UW5U          599 16 DX
QSO:  7040 RY 2018-09-29 2135 G4OZG         599 14 DX  YO9HP         599 20 DX
QSO:  7038 RY 2018-09-29 2136 G4OZG         599 14 DX  OM5ZW         599 15 DX
QSO:  7037 RY 2018-09-29 2137 G4OZG         599 14 DX  OK2D          599 15 DX
QSO:  7050 RY 2018-09-29 2145 G4OZG         599 14 DX  HG8C          599 15 DX
QSO:  7054 RY 2018-09-29 2149 G4OZG         599 14 DX  YU7U          599 15 DX
QSO:  7055 RY 2018-09-29 2151 G4OZG         599 14 DX  SP4Z          599 15 DX
QSO:  7056 RY 2018-09-29 2152 G4OZG         599 14 DX  I4JED         599 15 DX
QSO:  7060 RY 2018-09-29 2209 G4OZG         599 14 DX  IQ4FA         599 15 DX
QSO:  7060 RY 2018-09-29 2211 G4OZG         599 14 DX  IQ9UI         599 15 DX
QSO:  7064 RY 2018-09-29 2215 G4OZG         599 14 DX  OE5BGN        599 15 DX
QSO:  3580 RY 2018-09-29 2217 G4OZG         599 14 DX  S51J          599 15 DX
QSO:  3581 RY 2018-09-29 2220 G4OZG         599 14 DX  GM4FDM        599 14 DX
QSO:  3583 RY 2018-09-29 2221 G4OZG         599 14 DX  DF2RG         599 14 DX
QSO:  3582 RY 2018-09-29 2222 G4OZG         599 14 DX  OU2PA         599 14 DX
QSO:  3583 RY 2018-09-29 2225 G4OZG         599 14 DX  LY7Z          599 15 DX
QSO:  3583 RY 2018-09-29 2228 G4OZG         599 14 DX  IZ4ZZB        599 15 DX
QSO:  3585 RY 2018-09-29 2232 G4OZG         599 14 DX  HB9ODP        599 14 DX
QSO:  3585 RY 2018-09-29 2233 G4OZG         599 14 DX  LX7I          599 14 DX
QSO:  3587 RY 2018-09-29 2236 G4OZG         599 14 DX  PI4CG         599 14 DX
QSO:  3590 RY 2018-09-29 2240 G4OZG         599 14 DX  DR5N          599 14 DX
QSO:  3590 RY 2018-09-29 2240 G4OZG         599 14 DX  Z37M          599 15 DX
QSO:  3592 RY 2018-09-29 2242 G4OZG         599 14 DX  S53S          599 15 DX
QSO:  3592 RY 2018-09-29 2242 G4OZG         599 14 DX  TM0T          599 14 DX
QSO:  3593 RY 2018-09-29 2245 G4OZG         599 14 DX  OK1PI         599 15 DX
QSO:  3593 RY 2018-09-29 2246 G4OZG         599 14 DX  UX2X          599 16 DX
QSO:  3595 RY 2018-09-29 2249 G4OZG         599 14 DX  LY2W          599 15 DX
QSO:  3596 RY 2018-09-29 2252 G4OZG         599 14 DX  DH8BQA        599 14 DX
QSO:  3600 RY 2018-09-29 2255 G4OZG         599 14 DX  SP5DL         599 15 DX
QSO:  3602 RY 2018-09-30 0651 G4OZG         599 14 DX  ON3DI         599 14 DX
QSO:  3603 RY 2018-09-30 0651 G4OZG         599 14 DX  EA1WS         599 14 DX
QSO:  3583 RY 2018-09-30 0655 G4OZG         599 14 DX  EI5KF         599 14 DX
QSO:  3591 RY 2018-09-30 0703 G4OZG         599 14 DX  DO4OD         599 14 DX
QSO:  3592 RY 2018-09-30 0705 G4OZG         599 14 DX  DL0HMK        599 14 DX
QSO:  3595 RY 2018-09-30 0707 G4OZG         599 14 DX  IK2LOL        599 15 DX
QSO:  3596 RY 2018-09-30 0708 G4OZG         599 14 DX  DL2KWA        599 14 DX
QSO:  3600 RY 2018-09-30 0713 G4OZG         599 14 DX  DL4ZA         599 14 DX
QSO:  7038 RY 2018-09-30 0724 G4OZG         599 14 DX  EA8AH         599 33 DX
QSO:  7037 RY 2018-09-30 0726 G4OZG         599 14 DX  SP2YWL        599 15 DX
QSO:  7036 RY 2018-09-30 0727 G4OZG         599 14 DX  F4FDR         599 14 DX
QSO:  7041 RY 2018-09-30 0731 G4OZG         599 14 DX  TM6V          599 14 DX
QSO:  7042 RY 2018-09-30 0733 G4OZG         599 14 DX  IN3VVK        599 15 DX
QSO:  7044 RY 2018-09-30 0736 G4OZG         599 14 DX  YL4U          599 15 DX
QSO:  7044 RY 2018-09-30 0738 G4OZG         599 14 DX  LA9TY         599 14 DX
QSO:  7047 RY 2018-09-30 0739 G4OZG         599 14 DX  HG7T          599 15 DX
QSO:  7050 RY 2018-09-30 0745 G4OZG         599 14 DX  DL2KWA        599 14 DX
QSO:  7051 RY 2018-09-30 0747 G4OZG         599 14 DX  IQ4FC         599 15 DX
QSO:  7051 RY 2018-09-30 0748 G4OZG         599 14 DX  DM5B          599 14 DX
QSO:  7056 RY 2018-09-30 0814 G4OZG         599 14 DX  HB9FKL        599 14 DX
QSO:  7056 RY 2018-09-30 0815 G4OZG         599 14 DX  HA1AD         599 15 DX
QSO:  7059 RY 2018-09-30 0821 G4OZG         599 14 DX  DK7HA         599 14 DX
QSO:  7059 RY 2018-09-30 0823 G4OZG         599 14 DX  OZ7AEI        599 14 DX
QSO:  7060 RY 2018-09-30 0824 G4OZG         599 14 DX  DL0MFL        599 14 DX
QSO:  7062 RY 2018-09-30 0830 G4OZG         599 14 DX  S57LR         599 15 DX
QSO:  7065 RY 2018-09-30 0831 G4OZG         599 14 DX  9A5Y          599 15 DX
QSO:  7072 RY 2018-09-30 0838 G4OZG         599 14 DX  SB0A          599 14 DX
QSO:  7073 RY 2018-09-30 0844 G4OZG         599 14 DX  DL0HMK        599 14 DX
QSO:  7075 RY 2018-09-30 0844 G4OZG         599 14 DX  OM3R          599 15 DX
QSO:  7074 RY 2018-09-30 0846 G4OZG         599 14 DX  ED1LO         599 14 DX
QSO:  7044 RY 2018-09-30 0848 G4OZG         599 14 DX  CT7AJL        599 14 DX
QSO:  7045 RY 2018-09-30 0849 G4OZG         599 14 DX  I3PXN         599 15 DX
QSO:  7049 RY 2018-09-30 0852 G4OZG         599 14 DX  S53F          599 15 DX
QSO:  7050 RY 2018-09-30 0853 G4OZG         599 14 DX  OZ2TF         599 14 DX
QSO:  7051 RY 2018-09-30 0855 G4OZG         599 14 DX  EA2DLX        599 14 DX
QSO:  7052 RY 2018-09-30 0856 G4OZG         599 14 DX  DL4ME         599 14 DX
QSO:  7054 RY 2018-09-30 0859 G4OZG         599 14 DX  LY4OO         599 15 DX
QSO:  7057 RY 2018-09-30 0900 G4OZG         599 14 DX  OZ1DAE        599 14 DX
QSO:  7060 RY 2018-09-30 0903 G4OZG         599 14 DX  4U1A          599 15 DX
QSO:  7062 RY 2018-09-30 0904 G4OZG         599 14 DX  LX1NO         599 14 DX
QSO:  7065 RY 2018-09-30 0908 G4OZG         599 14 DX  DJ3NG         599 14 DX
QSO: 14081 RY 2018-09-30 0912 G4OZG         599 14 DX  IQ9UI         599 15 DX
QSO: 14083 RY 2018-09-30 0914 G4OZG         599 14 DX  ZX2B          599 11 DX
QSO: 14083 RY 2018-09-30 0916 G4OZG         599 14 DX  RZ1OA         599 16 DX
QSO: 14084 RY 2018-09-30 0923 G4OZG         599 14 DX  OH2XX         599 15 DX
QSO: 14084 RY 2018-09-30 0924 G4OZG         599 14 DX  S51A          599 15 DX
QSO: 14086 RY 2018-09-30 0926 G4OZG         599 14 DX  SP5KCR        599 15 DX
QSO: 14093 RY 2018-09-30 0938 G4OZG         599 14 DX  R9MJ          599 17 DX
QSO: 14094 RY 2018-09-30 0939 G4OZG         599 14 DX  CS5CRE        599 14 DX
QSO: 14094 RY 2018-09-30 0941 G4OZG         599 14 DX  R3BB          599 16 DX
QSO: 14094 RY 2018-09-30 0942 G4OZG         599 14 DX  LY4OO         599 15 DX
QSO: 14095 RY 2018-09-30 0944 G4OZG         599 14 DX  SM6I          599 14 DX
QSO: 14097 RY 2018-09-30 0946 G4OZG         599 14 DX  IK3TPP        599 15 DX
QSO: 14098 RY 2018-09-30 0950 G4OZG         599 14 DX  EA5DFV        599 14 DX
QSO: 14099 RY 2018-09-30 0951 G4OZG         599 14 DX  G2F           599 14 DX
QSO: 14099 RY 2018-09-30 0952 G4OZG         599 14 DX  9A1A          599 15 DX
QSO: 14100 RY 2018-09-30 0954 G4OZG         599 14 DX  OE9R          599 15 DX
QSO: 14103 RY 2018-09-30 0957 G4OZG         599 14 DX  I2BRT         599 15 DX
QSO: 14104 RY 2018-09-30 0959 G4OZG         599 14 DX  IQ4FA         599 15 DX
QSO: 14108 RY 2018-09-30 1001 G4OZG         599 14 DX  OH3OJ         599 15 DX
QSO: 14108 RY 2018-09-30 1001 G4OZG         599 14 DX  DD1A          599 14 DX
QSO: 14110 RY 2018-09-30 1005 G4OZG         599 14 DX  RG5A          599 16 DX
QSO: 14111 RY 2018-09-30 1007 G4OZG         599 14 DX  LY2W          599 15 DX
QSO: 14113 RY 2018-09-30 1009 G4OZG         599 14 DX  UR5CN         599 16 DX
QSO: 14114 RY 2018-09-30 1014 G4OZG         599 14 DX  IT9RBW        599 15 DX
QSO: 14115 RY 2018-09-30 1016 G4OZG         599 14 DX  S57DX         599 15 DX
QSO: 14117 RY 2018-09-30 1020 G4OZG         599 14 DX  UA9CTT        599 17 DX
QSO: 14120 RY 2018-09-30 1023 G4OZG         599 14 DX  5Q2J          599 14 DX
QSO: 14120 RY 2018-09-30 1024 G4OZG         599 14 DX  EB5AQ         599 14 DX
QSO: 14121 RY 2018-09-30 1027 G4OZG         599 14 DX  EA3NY         599 14 DX
QSO: 14121 RY 2018-09-30 1028 G4OZG         599 14 DX  YL5X          599 15 DX
QSO: 14124 RY 2018-09-30 1035 G4OZG         599 14 DX  LZ2JA         599 20 DX
QSO: 14125 RY 2018-09-30 1036 G4OZG         599 14 DX  RG9A          599 17 DX
QSO: 14126 RY 2018-09-30 1037 G4OZG         599 14 DX  IW1CHX        599 15 DX
QSO: 14127 RY 2018-09-30 1038 G4OZG         599 14 DX  RG2A          599 16 DX
QSO: 14131 RY 2018-09-30 1040 G4OZG         599 14 DX  IV3JCC        599 15 DX
QSO: 14132 RY 2018-09-30 1041 G4OZG         599 14 DX  IK1NEG        599 15 DX
QSO: 14133 RY 2018-09-30 1043 G4OZG         599 14 DX  EE5H          599 14 DX
QSO: 14134 RY 2018-09-30 1044 G4OZG         599 14 DX  UW3U          599 16 DX
QSO: 14135 RY 2018-09-30 1045 G4OZG         599 14 DX  OK1FRD        599 15 DX
QSO: 14137 RY 2018-09-30 1046 G4OZG         599 14 DX  UW0K          599 16 DX
QSO: 14139 RY 2018-09-30 1047 G4OZG         599 14 DX  I0WBX         599 15 DX
QSO: 14141 RY 2018-09-30 1052 G4OZG         599 14 DX  SO9M          599 15 DX
QSO: 14140 RY 2018-09-30 1055 G4OZG         599 14 DX  IQ5ZP         599 15 DX
QSO: 14136 RY 2018-09-30 1058 G4OZG         599 14 DX  HB9FKK        599 14 DX
QSO: 14134 RY 2018-09-30 1100 G4OZG         599 14 DX  IZ4COW        599 15 DX
QSO: 14124 RY 2018-09-30 1103 G4OZG         599 14 DX  LY7Z          599 15 DX
QSO: 14123 RY 2018-09-30 1103 G4OZG         599 14 DX  RT9S          599 16 DX
QSO: 14123 RY 2018-09-30 1104 G4OZG         599 14 DX  OK7W          599 15 DX
QSO: 14122 RY 2018-09-30 1105 G4OZG         599 14 DX  UT4U          599 16 DX
QSO: 14110 RY 2018-09-30 1108 G4OZG         599 14 DX  SM5FUG        599 14 DX
QSO: 14105 RY 2018-09-30 1114 G4OZG         599 14 DX  S53EO         599 15 DX
QSO: 14098 RY 2018-09-30 1118 G4OZG         599 14 DX  YL2CI         599 15 DX
QSO: 14094 RY 2018-09-30 1406 G4OZG         599 14 DX  HG7T          599 15 DX
QSO: 14094 RY 2018-09-30 1407 G4OZG         599 14 DX  NR4M          599 05 VA
QSO: 14093 RY 2018-09-30 1409 G4OZG         599 14 DX  9A7T          599 15 DX
QSO: 14089 RY 2018-09-30 1412 G4OZG         599 14 DX  LZ4T          599 20 DX
QSO: 14089 RY 2018-09-30 1412 G4OZG         599 14 DX  IT9BLB        599 15 DX
QSO: 14089 RY 2018-09-30 1420 G4OZG         599 14 DX  YO9HP         599 20 DX
QSO: 14082 RY 2018-09-30 1444 G4OZG         599 14 DX  YL4U          599 15 DX
QSO: 14081 RY 2018-09-30 1448 G4OZG         599 14 DX  UT3RS         599 16 DX
QSO: 14081 RY 2018-09-30 1455 G4OZG         599 14 DX  VE2ZT         599 05 QC
QSO: 14081 RY 2018-09-30 1459 G4OZG         599 14 DX  IT9PZM        599 15 DX
QSO: 14150 RY 2018-09-30 1507 G4OZG         599 14 DX  IT9VCE        599 15 DX
QSO: 14149 RY 2018-09-30 1510 G4OZG         599 14 DX  UR5QU         599 16 DX
QSO: 21099 RY 2018-09-30 1514 G4OZG         599 14 DX  CR3W          599 33 DX
QSO: 21099 RY 2018-09-30 1516 G4OZG         599 14 DX  EF8U          599 33 DX
QSO: 21098 RY 2018-09-30 1517 G4OZG         599 14 DX  CR3DX         599 33 DX
QSO: 21088 RY 2018-09-30 1522 G4OZG         599 14 DX  P3X           599 20 DX
QSO: 21094 RY 2018-09-30 1534 G4OZG         599 14 DX  WA1FCN        599 04 AL
QSO: 21092 RY 2018-09-30 1538 G4OZG         599 14 DX  IT9BLB        599 15 DX
QSO: 21083 RY 2018-09-30 1542 G4OZG         599 14 DX  EA8DED        599 33 DX
QSO: 21093 RY 2018-09-30 1549 G4OZG         599 14 DX  ZS6C          599 38 DX
QSO: 21093 RY 2018-09-30 1551 G4OZG         599 14 DX  W7RY          599 04 MO
QSO: 21085 RY 2018-09-30 1555 G4OZG         599 14 DX  K1LT          599 04 OH
QSO: 21093 RY 2018-09-30 1601 G4OZG         599 14 DX  K4FX          599 05 NC
QSO: 21096 RY 2018-09-30 1606 G4OZG         599 14 DX  W4TTY         599 05 VA
QSO: 21095 RY 2018-09-30 1609 G4OZG         599 14 DX  W3FV          599 05 PA
QSO: 14149 RY 2018-09-30 1724 G4OZG         599 14 DX  UZ5ZV         599 16 DX
QSO: 14144 RY 2018-09-30 1728 G4OZG         599 14 DX  WT9U          599 04 IN
QSO: 14144 RY 2018-09-30 1731 G4OZG         599 14 DX  WI9WI         599 04 WI
QSO: 14134 RY 2018-09-30 1742 G4OZG         599 14 DX  VC3S          599 04 ON
QSO: 14132 RY 2018-09-30 1746 G4OZG         599 14 DX  K2PAL         599 05 NY
QSO: 14131 RY 2018-09-30 1747 G4OZG         599 14 DX  AB8M          599 04 OH
QSO: 14131 RY 2018-09-30 1748 G4OZG         599 14 DX  AA3B          599 05 PA
QSO: 14130 RY 2018-09-30 1749 G4OZG         599 14 DX  VE2GSO        599 05 QC
QSO: 14129 RY 2018-09-30 1752 G4OZG         599 14 DX  IQ8XF         599 15 DX
QSO: 14124 RY 2018-09-30 1756 G4OZG         599 14 DX  AC0C          599 04 KS
QSO: 14120 RY 2018-09-30 1757 G4OZG         599 14 DX  SX2X          599 20 DX
QSO: 14112 RY 2018-09-30 1758 G4OZG         599 14 DX  K9CT          599 04 IL
QSO: 14107 RY 2018-09-30 1804 G4OZG         599 14 DX  K3WW          599 05 PA
QSO: 14105 RY 2018-09-30 1806 G4OZG         599 14 DX  C37NL         599 14 DX
QSO: 14095 RY 2018-09-30 1817 G4OZG         599 14 DX  IK8SEU        599 15 DX
QSO: 14094 RY 2018-09-30 1819 G4OZG         599 14 DX  EA7KI         599 14 DX
QSO: 14145 RY 2018-09-30 1834 G4OZG         599 14 DX  PY2NY         599 11 DX
QSO: 14138 RY 2018-09-30 1845 G4OZG         599 14 DX  IK5AMB        599 15 DX
QSO: 14129 RY 2018-09-30 1905 G4OZG         599 14 DX  KI1G          599 05 RI
QSO: 14128 RY 2018-09-30 1907 G4OZG         599 14 DX  9A7Y          599 15 DX
QSO: 14126 RY 2018-09-30 1908 G4OZG         599 14 DX  S53S          599 15 DX
QSO: 14125 RY 2018-09-30 1910 G4OZG         599 14 DX  N8LRG         599 04 OH
