START-OF-LOG: 3.0
CALLSIGN: IK2MXM
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 20315
NAME: GIGI SAPO
LOCATION: DX
OPERATORS: IK2MXM
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW
SOAPBOX: -  FT991 PWR 50W - MULTIBAND GP ANTENNA + INV VEE DIPOLE
QSO:  7064 RY 2018-09-29 0311 IK2MXM        599 15 DX  EW6EN         599 16 DX
QSO:  7065 RY 2018-09-29 0312 IK2MXM        599 15 DX  UR3QSW        599 16 DX
QSO:  7066 RY 2018-09-29 0313 IK2MXM        599 15 DX  SX2X          599 20 DX
QSO:  7061 RY 2018-09-29 0829 IK2MXM        599 15 DX  HA8JV         599 14 DX
QSO:  7062 RY 2018-09-29 0830 IK2MXM        599 15 DX  TM0T          599 14 DX
QSO:  7061 RY 2018-09-29 0830 IK2MXM        599 15 DX  SO9M          599 15 DX
QSO: 14125 RY 2018-09-29 0834 IK2MXM        599 15 DX  EE7Y          599 14 DX
QSO: 14113 RY 2018-09-29 0837 IK2MXM        599 15 DX  YL2QV         599 15 DX
QSO: 14112 RY 2018-09-29 0837 IK2MXM        599 15 DX  SV5/DL3DRN    599 20 DX
QSO: 14100 RY 2018-09-29 0841 IK2MXM        599 15 DX  LY6A          599 16 DX
QSO: 14101 RY 2018-09-29 0842 IK2MXM        599 15 DX  R9MJ          599 17 DX
QSO: 14091 RY 2018-09-29 0849 IK2MXM        599 15 DX  RC5Z          599 16 DX
QSO: 14082 RY 2018-09-29 0853 IK2MXM        599 15 DX  UR7GO         599 16 DX
QSO: 14081 RY 2018-09-29 0856 IK2MXM        599 15 DX  RK3PWR        599 16 DX
QSO: 21096 RY 2018-09-29 0908 IK2MXM        599 15 DX  IK2LOL        599 15 DX
QSO:  7042 RY 2018-09-29 0917 IK2MXM        599 15 DX  OM5ZW         599 15 DX
QSO:  7044 RY 2018-09-29 0918 IK2MXM        599 15 DX  PI4CC         599 14 DX
QSO:  7044 RY 2018-09-29 0920 IK2MXM        599 15 DX  9A1A          599 15 DX
QSO:  7050 RY 2018-09-29 0922 IK2MXM        599 15 DX  DK3T          599 14 DX
QSO:  7050 RY 2018-09-29 0922 IK2MXM        599 15 DX  C37NL         599 14 DX
QSO:  7051 RY 2018-09-29 0923 IK2MXM        599 15 DX  M2E           599 14 DX
QSO:  7051 RY 2018-09-29 0925 IK2MXM        599 15 DX  SN2M          599 15 DX
QSO: 21107 RY 2018-09-29 1528 IK2MXM        599 15 DX  PY2KJ         599 11 DX
QSO: 21099 RY 2018-09-29 1531 IK2MXM        599 15 DX  ZX2B          599 11 DX
QSO: 21101 RY 2018-09-29 1533 IK2MXM        599 15 DX  CR3DX         599 33 DX
QSO: 21091 RY 2018-09-29 1537 IK2MXM        599 15 DX  PY2XV         599 11 DX
QSO: 21087 RY 2018-09-29 1539 IK2MXM        599 15 DX  CR3W          599 33 DX
QSO: 21080 RY 2018-09-29 1540 IK2MXM        599 15 DX  EA8AQV        599 33 DX
QSO: 14082 RY 2018-09-29 1545 IK2MXM        599 15 DX  UW1M          599 16 DX
QSO: 14088 RY 2018-09-29 1548 IK2MXM        599 15 DX  OH8F          599 15 DX
QSO: 14080 RY 2018-09-29 1553 IK2MXM        599 15 DX  OH9UFO        599 15 DX
QSO: 14146 RY 2018-09-29 1558 IK2MXM        599 15 DX  NV1Q          599 05 MA
QSO: 14104 RY 2018-09-30 0540 IK2MXM        599 15 DX  RG4A          599 16 DX
QSO: 14090 RY 2018-09-30 0541 IK2MXM        599 15 DX  YM7KA         599 16 DX
QSO: 14086 RY 2018-09-30 0543 IK2MXM        599 15 DX  P3X           599 20 DX
QSO: 14089 RY 2018-09-30 0545 IK2MXM        599 15 DX  UT1AA         599 16 DX
QSO:  3595 RY 2018-09-30 0548 IK2MXM        599 15 DX  DL5JS         599 14 DX
QSO:  7041 RY 2018-09-30 0552 IK2MXM        599 15 DX  LZ5K          599 20 DX
QSO:  7055 RY 2018-09-30 0554 IK2MXM        599 15 DX  HG7T          599 15 DX
QSO:  7064 RY 2018-09-30 0557 IK2MXM        599 15 DX  EA5DFV        599 14 DX
QSO:  7065 RY 2018-09-30 0558 IK2MXM        599 15 DX  GM3W          599 14 DX
QSO:  7078 RY 2018-09-30 0559 IK2MXM        599 15 DX  OM2VL         599 15 DX
QSO:  7058 RY 2018-09-30 0605 IK2MXM        599 15 DX  PD1RP         599 14 DX
QSO:  7058 RY 2018-09-30 0606 IK2MXM        599 15 DX  G2F           599 14 DX
QSO: 14082 RY 2018-09-30 0607 IK2MXM        599 15 DX  RU5TT         599 16 DX
QSO: 14081 RY 2018-09-30 0607 IK2MXM        599 15 DX  RO9A          599 17 DX
QSO: 14095 RY 2018-09-30 0612 IK2MXM        599 15 DX  RA9AU         599 17 DX
QSO: 14092 RY 2018-09-30 0613 IK2MXM        599 15 DX  EF8U          599 33 DX
QSO:  7042 RY 2018-09-30 0615 IK2MXM        599 15 DX  F6CTT         599 14 DX
QSO:  7043 RY 2018-09-30 0616 IK2MXM        599 15 DX  HG1S          599 15 DX
QSO: 14087 RY 2018-09-30 2037 IK2MXM        599 15 DX  AC0C          599 04 KS
QSO: 14103 RY 2018-09-30 2038 IK2MXM        599 15 DX  W3GH          599 05 PA
QSO: 14103 RY 2018-09-30 2039 IK2MXM        599 15 DX  KI1G          599 05 RI
QSO: 14110 RY 2018-09-30 2043 IK2MXM        599 15 DX  N8OO          599 04 LA
QSO: 14109 RY 2018-09-30 2045 IK2MXM        599 15 DX  K0OO          599 05 MD
QSO: 14099 RY 2018-09-30 2049 IK2MXM        599 15 DX  N5XJ          599 04 TX
QSO: 14099 RY 2018-09-30 2050 IK2MXM        599 15 DX  NR4M          599 05 VA
QSO: 14101 RY 2018-09-30 2053 IK2MXM        599 15 DX  K1SFA         599 05 MA
QSO: 14100 RY 2018-09-30 2055 IK2MXM        599 15 DX  ED7P          599 14 DX
QSO:  7042 RY 2018-09-30 2100 IK2MXM        599 15 DX  5Q2J          599 14 DX
QSO:  7041 RY 2018-09-30 2102 IK2MXM        599 15 DX  YL4U          599 15 DX
QSO:  7043 RY 2018-09-30 2105 IK2MXM        599 15 DX  LY2W          599 15 DX
QSO:  7046 RY 2018-09-30 2108 IK2MXM        599 15 DX  CR3W          599 33 DX
QSO:  7047 RY 2018-09-30 2109 IK2MXM        599 15 DX  EV1R          599 16 DX
QSO:  7049 RY 2018-09-30 2112 IK2MXM        599 15 DX  IS0GQX        599 15 DX
QSO:  7062 RY 2018-09-30 2113 IK2MXM        599 15 DX  OG2P          599 15 DX
QSO:  7072 RY 2018-09-30 2118 IK2MXM        599 15 DX  LZ3ZZ         599 20 DX
QSO:  7072 RY 2018-09-30 2119 IK2MXM        599 15 DX  LZ6Y          599 20 DX
QSO:  7099 RY 2018-09-30 2124 IK2MXM        599 15 DX  OU2PA         599 14 DX
QSO:  3600 RY 2018-09-30 2125 IK2MXM        599 15 DX  OK2HBR        599 15 DX
QSO:  3600 RY 2018-09-30 2127 IK2MXM        599 15 DX  P3X           599 15 DX
QSO:  3581 RY 2018-09-30 2128 IK2MXM        599 15 DX  HB9CIN        599 14 DX
QSO:  3580 RY 2018-09-30 2129 IK2MXM        599 15 DX  LY7Z          599 15 DX
QSO:  3580 RY 2018-09-30 2133 IK2MXM        599 15 DX  TM5T          599 14 DX
QSO:  3580 RY 2018-09-30 2134 IK2MXM        599 15 DX  S55BA         599 15 DX
QSO:  3578 RY 2018-09-30 2135 IK2MXM        599 15 DX  G5K           599 14 DX
QSO:  3579 RY 2018-09-30 2136 IK2MXM        599 15 DX  ON5AM         599 16 DX
QSO:  3585 RY 2018-09-30 2137 IK2MXM        599 15 DX  LA9TY         599 14 DX
END-OF-LOG:
