START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K8AJS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 94656
NAME: John Bastin
LOCATION: OH
OPERATORS: K8AJS
CLUB: Mad River Radio Club
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: QSL with W5MMW 2019-09-28 1909Z I know the zone is incorrect, but
SOAPBOX: that is what he sent, so that is what I logged.
QSO:  7035 RY 2019-09-28 1048 K8AJS         599 04 OH  ZM1A          599 32 DX
QSO:  7037 RY 2019-09-28 1051 K8AJS         599 04 OH  KU1CW         599 03 OR
QSO:  7041 RY 2019-09-28 1052 K8AJS         599 04 OH  VK4BRT        599 30 DX
QSO:  7044 RY 2019-09-28 1054 K8AJS         599 04 OH  T48SC         599 08 DX
QSO:  7045 RY 2019-09-28 1055 K8AJS         599 04 OH  VK4QH         599 30 DX
QSO:  7050 RY 2019-09-28 1057 K8AJS         599 04 OH  K4ADR         599 05 FL
QSO:  7051 RY 2019-09-28 1059 K8AJS         599 04 OH  CO3JN         599 08 DX
QSO:  7053 RY 2019-09-28 1103 K8AJS         599 04 OH  ZM4T          599 32 DX
QSO:  7054 RY 2019-09-28 1103 K8AJS         599 04 OH  K4RUM         599 05 NY
QSO:  7059 RY 2019-09-28 1104 K8AJS         599 04 OH  HQ9X          599 07 DX
QSO:  7067 RY 2019-09-28 1106 K8AJS         599 04 OH  N0KE          599 04 CO
QSO:  7068 RY 2019-09-28 1107 K8AJS         599 04 OH  NA5NN         599 04 MS
QSO:  7054 RY 2019-09-28 1109 K8AJS         599 04 OH  WA1Z          599 05 NH
QSO:  7048 RY 2019-09-28 1114 K8AJS         599 04 OH  V31VP         599 07 DX
QSO:  7048 RY 2019-09-28 1115 K8AJS         599 04 OH  VK4FJ         599 30 DX
QSO:  7046 RY 2019-09-28 1118 K8AJS         599 04 OH  W1QK          599 05 CT
QSO:  7040 RY 2019-09-28 1121 K8AJS         599 04 OH  NY6DX         599 05 NY
QSO:  7039 RY 2019-09-28 1122 K8AJS         599 04 OH  CO0CHE        599 08 DX
QSO:  7039 RY 2019-09-28 1126 K8AJS         599 04 OH  K5WE          599 04 OK
QSO:  7036 RY 2019-09-28 1136 K8AJS         599 04 OH  KC4HW         599 04 AL
QSO:  7040 RY 2019-09-28 1139 K8AJS         599 04 OH  K7WP          599 03 AZ
QSO:  7041 RY 2019-09-28 1140 K8AJS         599 04 OH  N9NA          599 03 AZ
QSO:  7044 RY 2019-09-28 1141 K8AJS         599 04 OH  K5EK          599 05 NC
QSO:  7046 RY 2019-09-28 1142 K8AJS         599 04 OH  W7WW          599 03 AZ
QSO:  7047 RY 2019-09-28 1144 K8AJS         599 04 OH  N6WM          599 03 CA
QSO:  7048 RY 2019-09-28 1146 K8AJS         599 04 OH  W3YY          599 05 VA
QSO:  7050 RY 2019-09-28 1147 K8AJS         599 04 OH  W3RGA         599 05 PA
QSO:  7052 RY 2019-09-28 1148 K8AJS         599 04 OH  AA5B          599 04 NM
QSO: 14082 RY 2019-09-28 1156 K8AJS         599 04 OH  CR3W          599 33 DX
QSO: 14083 RY 2019-09-28 1232 K8AJS         599 04 OH  SN7Q          599 15 DX
QSO: 14082 RY 2019-09-28 1233 K8AJS         599 04 OH  IQ4FC         599 15 DX
QSO: 14080 RY 2019-09-28 1239 K8AJS         599 04 OH  LX7I          599 14 DX
QSO: 14079 RY 2019-09-28 1240 K8AJS         599 04 OH  EM0I          599 16 DX
QSO: 14082 RY 2019-09-28 1241 K8AJS         599 04 OH  M2G           599 14 DX
QSO: 14083 RY 2019-09-28 1244 K8AJS         599 04 OH  CO3JN         599 08 DX
QSO: 14089 RY 2019-09-28 1246 K8AJS         599 04 OH  CO2YQ         599 08 DX
QSO: 14094 RY 2019-09-28 1250 K8AJS         599 04 OH  PZ5RA         599 09 DX
QSO: 14095 RY 2019-09-28 1252 K8AJS         599 04 OH  SO4M          599 15 DX
QSO: 14096 RY 2019-09-28 1253 K8AJS         599 04 OH  DK3T          599 14 DX
QSO: 14099 RY 2019-09-28 1257 K8AJS         599 04 OH  9A1A          599 15 DX
QSO: 14100 RY 2019-09-28 1258 K8AJS         599 04 OH  OK1KSL        599 15 DX
QSO: 14101 RY 2019-09-28 1301 K8AJS         599 04 OH  S58N          599 15 DX
QSO: 14101 RY 2019-09-28 1301 K8AJS         599 04 OH  ON5GQ         599 14 DX
QSO: 14105 RY 2019-09-28 1303 K8AJS         599 04 OH  DM5TI         599 14 DX
QSO: 14105 RY 2019-09-28 1304 K8AJS         599 04 OH  S51A          599 15 DX
QSO: 14106 RY 2019-09-28 1305 K8AJS         599 04 OH  YW1K          599 09 DX
QSO: 14110 RY 2019-09-28 1308 K8AJS         599 04 OH  KE1F          599 05 FL
