START-OF-LOG: 3.0
CALLSIGN: ER1PL
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 12920
CONTEST: EA-MAJESTAD-SSB
CREATED-BY: Contest LogChecker v5.1 [www.contestlogchecker.com]
LOCATION: DX
NAME: Lilian Putina
GRID-LOCATOR: KN46DW
OPERATORS: ER1PL
SOAPBOX: First time to this contest. Setup Yaesu FT-891 and homebrew
QSO: 14203 PH 2025-06-28 1335 ER1PL         59  027    IT9IVU        59  50  
QSO: 14277 PH 2025-06-28 1339 ER1PL         59  028    SD3T          59  43  
QSO: 14284 PH 2025-06-28 1343 ER1PL         59  029    EF5Q          59  CS  
QSO: 14272 PH 2025-06-28 1345 ER1PL         59  030    IV3IPA        59  102 
QSO: 14192 PH 2025-06-28 1534 ER1PL         59  031    SN7R          59  71  
QSO: 14254 PH 2025-06-28 1537 ER1PL         59  032    PB6W          59  48  
QSO: 14285 PH 2025-06-28 1537 ER1PL         59  033    EE5O          59  CS  
QSO: 14306 PH 2025-06-28 1538 ER1PL         59  034    EF0F/8        59  SMR 
QSO: 14308 PH 2025-06-28 1539 ER1PL         59  035    SE2P          59  131 
QSO: 14325 PH 2025-06-28 1540 ER1PL         59  036    OG3B          59  258 
QSO: 14293 PH 2025-06-28 1602 ER1PL         59  037    EA2AOO/P      59  NA  
QSO: 14258 PH 2025-06-28 1606 ER1PL         59  038    SP2GMA        59  99  
QSO: 14315 PH 2025-06-28 1608 ER1PL         59  039    EA2EZ         59  Z   
QSO: 21210 PH 2025-06-28 1618 ER1PL         59  040    EB7AA         59  CA  
QSO: 21222 PH 2025-06-28 1639 ER1PL         59  041    OZ1D          59  33  
QSO: 14220 PH 2025-06-28 1645 ER1PL         59  042    EF5U          59  A   
QSO: 14269 PH 2025-06-28 1702 ER1PL         59  043    EE5SP         59  V   
QSO: 14206 PH 2025-06-28 1706 ER1PL         59  044    EE8E          59  TF  
QSO: 14333 PH 2025-06-28 1711 ER1PL         59  045    ED5R          59  A   
QSO: 14277 PH 2025-06-28 1715 ER1PL         59  046    EA3HXV        59  B   
QSO: 14210 PH 2025-06-28 1718 ER1PL         59  047    EB5A          59  A   
QSO: 14192 PH 2025-06-28 1719 ER1PL         59  048    EB5F          59  A   
QSO: 14190 PH 2025-06-28 1721 ER1PL         59  049    EA7Q          59  H   
QSO: 21300 PH 2025-06-28 1727 ER1PL         59  050    ED7R          59  CA  
QSO: 14235 PH 2025-06-28 1731 ER1PL         59  051    EE1P          59  P   
QSO: 14237 PH 2025-06-28 1732 ER1PL         59  052    EA1FDJ        59  S   
QSO:  7175 PH 2025-06-28 1740 ER1PL         59  053    SO9F          59  55  
QSO:  7173 PH 2025-06-28 1741 ER1PL         59  054    SN8Z          59  381 
QSO:  7133 PH 2025-06-28 1744 ER1PL         59  055    S51DX         59  242 
QSO:  7146 PH 2025-06-28 1745 ER1PL         59  056    YO3RU         59  193 
QSO:  7164 PH 2025-06-28 1748 ER1PL         59  057    LZ5R          59  821 
QSO:  7169 PH 2025-06-28 1749 ER1PL         59  058    SP8ZOC        59  220 
QSO:  7182 PH 2025-06-28 1751 ER1PL         59  059    E70Y          59  145 
QSO:  7184 PH 2025-06-28 1752 ER1PL         59  060    YL7X          59  442 
QSO: 14259 PH 2025-06-28 1758 ER1PL         59  061    EA7AKK        59  SE  
QSO: 14313 PH 2025-06-28 1800 ER1PL         59  062    EA1WH         59  S   
QSO: 14240 PH 2025-06-28 1804 ER1PL         59  063    YL1ZM         59  187 
QSO: 14234 PH 2025-06-28 1805 ER1PL         59  064    OT1X          59  20  
QSO: 14223 PH 2025-06-28 1807 ER1PL         59  065    EF7O          59  CO  
QSO: 14171 PH 2025-06-28 1813 ER1PL         59  066    EC4T          59  BA  
QSO: 14186 PH 2025-06-28 1815 ER1PL         59  067    IT9JVF        59  88  
QSO: 21267 PH 2025-06-28 1826 ER1PL         59  068    EA1L          59  O   
QSO:  7174 PH 2025-06-29 0535 ER1PL         59  069    HG6K          59  411 
QSO:  7157 PH 2025-06-29 0536 ER1PL         59  070    OK1KKI        59  412 
QSO:  7141 PH 2025-06-29 0538 ER1PL         59  071    OK2MBP        59  256 
QSO:  7191 PH 2025-06-29 0542 ER1PL         59  072    UZ7C          59  882 
QSO: 14198 PH 2025-06-29 0554 ER1PL         59  073    EC5EA         59  A   
QSO: 14195 PH 2025-06-29 0555 ER1PL         59  074    EE4M          59  M   
QSO: 14243 PH 2025-06-29 0606 ER1PL         59  075    9A1AAD/P      59  067 
QSO: 14179 PH 2025-06-29 0607 ER1PL         59  076    EA1L          59  O   
QSO: 14291 PH 2025-06-29 0613 ER1PL         59  077    OK1KKI        59  422 
QSO: 14247 PH 2025-06-29 0617 ER1PL         59  078    EA5O          59  V   
QSO: 14233 PH 2025-06-29 0638 ER1PL         59  079    ED5E          59  V   
QSO: 21277 PH 2025-06-29 0723 ER1PL         59  080    OH2KW         59  258 
QSO: 14220 PH 2025-06-29 0725 ER1PL         59  081    9A3B          59  683 
QSO: 21273 PH 2025-06-29 0739 ER1PL         59  082    I4XNN         59  209 
QSO: 14208 PH 2025-06-29 0747 ER1PL         59  083    OM2ADM        59  1245
QSO: 14215 PH 2025-06-29 0756 ER1PL         59  084    IN3ZNR        59  29  
QSO: 14185 PH 2025-06-29 0758 ER1PL         59  085    EC5APA        59  CA  
QSO: 21292 PH 2025-06-29 0813 ER1PL         59  086    IN3ZNR        59  44  
QSO: 21284 PH 2025-06-29 0814 ER1PL         59  087    ED2X          59  NA  
QSO: 14248 PH 2025-06-29 0824 ER1PL         59  088    F4IEX         59  74  
QSO: 14243 PH 2025-06-29 0832 ER1PL         59  089    ED5Z          59  MU  
QSO: 14267 PH 2025-06-29 0835 ER1PL         59  090    EA3RCA        59  GI  
QSO: 14297 PH 2025-06-29 0836 ER1PL         59  091    PD3W          59  64  
QSO: 14258 PH 2025-06-29 0839 ER1PL         59  092    LZ5R          59  1742
QSO: 14235 PH 2025-06-29 0843 ER1PL         59  093    EE5R          59  AL  
QSO: 14239 PH 2025-06-29 0900 ER1PL         59  094    EA3RCD        59  L   
QSO: 14257 PH 2025-06-29 0902 ER1PL         59  095    SP9LAW        59  144 
QSO: 14290 PH 2025-06-29 0909 ER1PL         59  096    ER1MAX        59  348 
QSO: 14298 PH 2025-06-29 0915 ER1PL         59  097    ED2R          59  VI  
QSO: 14192 PH 2025-06-29 0932 ER1PL         59  098    ED3D          59  GI  
QSO: 21250 PH 2025-06-29 0951 ER1PL         59  099    P3X           59  959 
QSO: 21271 PH 2025-06-29 0955 ER1PL         59  100    ED5R          59  A   
END-OF-LOG:
