START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: N9OK
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 112868
NAME: Joe Robin
OPERATORS: N9OK
CLUB: Society of Midwest Contesters
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Can only operate phone for limited times. I feel somewhat deaf
SOAPBOX: now. This was a fun contest. Low noise levels in this area.
SOAPBOX: Sunspots not great but still made some good contacts.
QSO: 14260 PH 2019-10-26 2158 N9OK          59  4      HP2DX         59  07
QSO: 14256 PH 2019-10-26 2158 N9OK          59  4      PR4T          59  11
QSO: 14222 PH 2019-10-26 2158 N9OK          59  4      KP3MM         59  08
QSO: 14309 PH 2019-10-26 2205 N9OK          59  4      P40T          59  09
QSO: 14200 PH 2019-10-26 2208 N9OK          59  4      KH6J          59  31
QSO: 14175 PH 2019-10-26 2210 N9OK          59  4      CE2LR         59  12
QSO: 14198 PH 2019-10-26 2212 N9OK          59  4      HC0E          59  10
QSO: 14234 PH 2019-10-26 2217 N9OK          59  4      VP9I          59  05
QSO: 14235 PH 2019-10-26 2217 N9OK          59  4      PJ4K          59  09
QSO: 14240 PH 2019-10-26 2221 N9OK          59  4      PT5J          59  11
QSO: 14345 PH 2019-10-26 2228 N9OK          59  4      JH4UYB        59  25
QSO: 14342 PH 2019-10-26 2228 N9OK          59  4      PS2T          59  11
QSO: 14337 PH 2019-10-26 2229 N9OK          59  4      PY8WW         59  11
QSO: 14320 PH 2019-10-26 2231 N9OK          59  4      HP3AK         59  07
QSO: 14313 PH 2019-10-26 2232 N9OK          59  4      5K0K          59  07
QSO: 14305 PH 2019-10-26 2233 N9OK          59  4      JA7ZFN        59  25
QSO: 14298 PH 2019-10-26 2234 N9OK          59  4      JE6RPM        59  25
QSO: 14290 PH 2019-10-26 2236 N9OK          59  4      ZY2A          59  11
QSO: 14285 PH 2019-10-26 2239 N9OK          59  4      OA4O          59  10
QSO: 14294 PH 2019-10-26 2241 N9OK          59  4      ZP5AA         59  11
QSO: 14290 PH 2019-10-26 2241 N9OK          59  4      TI1T          59  07
QSO: 14215 PH 2019-10-26 2251 N9OK          59  4      PQ5B          59  11
QSO: 14173 PH 2019-10-26 2253 N9OK          59  4      VP5W          59  08
QSO: 14169 PH 2019-10-26 2258 N9OK          59  4      LV4V          59  13
QSO:  3776 PH 2019-10-27 0121 N9OK          59  4      VE3EJ         59  04
QSO:  3799 PH 2019-10-27 0122 N9OK          59  4      CN3A          59  33
QSO:  3645 PH 2019-10-27 0124 N9OK          59  4      VA3NW         59  04
QSO:  3636 PH 2019-10-27 0125 N9OK          59  4      N2NT          59  05
QSO:  3650 PH 2019-10-27 0126 N9OK          59  4      K2LE          59  05
QSO:  3657 PH 2019-10-27 0128 N9OK          59  4      VE2GSO        59  05
QSO:  3660 PH 2019-10-27 0129 N9OK          59  4      VY2TT         59  05
QSO:  3670 PH 2019-10-27 0131 N9OK          59  4      PJ2T          59  09
QSO:  3673 PH 2019-10-27 0131 N9OK          59  4      VC3X          59  04
QSO:  3736 PH 2019-10-27 0142 N9OK          59  4      ED8W          59  33
QSO:  3739 PH 2019-10-27 0143 N9OK          59  4      DP6A          59  14
QSO:  3743 PH 2019-10-27 0144 N9OK          59  4      DR1A          59  14
QSO:  3748 PH 2019-10-27 0147 N9OK          59  4      VO2NS         59  02
QSO:  3756 PH 2019-10-27 0151 N9OK          59  4      EI7M          59  14
QSO:  3774 PH 2019-10-27 0153 N9OK          59  4      VE3JM         59  04
QSO:  3786 PH 2019-10-27 0156 N9OK          59  4      M6T           59  14
QSO:  3788 PH 2019-10-27 0157 N9OK          59  4      TM6M          59  14
QSO:  3794 PH 2019-10-27 0159 N9OK          59  4      DF0HQ         59  14
QSO:  3800 PH 2019-10-27 0200 N9OK          59  4      E7DX          59  15
QSO:  3796 PH 2019-10-27 0202 N9OK          59  4      LZ9W          59  20
QSO:  3762 PH 2019-10-27 0205 N9OK          59  4      HG8R          59  15
QSO:  3759 PH 2019-10-27 0206 N9OK          59  4      OM2VL         59  15
QSO:  3741 PH 2019-10-27 0207 N9OK          59  4      VA3MW         59  04
QSO:  3725 PH 2019-10-27 0210 N9OK          59  4      NW1P          59  05
QSO:  3743 PH 2019-10-27 1122 N9OK          59  4      VA2CZ         59  05
QSO:  3753 PH 2019-10-27 1123 N9OK          59  4      VP6R          59  32
QSO:  3773 PH 2019-10-27 1137 N9OK          59  4      ZM4T          59  32
QSO:  3763 PH 2019-10-27 1140 N9OK          59  4      KH6J          59  31
QSO:  3739 PH 2019-10-27 1149 N9OK          59  4      VA2EW         59  05
QSO:  7188 PH 2019-10-27 1153 N9OK          59  4      ZF1A          59  08
QSO:  7171 PH 2019-10-27 1153 N9OK          59  4      HP3AK         59  07
QSO:  7154 PH 2019-10-27 1156 N9OK          59  4      5K0K          59  07
QSO:  7143 PH 2019-10-27 1157 N9OK          59  4      VA2CZ         59  05
QSO:  7140 PH 2019-10-27 1158 N9OK          59  4      HC0E          59  10
QSO:  7167 PH 2019-10-27 1206 N9OK          59  4      6Y5IC         59  08
QSO:  7194 PH 2019-10-27 1211 N9OK          59  4      VE3JM         59  04
QSO:  7199 PH 2019-10-27 1212 N9OK          59  4      VK9NC         59  32
QSO:  7214 PH 2019-10-27 1213 N9OK          59  4      PJ4K          59  09
QSO:  7175 PH 2019-10-27 1214 N9OK          59  4      VK2IA         59  30
QSO:  7172 PH 2019-10-27 1215 N9OK          59  4      VA2EW         59  05
QSO:  7132 PH 2019-10-27 1216 N9OK          59  4      V3M           59  07
QSO:  7163 PH 2019-10-27 1219 N9OK          59  4      VK4QH         59  30
QSO:  7184 PH 2019-10-27 1220 N9OK          59  4      VK4KW         59  30
QSO:  7203 PH 2019-10-27 1222 N9OK          59  4      VE3PN         59  04
QSO:  7197 PH 2019-10-27 1226 N9OK          59  4      FS4WBS        59  08
QSO:  7191 PH 2019-10-27 1228 N9OK          59  4      HI3LT         59  08
QSO:  7135 PH 2019-10-27 1233 N9OK          59  4      CM8NMN        59  08
QSO:  7177 PH 2019-10-27 1325 N9OK          59  4      VE3PJ         59  04
QSO: 14258 PH 2019-10-27 1330 N9OK          59  4      EI7M          59  14
QSO: 14271 PH 2019-10-27 1341 N9OK          59  4      FS4WBS        59  08
QSO: 14276 PH 2019-10-27 1342 N9OK          59  4      TM4L          59  14
QSO: 14321 PH 2019-10-27 1414 N9OK          59  4      DM4X          59  14
QSO: 14326 PH 2019-10-27 1416 N9OK          59  4      DK3T          59  14
QSO: 14329 PH 2019-10-27 1417 N9OK          59  4      S50K          59  15
QSO: 14345 PH 2019-10-27 1420 N9OK          59  4      OK7K          59  15
QSO: 14349 PH 2019-10-27 1421 N9OK          59  4      OL3Z          59  15
QSO: 14287 PH 2019-10-27 1423 N9OK          59  4      DF0HQ         59  14
QSO: 14267 PH 2019-10-27 1424 N9OK          59  4      IR1G          59  15
QSO: 14263 PH 2019-10-27 1426 N9OK          59  4      EF8R          59  33
QSO: 21202 PH 2019-10-27 1802 N9OK          59  4      V3M           59  07
QSO: 21273 PH 2019-10-27 1804 N9OK          59  4      KP3Z          59  08
QSO: 21242 PH 2019-10-27 1808 N9OK          59  4      3G1D          59  12
QSO: 21238 PH 2019-10-27 1809 N9OK          59  4      OA4SS         59  10
QSO: 21215 PH 2019-10-27 1810 N9OK          59  4      PJ2T          59  09
QSO: 21267 PH 2019-10-27 1811 N9OK          59  4      KP2M          59  08
QSO: 21290 PH 2019-10-27 1813 N9OK          59  4      KP3MM         59  08
QSO: 21355 PH 2019-10-27 1814 N9OK          59  4      P40T          59  09
QSO: 21369 PH 2019-10-27 1815 N9OK          59  4      HH2AA         59  08
QSO: 21269 PH 2019-10-27 1819 N9OK          59  4      HI3T          59  08
QSO: 21410 PH 2019-10-27 1829 N9OK          59  4      5K0K          59  07
QSO: 21325 PH 2019-10-27 1835 N9OK          59  4      CB8E          59  12
QSO: 21310 PH 2019-10-27 1837 N9OK          59  4      HK3C          59  09
QSO: 21307 PH 2019-10-27 2103 N9OK          59  4      CX2CC         59  13
QSO: 21390 PH 2019-10-27 2105 N9OK          59  4      OA4O          59  10
QSO: 21437 PH 2019-10-27 2105 N9OK          59  4      ZZ2T          59  11
QSO: 21336 PH 2019-10-27 2109 N9OK          59  4      ZP5AA         59  11
QSO: 21324 PH 2019-10-27 2109 N9OK          59  4      9Y4D          59  09
QSO: 21321 PH 2019-10-27 2110 N9OK          59  4      ZY2A          59  11
QSO: 21313 PH 2019-10-27 2110 N9OK          59  4      PJ4K          59  09
QSO: 21294 PH 2019-10-27 2111 N9OK          59  4      ZW5B          59  11
QSO: 21245 PH 2019-10-27 2112 N9OK          59  4      LW5DPG        59  13
QSO: 21226 PH 2019-10-27 2112 N9OK          59  4      ZF9CW         59  08
QSO: 21231 PH 2019-10-27 2113 N9OK          59  4      LU7MCJ        59  13
QSO: 21244 PH 2019-10-27 2116 N9OK          59  4      HR9/N3AD      59  07
QSO: 21267 PH 2019-10-27 2119 N9OK          59  4      LV4V          59  13
QSO: 21274 PH 2019-10-27 2119 N9OK          59  4      L77D          59  13
QSO: 21283 PH 2019-10-27 2122 N9OK          59  4      PX2A          59  11
QSO: 21345 PH 2019-10-27 2125 N9OK          59  4      PY2VZ         59  11
QSO: 21370 PH 2019-10-27 2129 N9OK          59  4      LS2D          59  13
QSO: 21408 PH 2019-10-27 2132 N9OK          59  4      PZ5K          59  09
QSO: 14242 PH 2019-10-27 2141 N9OK          59  4      VE6FI         59  04
QSO: 14263 PH 2019-10-27 2142 N9OK          59  4      NP3F          59  08
QSO: 14283 PH 2019-10-27 2144 N9OK          59  4      OX7A          59  40
QSO: 14207 PH 2019-10-27 2152 N9OK          59  4      PY0F          59  11
QSO: 14325 PH 2019-10-27 2154 N9OK          59  4      6W1RY         59  35
QSO: 14323 PH 2019-10-27 2202 N9OK          59  4      WP4SK         59  08
QSO: 14285 PH 2019-10-27 2205 N9OK          59  4      ZF9CW         59  08
QSO: 21351 PH 2019-10-27 2212 N9OK          59  4      LU5VV         59  13
QSO:  7143 PH 2019-10-27 2218 N9OK          59  4      DP6T          59  14
QSO:  7133 PH 2019-10-27 2219 N9OK          59  4      CR6K          59  14
QSO:  7160 PH 2019-10-27 2229 N9OK          59  4      V26B          59  08
QSO:  7140 PH 2019-10-27 2231 N9OK          59  4      TM6M          59  14
QSO:  7198 PH 2019-10-27 2233 N9OK          59  4      II9P          59  15
QSO:  7184 PH 2019-10-27 2235 N9OK          59  4      IR4X          59  15
QSO:  7158 PH 2019-10-27 2235 N9OK          59  4      IR4M          59  15
QSO:  7166 PH 2019-10-27 2247 N9OK          59  4      IR6T          59  15
QSO:  7199 PH 2019-10-27 2248 N9OK          59  4      LX7I          59  14
QSO:  3765 PH 2019-10-27 2258 N9OK          59  4      VA3SWG        59  04
QSO:  3742 PH 2019-10-27 2305 N9OK          59  4      VE3DC         59  04
QSO:  7181 PH 2019-10-27 2324 N9OK          59  4      VE2GSO        59  05
QSO:  7214 PH 2019-10-27 2325 N9OK          59  4      VE4VT         59  04
QSO:  7146 PH 2019-10-27 2328 N9OK          59  4      ED1R          59  14
QSO:  7203 PH 2019-10-27 2332 N9OK          59  4      VE5MX         59  04
QSO:  7194 PH 2019-10-27 2333 N9OK          59  4      CR6P          59  14
QSO:  7188 PH 2019-10-27 2335 N9OK          59  4      EI7M          59  14
QSO:  7157 PH 2019-10-27 2338 N9OK          59  4      D4C           59  35
QSO:  7147 PH 2019-10-27 2338 N9OK          59  4      PJ2T          59  09
QSO:  7118 PH 2019-10-27 2342 N9OK          59  4      V55A          59  38
QSO:  7167 PH 2019-10-27 2344 N9OK          59  4      EF8R          59  33
QSO:  7137 PH 2019-10-27 2349 N9OK          59  4      EA7PP         59  14
QSO:  7144 PH 2019-10-27 2353 N9OK          59  4      F5USK         59  14
QSO:  7153 PH 2019-10-27 2354 N9OK          59  4      CN3A          59  33
QSO:  7173 PH 2019-10-27 2355 N9OK          59  4      CR3DX         59  33
QSO:  7191 PH 2019-10-27 2356 N9OK          59  4      LZ5R          59  20
END-OF-LOG:
