START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: WB6CZG
LOCATION: SV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: CM99vi
CLAIMED-SCORE: 22695
NAME: Bill Keane
OPERATORS: WB6CZG
CLUB: northern california contest club
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: Rig KX3 and KPA100 80 meter dipole at 70FT
QSO: 14213 PH 2019-10-26 1644 WB6CZG        59  3      PJ2T          59  09
QSO: 21256 PH 2019-10-26 1653 WB6CZG        59  3      HP3AK         59  07
QSO: 14212 PH 2019-10-26 2029 WB6CZG        59  3      PJ4K          59  09
QSO: 14310 PH 2019-10-26 2035 WB6CZG        59  3      KL7RA         59  01
QSO: 14289 PH 2019-10-26 2038 WB6CZG        59  3      XE2B          59  06
QSO: 14252 PH 2019-10-26 2042 WB6CZG        59  3      HI3LT         59  08
QSO: 14227 PH 2019-10-26 2048 WB6CZG        59  3      CO2AME        59  08
QSO: 14205 PH 2019-10-26 2050 WB6CZG        59  3      V3M           59  07
QSO: 21282 PH 2019-10-26 2054 WB6CZG        59  3      KH6J          59  31
QSO: 21314 PH 2019-10-26 2057 WB6CZG        59  3      KH6KR         59  31
QSO: 14270 PH 2019-10-26 2237 WB6CZG        59  3      PY5IN         59  11
QSO: 14272 PH 2019-10-26 2238 WB6CZG        59  3      V47T          59  08
QSO: 14274 PH 2019-10-26 2239 WB6CZG        59  3      KP4/KA1R      59  08
QSO: 14305 PH 2019-10-26 2243 WB6CZG        59  3      JA7ZFN        59  25
QSO: 14309 PH 2019-10-26 2245 WB6CZG        59  3      P40T          59  09
QSO: 14333 PH 2019-10-26 2247 WB6CZG        59  3      JA7QVI        59  25
QSO: 14334 PH 2019-10-26 2247 WB6CZG        59  3      8P5A          59  08
QSO: 14340 PH 2019-10-26 2252 WB6CZG        59  3      ZF1A          59  08
QSO: 14303 PH 2019-10-26 2310 WB6CZG        59  3      HI2LT         59  08
QSO: 14302 PH 2019-10-26 2311 WB6CZG        59  3      KP2M          59  08
QSO: 14290 PH 2019-10-26 2314 WB6CZG        59  3      ZY2A          59  11
QSO: 14276 PH 2019-10-26 2320 WB6CZG        59  3      D4C           59  35
QSO: 14249 PH 2019-10-26 2324 WB6CZG        59  3      ZX2V          59  11
QSO: 14247 PH 2019-10-26 2327 WB6CZG        59  3      LU1MOY        59  13
QSO: 14233 PH 2019-10-26 2329 WB6CZG        59  3      PY4JW         59  11
QSO: 14219 PH 2019-10-26 2341 WB6CZG        59  3      YV5JDP        59  09
QSO: 14198 PH 2019-10-26 2344 WB6CZG        59  3      HC0E          59  10
QSO: 14343 PH 2019-10-26 2350 WB6CZG        59  3      J6AMB         59  08
QSO: 14334 PH 2019-10-26 2352 WB6CZG        59  3      PR4T          59  11
QSO: 14320 PH 2019-10-26 2354 WB6CZG        59  3      HP3AK         59  07
QSO: 14280 PH 2019-10-26 2358 WB6CZG        59  3      TI1T          59  07
QSO: 14258 PH 2019-10-27 0002 WB6CZG        59  3      PT7ZT         59  11
QSO: 14224 PH 2019-10-27 0017 WB6CZG        59  3      PY0F          59  11
QSO: 14160 PH 2019-10-27 0026 WB6CZG        59  3      ZW5B          59  11
QSO: 14206 PH 2019-10-27 0028 WB6CZG        59  3      XE1CT         59  06
QSO: 14207 PH 2019-10-27 0033 WB6CZG        59  3      5J500V        59  09
QSO:  7230 PH 2019-10-27 0218 WB6CZG        59  3      XL3A          59  04
QSO:  7200 PH 2019-10-27 0235 WB6CZG        59  3      VE7UF         59  03
QSO:  7213 PH 2019-10-27 0415 WB6CZG        59  3      PZ5K          59  09
QSO:  7210 PH 2019-10-27 0426 WB6CZG        59  3      PJ4K          59  09
QSO:  7179 PH 2019-10-27 1506 WB6CZG        59  3      JA7ZFN        59  25
QSO:  7165 PH 2019-10-27 1514 WB6CZG        59  3      JI2ZJS        59  25
QSO:  7138 PH 2019-10-27 1526 WB6CZG        59  3      JE3RPM        59  25
QSO: 14340 PH 2019-10-27 1650 WB6CZG        59  3      VP6R          59  32
QSO: 14225 PH 2019-10-27 1703 WB6CZG        59  3      CE2AME        59  08
QSO: 14208 PH 2019-10-27 1707 WB6CZG        59  3      OH8X          59  15
QSO: 14260 PH 2019-10-27 1822 WB6CZG        59  3      HI8JSG        59  08
QSO: 14251 PH 2019-10-27 1834 WB6CZG        59  3      KH6J          59  31
QSO: 14265 PH 2019-10-27 1855 WB6CZG        59  3      VE7UF         59  03
QSO: 14240 PH 2019-10-27 1859 WB6CZG        59  3      OH8L          59  15
QSO: 14185 PH 2019-10-27 1911 WB6CZG        59  3      VA2UR         59  05
QSO: 14231 PH 2019-10-27 2041 WB6CZG        59  3      JI2ZEY        59  25
QSO: 14242 PH 2019-10-27 2042 WB6CZG        59  3      VE6FI         59  04
QSO: 14257 PH 2019-10-27 2045 WB6CZG        59  3      JA3YBK        59  25
QSO: 14331 PH 2019-10-27 2054 WB6CZG        59  3      JR2GRX        59  25
QSO: 14343 PH 2019-10-27 2057 WB6CZG        59  3      KP3Z          59  08
QSO: 21313 PH 2019-10-27 2103 WB6CZG        59  3      PJ4K          59  09
QSO: 21294 PH 2019-10-27 2108 WB6CZG        59  3      ZW5B          59  11
QSO: 21283 PH 2019-10-27 2112 WB6CZG        59  3      PX2A          59  11
QSO: 14336 PH 2019-10-27 2122 WB6CZG        59  3      JH4UYB        59  25
QSO: 14233 PH 2019-10-27 2235 WB6CZG        59  3      NP2X          59  08
QSO: 14260 PH 2019-10-27 2239 WB6CZG        59  3      PZ5K          59  09
QSO: 14274 PH 2019-10-27 2243 WB6CZG        59  3      JA7YRR        59  25
QSO: 14285 PH 2019-10-27 2248 WB6CZG        59  3      ZF9CW         59  08
QSO: 14298 PH 2019-10-27 2251 WB6CZG        59  3      PY5QW         59  11
QSO: 14330 PH 2019-10-27 2308 WB6CZG        59  3      PY8WW         59  11
QSO: 14264 PH 2019-10-27 2320 WB6CZG        59  3      PT2AW         59  11
QSO: 14176 PH 2019-10-27 2336 WB6CZG        59  3      TI2OY         59  07
QSO: 14276 PH 2019-10-27 2347 WB6CZG        59  3      ZP5AA         59  11
QSO: 14216 PH 2019-10-27 2351 WB6CZG        59  3      3G1D          59  12
END-OF-LOG:
