START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: ES5NHC
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: KO38FD
CLAIMED-SCORE: 27608
NAME: Tarmo Tanilsoo
OPERATORS: ES5NHC
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7977.0
SOAPBOX: The contest was interrupted for me by a violent windstorm which cut
SOAPBOX: electricity supply and caused a power surge that damaged some of my
SOAPBOX: electrical equipment. Fortunately the ham rigs survived and I got
QSO:  3500 PH 2019-10-27 0512 ES5NHC        59  15     DL0CS         59  14
QSO:  3500 PH 2019-10-27 0514 ES5NHC        59  15     LY4Q          59  15
QSO:  3500 PH 2019-10-27 0514 ES5NHC        59  15     OK1AY         59  15
QSO:  3500 PH 2019-10-27 0514 ES5NHC        59  15     LY2NY         59  15
QSO:  3500 PH 2019-10-27 0515 ES5NHC        59  15     DL4LAM        59  14
QSO:  3500 PH 2019-10-27 0515 ES5NHC        59  15     DA2X          59  14
QSO:  3500 PH 2019-10-27 0517 ES5NHC        59  15     PA3EWP        59  14
QSO:  3500 PH 2019-10-27 0518 ES5NHC        59  15     OH6RE         59  15
QSO:  3500 PH 2019-10-27 0518 ES5NHC        59  15     ES6RMR        59  15
QSO:  3500 PH 2019-10-27 0518 ES5NHC        59  15     G6XX          59  14
QSO:  3500 PH 2019-10-27 0519 ES5NHC        59  15     DL3DW         59  14
QSO:  3500 PH 2019-10-27 0520 ES5NHC        59  15     SP4SHD        59  15
QSO:  3500 PH 2019-10-27 0526 ES5NHC        59  15     OG7A          59  15
QSO:  3500 PH 2019-10-27 0527 ES5NHC        59  15     RC1W          59  16
QSO:  3500 PH 2019-10-27 0528 ES5NHC        59  15     M4A           59  14
QSO:  3500 PH 2019-10-27 0531 ES5NHC        59  15     IR1G          59  15
QSO:  3500 PH 2019-10-27 0532 ES5NHC        59  15     ES9C          59  15
QSO:  3500 PH 2019-10-27 0534 ES5NHC        59  15     DF0HQ         59  14
QSO:  7000 PH 2019-10-27 0540 ES5NHC        59  15     YT7A          59  15
QSO:  7000 PH 2019-10-27 0541 ES5NHC        59  15     IW2MZX        59  15
QSO:  7000 PH 2019-10-27 0542 ES5NHC        59  15     UA4S          59  16
QSO:  7000 PH 2019-10-27 0544 ES5NHC        59  15     UA3RC         59  16
QSO:  7000 PH 2019-10-27 0551 ES5NHC        59  15     LN1B          59  14
QSO: 14000 PH 2019-10-27 0553 ES5NHC        59  15     RJ4P          59  16
QSO: 14000 PH 2019-10-27 0555 ES5NHC        59  15     S58WW         59  15
QSO: 14000 PH 2019-10-27 0557 ES5NHC        59  15     SZ5RDS        59  20
QSO: 14000 PH 2019-10-27 0558 ES5NHC        59  15     SP3PWL        59  15
QSO: 14000 PH 2019-10-27 0602 ES5NHC        59  15     EC3CVD        59  14
QSO: 14000 PH 2019-10-27 0603 ES5NHC        59  15     OQ5M          59  14
QSO: 14000 PH 2019-10-27 0604 ES5NHC        59  15     YL2BJ         59  15
QSO: 21000 PH 2019-10-27 0610 ES5NHC        59  15     DF0HQ         59  14
QSO: 14000 PH 2019-10-27 0611 ES5NHC        59  15     DF0HQ         59  14
QSO: 14000 PH 2019-10-27 0648 ES5NHC        59  15     TM6M          59  14
QSO: 14000 PH 2019-10-27 0649 ES5NHC        59  15     F4ETG         59  14
QSO: 14000 PH 2019-10-27 0652 ES5NHC        59  15     F8DVD         59  14
QSO: 14000 PH 2019-10-27 0656 ES5NHC        59  15     P33W          59  20
QSO: 14000 PH 2019-10-27 0657 ES5NHC        59  15     S57DX         59  15
QSO: 14000 PH 2019-10-27 0658 ES5NHC        59  15     OP4K          59  14
QSO: 14000 PH 2019-10-27 0703 ES5NHC        59  15     OK7K          59  15
QSO: 14000 PH 2019-10-27 0704 ES5NHC        59  15     9A5Y          59  15
QSO: 14000 PH 2019-10-27 0705 ES5NHC        59  15     OL0M          59  15
QSO: 21000 PH 2019-10-27 0707 ES5NHC        59  15     IO9A          59  15
QSO: 14000 PH 2019-10-27 0719 ES5NHC        59  15     DR1A          59  14
QSO: 14000 PH 2019-10-27 0720 ES5NHC        59  15     YT1A          59  15
QSO: 14000 PH 2019-10-27 0720 ES5NHC        59  15     UA3KW         59  16
QSO: 14000 PH 2019-10-27 0721 ES5NHC        59  15     RM9I          59  18
QSO: 14000 PH 2019-10-27 0723 ES5NHC        59  15     OL3Z          59  15
QSO: 14000 PH 2019-10-27 0724 ES5NHC        59  15     RA1QD         59  16
QSO: 14000 PH 2019-10-27 0724 ES5NHC        59  15     II2S          59  15
QSO: 14000 PH 2019-10-27 0730 ES5NHC        59  15     S51YI         59  15
QSO: 21000 PH 2019-10-27 0840 ES5NHC        59  15     OK1DOY        59  15
QSO: 21000 PH 2019-10-27 0848 ES5NHC        59  15     IR3Z          59  15
QSO: 21000 PH 2019-10-27 0850 ES5NHC        59  15     OT5A          59  14
QSO: 21000 PH 2019-10-27 0858 ES5NHC        59  15     IH9P          59  33
QSO: 21000 PH 2019-10-27 0859 ES5NHC        59  15     EF1W          59  14
QSO: 21000 PH 2019-10-27 0900 ES5NHC        59  15     ED1R          59  14
QSO: 21000 PH 2019-10-27 0902 ES5NHC        59  15     4X6FR         59  20
QSO: 21000 PH 2019-10-27 0905 ES5NHC        59  15     IR4X          59  15
QSO: 21000 PH 2019-10-27 0908 ES5NHC        59  15     OM3IAG        59  15
QSO: 14000 PH 2019-10-27 0916 ES5NHC        59  15     S50K          59  15
QSO: 28000 PH 2019-10-27 0920 ES5NHC        59  15     ES9C          59  15
QSO: 28000 PH 2019-10-27 0928 ES5NHC        59  15     IR3Z          59  15
QSO: 28000 PH 2019-10-27 0933 ES5NHC        59  15     IR1G          59  15
QSO: 21000 PH 2019-10-27 0938 ES5NHC        59  15     S50G          59  15
QSO: 21000 PH 2019-10-27 0940 ES5NHC        59  15     CR3DX         59  33
QSO: 21000 PH 2019-10-27 0944 ES5NHC        59  15     CR2L          59  14
QSO: 14000 PH 2019-10-27 0959 ES5NHC        59  15     I1NVU         59  15
QSO: 14000 PH 2019-10-27 1003 ES5NHC        59  15     CS2C          59  14
QSO: 14000 PH 2019-10-27 1004 ES5NHC        59  15     TM5P          59  14
QSO: 14000 PH 2019-10-27 1005 ES5NHC        59  15     DL2ARD        59  14
QSO: 14000 PH 2019-10-27 1007 ES5NHC        59  15     CS5SS         59  14
QSO: 14000 PH 2019-10-27 1009 ES5NHC        59  15     OM1DK         59  15
QSO: 14000 PH 2019-10-27 1011 ES5NHC        59  15     PI4COM        59  14
QSO: 14000 PH 2019-10-27 1016 ES5NHC        59  15     HG5A          59  15
QSO: 21000 PH 2019-10-27 1018 ES5NHC        59  15     IR1G          59  15
QSO: 14000 PH 2019-10-27 1028 ES5NHC        59  15     HA8M          59  15
QSO: 14000 PH 2019-10-27 1030 ES5NHC        59  15     M6T           59  14
QSO: 14000 PH 2019-10-27 1038 ES5NHC        59  15     YU7ZZ         59  15
QSO: 14000 PH 2019-10-27 1041 ES5NHC        59  15     DD3SF         59  14
QSO: 14000 PH 2019-10-27 1047 ES5NHC        59  15     F4ENK         59  14
QSO: 21000 PH 2019-10-27 1058 ES5NHC        59  15     IT9BUN        59  15
END-OF-LOG:
