START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: EU6AA
LOCATION: DX
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CLAIMED SCORE: 13790
CREATED-BY: UR5EQF log v.3.31-47
NAME: Victor Kostyuk
SOAPBOX: TRX: FT-840, Pwr - 100W,  Ant: Delata Loop 168m
QSO: 14000 RY 2015-04-05 0526 EU6AA         599 035    K9OM          599 579   
QSO: 14000 RY 2015-04-05 0528 EU6AA         599 036    EA1WS         599 O     
QSO: 14000 RY 2015-04-05 0530 EU6AA         599 037    4L1BR         599 139   
QSO: 14000 RY 2015-04-05 0533 EU6AA         599 038    EA1AR         599 AV    
QSO:  7000 RY 2015-04-05 0534 EU6AA         599 039    EA3GBA        599 B     
QSO: 14000 RY 2015-04-05 0611 EU6AA         599 040    AM190AKS      599 S     
QSO: 14000 RY 2015-04-05 0615 EU6AA         599 041    F5OAM         599 248   
QSO: 14000 RY 2015-04-05 0619 EU6AA         599 042    EA6BH         599 IB    
QSO: 14000 RY 2015-04-05 0622 EU6AA         599 043    IK1UGX        599 074
QSO: 14000 RY 2015-04-05 0623 EU6AA         599 044    AO790RC       599 AL    
QSO: 14000 RY 2015-04-05 0632 EU6AA         599 045    IK8UND        599 155
QSO: 14000 RY 2015-04-05 0634 EU6AA         599 046    PD2GSP        599 107   
QSO: 14000 RY 2015-04-05 0635 EU6AA         599 047    SV1JG         599 097
QSO: 14000 RY 2015-04-05 0646 EU6AA         599 048    AM590YI       599 V     
QSO: 14000 RY 2015-04-05 0653 EU6AA         599 049    F4FDR         599 060
QSO: 14000 RY 2015-04-05 0658 EU6AA         599 050    EE7Y          599 H     
QSO: 14000 RY 2015-04-05 0659 EU6AA         599 051    IV3KKW        599 088
QSO: 14000 RY 2015-04-05 0753 EU6AA         599 052    IK5FKF        599 040 
QSO: 14000 RY 2015-04-05 0755 EU6AA         599 053    PA7RA         599 007
QSO:  7000 RY 2015-04-05 0937 EU6AA         599 054    RK2A          599 165   
QSO: 14000 RY 2015-04-05 0938 EU6AA         599 055    DJ4WS         599 013   
QSO: 14000 RY 2015-04-05 0940 EU6AA         599 056    S51AF         599 051   
QSO: 14000 RY 2015-04-05 0942 EU6AA         599 057    OS0S          599 066   
QSO: 14000 RY 2015-04-05 0943 EU6AA         599 058    2E0VDS        599 083   
QSO: 14000 RY 2015-04-05 0946 EU6AA         599 059    UA6CE         599 458
QSO: 21000 RY 2015-04-05 0946 EU6AA         599 060    RA9X          599 094   
QSO: 21000 RY 2015-04-05 0948 EU6AA         599 061    ED5FL         599 A     
QSO: 21000 RY 2015-04-05 0955 EU6AA         599 062    AM590YI       599 V     
QSO: 21000 RY 2015-04-05 0956 EU6AA         599 063    EA1KP         599 VA    
QSO: 21000 RY 2015-04-05 0959 EU6AA         599 064    EF7M          599 S     
QSO: 21000 RY 2015-04-05 1000 EU6AA         599 065    UN7BCF        599 190   
QSO: 21000 RY 2015-04-05 1002 EU6AA         599 066    AM790ZY       599 H     
QSO: 21000 RY 2015-04-05 1003 EU6AA         599 067    EA5ET         599 V
QSO: 21000 RY 2015-04-05 1003 EU6AA         599 068    UA9AFS        599 218
QSO: 21000 RY 2015-04-05 1004 EU6AA         599 069    RW9MZ         599 043
QSO: 21000 RY 2015-04-05 1009 EU6AA         599 070    EA5FIV        599 A
QSO: 21000 RY 2015-04-05 1010 EU6AA         599 071    EA5EJ         599 A
QSO: 21000 RY 2015-04-05 1011 EU6AA         599 072    ED3Y          599 GI    
QSO: 21000 RY 2015-04-05 1012 EU6AA         599 073    EA8PT         599 GC    
QSO: 21000 RY 2015-04-05 1013 EU6AA         599 074    EA7KI         599 MA    
QSO: 21000 RY 2015-04-05 1014 EU6AA         599 075    ED1A          599 O     
QSO: 21000 RY 2015-04-05 1017 EU6AA         599 076    EE4EA         599 GU    
QSO: 21000 RY 2015-04-05 1017 EU6AA         599 077    EC1DBO        599 PO    
QSO: 21000 RY 2015-04-05 1019 EU6AA         599 078    EA1AR         599 AV    
QSO: 14000 RY 2015-04-05 1022 EU6AA         599 079    DF8XC         599 141
QSO: 14000 RY 2015-04-05 1023 EU6AA         599 080    OH8A          599 307   
QSO: 14000 RY 2015-04-05 1118 EU6AA         599 081    PD2PKM        599 163
QSO: 14000 RY 2015-04-05 1120 EU6AA         599 082    LX9LARU       599 045   
QSO: 14000 RY 2015-04-05 1122 EU6AA         599 083    PA3EYC        599 091
QSO: 14000 RY 2015-04-05 1136 EU6AA         599 084    PA4G          599 250
QSO: 14000 RY 2015-04-05 1138 EU6AA         599 085    TA7JE         599 244   
QSO: 21000 RY 2015-04-05 1139 EU6AA         599 086    AM190AKS      599 S
QSO: 21000 RY 2015-04-05 1143 EU6AA         599 087    A71MM         599 395
QSO: 21000 RY 2015-04-05 1146 EU6AA         599 088    EA6BH         599 IB    
QSO: 21000 RY 2015-04-05 1148 EU6AA         599 089    EA1ACP        599 SO    
QSO: 21000 RY 2015-04-05 1151 EU6AA         599 090    EA4IE         599 TO    
QSO: 14000 RY 2015-04-05 1200 EU6AA         599 091    PB0ACU        599 169
QSO: 14000 RY 2015-04-05 1201 EU6AA         599 092    ED2V          599 NA    
QSO: 14000 RY 2015-04-05 1202 EU6AA         599 093    LZ1RF         599 033
QSO: 14000 RY 2015-04-05 1204 EU6AA         599 094    EA5EJ         599 A
QSO: 14000 RY 2015-04-05 1205 EU6AA         599 095    PA5WT         599 103
QSO: 14000 RY 2015-04-05 1206 EU6AA         599 096    PD2TW         599 097
QSO: 21000 RY 2015-04-05 1207 EU6AA         599 097    EA1MV         599 LU    
QSO: 14000 RY 2015-04-05 1222 EU6AA         599 098    PD0ME         599 135
QSO: 14000 RY 2015-04-05 1223 EU6AA         599 099    PA4B          599 150
QSO: 14000 RY 2015-04-05 1224 EU6AA         599 100    YU1RP         599 094   
QSO: 14000 RY 2015-04-05 1230 EU6AA         599 101    EA2IV         599 HU    
QSO: 14000 RY 2015-04-05 1231 EU6AA         599 102    PA4O          599 191
QSO: 14000 RY 2015-04-05 1352 EU6AA         599 103    YU1KT         599 290
QSO: 14000 RY 2015-04-05 1353 EU6AA         599 104    DF2MC         599 150
QSO: 14000 RY 2015-04-05 1355 EU6AA         599 105    Z39A          599 291   
QSO: 14000 RY 2015-04-05 1359 EU6AA         599 106    SV3DCX        599 419
END-OF-LOG:
