START-OF-LOG: 2.0
CATEGORY: Multi-OP
CONTEST: WAE SSB
SPECIFIC: C25
CREATED-BY: Win-Test 4.24.0, modified by DXHF upload.
CALLSIGN: DQ5M
CLAIMED-SCORE: 782782
OPERATORS: DC2CL DF4MAA DG5LW DG8MG DJ3MY DK5MB DK6SP DL1MAJ DL3BY DO4DXA
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0016 E73ESP         004
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0019 EW7M           001
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0024 S57DX          011
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0027 DK0V           003
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0032 OM2VL          015
QTC:  7087 PH 2017-09-09 0034 DQ5M          001/8      PY1GQ         0033 HB2U           008
QSO:  7159 PH 2017-09-09 0038 DQ5M          59  0018   PY2COY        59  003
QSO:  7159 PH 2017-09-09 0040 DQ5M          59  0019   CN8VO         59  010
QSO:  7143 PH 2017-09-09 0042 DQ5M          59  0020   ZX5J          59  026
QSO:  7159 PH 2017-09-09 0044 DQ5M          59  0021   PY5WW         59  002
QSO:  7133 PH 2017-09-09 0045 DQ5M          59  0022   PR7AA         59  027
QSO:  7140 PH 2017-09-09 0050 DQ5M          59  0023   N2RJ          59  006
QSO:  7186 PH 2017-09-09 0051 DQ5M          59  0024   PY5AB         59  026
QTC:  7186 PH 2017-09-09 0051 DQ5M          003/5      PY5AB         0040 DL3RAR         008
QTC:  7186 PH 2017-09-09 0051 DQ5M          003/5      PY5AB         0044 OM2VL          026
QTC:  7186 PH 2017-09-09 0051 DQ5M          003/5      PY5AB         0048 DK5RL          006
QTC:  7186 PH 2017-09-09 0051 DQ5M          003/5      PY5AB         0050 DK0RX          008
QTC:  7186 PH 2017-09-09 0051 DQ5M          003/5      PY5AB         0051 EA5HYJ         010
QSO:  7159 PH 2017-09-09 0054 DQ5M          59  0025   CE8EIO        59  009
QSO:  7159 PH 2017-09-09 0055 DQ5M          59  0026   K1ZZ          59  004
QSO:  7159 PH 2017-09-09 0057 DQ5M          59  0027   A61HA         59  026
QSO:  3749 PH 2017-09-09 0100 DQ5M          59  0028   9K2HN         59  065
QSO:  7180 PH 2017-09-09 0105 DQ5M          59  0029   VU2YVK        59  009
QSO:  3740 PH 2017-09-09 0107 DQ5M          59  0030   YM7KA         59  028
QSO:  7183 PH 2017-09-09 0107 DQ5M          59  0031   EA8ZS         59  015
QSO:  7142 PH 2017-09-09 0110 DQ5M          59  0032   PV8DX         59  001
QSO:  3780 PH 2017-09-09 0120 DQ5M          59  0033   CG3AT         59  024
QTC:  3777 PH 2017-09-09 0126 DQ5M          007/7      HZ1FS         0107 DL4VAI         004
QTC:  3777 PH 2017-09-09 0126 DQ5M          007/7      HZ1FS         0108 DL0SN          023
QTC:  3777 PH 2017-09-09 0126 DQ5M          007/7      HZ1FS         0109 UT4UMZ         001
QTC:  3777 PH 2017-09-09 0126 DQ5M          007/7      HZ1FS         0123 TM5N           040
QTC:  3777 PH 2017-09-09 0126 DQ5M          007/7      HZ1FS         0124 UT4UMZ         005
QTC:  3777 PH 2017-09-09 0126 DQ5M          007/7      HZ1FS         0125 HG7T           056
QTC:  3777 PH 2017-09-09 0126 DQ5M          007/7      HZ1FS         0125 DK0FC          018
QSO:  7154 PH 2017-09-09 0129 DQ5M          59  0034   W3LL          59  022
QSO:  3790 PH 2017-09-09 0130 DQ5M          59  0035   ZX5J          59  047
QSO:  3780 PH 2017-09-09 0131 DQ5M          59  0036   4X0T          59  022
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0041 LY4A           022
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0043 DL9RAR         016
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0045 GB5IVX         009
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0048 IZ8YRN         022
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0101 UT7QL          013
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0108 EA5DFV         033
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0117 S57DX          024
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0119 F1RED          006
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0119 DL1NKS         007
QTC:  3780 PH 2017-09-09 0131 DQ5M          002/10     4X0T          0121 DL5WW          004
QSO:  7061 PH 2017-09-09 0131 DQ5M          59  0037   CR3W          59  065
QSO:  7190 PH 2017-09-09 0142 DQ5M          59  0038   PY4RGS        59  025
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0130 DK0V           015
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0132 UA7K           056
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0133 DL0SN          028
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0133 UY5ZZ          016
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0134 SN7D           025
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0136 PI4AMF         018
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0140 DL8R           012
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0141 DL9RAR         024
QTC:  7190 PH 2017-09-09 0142 DQ5M          003/9      PY4RGS        0142 F6BLZ          009
QSO:  7142 PH 2017-09-09 0152 DQ5M          59  0039   A61FK         59  023
QSO:  7142 PH 2017-09-09 0153 DQ5M          59  0040   PY9GC         59  009
QSO:  7142 PH 2017-09-09 0156 DQ5M          59  0041   PY5II         59  003
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0017 YU1XA          017
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0013 DF0HQ          014
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0016 S57DX          010
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0017 UT7QL          002
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0021 IZ3NYG         010
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0025 UA7K           026
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0028 I0IJ           008
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0033 DP4M           007
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0034 IZ8GNR         015
QTC:  7142 PH 2017-09-09 0158 DQ5M          001/10     A61FK         0034 DL9RAR         012
QSO:  3773 PH 2017-09-09 0209 DQ5M          59  0042   CN2ZC         59  059
QSO:  7142 PH 2017-09-09 0209 DQ5M          59  0043   7Z1SJ         59  003
QSO:  7142 PH 2017-09-09 0210 DQ5M          59  0044   4Z5TT         59  001
QSO:  7142 PH 2017-09-09 0211 DQ5M          59  0045   4X0T          59  054
QSO:  7142 PH 2017-09-09 0216 DQ5M          59  0046   TF2LL         59  000
QSO:  7142 PH 2017-09-09 0216 DQ5M          59  0047   PY2YU         59  027
QSO:  3784 PH 2017-09-09 0221 DQ5M          59  0048   ZW8T          59  068
QSO:  3783 PH 2017-09-09 0236 DQ5M          59  0049   EA8ZS         59  051
QSO:  7142 PH 2017-09-09 0242 DQ5M          59  0050   PY2YU         59  028
QSO:  7142 PH 2017-09-09 0243 DQ5M          59  0051   F1GRH         59  021
QSO:  3755 PH 2017-09-09 0245 DQ5M          59  0052   PY5EG         59  049
QSO:  3753 PH 2017-09-09 0249 DQ5M          59  0053   4X6FR         59  002
QSO:  3753 PH 2017-09-09 0251 DQ5M          59  0054   EA8DFS        59  000
X-QSO:  7144 PH 2017-09-09 0308 DQ5M          59  0055   DQ5M          59  XXX
QSO:  3763 PH 2017-09-09 0318 DQ5M          59  0056   PJ4DX         59  021
QTC:  7156 PH 2017-09-09 0324 DQ5M          006/2      PJ4DX         0206 EA5DFV         070
QTC:  7156 PH 2017-09-09 0324 DQ5M          006/2      PJ4DX         0216 E73ESP         042
QSO:  7156 PH 2017-09-09 0334 DQ5M          59  0057   5T2AI         59  058
QSO:  7153 PH 2017-09-09 0336 DQ5M          59  0058   4X6FR         59  016
QSO:  7153 PH 2017-09-09 0402 DQ5M          59  0059   RT9L          59  010
QSO:  7160 PH 2017-09-09 0413 DQ5M          59  0060   TC4A          59  028
QSO:  7161 PH 2017-09-09 0417 DQ5M          59  0061   ZS6CCY        59  000
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0331 DR7B           002
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0335 DJ7R           011
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0335 EA3KT          001
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0341 EU3AA          024
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0341 DL6CT          003
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0342 DO7TPB         001
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0343 DL1MHJ         001
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0346 DL7ON          010
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0419 DD0NM          001
QTC:  3792 PH 2017-09-09 0436 DQ5M          016/10     CR3W          0422 ON6NL          004
QSO: 14225 PH 2017-09-09 0438 DQ5M          59  0062   YM7KA         59  114
QSO: 14270 PH 2017-09-09 0453 DQ5M          59  0063   9K2HN         59  165
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0424 YT1AA          002
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0424 DL0GD          015
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0426 DL0NG          006
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0426 OK1FIM         001
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0427 DF0SL          006
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0431 SV1JGM         001
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0433 OE7WAE         001
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0434 OK1MKU         003
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0435 S52OT          006
QTC:  3784 PH 2017-09-09 0459 DQ5M          014/10     ZX5J          0435 F6BLP          002
QSO: 14200 PH 2017-09-09 0501 DQ5M          59  0064   4X6FR         59  066
QSO:  7195 PH 2017-09-09 0507 DQ5M          59  0065   ZM4T          59  015
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0411 UA7Z           097
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0422 DF0HQ          065
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0428 DM5N           069
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0429 OM2VL          071
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0432 DL0SN          049
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0433 DL0HN          048
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0436 S57DX          044
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0447 E79EA          002
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0447 UA6YN          004
QTC:  7195 PH 2017-09-09 0508 DQ5M          002/10     ZM4T          0505 9A4R           001
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0453 F6BLP          006
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0453 OE8HAQ         005
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0453 DL6CT          010
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0454 OH2IS          002
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0454 RU3GF          002
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0456 LY5W           002
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0459 DQ5AN          015
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0501 G7UOU          001
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0501 DP4M           020
QTC:  7149 PH 2017-09-09 0517 DQ5M          008/10     PR7AA         0502 IU4FLO         007
QSO: 14192 PH 2017-09-09 0533 DQ5M          59  0066   H2X           59  039
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0530 LY4A           067
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0531 SV3RPQ         007
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0533 EU3AA          018
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0534 SN7D           042
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0534 8S0C           001
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0535 DL4MFR         003
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0537 PD0WR          001
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0537 DL8MAS         003
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0537 DJ1AA          008
QTC: 14192 PH 2017-09-09 0538 DQ5M          006/10     H2X           0538 DL8JI          003
QSO: 14254 PH 2017-09-09 0542 DQ5M          59  0067   4L2M          59  034
QSO: 14244 PH 2017-09-09 0542 DQ5M          59  0068   4X0T          59  091
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0538 PD0WR          002
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0539 OK1DBE         003
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0539 DJ1AA          009
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0542 S52OT          010
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0542 IK4LZH         001
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0543 DL0MET         004
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0543 DB2MJ          004
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0543 DL6AWJ         014
QTC: 14200 PH 2017-09-09 0543 DQ5M          013/9      4X6FR         0544 DL8UI          004
QTC: 14254 PH 2017-09-09 0545 DQ5M          006/1      4L2M          0545 OM2VL          078
QSO: 14265 PH 2017-09-09 0551 DQ5M          59  0069   UA9CDC        59  023
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0535 SN7D           043
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0537 ON6NL          016
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0540 DP6P           036
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0540 DJ1AA          010
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0540 PD0WR          003
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0541 DL4MFR         004
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0543 8S0C           006
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0545 UT0CK          007
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0546 DF8KY          003
QTC: 14225 PH 2017-09-09 0552 DQ5M          016/10     YM7KA         0547 DB2MJ          006
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0542 UR5QW          002
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0543 DL6L           051
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0543 DK0RX          040
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0543 DG1TU          005
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0545 DL4MFR         005
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0545 IK4LZH         002
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0546 E73ESP         061
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0546 DL6RBH         008
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0546 UZ2I           027
QTC: 14265 PH 2017-09-09 0558 DQ5M          001/10     UA9CDC        0547 UA7K           120
QSO:  7163 PH 2017-09-09 0600 DQ5M          59  0070   ZL2UO         59  008
QSO: 14194 PH 2017-09-09 0601 DQ5M          59  0071   R9PA          59  051
QTC: 14254 PH 2017-09-09 0604 DQ5M          011/1      4L2M          0604 DF2GL          002
QSO: 14205 PH 2017-09-09 0615 DQ5M          59  0072   VU2YVK        59  036
QSO: 14248 PH 2017-09-09 0616 DQ5M          59  0073   TA4RC         59  029
QSO: 14180 PH 2017-09-09 0617 DQ5M          59  0074   RZ9UO         59  014
QSO: 14180 PH 2017-09-09 0618 DQ5M          59  0075   UN7ZAF        59  004
QTC: 14180 PH 2017-09-09 0618 DQ5M          002/1      UN7ZAF        0615 HG7T           112
QSO: 14280 PH 2017-09-09 0624 DQ5M          59  0076   OD5ZZ         59  007
QTC: 14280 PH 2017-09-09 0624 DQ5M          001/6      OD5ZZ         0620 DP4M           040
QTC: 14280 PH 2017-09-09 0624 DQ5M          001/6      OD5ZZ         0620 DL1DAW         052
QTC: 14280 PH 2017-09-09 0624 DQ5M          001/6      OD5ZZ         0621 SK2T           012
QTC: 14280 PH 2017-09-09 0624 DQ5M          001/6      OD5ZZ         0622 SV3RPQ         011
QTC: 14280 PH 2017-09-09 0624 DQ5M          001/6      OD5ZZ         0622 DF0HQ          096
QTC: 14280 PH 2017-09-09 0624 DQ5M          001/6      OD5ZZ         0623 DK0V           050
QSO: 14255 PH 2017-09-09 0632 DQ5M          59  0077   HZ1FS         59  104
QTC: 14255 PH 2017-09-09 0632 DQ5M          012/3      HZ1FS         0619 SM52OT         020
QTC: 14255 PH 2017-09-09 0632 DQ5M          012/3      HZ1FS         0620 DK0FC          041
QTC: 14255 PH 2017-09-09 0632 DQ5M          012/3      HZ1FS         0621 UA7K           128
QSO: 14174 PH 2017-09-09 0637 DQ5M          59  0078   SU/DM4DX      59  004
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0628 SM4EMO         006
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0628 DL0IL          004
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0630 SM5NQB         008
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0631 SV3RPQ         012
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0631 OP3A           002
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0632 UX1CL          006
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0633 OM5WW          006
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0636 OH2FB          002
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0637 PI4AMF         025
QTC: 14247 PH 2017-09-09 0640 DQ5M          005/10     TA4RC         0629 UZ2I           032
QSO: 14212 PH 2017-09-09 0645 DQ5M          59  0079   7Z1SJ         59  056
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0306 OM2VL          061
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0630 DL5L           054
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0633 SV52OT         023
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0634 HG7T           114
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0636 YO4BEX         006
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0637 DP6P           041
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0637 DL6DVU         007
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0638 SM5NQB         009
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0638 OE4WBW         008
QTC: 14212 PH 2017-09-09 0646 DQ5M          004/10     7Z1SJ         0639 RW3AI          003
QSO: 21255 PH 2017-09-09 0650 DQ5M          59  0080   4X6FR         59  167
QSO: 14190 PH 2017-09-09 0652 DQ5M          59  0081   RM9RZ         59  011
QSO: 14215 PH 2017-09-09 0657 DQ5M          59  0082   RA9MX         59  004
X-QSO: 14000 PH 2017-09-09 0659 DQ5M          59  0083   DQ5M          59  XXX
QSO: 21222 PH 2017-09-09 0706 DQ5M          59  0084   E28AD         59  008
QSO: 21263 PH 2017-09-09 0711 DQ5M          59  0085   TA3AWS        59  013
QSO: 21270 PH 2017-09-09 0716 DQ5M          59  0086   JE6RPM        59  016
QTC: 21270 PH 2017-09-09 0716 DQ5M          003/5      JE6RPM        0447 UA7K           107
QTC: 21270 PH 2017-09-09 0716 DQ5M          003/5      JE6RPM        0659 UA7K           144
QTC: 21270 PH 2017-09-09 0716 DQ5M          003/5      JE6RPM        0706 UR3GU          024
QTC: 21270 PH 2017-09-09 0716 DQ5M          003/5      JE6RPM        0710 UA6YN          023
QTC: 21270 PH 2017-09-09 0716 DQ5M          003/5      JE6RPM        0716 DK0RX          050
QSO: 28463 PH 2017-09-09 0719 DQ5M          59  0087   7Z1SJ         59  096
QSO: 21280 PH 2017-09-09 0722 DQ5M          59  0088   7Z1SJ         59  100
QSO: 14203 PH 2017-09-09 0730 DQ5M          59  0089   P3X           59  167
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0655 HG7T           120
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0657 8S0C           014
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0657 DL0SN          066
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0657 TA1API         007
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0657 OE3DXA         029
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0657 UA6YN          019
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0657 UX3IT          006
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0658 DL7ACN         008
QTC: 14203 PH 2017-09-09 0730 DQ5M          013/10     P3X           0658 DF9VJ          019
