START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0-dev
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: F4FBP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 6431
OPERATORS: F4FBP
NAME: Denis GUENEAU
SOAPBOX: Working CQ-WW-SSB for the 2nd time. 73 de F4FBP Denis
QSO:  7000 PH 2010-10-31 1630 F4FBP         59  14     DJ7WW         59  14     0
QSO: 14000 PH 2010-10-31 1741 F4FBP         59  14     K1RX          59  05     0
QSO: 14000 PH 2010-10-31 1742 F4FBP         59  14     K3LR          59  05     0
QSO: 21000 PH 2010-10-31 1746 F4FBP         59  14     K3ZO          59  05     0
QSO: 21000 PH 2010-10-31 1751 F4FBP         59  14     K3LR          59  05     0
QSO: 21000 PH 2010-10-31 1755 F4FBP         59  14     K4ZW          59  05     0
QSO: 21000 PH 2010-10-31 1758 F4FBP         59  14     W3LL          59  05     0
QSO: 21000 PH 2010-10-31 1800 F4FBP         59  14     NN3W          59  05     0
QSO: 14000 PH 2010-10-31 1820 F4FBP         59  14     OL9Z          59  15     0
QSO:  7000 PH 2010-10-31 1828 F4FBP         59  14     SP4KNA        59  15     0
QSO:  7000 PH 2010-10-31 1830 F4FBP         59  14     DJ7WW         59  14     0
QSO:  7000 PH 2010-10-31 1834 F4FBP         59  14     SK6D          59  14     0
QSO:  7000 PH 2010-10-31 1854 F4FBP         59  14     RU1A          59  16     0
QSO:  7000 PH 2010-10-31 1855 F4FBP         59  14     IF9A          59  15     0
QSO:  7000 PH 2010-10-31 1858 F4FBP         59  14     RF9C          59  17     0
QSO:  7000 PH 2010-10-31 1900 F4FBP         59  14     EA7LL         59  14     0
QSO:  7000 PH 2010-10-31 1903 F4FBP         59  14     LY7A          59  15     0
QSO:  7000 PH 2010-10-31 1907 F4FBP         59  14     SP4TKR        59  15     0
QSO:  7000 PH 2010-10-31 2144 F4FBP         59  14     SV2DCD        59  20     0
QSO:  7000 PH 2010-10-31 2152 F4FBP         59  14     SY2V          59  20     0
QSO:  7000 PH 2010-10-31 2155 F4FBP         59  14     J48OV         59  20     0
QSO:  7000 PH 2010-10-31 2205 F4FBP         59  14     CN3A          59  33     0
QSO:  7000 PH 2010-10-31 2209 F4FBP         59  14     R5GA          59  16     0
QSO:  7000 PH 2010-10-31 2211 F4FBP         59  14     LY2J          59  15     0
QSO:  7000 PH 2010-10-31 2216 F4FBP         59  14     J43J          59  20     0
QSO:  7000 PH 2010-10-31 2219 F4FBP         59  14     YO3CZW        59  20     0
QSO:  7000 PH 2010-10-31 2221 F4FBP         59  14     RM2U          59  16     0
QSO:  7000 PH 2010-10-31 2226 F4FBP         59  14     RW2F          59  15     0
QSO:  7000 PH 2010-10-31 2227 F4FBP         59  14     RU1A          59  16     0
QSO:  7000 PH 2010-10-31 2233 F4FBP         59  14     RZ3AXX        59  16     0
QSO:  7000 PH 2010-10-31 2238 F4FBP         59  14     RL3A          59  16     0
QSO:  7000 PH 2010-10-31 2240 F4FBP         59  14     LY2W          59  15     0
QSO:  7000 PH 2010-10-31 2301 F4FBP         59  14     LZ9W          59  20     0
QSO:  7000 PH 2010-10-31 2304 F4FBP         59  14     IR9Y          59  15     0
QSO:  7000 PH 2010-10-31 2307 F4FBP         59  14     YO9HP         59  20     0
QSO:  7000 PH 2010-10-31 2313 F4FBP         59  14     OH0V          59  15     0
QSO:  7000 PH 2010-10-31 2316 F4FBP         59  14     4L0A          59  21     0
QSO:  7000 PH 2010-10-31 2318 F4FBP         59  14     LY7A          59  15     0
QSO:  7000 PH 2010-10-31 2325 F4FBP         59  14     UA4W          59  16     0
QSO:  7000 PH 2010-10-31 2327 F4FBP         59  14     LZ5K          59  20     0
QSO:  7000 PH 2010-10-31 2329 F4FBP         59  14     ES5JR         59  15     0
QSO:  3500 PH 2010-10-31 2343 F4FBP         59  14     OE9MON        59  15     0
QSO:  3500 PH 2010-10-31 2349 F4FBP         59  14     OQ5M          59  14     0
QSO:  3500 PH 2010-10-31 2350 F4FBP         59  14     M9X           59  14     0
QSO:  3500 PH 2010-10-31 2353 F4FBP         59  14     F1EBN         59  14     0
QSO:  3500 PH 2010-10-31 2358 F4FBP         59  14     G8JXV         59  14     0
QSO:  3500 PH 2010-10-31 2359 F4FBP         59  14     IR4M          59  15     0
END-OF-LOG:
