START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: REF-SSB
LOCATION: 56
CALLSIGN: F4FHZ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 75240
OFFTIME: 2014-02-22 1230 2014-02-22 1506
OFFTIME: 2014-02-22 1913 2014-02-22 2223
OFFTIME: 2014-02-22 2339 2014-02-23 0821
OPERATORS: F4FHZ
NAME: LE FLOCH Gwenael
SOAPBOX: 
RIG: K3 ~ 80/100W avec CP6 et doublet pour le 15M
QSO:  7177 PH 2014-02-22 0942 F4FHZ         59  56     F4FFZ         59  56    
QSO:  7173 PH 2014-02-22 0948 F4FHZ         59  56     F6KGL         59  93    
QSO:  7169 PH 2014-02-22 0949 F4FHZ         59  56     F5KOK         59  86    
QSO:  7165 PH 2014-02-22 0954 F4FHZ         59  56     F8KHO/P       59  51    
QSO:  7160 PH 2014-02-22 0956 F4FHZ         59  56     TM5CSD        59  37    
QSO:  7139 PH 2014-02-22 1001 F4FHZ         59  56     TM1A          59  77    
QSO:  7145 PH 2014-02-22 1013 F4FHZ         59  56     F5KUG         59  31    
QSO:  7188 PH 2014-02-22 1021 F4FHZ         59  56     F5SXD         59  14    
QSO:  7186 PH 2014-02-22 1022 F4FHZ         59  56     F5LPY         59  55    
QSO:  7075 PH 2014-02-22 1027 F4FHZ         59  56     F6KLO         59  19    
QSO:  7125 PH 2014-02-22 1032 F4FHZ         59  56     F5KMB/P       59  60    
QSO:  7123 PH 2014-02-22 1034 F4FHZ         59  56     F6BIA         59  91    
QSO: 14141 PH 2014-02-22 1042 F4FHZ         59  56     TM4M          59  13    
QSO: 14169 PH 2014-02-22 1044 F4FHZ         59  56     F4GCU         59  66    
QSO: 14158 PH 2014-02-22 1045 F4FHZ         59  56     F6KUJ         59  34    
QSO: 14131 PH 2014-02-22 1047 F4FHZ         59  56     FM5BH         59  FM    
QSO: 14192 PH 2014-02-22 1050 F4FHZ         59  56     F8KIG         59  13    
QSO: 14244 PH 2014-02-22 1051 F4FHZ         59  56     FY5KE         59  FY    
QSO: 14169 PH 2014-02-22 1054 F4FHZ         59  56     F6KHM         59  29    
QSO: 14134 PH 2014-02-22 1058 F4FHZ         59  56     F6KBR         59  66    
QSO: 14137 PH 2014-02-22 1105 F4FHZ         59  56     TK5KP         59  2A    
QSO: 14130 PH 2014-02-22 1109 F4FHZ         59  56     F4FCC         59  83    
QSO: 21259 PH 2014-02-22 1113 F4FHZ         59  56     FG4KH         59  FG    
QSO: 14128 PH 2014-02-22 1148 F4FHZ         59  56     F4FFZ         59  56    
QSO: 14235 PH 2014-02-22 1152 F4FHZ         59  56     TM6D          59  38    
QSO: 14147 PH 2014-02-22 1155 F4FHZ         59  56     F6KNB         59  33    
QSO: 14149 PH 2014-02-22 1158 F4FHZ         59  56     F5HDM         59  13    
QSO: 14188 PH 2014-02-22 1203 F4FHZ         59  56     F5AOF         59  74    
QSO: 28475 PH 2014-02-22 1214 F4FHZ         59  56     FY5KE         59  FY    
QSO: 28429 PH 2014-02-22 1221 F4FHZ         59  56     ZW7REF        59  132   
QSO: 28494 PH 2014-02-22 1230 F4FHZ         59  56     F6KNB         59  33    
QSO: 21248 PH 2014-02-22 1506 F4FHZ         59  56     F6KHM         59  29    
QSO: 21238 PH 2014-02-22 1507 F4FHZ         59  56     TM1T          59  44    
QSO: 21190 PH 2014-02-22 1508 F4FHZ         59  56     F8KHF         59  03    
QSO: 21300 PH 2014-02-22 1510 F4FHZ         59  56     F5MUX         59  29    
QSO: 21210 PH 2014-02-22 1515 F4FHZ         59  56     F4FFH         59  50    
QSO: 21370 PH 2014-02-22 1517 F4FHZ         59  56     TM1A          59  77    
QSO: 21212 PH 2014-02-22 1523 F4FHZ         59  56     F5AMH         59  41    
QSO: 21230 PH 2014-02-22 1524 F4FHZ         59  56     F6KQV         59  67    
QSO: 21243 PH 2014-02-22 1525 F4FHZ         59  56     TM5OTT        59  37    
QSO: 28437 PH 2014-02-22 1531 F4FHZ         59  56     F6KHM         59  29    
QSO: 21283 PH 2014-02-22 1605 F4FHZ         59  56     FY5KE         59  FY    
QSO: 21250 PH 2014-02-22 1608 F4FHZ         59  56     F1BIH/P       59  58    
QSO: 21277 PH 2014-02-22 1612 F4FHZ         59  56     F4FFZ         59  56    
QSO: 21264 PH 2014-02-22 1621 F4FHZ         59  56     FM5AN         59  FM    
QSO: 21239 PH 2014-02-22 1636 F4FHZ         59  56     TK5KP         59  2A    
QSO: 21254 PH 2014-02-22 1642 F4FHZ         59  56     ZW7REF        59  327   
QSO: 21210 PH 2014-02-22 1647 F4FHZ         59  56     F8DRA         59  76    
QSO: 21238 PH 2014-02-22 1648 F4FHZ         59  56     TM6D          59  38    
QSO: 21233 PH 2014-02-22 1657 F4FHZ         59  56     F6KNB         59  33    
QSO: 14253 PH 2014-02-22 1702 F4FHZ         59  56     F6KLO         59  19    
QSO: 14120 PH 2014-02-22 1708 F4FHZ         59  56     TM1A          59  77    
QSO: 14166 PH 2014-02-22 1709 F4FHZ         59  56     F1RCH         59  13    
QSO: 14136 PH 2014-02-22 1720 F4FHZ         59  56     F1BIH/P       59  58    
QSO:  7092 PH 2014-02-22 1908 F4FHZ         59  56     TK5KP         59  2A    
QSO:  7060 PH 2014-02-22 1913 F4FHZ         59  56     F1RCH         59  13    
QSO:  3713 PH 2014-02-22 2223 F4FHZ         59  56     F6REF         59  00    
QSO:  3688 PH 2014-02-22 2225 F4FHZ         59  56     F6KHM         59  29    
QSO:  3612 PH 2014-02-22 2227 F4FHZ         59  56     F5KEQ         59  44    
QSO:  3727 PH 2014-02-22 2228 F4FHZ         59  56     F8KCF         59  74    
QSO:  7105 PH 2014-02-22 2256 F4FHZ         59  56     FG4KH         59  FG    
QSO:  7173 PH 2014-02-22 2314 F4FHZ         59  56     FY5KE         59  FY    
QSO:  3744 PH 2014-02-22 2322 F4FHZ         59  56     TM5OTT        59  37    
QSO:  3748 PH 2014-02-22 2324 F4FHZ         59  56     F6AWU         59  44    
QSO:  3737 PH 2014-02-22 2325 F4FHZ         59  56     F6KFI         59  72    
QSO:  3732 PH 2014-02-22 2326 F4FHZ         59  56     F6KBR         59  66    
QSO:  3681 PH 2014-02-22 2329 F4FHZ         59  56     F1BIH/P       59  58    
QSO:  3685 PH 2014-02-22 2329 F4FHZ         59  56     TM57M         59  57    
QSO:  3765 PH 2014-02-22 2331 F4FHZ         59  56     F8KHF         59  03    
QSO:  3677 PH 2014-02-22 2335 F4FHZ         59  56     F6KJS         59  71    
QSO:  3670 PH 2014-02-22 2336 F4FHZ         59  56     F5KDK/P       59  24    
QSO:  3704 PH 2014-02-22 2339 F4FHZ         59  56     F4FGB         59  73    
QSO:  7193 PH 2014-02-23 0821 F4FHZ         59  56     F4KIO/P       59  35    
QSO:  3610 PH 2014-02-23 0822 F4FHZ         59  56     F4FFZ         59  56    
QSO: 28421 PH 2014-02-23 0824 F4FHZ         59  56     F4FFZ         59  56    
QSO:  7180 PH 2014-02-23 0829 F4FHZ         59  56     TM57M         59  57    
QSO:  7166 PH 2014-02-23 0830 F4FHZ         59  56     F1BIH/P       59  58    
QSO:  7195 PH 2014-02-23 0832 F4FHZ         59  56     F4BYB         59  02    
QSO:  7189 PH 2014-02-23 0834 F4FHZ         59  56     F5TVG         59  94    
QSO:  7177 PH 2014-02-23 0836 F4FHZ         59  56     F5PSI         59  62    
QSO:  7140 PH 2014-02-23 0843 F4FHZ         59  56     F2QH          59  95    
QSO:  7091 PH 2014-02-23 0846 F4FHZ         59  56     F4DSK         59  45    
QSO:  7089 PH 2014-02-23 0847 F4FHZ         59  56     F8ATS         59  91    
QSO:  7187 PH 2014-02-23 0850 F4FHZ         59  56     F5OJN         59  87    
QSO:  7118 PH 2014-02-23 0854 F4FHZ         59  56     F4FGY         59  79    
QSO:  7197 PH 2014-02-23 0916 F4FHZ         59  56     F8KCF         59  74    
QSO:  7161 PH 2014-02-23 0919 F4FHZ         59  56     F8KGZ         59  54    
QSO: 14215 PH 2014-02-23 0937 F4FHZ         59  56     F5LEN         59  54    
END-OF-LOG:

