START-OF-LOG: 2.0
REF-SECTION: DX
CALLSIGN: W1END
CLUB: Yankee Clipper Contest Club
CONTEST: REF-CW
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 11330
OPERATORS: W1END
NAME: Eldon Burkinshaw
CREATED-BY: N1MM Logger V9.11.0
SOAPBOX:  Excellent conditions.  Had a good time.  Thanks to all.  
QSO: 14000 CW 2010-01-31 1524 W1END         599 0063   F5SDH         559 35      
QSO: 14000 CW 2010-01-31 1546 W1END         599 0064   F6EYB         599 40      
QSO: 14000 CW 2010-01-31 1549 W1END         599 0065   F6KEH         599 34      
QSO: 14000 CW 2010-01-31 1553 W1END         599 0066   F1AEY         599 11      
QSO: 14000 CW 2010-01-31 1555 W1END         599 0067   F6DYX         599 49      
QSO: 21000 CW 2010-01-31 1603 W1END         599 0068   F5KTU         599 19      
QSO: 21000 CW 2010-01-31 1604 W1END         599 0069   F5KSE         599 31      
QSO: 21000 CW 2010-01-31 1610 W1END         599 0070   F6BNH/P       599 73      
END-OF-LOG:

