START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: G3WRR
CLUB: None
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 54656
OPERATORS: G3WRR
NAME: Quin Collier
CREATED-BY: N1MM Logger V13.8.0
SOAPBOX: Not a serious entry but enjoyable! 10m conditions excellent.
QSO: 14179 PH 2013-10-27 1220 G3WRR         59  14     OL4A          59  15
QSO: 28294 PH 2013-10-27 1222 G3WRR         59  14     P3J           59  20
QSO: 21104 PH 2013-10-27 1224 G3WRR         59  14     VP5DX         59  08
QSO: 21157 PH 2013-10-27 1225 G3WRR         59  14     R3GZ          59  16
QSO: 21208 PH 2013-10-27 1226 G3WRR         59  14     K3LR          59  05
QSO: 28593 PH 2013-10-27 1227 G3WRR         59  14     K3LR          59  05
QSO: 28605 PH 2013-10-27 1227 G3WRR         59  14     N2RM          59  05
QSO: 28623 PH 2013-10-27 1228 G3WRR         59  14     K3CR          59  05
QSO: 28628 PH 2013-10-27 1229 G3WRR         59  14     N8II          59  05
QSO: 21225 PH 2013-10-27 1231 G3WRR         59  14     LY4T          59  15
QSO: 21201 PH 2013-10-27 1233 G3WRR         59  14     SK3W          59  14
QSO: 21197 PH 2013-10-27 1233 G3WRR         59  14     RC9O          59  18
QSO: 28625 PH 2013-10-27 1345 G3WRR         59  14     NN3W          59  05
QSO: 28623 PH 2013-10-27 1356 G3WRR         59  14     K4AB          59  04
QSO: 28634 PH 2013-10-27 1356 G3WRR         59  14     W3UA          59  05
QSO: 28518 PH 2013-10-27 1401 G3WRR         59  14     UT7QF         59  16
QSO: 28493 PH 2013-10-27 1402 G3WRR         59  14     SZ1A          59  20
QSO: 28482 PH 2013-10-27 1403 G3WRR         59  14     RN3F          59  16
QSO: 28399 PH 2013-10-27 1405 G3WRR         59  14     NX2X          59  05
QSO: 28368 PH 2013-10-27 1405 G3WRR         59  14     RM3Q          59  16
QSO: 28318 PH 2013-10-27 1407 G3WRR         59  14     EF8U          59  33
QSO: 28290 PH 2013-10-27 1408 G3WRR         59  14     VE3RA         59  04
QSO: 28273 PH 2013-10-27 1408 G3WRR         59  14     CJ3T          59  04
QSO: 28257 PH 2013-10-27 1410 G3WRR         59  14     VE3EJ         59  04
QSO: 21135 PH 2013-10-27 1411 G3WRR         59  14     CN2R          59  33
QSO: 21151 PH 2013-10-27 1412 G3WRR         59  14     CT3HF         59  33
QSO: 21173 PH 2013-10-27 1412 G3WRR         59  14     VE6SF         59  04
QSO: 21233 PH 2013-10-27 1414 G3WRR         59  14     S57C          59  15
QSO: 21253 PH 2013-10-27 1416 G3WRR         59  14     YU5R          59  15
QSO: 21308 PH 2013-10-27 1418 G3WRR         59  14     K3EST         59  03
QSO: 21329 PH 2013-10-27 1419 G3WRR         59  14     IZ8BRI        59  15
QSO: 14314 PH 2013-10-27 1422 G3WRR         59  14     ES9C          59  15
QSO: 21373 PH 2013-10-27 1424 G3WRR         59  14     ES9C          59  15
QSO: 28353 PH 2013-10-27 1425 G3WRR         59  14     K0TV          59  05
QSO: 28365 PH 2013-10-27 1430 G3WRR         59  14     NN1N          59  05
QSO: 28477 PH 2013-10-27 1433 G3WRR         59  14     WE3C          59  05
QSO: 28617 PH 2013-10-27 1555 G3WRR         59  14     N1MM          59  05
QSO: 28651 PH 2013-10-27 1600 G3WRR         59  14     W1NA          59  05
QSO: 28632 PH 2013-10-27 1600 G3WRR         59  14     K2LE          59  05
QSO: 28437 PH 2013-10-27 1607 G3WRR         59  14     LU3HS         59  13
QSO: 28415 PH 2013-10-27 1609 G3WRR         59  14     K1RX          59  05
QSO: 28384 PH 2013-10-27 1618 G3WRR         59  14     KQ2M          59  05
QSO: 28320 PH 2013-10-27 1618 G3WRR         59  14     W4TTT         59  05
QSO: 28276 PH 2013-10-27 1620 G3WRR         59  14     VA5DX         59  04
QSO: 28271 PH 2013-10-27 1621 G3WRR         59  14     VA6MA         59  04
QSO: 21126 PH 2013-10-27 1637 G3WRR         59  14     VE3OI         59  04
QSO: 21133 PH 2013-10-27 1638 G3WRR         59  14     VE3JM         59  04
QSO: 21172 PH 2013-10-27 1638 G3WRR         59  14     VO1MX         59  05
QSO: 21182 PH 2013-10-27 1639 G3WRR         59  14     EA8AH         59  33
QSO: 21185 PH 2013-10-27 1639 G3WRR         59  14     VP5T          59  08
QSO: 21189 PH 2013-10-27 1640 G3WRR         59  14     UX4E          59  16
QSO: 21196 PH 2013-10-27 1641 G3WRR         59  14     VA6UK         59  04
QSO: 21217 PH 2013-10-27 1642 G3WRR         59  14     UU7J          59  16
QSO: 21230 PH 2013-10-27 1643 G3WRR         59  14     W3LPL         59  05
QSO: 21272 PH 2013-10-27 1645 G3WRR         59  14     K8AZ          59  04
QSO: 21279 PH 2013-10-27 1645 G3WRR         59  14     P3N           59  20
QSO: 21281 PH 2013-10-27 1646 G3WRR         59  14     NN3W          59  05
QSO: 21285 PH 2013-10-27 1647 G3WRR         59  14     SV9FBG        59  20
QSO: 21346 PH 2013-10-27 1649 G3WRR         59  14     W4RM          59  05
QSO: 21406 PH 2013-10-27 1650 G3WRR         59  14     K1ZR          59  05
QSO: 21415 PH 2013-10-27 1652 G3WRR         59  14     P33W          59  20
QSO: 28301 PH 2013-10-27 1702 G3WRR         59  14     W1WEF         59  05
QSO: 28305 PH 2013-10-27 1703 G3WRR         59  14     K1KP          59  05
QSO: 28309 PH 2013-10-27 1704 G3WRR         59  14     N5DX          59  04
QSO: 28320 PH 2013-10-27 1704 G3WRR         59  14     K1LZ          59  05
QSO: 28348 PH 2013-10-27 1705 G3WRR         59  14     HK1NA         59  09
QSO: 28410 PH 2013-10-27 1707 G3WRR         59  14     EA8BTQ        59  33
QSO: 28452 PH 2013-10-27 1709 G3WRR         59  14     PR7AA         59  11
QSO: 28540 PH 2013-10-27 1711 G3WRR         59  14     W4DXX         59  05
QSO: 28547 PH 2013-10-27 1713 G3WRR         59  14     P49Y          59  09
QSO: 28608 PH 2013-10-27 1714 G3WRR         59  14     AB4B          59  05
QSO: 28636 PH 2013-10-27 1716 G3WRR         59  14     PX2B          59  11
QSO: 28619 PH 2013-10-27 1717 G3WRR         59  14     N0NI          59  04
QSO: 28342 PH 2013-10-27 1720 G3WRR         59  14     KW8N          59  04
QSO: 21206 PH 2013-10-27 1723 G3WRR         59  14     K3MD          59  05
QSO: 14281 PH 2013-10-27 1724 G3WRR         59  14     YT1A          59  15
QSO: 14279 PH 2013-10-27 1725 G3WRR         59  14     E73M          59  15
QSO: 14166 PH 2013-10-27 1727 G3WRR         59  14     LZ9W          59  20
QSO: 14239 PH 2013-10-27 1728 G3WRR         59  14     YU5R          59  15
QSO: 14251 PH 2013-10-27 1730 G3WRR         59  14     SM0T          59  14
QSO: 14320 PH 2013-10-27 1731 G3WRR         59  14     YP9W          59  20
QSO: 14340 PH 2013-10-27 1733 G3WRR         59  14     UA5B          59  16
QSO: 14277 PH 2013-10-27 1734 G3WRR         59  14     D4C           59  35
QSO: 14258 PH 2013-10-27 1734 G3WRR         59  14     9A6A          59  15
QSO: 14195 PH 2013-10-27 1737 G3WRR         59  14     HG5P          59  15
QSO: 14185 PH 2013-10-27 1738 G3WRR         59  14     SP9KAO        59  15
QSO:  7117 PH 2013-10-27 1739 G3WRR         59  14     OM0M          59  15
QSO: 28364 PH 2013-10-27 1817 G3WRR         59  14     K3WW          59  05
QSO: 21236 PH 2013-10-27 1821 G3WRR         59  14     KU2M          59  05
QSO: 14163 PH 2013-10-27 1822 G3WRR         59  14     YP0C          59  20
QSO:  7051 PH 2013-10-27 1826 G3WRR         59  14     GM6NX         59  14
QSO:  7069 PH 2013-10-27 1828 G3WRR         59  14     DL0CS         59  14
QSO:  7092 PH 2013-10-27 1828 G3WRR         59  14     GM0B          59  14
QSO:  7123 PH 2013-10-27 1829 G3WRR         59  14     RF9C          59  17
QSO:  7144 PH 2013-10-27 1830 G3WRR         59  14     HB9EE         59  14
QSO:  7168 PH 2013-10-27 1831 G3WRR         59  14     TM9R          59  14
QSO:  7191 PH 2013-10-27 1832 G3WRR         59  14     DF0HQ         59  14
QSO:  7196 PH 2013-10-27 1833 G3WRR         59  14     RN3F          59  16
QSO:  7189 PH 2013-10-27 1834 G3WRR         59  14     DJ2QV         59  14
QSO:  1835 PH 2013-10-27 1838 G3WRR         59  14     F5UTN         59  14
QSO:  1873 PH 2013-10-27 1840 G3WRR         59  14     OK1CDJ        59  15
QSO:  1866 PH 2013-10-27 1841 G3WRR         59  14     GM0B          59  14
QSO:  3759 PH 2013-10-27 1843 G3WRR         59  14     GM0B          59  14
QSO:  3779 PH 2013-10-27 1844 G3WRR         59  14     SP3GEM        59  15
QSO:  3738 PH 2013-10-27 1846 G3WRR         59  14     DP6T          59  14
QSO:  7094 PH 2013-10-27 1849 G3WRR         59  14     SD6N          59  14
QSO:  7125 PH 2013-10-27 1850 G3WRR         59  14     IV3GFL        59  15
QSO:  7186 PH 2013-10-27 1852 G3WRR         59  14     RM5A          59  16
QSO: 14153 PH 2013-10-27 1857 G3WRR         59  14     N1UR          59  05
QSO:  7103 PH 2013-10-27 1902 G3WRR         59  14     S51CK         59  15
QSO:  7116 PH 2013-10-27 1904 G3WRR         59  14     OL3R          59  15
QSO:  3751 PH 2013-10-27 1907 G3WRR         59  14     DP7D          59  14
QSO:  7190 PH 2013-10-27 1925 G3WRR         59  14     IG9Y          59  33
QSO:  7187 PH 2013-10-27 1928 G3WRR         59  14     YL2CI         59  15
QSO:  3766 PH 2013-10-27 1932 G3WRR         59  14     ES9C          59  15
QSO:  3753 PH 2013-10-27 1933 G3WRR         59  14     PI4M          59  14
QSO:  3749 PH 2013-10-27 1933 G3WRR         59  14     5Q2T          59  14
END-OF-LOG:
