START-OF-LOG: 3.0
CALLSIGN: SB0A
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: PORTABLE
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 358463
CLUB: None
LOCATION: DX
CREATED-BY: N1MM Logger V13.3.2
NAME: Mikael Karlsson
OPERATORS: SM0LPO
SOAPBOX: My radio was my ICOM IC-7000 mounted in my car
QSO:  7000 PH 2013-10-26 0433 SB0A          59  14     DD1MAT        59  14
QSO:  7000 PH 2013-10-26 0434 SB0A          59  14     9A3B          59  15
QSO:  7000 PH 2013-10-26 0435 SB0A          59  14     S51A          59  15
QSO:  7000 PH 2013-10-26 0437 SB0A          59  14     IQ3UD         59  15
QSO:  7000 PH 2013-10-26 0438 SB0A          59  14     HB9TOC        59  14
QSO:  3500 PH 2013-10-26 0439 SB0A          59  14     EW8DJ         59  16
QSO:  3500 PH 2013-10-26 0441 SB0A          59  14     GM0B          59  14
QSO:  3500 PH 2013-10-26 0442 SB0A          59  14     HA30S         59  15
QSO:  3500 PH 2013-10-26 0443 SB0A          59  14     DR5N          59  14
QSO:  3500 PH 2013-10-26 0443 SB0A          59  14     LY2CO         59  15
QSO:  3500 PH 2013-10-26 0444 SB0A          59  14     OM4ASI        59  15
QSO:  3500 PH 2013-10-26 0447 SB0A          59  14     YQ5C          59  20
QSO:  3500 PH 2013-10-26 0448 SB0A          59  14     SP9KAO        59  15
QSO:  3500 PH 2013-10-26 0450 SB0A          59  14     S50XX         59  15
QSO:  3500 PH 2013-10-26 0453 SB0A          59  14     HA8JV         59  15
QSO:  7000 PH 2013-10-26 0455 SB0A          59  14     UW7LL         59  16
QSO:  7000 PH 2013-10-26 0457 SB0A          59  14     EU1A          59  16
QSO: 14000 PH 2013-10-26 0505 SB0A          59  14     RA9AE         59  17
QSO: 14000 PH 2013-10-26 0509 SB0A          59  14     R8IA          59  18
QSO: 14000 PH 2013-10-26 0510 SB0A          59  14     LZ6C          59  20
QSO: 14000 PH 2013-10-26 0512 SB0A          59  14     SX2I          59  20
QSO: 14000 PH 2013-10-26 0516 SB0A          59  14     CN3A          59  33
QSO: 14000 PH 2013-10-26 0522 SB0A          59  14     II9P          59  15
QSO: 14000 PH 2013-10-26 0526 SB0A          59  14     IT9BDM        59  15
QSO: 14000 PH 2013-10-26 0527 SB0A          59  14     UP0L          59  17
QSO: 14000 PH 2013-10-26 0528 SB0A          59  14     RN9DDR        59  16
QSO: 14000 PH 2013-10-26 0529 SB0A          59  14     ER4LX         59  16
QSO: 14000 PH 2013-10-26 0529 SB0A          59  14     UW5U          59  16
QSO: 14000 PH 2013-10-26 0530 SB0A          59  14     YT1A          59  15
QSO: 14000 PH 2013-10-26 0531 SB0A          59  14     UN6LN         59  17
QSO: 14000 PH 2013-10-26 0537 SB0A          59  14     US1I          59  16
QSO: 14000 PH 2013-10-26 0537 SB0A          59  14     E77A          59  15
QSO: 14000 PH 2013-10-26 0538 SB0A          59  14     UZ0U          59  16
QSO: 14000 PH 2013-10-26 0541 SB0A          59  14     RF8R          59  17
QSO: 21000 PH 2013-10-26 0543 SB0A          59  14     BY5CD         59  24
QSO: 21000 PH 2013-10-26 0545 SB0A          59  14     UA9CTT        59  17
QSO: 21000 PH 2013-10-26 0550 SB0A          59  14     UP2L          59  17
QSO: 21000 PH 2013-10-26 0608 SB0A          59  14     LZ3ZZ         59  20
QSO: 21000 PH 2013-10-26 0609 SB0A          59  14     RK9AX         59  17
QSO: 21000 PH 2013-10-26 0609 SB0A          59  14     RL9X          59  17
QSO: 21000 PH 2013-10-26 0610 SB0A          59  14     RG6G          59  16
QSO: 21000 PH 2013-10-26 0611 SB0A          59  14     4L8A          59  21
QSO: 21000 PH 2013-10-26 0613 SB0A          59  14     UK9AA         59  17
QSO: 21000 PH 2013-10-26 0613 SB0A          59  14     RZ4W          59  16
QSO: 14000 PH 2013-10-26 0621 SB0A          59  14     OL9Z          59  15
QSO: 28000 PH 2013-10-26 0627 SB0A          59  14     UC0A          59  18
QSO: 28000 PH 2013-10-26 0630 SB0A          59  14     JE1LFX        59  25
QSO: 28000 PH 2013-10-26 0631 SB0A          59  14     RX9SR         59  16
QSO: 28000 PH 2013-10-26 0631 SB0A          59  14     RW0A          59  18
QSO: 28000 PH 2013-10-26 0632 SB0A          59  14     JA8COE        59  25
QSO: 28000 PH 2013-10-26 0633 SB0A          59  14     JA2KSI        59  25
QSO: 28000 PH 2013-10-26 0635 SB0A          59  14     JH0JDV        59  25
QSO: 28000 PH 2013-10-26 0639 SB0A          59  14     JF2QNM        59  25
QSO: 28000 PH 2013-10-26 0639 SB0A          59  14     JA0QNJ        59  25
QSO: 28000 PH 2013-10-26 0645 SB0A          59  14     UP2L          59  17
QSO: 28000 PH 2013-10-26 0647 SB0A          59  14     BY3MM         59  24
QSO: 28000 PH 2013-10-26 0648 SB0A          59  14     AH2R          59  27
QSO: 28000 PH 2013-10-26 0649 SB0A          59  14     SV8/DK3SJ     59  20
QSO: 28000 PH 2013-10-26 0657 SB0A          59  14     R7AW          59  16
QSO: 28000 PH 2013-10-26 0702 SB0A          59  14     4O7CC         59  15
QSO: 28000 PH 2013-10-26 0708 SB0A          59  14     RZ0SR         59  18
QSO: 28000 PH 2013-10-26 0713 SB0A          59  14     II9P          59  15
QSO: 28000 PH 2013-10-26 0714 SB0A          59  14     RW4NY         59  16
QSO: 28000 PH 2013-10-26 0716 SB0A          59  14     LZ2HM         59  20
QSO: 28000 PH 2013-10-26 0716 SB0A          59  14     LZ1NG         59  20
QSO: 28000 PH 2013-10-26 0718 SB0A          59  14     RA8T          59  16
QSO: 28000 PH 2013-10-26 0722 SB0A          59  14     SW8YY         59  20
QSO: 28000 PH 2013-10-26 0723 SB0A          59  14     LZ9V          59  20
QSO: 28000 PH 2013-10-26 0729 SB0A          59  14     JH4MGU        59  25
QSO: 28000 PH 2013-10-26 0730 SB0A          59  14     JA6LCJ        59  25
QSO: 28000 PH 2013-10-26 0731 SB0A          59  14     ED1R          59  14
QSO: 28000 PH 2013-10-26 0731 SB0A          59  14     RM4HZ         59  16
QSO: 28000 PH 2013-10-26 0733 SB0A          59  14     JA7OWD        59  25
QSO: 28000 PH 2013-10-26 0734 SB0A          59  14     EC4AA         59  14
QSO:  7000 PH 2013-10-26 0739 SB0A          59  14     CJ3T          59  04
QSO:  7000 PH 2013-10-26 0740 SB0A          59  14     SN2K          59  15
QSO:  7000 PH 2013-10-26 0743 SB0A          59  14     SQ8MFB        59  15
QSO:  7000 PH 2013-10-26 0745 SB0A          59  14     PA3CJP        59  14
QSO:  7000 PH 2013-10-26 0746 SB0A          59  14     DH7FA         59  14
QSO:  7000 PH 2013-10-26 0747 SB0A          59  14     DL4OL         59  14
QSO:  7000 PH 2013-10-26 0747 SB0A          59  14     SP4AAZ        59  15
QSO:  7000 PH 2013-10-26 0748 SB0A          59  14     G3RXQ         59  14
QSO:  7000 PH 2013-10-26 0748 SB0A          59  14     LA2HFA        59  14
QSO:  7000 PH 2013-10-26 0748 SB0A          59  14     M3JFM         59  14
QSO:  7000 PH 2013-10-26 0749 SB0A          59  14     OH2CK         59  15
QSO:  7000 PH 2013-10-26 0749 SB0A          59  14     PD2SKZ        59  14
QSO:  7000 PH 2013-10-26 0750 SB0A          59  14     IZ1POA        59  15
QSO:  7000 PH 2013-10-26 0751 SB0A          59  14     OK2ILD        59  15
QSO:  7000 PH 2013-10-26 0751 SB0A          59  14     DJ0AH         59  14
QSO:  7000 PH 2013-10-26 0751 SB0A          59  14     DL4ZA         59  14
QSO:  7000 PH 2013-10-26 0752 SB0A          59  14     OH2BR         59  15
QSO:  7000 PH 2013-10-26 0752 SB0A          59  14     OK1BLU        59  15
QSO:  7000 PH 2013-10-26 0753 SB0A          59  14     DL5ST         59  14
QSO:  7000 PH 2013-10-26 0754 SB0A          59  14     SQ2WHH        59  15
QSO:  7000 PH 2013-10-26 0754 SB0A          59  14     SP3UIW        59  15
QSO:  7000 PH 2013-10-26 0755 SB0A          59  14     PD0ME         59  14
QSO: 28000 PH 2013-10-26 0800 SB0A          59  14     IG9Y          59  33
QSO: 28000 PH 2013-10-26 0801 SB0A          59  14     C4A           59  20
QSO: 28000 PH 2013-10-26 0802 SB0A          59  14     CT7AIX        59  14
QSO: 28000 PH 2013-10-26 0805 SB0A          59  14     RU9AFF        59  16
QSO: 28000 PH 2013-10-26 0808 SB0A          59  14     A71BX         59  21
QSO: 28000 PH 2013-10-26 0809 SB0A          59  14     IS0BSR        59  15
QSO: 28000 PH 2013-10-26 0810 SB0A          59  14     UA9JLL        59  17
QSO: 28000 PH 2013-10-26 0812 SB0A          59  14     R9DA          59  17
QSO: 28000 PH 2013-10-26 0814 SB0A          59  14     RU4AA         59  16
QSO: 28000 PH 2013-10-26 0823 SB0A          59  14     JW7QIA        59  40
QSO: 28000 PH 2013-10-26 0823 SB0A          59  14     EA9KB         59  33
QSO: 28000 PH 2013-10-26 0826 SB0A          59  14     P3N           59  20
QSO: 28000 PH 2013-10-26 0826 SB0A          59  14     RD0A          59  18
QSO: 28000 PH 2013-10-26 0827 SB0A          59  14     UA4M          59  16
QSO: 28000 PH 2013-10-26 0828 SB0A          59  14     B3C           59  24
QSO: 28000 PH 2013-10-26 0833 SB0A          59  14     TC0BOZ        59  20
QSO: 28000 PH 2013-10-26 0835 SB0A          59  14     TM6M          59  14
QSO: 28000 PH 2013-10-26 0835 SB0A          59  14     EE9K          59  33
QSO: 28000 PH 2013-10-26 0836 SB0A          59  14     UA6LUQ        59  16
QSO: 28000 PH 2013-10-26 0837 SB0A          59  14     IT9JOF        59  15
QSO: 28000 PH 2013-10-26 0839 SB0A          59  14     EE3C          59  14
QSO: 28000 PH 2013-10-26 0839 SB0A          59  14     RG6G          59  16
QSO: 28000 PH 2013-10-26 0839 SB0A          59  14     RM0A          59  18
QSO: 28000 PH 2013-10-26 0840 SB0A          59  14     EA4KD         59  14
QSO: 28000 PH 2013-10-26 0841 SB0A          59  14     SW5CC         59  20
QSO: 28000 PH 2013-10-26 0844 SB0A          59  14     EE5T          59  14
QSO: 28000 PH 2013-10-26 0849 SB0A          59  14     EE3A          59  14
QSO: 28000 PH 2013-10-26 0850 SB0A          59  14     CR5T          59  14
QSO: 28000 PH 2013-10-26 0854 SB0A          59  14     UY7MM         59  16
QSO: 28000 PH 2013-10-26 0856 SB0A          59  14     EB2AM         59  14
QSO: 21000 PH 2013-10-26 0906 SB0A          59  14     YT8T          59  15
QSO: 21000 PH 2013-10-26 0907 SB0A          59  14     OE9LWV        59  15
QSO: 21000 PH 2013-10-26 0909 SB0A          59  14     HB9DFD        59  14
QSO: 21000 PH 2013-10-26 0910 SB0A          59  14     GW4EVX        59  14
QSO: 21000 PH 2013-10-26 0910 SB0A          59  14     S51RJ         59  15
QSO: 21000 PH 2013-10-26 0911 SB0A          59  14     IZ3NVR        59  15
QSO: 21000 PH 2013-10-26 0912 SB0A          59  14     EE3C          59  14
QSO: 21000 PH 2013-10-26 0914 SB0A          59  14     EA1KY         59  14
QSO: 21000 PH 2013-10-26 0917 SB0A          59  14     E71A          59  15
QSO: 21000 PH 2013-10-26 0917 SB0A          59  14     G6PZ          59  14
QSO: 21000 PH 2013-10-26 0922 SB0A          59  14     F4KIR         59  14
QSO: 21000 PH 2013-10-26 0923 SB0A          59  14     CR2X          59  14
QSO: 21000 PH 2013-10-26 0926 SB0A          59  14     UZ4I          59  16
QSO: 21000 PH 2013-10-26 0927 SB0A          59  14     9A8M          59  15
QSO: 21000 PH 2013-10-26 0932 SB0A          59  14     WL7E          59  01
QSO: 14000 PH 2013-10-26 0934 SB0A          59  14     OM7LM         59  15
QSO: 14000 PH 2013-10-26 0936 SB0A          59  14     OL4A          59  15
QSO: 14000 PH 2013-10-26 0937 SB0A          59  14     S57ML         59  15
QSO: 14000 PH 2013-10-26 0939 SB0A          59  14     CT1FHL        59  14
QSO: 14000 PH 2013-10-26 0940 SB0A          59  14     F4FTA         59  14
QSO: 14000 PH 2013-10-26 0941 SB0A          59  14     RU1A          59  16
QSO: 14000 PH 2013-10-26 0942 SB0A          59  14     HF9Q          59  15
QSO: 14000 PH 2013-10-26 0945 SB0A          59  14     4O3A          59  15
QSO: 14000 PH 2013-10-26 0946 SB0A          59  14     GT8IOM        59  14
QSO: 14000 PH 2013-10-26 0947 SB0A          59  14     S53DOS        59  15
QSO: 14000 PH 2013-10-26 0947 SB0A          59  14     DP6T          59  14
QSO: 14000 PH 2013-10-26 0949 SB0A          59  14     RK3AWB        59  16
QSO: 14000 PH 2013-10-26 0949 SB0A          59  14     DP6A          59  14
QSO: 14000 PH 2013-10-26 0949 SB0A          59  14     DC4RU         59  14
QSO: 14000 PH 2013-10-26 0951 SB0A          59  14     OK1LO         59  15
QSO: 14000 PH 2013-10-26 0954 SB0A          59  14     II4I          59  15
QSO: 14000 PH 2013-10-26 0955 SB0A          59  14     IQ7AF         59  15
QSO: 14000 PH 2013-10-26 0955 SB0A          59  14     EA6SX         59  14
QSO: 14000 PH 2013-10-26 0957 SB0A          59  14     IG9Y          59  33
QSO: 14000 PH 2013-10-26 0958 SB0A          59  14     R1NA          59  16
QSO: 14000 PH 2013-10-26 0958 SB0A          59  14     RV9UP         59  18
QSO: 14000 PH 2013-10-26 0959 SB0A          59  14     ON6VOX        59  14
QSO: 14000 PH 2013-10-26 1000 SB0A          59  14     UX1UX         59  16
QSO: 14000 PH 2013-10-26 1000 SB0A          59  14     RK9CYA        59  17
QSO: 14000 PH 2013-10-26 1001 SB0A          59  14     UY5CA         59  16
QSO: 14000 PH 2013-10-26 1002 SB0A          59  14     E74Y          59  15
QSO: 14000 PH 2013-10-26 1003 SB0A          59  14     RQ7M          59  16
QSO: 14000 PH 2013-10-26 1006 SB0A          59  14     DF0HQ         59  14
QSO:  7000 PH 2013-10-26 1022 SB0A          59  14     DP6T          59  14
QSO:  7000 PH 2013-10-26 1022 SB0A          59  14     S57O          59  15
QSO:  7000 PH 2013-10-26 1024 SB0A          59  14     GM6NX         59  14
QSO:  7000 PH 2013-10-26 1025 SB0A          59  14     GM4SLV        59  14
QSO:  7000 PH 2013-10-26 1025 SB0A          59  14     F2YT          59  14
QSO:  7000 PH 2013-10-26 1027 SB0A          59  14     OL3R          59  15
QSO:  7000 PH 2013-10-26 1028 SB0A          59  14     ES8SX         59  15
QSO:  7000 PH 2013-10-26 1029 SB0A          59  14     DR1A          59  14
QSO:  7000 PH 2013-10-26 1030 SB0A          59  14     DL8AAM        59  14
QSO:  7000 PH 2013-10-26 1031 SB0A          59  14     OK2KDS        59  15
QSO:  7000 PH 2013-10-26 1033 SB0A          59  14     PA3BPZ        59  14
QSO:  7000 PH 2013-10-26 1034 SB0A          59  14     LA8UHA        59  14
QSO:  7000 PH 2013-10-26 1034 SB0A          59  14     DL0HMK        59  14
QSO:  7000 PH 2013-10-26 1039 SB0A          59  14     DK1WU         59  14
QSO: 21000 PH 2013-10-26 1042 SB0A          59  14     LP1H          59  13
QSO: 21000 PH 2013-10-26 1043 SB0A          59  14     RA9AEA        59  17
QSO: 21000 PH 2013-10-26 1043 SB0A          59  14     S50G          59  15
QSO: 21000 PH 2013-10-26 1045 SB0A          59  14     I0LYO         59  15
QSO: 21000 PH 2013-10-26 1048 SB0A          59  14     D4C           59  35
QSO: 21000 PH 2013-10-26 1049 SB0A          59  14     RA8T          59  16
QSO: 21000 PH 2013-10-26 1049 SB0A          59  14     9A1P          59  15
QSO: 21000 PH 2013-10-26 1050 SB0A          59  14     S50R          59  15
QSO: 21000 PH 2013-10-26 1051 SB0A          59  14     YP7P          59  20
QSO: 21000 PH 2013-10-26 1051 SB0A          59  14     YP9W          59  20
QSO: 21000 PH 2013-10-26 1054 SB0A          59  14     UW5ZM         59  16
QSO: 21000 PH 2013-10-26 1055 SB0A          59  14     TM6M          59  14
QSO: 21000 PH 2013-10-26 1056 SB0A          59  14     EI7M          59  14
QSO: 21000 PH 2013-10-26 1057 SB0A          59  14     AA1K          59  05
QSO: 21000 PH 2013-10-26 1059 SB0A          59  14     4O3A          59  15
QSO: 21000 PH 2013-10-26 1100 SB0A          59  14     IR4M          59  15
QSO: 21000 PH 2013-10-26 1101 SB0A          59  14     N1UR          59  05
QSO: 21000 PH 2013-10-26 1103 SB0A          59  14     GM2V          59  14
QSO: 21000 PH 2013-10-26 1107 SB0A          59  14     RK9CYA        59  17
QSO: 21000 PH 2013-10-26 1108 SB0A          59  14     RK0AB         59  18
QSO: 21000 PH 2013-10-26 1112 SB0A          59  14     K3ZO          59  05
QSO: 21000 PH 2013-10-26 1113 SB0A          59  14     IB9T          59  15
QSO: 21000 PH 2013-10-26 1115 SB0A          59  14     M0UTD         59  14
QSO: 21000 PH 2013-10-26 1117 SB0A          59  14     N1MM          59  05
QSO: 21000 PH 2013-10-26 1117 SB0A          59  14     KC1XX         59  05
QSO: 21000 PH 2013-10-26 1118 SB0A          59  14     IZ1YTK        59  15
QSO: 21000 PH 2013-10-26 1119 SB0A          59  14     9A1CIG        59  15
QSO: 21000 PH 2013-10-26 1123 SB0A          59  14     RZ9JZ         59  17
QSO: 21000 PH 2013-10-26 1124 SB0A          59  14     G4DDX         59  14
QSO: 21000 PH 2013-10-26 1125 SB0A          59  14     IZ3GNG        59  15
QSO: 21000 PH 2013-10-26 1127 SB0A          59  14     IZ3SQW        59  15
QSO: 21000 PH 2013-10-26 1128 SB0A          59  14     G3RRS         59  14
QSO: 21000 PH 2013-10-26 1128 SB0A          59  14     PJ2T          59  09
QSO: 21000 PH 2013-10-26 1130 SB0A          59  14     VP5DX         59  08
QSO: 21000 PH 2013-10-26 1131 SB0A          59  14     UN0LE         59  17
QSO: 21000 PH 2013-10-26 1137 SB0A          59  14     P49Y          59  09
QSO: 21000 PH 2013-10-26 1138 SB0A          59  14     CJ3T          59  04
QSO: 21000 PH 2013-10-26 1140 SB0A          59  14     PJ4X          59  09
QSO: 21000 PH 2013-10-26 1141 SB0A          59  14     VE3JM         59  04
QSO: 21000 PH 2013-10-26 1142 SB0A          59  14     VA3SWG        59  04
QSO: 21000 PH 2013-10-26 1143 SB0A          59  14     UZ2M          59  16
QSO: 21000 PH 2013-10-26 1146 SB0A          59  14     UX3IW         59  16
QSO: 21000 PH 2013-10-26 1147 SB0A          59  14     S52ZW         59  15
QSO: 21000 PH 2013-10-26 1148 SB0A          59  14     S57AL         59  15
QSO: 21000 PH 2013-10-26 1148 SB0A          59  14     S53EA         59  15
QSO: 21000 PH 2013-10-26 1150 SB0A          59  14     IO1T          59  15
QSO: 21000 PH 2013-10-26 1151 SB0A          59  14     IK6GPZ        59  15
QSO: 28000 PH 2013-10-26 1152 SB0A          59  14     ED5J          59  14
QSO: 28000 PH 2013-10-26 1153 SB0A          59  14     EA1BLI        59  14
QSO: 28000 PH 2013-10-26 1155 SB0A          59  14     EE7E          59  14
QSO: 28000 PH 2013-10-26 1159 SB0A          59  14     CR3A          59  33
QSO: 28000 PH 2013-10-26 1206 SB0A          59  14     R9KD          59  17
QSO: 28000 PH 2013-10-26 1210 SB0A          59  14     UP9L          59  17
QSO: 28000 PH 2013-10-26 1213 SB0A          59  14     EF8U          59  33
QSO: 28000 PH 2013-10-26 1216 SB0A          59  14     PQ5B          59  11
QSO: 28000 PH 2013-10-26 1217 SB0A          59  14     EC7ZK         59  14
QSO: 28000 PH 2013-10-26 1218 SB0A          59  14     II9K          59  15
QSO: 28000 PH 2013-10-26 1219 SB0A          59  14     IB9T          59  15
QSO: 28000 PH 2013-10-26 1220 SB0A          59  14     EE2K          59  14
QSO: 28000 PH 2013-10-26 1223 SB0A          59  14     RK9CYA        59  17
QSO: 28000 PH 2013-10-26 1226 SB0A          59  14     RA7A          59  16
QSO: 28000 PH 2013-10-26 1229 SB0A          59  14     IR9W          59  15
QSO: 28000 PH 2013-10-26 1230 SB0A          59  14     EC2DX         59  14
QSO: 28000 PH 2013-10-26 1230 SB0A          59  14     RW4WA         59  16
QSO:  7000 PH 2013-10-26 1243 SB0A          59  14     LY2BKT        59  15
QSO:  7000 PH 2013-10-26 1243 SB0A          59  14     YL3FT         59  15
QSO:  7000 PH 2013-10-26 1246 SB0A          59  14     OH6GDX        59  15
QSO:  7000 PH 2013-10-26 1247 SB0A          59  14     LA2QJA        59  14
QSO:  7000 PH 2013-10-26 1248 SB0A          59  14     PA2MI         59  14
QSO:  7000 PH 2013-10-26 1249 SB0A          59  14     DL8QS         59  14
QSO:  7000 PH 2013-10-26 1249 SB0A          59  14     DG6DCB        59  14
QSO:  7000 PH 2013-10-26 1251 SB0A          59  14     ES2AAX        59  15
QSO:  7000 PH 2013-10-26 1253 SB0A          59  14     OL5T          59  15
QSO:  7000 PH 2013-10-26 1254 SB0A          59  14     IV3GFL        59  15
QSO:  7000 PH 2013-10-26 1255 SB0A          59  14     LY7A          59  15
QSO:  7000 PH 2013-10-26 1256 SB0A          59  14     LN1B          59  14
QSO:  7000 PH 2013-10-26 1257 SB0A          59  14     SQ3WW         59  15
QSO:  7000 PH 2013-10-26 1259 SB0A          59  14     DM2AWM        59  14
QSO:  7000 PH 2013-10-26 1300 SB0A          59  14     UX0LL         59  16
QSO:  7000 PH 2013-10-26 1301 SB0A          59  14     SP6QKS        59  15
QSO:  7000 PH 2013-10-26 1302 SB0A          59  14     SP2CBS        59  15
QSO:  7000 PH 2013-10-26 1303 SB0A          59  14     EU6AF         59  16
QSO:  7000 PH 2013-10-26 1304 SB0A          59  14     OM0CS         59  15
QSO: 14000 PH 2013-10-26 1308 SB0A          59  14     OM3ID         59  15
QSO: 14000 PH 2013-10-26 1309 SB0A          59  14     PA0AGA        59  14
QSO: 14000 PH 2013-10-26 1309 SB0A          59  14     UA1AQA        59  16
QSO: 14000 PH 2013-10-26 1310 SB0A          59  14     JA7NVF        59  25
QSO: 14000 PH 2013-10-26 1313 SB0A          59  14     SP6RYD        59  15
QSO: 14000 PH 2013-10-26 1313 SB0A          59  14     9A5Y          59  15
QSO: 14000 PH 2013-10-26 1314 SB0A          59  14     PC2T          59  14
QSO: 14000 PH 2013-10-26 1316 SB0A          59  14     DR5N          59  14
QSO: 14000 PH 2013-10-26 1317 SB0A          59  14     YU0T          59  15
QSO: 14000 PH 2013-10-26 1317 SB0A          59  14     HG7T          59  15
QSO: 14000 PH 2013-10-26 1318 SB0A          59  14     IZ1TUF        59  15
