START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DK0LK
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 15030
CREATED-BY: UcxLog 7.32
OPERATORS: DO2MWE
NAME: Manuel Werner
CLUB: DARC
SOAPBOX: TS850, 500W, Ant. 40m Dipol, 10m agnd, 40m asl, 31600Uchte, Lohhof5A
QSO: 21000 PH 2013-10-27 1558 DK0LK         59  14     EF5T          59  14     0
QSO: 21000 PH 2013-10-27 1600 DK0LK         59  14     IF9A          59  15     0
QSO: 21000 PH 2013-10-27 1602 DK0LK         59  14     P3N           59  20     0
QSO: 28000 PH 2013-10-27 1734 DK0LK         59  14     DJ7WW         59  14     0
QSO: 14000 PH 2013-10-27 1738 DK0LK         59  14     4L0A          59  21     0
QSO: 14000 PH 2013-10-27 1741 DK0LK         59  14     RT4F          59  16     0
QSO: 14000 PH 2013-10-27 1745 DK0LK         59  14     RL3A          59  16     0
QSO: 14000 PH 2013-10-27 1748 DK0LK         59  14     EA3CI         59  14     0
QSO: 14000 PH 2013-10-27 1749 DK0LK         59  14     UW1M          59  16     0
QSO: 14000 PH 2013-10-27 1751 DK0LK         59  14     SV9FBG        59  20     0
QSO: 14000 PH 2013-10-27 1753 DK0LK         59  14     YU5R          59  15     0
QSO: 14000 PH 2013-10-27 1757 DK0LK         59  14     TC0BOZ        59  20     0
QSO: 14000 PH 2013-10-27 1816 DK0LK         59  14     WE3C          59  05     0
QSO: 14000 PH 2013-10-27 1821 DK0LK         59  14     N1UR          59  05     0
QSO:  7000 PH 2013-10-27 1845 DK0LK         59  14     G9V           59  14     0
END-OF-LOG:
