START-OF-LOG: 3.0
CALLSIGN: K9QJS
LOCATION: WWA
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 25844
CREATED-BY: RUMped Ver. 3.2.7  by Tom, DL2RUM
NAME: James K. "Hoop" Hooper
SOAPBOX: Licensed in 2011 I'm definitely a rookie when it comes to
QSO: 14178 PH 2013-10-27 0401 K9QJS         59      03 JA7NVF        59      25 0
QSO: 14183 PH 2013-10-27 0404 K9QJS         59      03 RQ7M          59      16 0
QSO: 14199 PH 2013-10-27 0407 K9QJS         59      03 UA9FAR        59      17 0
QSO: 14207 PH 2013-10-27 0408 K9QJS         59      03 RF9C          59      17 0
QSO: 14214 PH 2013-10-27 0411 K9QJS         59      03 RX4W          59      16 0
QSO: 14217 PH 2013-10-27 0412 K9QJS         59      03 US1I          59      16 0
QSO: 14261 PH 2013-10-27 0448 K9QJS         59      03 JA8WKE        59      25 0
QSO: 14199 PH 2013-10-27 0457 K9QJS         59      03 N5CR          59      03 0
QSO:  3793 PH 2013-10-27 0616 K9QJS         59      03 VE7SZ         59      03 0
QSO:  3742 PH 2013-10-27 1228 K9QJS         59      03 VE5PV         59      04 0
QSO:  3776 PH 2013-10-27 1229 K9QJS         59      03 NH7A          59      31 0
QSO:  3500 PH 2013-10-27 1234 K9QJS         59      03 VA7BEC        59      03 0
QSO:  7000 PH 2013-10-27 1248 K9QJS         59      03 XE2S          59      06 0
QSO:  7000 PH 2013-10-27 1253 K9QJS         59      03 JE1ZWT        59      25 0
QSO: 14177 PH 2013-10-27 1656 K9QJS         59       3 OH5BM         59      15 1
QSO: 14185 PH 2013-10-27 1659 K9QJS         59       3 KH7CW         59      31 1
QSO: 14216 PH 2013-10-27 1701 K9QJS         59       3 9A5Y          59      15 1
QSO: 14239 PH 2013-10-27 1704 K9QJS         59       3 EA7LL         59      14 1
QSO: 14249 PH 2013-10-27 1705 K9QJS         59       3 RU1A          59      16 1
QSO: 14266 PH 2013-10-27 1707 K9QJS         59       3 RT5Z          59      16 1
QSO: 14312 PH 2013-10-27 1711 K9QJS         59       3 DR1A          59      14 1
QSO: 14321 PH 2013-10-27 1712 K9QJS         59       3 RT4F          59      16 1
QSO: 14331 PH 2013-10-27 1713 K9QJS         59       3 S52OP         59      15 1
QSO: 14291 PH 2013-10-27 1730 K9QJS         59       3 RL3A          59      16 1
QSO: 21318 PH 2013-10-27 1815 K9QJS         59       3 G8DX          59      14 1
QSO: 21000 PH 2013-10-27 1822 K9QJS         59       3 P43A          59       9 1
QSO: 21362 PH 2013-10-27 1828 K9QJS         59       3 PJ2T          59       9 1
QSO: 21000 PH 2013-10-27 1832 K9QJS         59       3 KP2M          59       8 1
QSO: 21000 PH 2013-10-27 1836 K9QJS         59       3 CR5T          59      14 1
QSO: 21000 PH 2013-10-27 1839 K9QJS         59       3 EA4KR         59      14 1
QSO: 21402 PH 2013-10-27 1841 K9QJS         59       3 KL7KY         59       1 1
QSO: 21000 PH 2013-10-27 1843 K9QJS         59       3 CN2AA         59      33 1
QSO: 21000 PH 2013-10-27 1845 K9QJS         59       3 KL7RA         59       1 1
QSO: 28000 PH 2013-10-27 1852 K9QJS         59       3 KL7RA         59       1 1
QSO: 14000 PH 2013-10-27 1853 K9QJS         59       3 KL7RA         59       1 1
QSO: 28404 PH 2013-10-27 1903 K9QJS         59       3 PJ2T          59       9 1
QSO: 28000 PH 2013-10-27 1907 K9QJS         59       3 T48K          59       8 1
QSO: 28439 PH 2013-10-27 1910 K9QJS         59       3 AY2H          59      13 1
QSO: 28000 PH 2013-10-27 2028 K9QJS         59       3 TO1A          59       9 1
QSO: 28435 PH 2013-10-27 2030 K9QJS         59       3 3G3W          59      12 1
QSO: 28000 PH 2013-10-27 2031 K9QJS         59       3 KP4BD         59       8 1
QSO: 21000 PH 2013-10-27 2041 K9QJS         59       3 CR3A          59      33 1
QSO: 21000 PH 2013-10-27 2044 K9QJS         59       3 KL7AIR        59       1 1
QSO: 21000 PH 2013-10-27 2055 K9QJS         59       3 JA3YBK        59      25 1
END-OF-LOG:
