START-OF-LOG: 3.0
CREATED-BY: LM Version 4.5 (c) 1992, 2011 by DL8WAA
LOCATION: DX
CONTEST: CQ-WW-SSB
CALLSIGN: DD5MA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CLAIMED-SCORE: 9810
OPERATORS: DD5MA
CLUB: Rhein Ruhr DX Association
NAME: Frank Marmor
SOAPBOX: good dx with my vertikal 1,2m on my car roof
QSO: 28000 PH 2013-10-26 1719 DD5MA         59  14     ZW5B          59  11     0
QSO: 28000 PH 2013-10-26 1721 DD5MA         59  14     YY4DNN        59  09     0
QSO: 28000 PH 2013-10-26 1723 DD5MA         59  14     LS1F          59  13     0
QSO: 28000 PH 2013-10-26 1727 DD5MA         59  14     W3UA          59  05     0
QSO: 28000 PH 2013-10-26 1731 DD5MA         59  14     CU2AA         59  14     0
QSO: 28000 PH 2013-10-26 1732 DD5MA         59  14     YN2AA         59  07     0
QSO: 28000 PH 2013-10-26 1737 DD5MA         59  14     ZZ2T          59  11     0
QSO: 28000 PH 2013-10-26 1740 DD5MA         59  14     K7CF          59  03     0
QSO:  1800 PH 2013-10-26 2219 DD5MA         59  14     OT5A          59  14     0
QSO:  7000 PH 2013-10-26 2231 DD5MA         59  14     CN2R          59  33     0
QSO:  7000 PH 2013-10-26 2233 DD5MA         59  14     IG9Y          59  33     0
QSO: 28000 PH 2013-10-27 1514 DD5MA         59  14     VA2WA         59  05     0
QSO: 28000 PH 2013-10-27 1517 DD5MA         59  14     VA5DX         59  04     0
QSO: 28000 PH 2013-10-27 1518 DD5MA         59  14     CN8VO         59  33     0
QSO: 28000 PH 2013-10-27 1519 DD5MA         59  14     VE2IM         59  02     0
QSO: 28000 PH 2013-10-27 1524 DD5MA         59  14     CR3A          59  33     0
QSO: 28000 PH 2013-10-27 1529 DD5MA         59  14     N1NN          59  05     0
QSO: 28000 PH 2013-10-27 1530 DD5MA         59  14     CN3A          59  33     0
QSO: 28000 PH 2013-10-27 1538 DD5MA         59  14     EA8EW         59  33     0
QSO: 28000 PH 2013-10-27 1544 DD5MA         59  14     PY2NY         59  11     0
QSO: 28000 PH 2013-10-27 1550 DD5MA         59  14     W1NA          59  05     0
QSO: 28000 PH 2013-10-27 1552 DD5MA         59  14     CN2AA         59  33     0
QSO: 28000 PH 2013-10-27 1554 DD5MA         59  14     CQ9T          59  33     0
QSO: 28000 PH 2013-10-27 1556 DD5MA         59  14     LW6DG         59  13     0
QSO: 28000 PH 2013-10-27 1557 DD5MA         59  14     CW5W          59  13     0
QSO: 28000 PH 2013-10-27 1558 DD5MA         59  14     K4AB          59  04     0
QSO: 28000 PH 2013-10-27 1600 DD5MA         59  14     NN3W          59  05     0
QSO: 28000 PH 2013-10-27 1602 DD5MA         59  14     AY5F          59  13     0
QSO: 28000 PH 2013-10-27 1602 DD5MA         59  14     CT3HF         59  33     0
QSO: 28000 PH 2013-10-27 1615 DD5MA         59  14     VY2TT         59  05     0
QSO: 21000 PH 2013-10-27 1639 DD5MA         59  14     P33W          59  20     0
QSO: 21000 PH 2013-10-27 1640 DD5MA         59  14     ZW2K          59  11     0
QSO: 21000 PH 2013-10-27 1643 DD5MA         59  14     ED9Z          59  33     0
QSO: 21000 PH 2013-10-27 1648 DD5MA         59  14     K3LR          59  05     0
QSO: 21000 PH 2013-10-27 1650 DD5MA         59  14     D4C           59  35     0
QSO:  7000 PH 2013-10-27 1656 DD5MA         59  14     DF0HQ         59  14     0
END-OF-LOG:
