START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: RG2Y
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: HIGH
OPERATORS: RG2Y
QSO:  3535 CW 2023-04-08 2238 RG2Y          599 29     D1CW          599 29    
QSO: 28005 CW 2023-04-09 0643 RG2Y          599 29     UA0D          599 33    
QSO: 28017 CW 2023-04-09 0717 RG2Y          599 29     R0AK          599 32    
QSO: 28042 CW 2023-04-09 0719 RG2Y          599 29     R9OK          599 31    
QSO: 28019 CW 2023-04-09 0720 RG2Y          599 29     RT0O          599 32    
QSO: 28026 CW 2023-04-09 0721 RG2Y          599 29     RW0J          599 KV    
QSO: 28025 CW 2023-04-09 0721 RG2Y          599 29     UA0OK         599 32    
QSO: 28025 CW 2023-04-09 0723 RG2Y          599 29     RC0CD         599 34    
QSO: 28004 CW 2023-04-09 0728 RG2Y          599 29     RA9MA         599 30    
QSO: 28029 CW 2023-04-09 0729 RG2Y          599 29     UK7AL         599 30    
QSO: 28027 CW 2023-04-09 0730 RG2Y          599 29     RZ8U          599 31    
QSO: 28030 CW 2023-04-09 0730 RG2Y          599 29     RD0A          599 32    
QSO: 28036 CW 2023-04-09 0731 RG2Y          599 29     R8OM          599 31    
QSO: 21003 CW 2023-04-09 0734 RG2Y          599 29     RW0AB         599 32    
QSO: 21003 CW 2023-04-09 0735 RG2Y          599 29     RO9L          599 30    
QSO: 21003 CW 2023-04-09 0735 RG2Y          599 29     RW9MZ         599 30    
QSO: 21009 CW 2023-04-09 0737 RG2Y          599 29     R0CBW         599 34    
QSO: 21011 CW 2023-04-09 0738 RG2Y          599 29     UA0QNV        599 23    
QSO: 21023 CW 2023-04-09 0738 RG2Y          599 29     RN9N          599 30    
QSO: 21013 CW 2023-04-09 0738 RG2Y          599 29     BH1APZ        599 44    
QSO: 21019 CW 2023-04-09 0739 RG2Y          599 29     RT0O          599 32    
QSO: 21016 CW 2023-04-09 0739 RG2Y          599 29     RM9RZ         599 30    
QSO: 21037 CW 2023-04-09 0740 RG2Y          599 29     UD8V          599 31    
QSO: 21038 CW 2023-04-09 0741 RG2Y          599 29     RW9DX         599 30    
QSO: 21050 CW 2023-04-09 0741 RG2Y          599 29     RA9Y          599 31    
QSO: 21033 CW 2023-04-09 0742 RG2Y          599 29     UN4L          599 30    
QSO: 21026 CW 2023-04-09 0742 RG2Y          599 29     R8CT          599 30    
QSO: 21022 CW 2023-04-09 0743 RG2Y          599 29     RD8D          599 30    
QSO: 21003 CW 2023-04-09 0745 RG2Y          599 29     UA0CA         599 34    
QSO: 21003 CW 2023-04-09 0746 RG2Y          599 29     RN3AM         599 29    
QSO: 21003 CW 2023-04-09 0747 RG2Y          599 29     R8MB/1        599 20    
QSO: 21027 CW 2023-04-09 0748 RG2Y          599 29     R0AK          599 32    
QSO: 21018 CW 2023-04-09 0749 RG2Y          599 29     UN9L          599 30    
QSO: 21012 CW 2023-04-09 0749 RG2Y          599 29     UN0L          599 30    
QSO: 21009 CW 2023-04-09 0749 RG2Y          599 29     UN9GD         599 31    
QSO: 14047 CW 2023-04-09 0752 RG2Y          599 29     UW1M          599 29    
QSO: 14047 CW 2023-04-09 0752 RG2Y          599 29     LZ2MP         599 28    
QSO: 14047 CW 2023-04-09 0753 RG2Y          599 29     DL5ARM        599 28    
QSO: 14047 CW 2023-04-09 0754 RG2Y          599 29     TM1CY         599 27    
QSO: 14047 CW 2023-04-09 0755 RG2Y          599 29     UP0L          599 30    
QSO: 14047 CW 2023-04-09 0755 RG2Y          599 29     R8WF          599 30    
QSO: 14047 CW 2023-04-09 0755 RG2Y          599 29     R7AC          599 29    
QSO: 14047 CW 2023-04-09 0755 RG2Y          599 29     E74X          599 28    
QSO: 14047 CW 2023-04-09 0755 RG2Y          599 29     UN8PT         599 30    
QSO: 14047 CW 2023-04-09 0756 RG2Y          599 29     LZ1DQ         599 28    
QSO: 14047 CW 2023-04-09 0756 RG2Y          599 29     RN4SC         599 29    
QSO: 14047 CW 2023-04-09 0756 RG2Y          599 29     RA4CL         599 29    
QSO: 14037 CW 2023-04-09 0757 RG2Y          599 29     UA9CUJ        599 30    
QSO: 14037 CW 2023-04-09 0758 RG2Y          599 29     RL2Y          599 29    
QSO: 14037 CW 2023-04-09 0758 RG2Y          599 29     EI7CC         599 27    
QSO: 14037 CW 2023-04-09 0759 RG2Y          599 29     OK7CM         599 28    
QSO: 14008 CW 2023-04-09 0958 RG2Y          599 29     R4II          599 29    
QSO: 14010 CW 2023-04-09 0958 RG2Y          599 29     M4T           599 27    
QSO: 14011 CW 2023-04-09 0958 RG2Y          599 29     RG9A          599 30    
QSO: 14013 CW 2023-04-09 0959 RG2Y          599 29     R4ACY         599 29    
QSO: 14016 CW 2023-04-09 0959 RG2Y          599 29     RT4W          599 30    
QSO: 14016 CW 2023-04-09 1000 RG2Y          599 29     RN4HAB        599 30    
QSO: 14017 CW 2023-04-09 1000 RG2Y          599 29     RW7KW         599 29    
QSO: 14019 CW 2023-04-09 1001 RG2Y          599 29     SD4W          599 18    
