START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: RG61PP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: 
OPERATORS: R2BW, R3DCB, RA1ZZ, RA3ATX, RX3APM, RT5C, RN2FA, RN5M, RK6MC
QSO:  3519 CW 2023-04-08 2111 RG61PP        599 YG     EW8DX         599 29    
QSO:  7011 CW 2023-04-08 2111 RG61PP        599 YG     YU1RA         599 28    
QSO:  3519 CW 2023-04-08 2111 RG61PP        599 YG     UP4L          599 30    
QSO:  3519 CW 2023-04-08 2111 RG61PP        599 YG     UA3QR         599 29    
QSO:  3519 CW 2023-04-08 2112 RG61PP        599 YG     UR7MZ         599 29    
QSO: 21305 PH 2023-04-08 2112 RG61PP        59  YG     KD8OVQ        59  04    
QSO: 21305 PH 2023-04-08 2112 RG61PP        59  YG     W5KBW         59  08    
QSO:  3519 CW 2023-04-08 2112 RG61PP        599 YG     YU5TM         599 28    
QSO:  3519 CW 2023-04-08 2112 RG61PP        599 YG     RC9X          599 20    
QSO:  7011 CW 2023-04-08 2113 RG61PP        599 YG     UC5D          599 29    
QSO:  7011 CW 2023-04-08 2113 RG61PP        599 YG     RW3RN         599 29    
QSO:  3519 CW 2023-04-08 2113 RG61PP        599 YG     UA3XFO        599 29    
QSO:  3519 CW 2023-04-08 2113 RG61PP        599 YG     YT4T          599 28    
QSO: 21305 PH 2023-04-08 2114 RG61PP        59  YG     WJ0Y          59  07    
QSO:  3519 CW 2023-04-08 2114 RG61PP        599 YG     UN7ZW         599 30    
QSO:  7011 CW 2023-04-08 2114 RG61PP        599 YG     DL7UGO        599 28    
QSO:  3519 CW 2023-04-08 2114 RG61PP        599 YG     UR5AW         599 29    
QSO:  7011 CW 2023-04-08 2114 RG61PP        599 YG     R4BZ          599 29    
QSO:  3519 CW 2023-04-08 2114 RG61PP        599 YG     R2PU          599 29    
QSO:  3519 CW 2023-04-08 2115 RG61PP        599 YG     YO3HEX        599 28    
QSO:  3519 CW 2023-04-08 2115 RG61PP        599 YG     RN3S          599 29    
QSO:  3519 CW 2023-04-08 2115 RG61PP        599 YG     RL2H          599 29    
QSO:  7011 CW 2023-04-08 2115 RG61PP        599 YG     OK2ZV         599 28    
QSO:  3519 CW 2023-04-08 2116 RG61PP        599 YG     RA9AP         599 30    
QSO:  3519 CW 2023-04-08 2116 RG61PP        599 YG     RA9Y          599 31    
QSO:  3519 CW 2023-04-08 2116 RG61PP        599 YG     RW7KW         599 29    
QSO:  3519 CW 2023-04-08 2116 RG61PP        599 YG     RA3FD         599 29    
QSO: 21015 CW 2023-04-08 2117 RG61PP        599 YG     AA9WS         599 08    
QSO:  7011 CW 2023-04-08 2117 RG61PP        599 YG     EW1I          599 29    
QSO:  3519 CW 2023-04-08 2117 RG61PP        599 YG     UA3UBT        599 29    
QSO:  3519 CW 2023-04-08 2117 RG61PP        599 YG     SD4W          599 18    
QSO:  3519 CW 2023-04-08 2117 RG61PP        599 YG     UA9XL         599 20    
QSO:  7011 CW 2023-04-08 2118 RG61PP        599 YG     OL8R          599 28    
QSO:  3519 CW 2023-04-08 2118 RG61PP        599 YG     RY2A          599 29    
QSO:  3519 CW 2023-04-08 2118 RG61PP        599 YG     UW1M          599 29    
QSO:  3519 CW 2023-04-08 2118 RG61PP        599 YG     OL8R          599 28    
QSO:  3519 CW 2023-04-08 2119 RG61PP        599 YG     RK4NB         599 29    
QSO:  3519 CW 2023-04-08 2119 RG61PP        599 YG     RW0A          599 SA    
QSO:  3519 CW 2023-04-08 2119 RG61PP        599 YG     R7KX          599 29    
QSO: 21015 CW 2023-04-08 2120 RG61PP        599 YG     RK3T          599 29    
QSO:  7020 CW 2023-04-08 2120 RG61PP        599 YG     R9MA          599 31    
QSO:  3519 CW 2023-04-08 2120 RG61PP        599 YG     R2BP          599 29    
QSO:  3519 CW 2023-04-08 2120 RG61PP        599 YG     RA3AN         599 29    
QSO:  7020 CW 2023-04-08 2120 RG61PP        599 YG     DJ3XD         599 28    
QSO:  3519 CW 2023-04-08 2120 RG61PP        599 YG     RA3YDA        599 29    
QSO:  7020 CW 2023-04-08 2121 RG61PP        599 YG     SQ3TT         599 28    
QSO:  3519 CW 2023-04-08 2121 RG61PP        599 YG     DF1MM         599 28    
QSO:  7020 CW 2023-04-08 2121 RG61PP        599 YG     RK3TT         599 29    
QSO:  3519 CW 2023-04-08 2121 RG61PP        599 YG     UA9SEC        599 30    
QSO:  3519 CW 2023-04-08 2121 RG61PP        599 YG     OK2ZV         599 28    
QSO:  7020 CW 2023-04-08 2121 RG61PP        599 YG     Z32TO         599 28    
QSO:  3519 CW 2023-04-08 2121 RG61PP        599 YG     UA6AKD        599 29    
QSO:  3519 CW 2023-04-08 2122 RG61PP        599 YG     R8CT          599 30    
QSO:  7020 CW 2023-04-08 2122 RG61PP        599 YG     E77EA         599 28    
QSO:  7020 CW 2023-04-08 2122 RG61PP        599 YG     UA6AA         599 29    
QSO:  7020 CW 2023-04-08 2123 RG61PP        599 YG     DL1ROT        599 28    
QSO:  7020 CW 2023-04-08 2123 RG61PP        599 YG     EW1I          599 29    
QSO:  7020 CW 2023-04-08 2123 RG61PP        599 YG     RN3AM         599 29    
QSO:  7020 CW 2023-04-08 2124 RG61PP        599 YG     RT1I          599 20    
QSO:  7020 CW 2023-04-08 2124 RG61PP        599 YG     YT6X          599 28    
QSO:  7020 CW 2023-04-08 2124 RG61PP        599 YG     DL8DWW        599 28    
QSO:  7020 CW 2023-04-08 2125 RG61PP        599 YG     RM1T          599 29    
QSO:  7020 CW 2023-04-08 2125 RG61PP        599 YG     HA3LN         599 28    
QSO:  7020 CW 2023-04-08 2125 RG61PP        599 YG     R7MM          599 29    
QSO:  7020 CW 2023-04-08 2126 RG61PP        599 YG     YQ6A          599 28    
QSO:  7020 CW 2023-04-08 2126 RG61PP        599 YG     R8WO          599 30    
QSO: 14196 PH 2023-04-08 2126 RG61PP        59  YG     EB5IBJ        59  37    
QSO:  7020 CW 2023-04-08 2126 RG61PP        599 YG     UI8C          599 30    
QSO: 14196 PH 2023-04-08 2127 RG61PP        59  YG     UB5X          59  29    
QSO:  7020 CW 2023-04-08 2127 RG61PP        599 YG     PA3DZM        599 27    
QSO:  7020 CW 2023-04-08 2127 RG61PP        599 YG     RN3S          599 29    
QSO: 14196 PH 2023-04-08 2127 RG61PP        59  YG     VA3LG         59  04    
QSO:  7020 CW 2023-04-08 2128 RG61PP        599 YG     DL0OO         599 28    
QSO: 14196 PH 2023-04-08 2128 RG61PP        59  YG     ZS6XY         59  57    
QSO:  7020 CW 2023-04-08 2128 RG61PP        599 YG     RA3AN         599 29    
QSO: 14196 PH 2023-04-08 2128 RG61PP        59  YG     W0YY          59  07    
QSO:  7020 CW 2023-04-08 2128 RG61PP        599 YG     RA9MX         599 30    
QSO: 14196 PH 2023-04-08 2129 RG61PP        59  YG     CB3VS         59  14    
QSO:  7020 CW 2023-04-08 2129 RG61PP        599 YG     LZ1QN         599 28    
QSO:  7020 CW 2023-04-08 2130 RG61PP        599 YG     R0CBW         599 34    
QSO: 14196 PH 2023-04-08 2130 RG61PP        59  YG     UA0D          59  33    
QSO:  7020 CW 2023-04-08 2130 RG61PP        599 YG     YT5M          599 28    
QSO: 14196 PH 2023-04-08 2131 RG61PP        59  YG     KM4YW         59  08    
QSO:  7020 CW 2023-04-08 2131 RG61PP        599 YG     JA5NSR        599 45    
QSO: 14196 PH 2023-04-08 2132 RG61PP        59  YG     AA9WS         59  08    
QSO:  7020 CW 2023-04-08 2132 RG61PP        599 YG     YO8BDW        599 28    
QSO:  7020 CW 2023-04-08 2132 RG61PP        599 YG     RK3DK         599 29    
QSO:  7020 CW 2023-04-08 2133 RG61PP        599 YG     YT7X          599 28    
QSO:  7020 CW 2023-04-08 2133 RG61PP        599 YG     RK9CYA        599 30    
QSO: 14196 PH 2023-04-08 2133 RG61PP        59  YG     IZ0PAU        59  28    
QSO:  7020 CW 2023-04-08 2134 RG61PP        599 YG     YU7KW         599 28    
QSO: 14196 PH 2023-04-08 2134 RG61PP        59  YG     K7BNY         59  05    
QSO: 14196 PH 2023-04-08 2135 RG61PP        59  YG     KB2ENF        59  08    
QSO: 14196 PH 2023-04-08 2135 RG61PP        59  YG     ZS6BAF        59  57    
QSO: 14196 PH 2023-04-08 2137 RG61PP        59  YG     II9CVT        59  28    
QSO: 14196 PH 2023-04-08 2138 RG61PP        59  YG     K4RFK         59  08    
QSO:  7027 CW 2023-04-08 2139 RG61PP        599 YG     RT4D          599 MP    
QSO:  7027 CW 2023-04-08 2141 RG61PP        599 YG     DL8UKW        599 28    
QSO:  7027 CW 2023-04-08 2141 RG61PP        599 YG     RN9U          599 31    
QSO:  7027 CW 2023-04-08 2142 RG61PP        599 YG     DJ1YF         599 28    
QSO:  7027 CW 2023-04-08 2143 RG61PP        599 YG     OK2YZ         599 28    
QSO: 14016 CW 2023-04-08 2143 RG61PP        599 YG     K1WNN         599 08    
QSO: 14016 CW 2023-04-08 2143 RG61PP        599 YG     NN4SS         599 08    
QSO:  7027 CW 2023-04-08 2144 RG61PP        599 YG     YU5DR         599 28    
QSO:  7027 CW 2023-04-08 2145 RG61PP        599 YG     RW3VM         599 29    
QSO: 14016 CW 2023-04-08 2145 RG61PP        599 YG     K6XN          599 06    
QSO: 14016 CW 2023-04-08 2146 RG61PP        599 YG     W1ARY         599 07    
QSO:  7027 CW 2023-04-08 2146 RG61PP        599 YG     E7/Z35M       599 28    
QSO: 14016 CW 2023-04-08 2146 RG61PP        599 YG     PY1VOY        599 15    
QSO:  7027 CW 2023-04-08 2148 RG61PP        599 YG     DL7ET         599 28    
QSO: 14016 CW 2023-04-08 2148 RG61PP        599 YG     HG4I          599 14    
QSO: 14016 CW 2023-04-08 2148 RG61PP        599 YG     K8ED          599 07    
QSO: 14016 CW 2023-04-08 2149 RG61PP        599 YG     SV1ME         599 28    
QSO: 14016 CW 2023-04-08 2149 RG61PP        599 YG     NA3M          599 08    
QSO:  7027 CW 2023-04-08 2150 RG61PP        599 YG     HF50F         599 28    
QSO: 14016 CW 2023-04-08 2150 RG61PP        599 YG     K1LZ          599 08    
QSO:  7027 CW 2023-04-08 2151 RG61PP        599 YG     PA2A          599 27    
QSO: 14016 CW 2023-04-08 2151 RG61PP        599 YG     YT4W          599 28    
QSO: 14016 CW 2023-04-08 2152 RG61PP        599 YG     VE2DQK        599 04    
QSO:  7021 CW 2023-04-08 2153 RG61PP        599 YG     YO4LSR        599 28    
QSO:  3518 CW 2023-04-08 2153 RG61PP        599 YG     OK7CM         599 28    
QSO:  7021 CW 2023-04-08 2153 RG61PP        599 YG     DL1IAO        599 28    
QSO:  3518 CW 2023-04-08 2154 RG61PP        599 YG     UI7D          599 29    
QSO: 14016 CW 2023-04-08 2154 RG61PP        599 YG     LZ5Y          599 28    
QSO:  7021 CW 2023-04-08 2154 RG61PP        599 YG     R7KX          599 29    
QSO:  3515 CW 2023-04-08 2154 RG61PP        599 YG     UA4Z          599 29    
QSO:  7021 CW 2023-04-08 2154 RG61PP        599 YG     UA0OK         599 32    
QSO:  3515 CW 2023-04-08 2154 RG61PP        599 YG     R5QQ          599 29    
QSO:  3515 CW 2023-04-08 2155 RG61PP        599 YG     HF50F         599 28    
QSO: 14016 CW 2023-04-08 2155 RG61PP        599 YG     YU1KK         599 28    
QSO:  3515 CW 2023-04-08 2155 RG61PP        599 YG     RT3F          599 CP    
QSO:  7021 CW 2023-04-08 2155 RG61PP        599 YG     RA3YDA        599 29    
QSO:  3515 CW 2023-04-08 2156 RG61PP        599 YG     R7RF          599 29    
QSO: 14016 CW 2023-04-08 2156 RG61PP        599 YG     RY2A          599 29    
QSO:  3515 CW 2023-04-08 2156 RG61PP        599 YG     UA4AGT        599 29    
QSO:  3515 CW 2023-04-08 2156 RG61PP        599 YG     D1CW          599 29    
QSO:  7021 CW 2023-04-08 2156 RG61PP        599 YG     RX6FJ         599 29    
QSO:  3515 CW 2023-04-08 2157 RG61PP        599 YG     RK9CYA        599 30    
QSO:  3515 CW 2023-04-08 2157 RG61PP        599 YG     R5FQ          599 29    
QSO:  7021 CW 2023-04-08 2157 RG61PP        599 YG     UN4L          599 30    
QSO: 14016 CW 2023-04-08 2157 RG61PP        599 YG     PY4XX         599 15    
QSO:  3515 CW 2023-04-08 2157 RG61PP        599 YG     RA6WF         599 29    
QSO:  3515 CW 2023-04-08 2157 RG61PP        599 YG     RN9N          599 30    
QSO: 14222 PH 2023-04-08 2158 RG61PP        59  20     KP4NYC        59  11    
QSO:  3515 CW 2023-04-08 2158 RG61PP        599 YG     EU6O          599 29    
QSO: 14016 CW 2023-04-08 2158 RG61PP        599 YG     VE9ML         599 09    
QSO:  3515 CW 2023-04-08 2158 RG61PP        599 YG     RA5AD         599 29    
QSO: 14016 CW 2023-04-08 2158 RG61PP        599 YG     HK4KM         599 12    
QSO:  3515 CW 2023-04-08 2158 RG61PP        599 YG     R9MA          599 31    
QSO:  7000 CW 2023-04-08 2159 RG61PP        599 YG     HG8K          599 28    
QSO:  3515 CW 2023-04-08 2159 RG61PP        599 YG     EU6RO         599 29    
QSO:  3515 CW 2023-04-08 2159 RG61PP        599 YG     RT2X          599 29    
QSO: 14016 CW 2023-04-08 2159 RG61PP        599 YG     PY2GH         599 15    
QSO:  3515 CW 2023-04-08 2159 RG61PP        599 YG     RA9MX         599 30    
QSO:  3515 CW 2023-04-08 2159 RG61PP        599 YG     RA7E          599 29    
QSO:  7000 CW 2023-04-08 2159 RG61PP        599 YG     RA4CBN        599 29    
QSO:  3515 CW 2023-04-08 2200 RG61PP        599 YG     EU1FQ         599 29    
QSO:  3515 CW 2023-04-08 2201 RG61PP        599 YG     RA7M          599 29    
QSO:  3515 CW 2023-04-08 2201 RG61PP        599 YG     R4RN          599 30    
QSO:  7001 CW 2023-04-08 2201 RG61PP        599 YG     OK1PX         599 28    
QSO:  3515 CW 2023-04-08 2201 RG61PP        599 YG     OK4RQ         599 28    
QSO:  3515 CW 2023-04-08 2202 RG61PP        599 YG     UN7LAN        599 30    
QSO:  3515 CW 2023-04-08 2202 RG61PP        599 YG     RK3DK         599 29    
QSO:  3515 CW 2023-04-08 2202 RG61PP        599 YG     UA4FCO        599 29    
QSO:  7001 CW 2023-04-08 2202 RG61PP        599 YG     RW0A          599 SA    
QSO:  3515 CW 2023-04-08 2202 RG61PP        599 YG     MM9I          599 27    
QSO:  3515 CW 2023-04-08 2203 RG61PP        599 YG     S52WD         599 28    
QSO:  3515 CW 2023-04-08 2203 RG61PP        599 YG     R4BZ          599 29    
QSO:  3515 CW 2023-04-08 2203 RG61PP        599 YG     DJ3XD         599 28    
QSO: 14016 CW 2023-04-08 2203 RG61PP        599 YG     KA1EFO        599 08    
QSO:  3515 CW 2023-04-08 2203 RG61PP        599 YG     EW1I          599 29    
QSO:  7005 CW 2023-04-08 2204 RG61PP        599 YG     DL1IAO        599 28    
QSO:  3515 CW 2023-04-08 2204 RG61PP        599 YG     UA1ZZ         599 19    
QSO:  7005 CW 2023-04-08 2204 RG61PP        599 YG     RW7F          599 29    
QSO:  3515 CW 2023-04-08 2204 RG61PP        599 YG     RA3NC         599 29    
QSO:  3515 CW 2023-04-08 2204 RG61PP        599 YG     UA4S          599 29    
QSO:  7008 CW 2023-04-08 2205 RG61PP        599 YG     UC0A          599 32    
QSO:  7008 CW 2023-04-08 2206 RG61PP        599 YG     OM0EE         599 28    
QSO: 14016 CW 2023-04-08 2207 RG61PP        599 YG     RG9A          599 30    
QSO:  7008 CW 2023-04-08 2207 RG61PP        599 YG     JH6ROI        599 45    
QSO: 14016 CW 2023-04-08 2209 RG61PP        599 YG     VE3FH         599 04    
QSO:  7008 CW 2023-04-08 2209 RG61PP        599 YG     YT1A          599 28    
QSO:  7008 CW 2023-04-08 2209 RG61PP        599 YG     OM3TBG        599 28    
QSO:  7008 CW 2023-04-08 2210 RG61PP        599 YG     R2PU          599 29    
QSO: 14016 CW 2023-04-08 2210 RG61PP        599 YG     K6VCG         599 06    
QSO: 14016 CW 2023-04-08 2211 RG61PP        599 YG     OR5T          599 27    
QSO:  7008 CW 2023-04-08 2211 RG61PP        599 YG     IK6QRH        599 28    
QSO:  7008 CW 2023-04-08 2211 RG61PP        599 YG     MM9I          599 27    
QSO:  7008 CW 2023-04-08 2212 RG61PP        599 YG     9A3YT         599 28    
QSO:  7008 CW 2023-04-08 2212 RG61PP        599 YG     R7RF          599 29    
QSO: 14016 CW 2023-04-08 2212 RG61PP        599 YG     HA5BMS        599 28    
QSO: 14016 CW 2023-04-08 2213 RG61PP        599 YG     YU3A          599 28    
QSO:  7008 CW 2023-04-08 2213 RG61PP        599 YG     RT3F          599 CP    
QSO:  7008 CW 2023-04-08 2214 RG61PP        599 YG     UA0SU         599 32    
QSO:  3613 PH 2023-04-08 2215 RG61PP        59  YG     R108M         59  RG    
QSO:  3618 PH 2023-04-08 2215 RG61PP        59  YG     RN9N          59  30    
QSO:  3607 PH 2023-04-08 2216 RG61PP        59  YG     R4CIN         59  29    
QSO:  7013 CW 2023-04-08 2217 RG61PP        599 YG     HA2KMR        599 28    
QSO:  7013 CW 2023-04-08 2217 RG61PP        599 YG     EI8JX         599 27    
QSO:  7013 CW 2023-04-08 2217 RG61PP        599 YG     RK4CYW        599 29    
QSO:  3605 PH 2023-04-08 2218 RG61PP        59  YG     R8TT          59  AU    
QSO: 14010 CW 2023-04-08 2218 RG61PP        599 YG     YT2RX         599 28    
QSO:  7013 CW 2023-04-08 2218 RG61PP        599 YG     VR2CO         599 44    
QSO:  3632 PH 2023-04-08 2219 RG61PP        59  YG     R5RA          59  29    
QSO:  7013 CW 2023-04-08 2219 RG61PP        599 YG     UA4Z          599 29    
QSO:  3522 CW 2023-04-08 2220 RG61PP        599 YG     RA2FO         599 29    
QSO:  3522 CW 2023-04-08 2221 RG61PP        599 YG     UA9D          599 30    
QSO:  3522 CW 2023-04-08 2222 RG61PP        599 YG     RC1W          599 29    
QSO:  3522 CW 2023-04-08 2222 RG61PP        599 YG     R2KMO         599 29    
QSO:  7023 CW 2023-04-08 2222 RG61PP        599 YG     YU1RA         599 28    
QSO:  3522 CW 2023-04-08 2222 RG61PP        599 YG     R3QA          599 29    
QSO:  3522 CW 2023-04-08 2223 RG61PP        599 YG     OK2YZ         599 28    
QSO:  3522 CW 2023-04-08 2223 RG61PP        599 YG     R8TT          599 AU    
QSO:  3522 CW 2023-04-08 2223 RG61PP        599 YG     R9GM          599 29    
QSO:  7023 CW 2023-04-08 2223 RG61PP        599 YG     R1ZM          599 19    
QSO:  3522 CW 2023-04-08 2223 RG61PP        599 YG     RX3AEX        599 29    
QSO:  3522 CW 2023-04-08 2224 RG61PP        599 YG     RA3XCZ        599 29    
QSO:  7023 CW 2023-04-08 2224 RG61PP        599 YG     HB9DAX        599 28    
QSO:  3522 CW 2023-04-08 2224 RG61PP        599 YG     UA1CIO        599 29    
QSO:  7023 CW 2023-04-08 2224 RG61PP        599 YG     R8TT          599 AU    
QSO:  3522 CW 2023-04-08 2225 RG61PP        599 YG     UA1ZZ         599 19    
QSO:  7023 CW 2023-04-08 2225 RG61PP        599 YG     UA4AGT        599 29    
QSO:  3522 CW 2023-04-08 2225 RG61PP        599 YG     OK1PX         599 28    
QSO:  7023 CW 2023-04-08 2225 RG61PP        599 YG     RW1A          599 29    
QSO:  3522 CW 2023-04-08 2225 RG61PP        599 YG     DL1ROT        599 28    
QSO: 14010 CW 2023-04-08 2226 RG61PP        599 YG     UA0OK         599 32    
QSO:  3522 CW 2023-04-08 2226 RG61PP        599 YG     EA1X          599 37    
QSO:  7023 CW 2023-04-08 2226 RG61PP        599 YG     BI8CZM        599 43    
QSO:  3522 CW 2023-04-08 2228 RG61PP        599 YG     ZA1ME         599 28    
QSO:  7023 CW 2023-04-08 2228 RG61PP        599 YG     UI7D          599 29    
QSO: 14010 CW 2023-04-08 2228 RG61PP        599 YG     WR4I          599 08    
QSO:  3522 CW 2023-04-08 2229 RG61PP        599 YG     RA9MA         599 30    
QSO:  7113 PH 2023-04-08 2229 RG61PP        59  YG     RA9V          59  31    
QSO:  3522 CW 2023-04-08 2229 RG61PP        599 YG     YU5DR         599 28    
QSO:  3522 CW 2023-04-08 2230 RG61PP        599 YG     E77EA         599 28    
QSO:  3522 CW 2023-04-08 2230 RG61PP        599 YG     RA9SN         599 30    
QSO:  3522 CW 2023-04-08 2230 RG61PP        599 YG     RG2X          599 RK    
QSO:  7023 CW 2023-04-08 2230 RG61PP        599 YG     NA1NA         599 08    
QSO:  3522 CW 2023-04-08 2230 RG61PP        599 YG     R2VA          599 PC    
QSO:  3522 CW 2023-04-08 2231 RG61PP        599 YG     YT6M          599 28    
QSO:  3522 CW 2023-04-08 2231 RG61PP        599 YG     RN3AM         599 29    
QSO:  7023 CW 2023-04-08 2231 RG61PP        599 YG     RG9A          599 30    
QSO:  3522 CW 2023-04-08 2232 RG61PP        599 YG     R6CW          599 29    
QSO:  3522 CW 2023-04-08 2232 RG61PP        599 YG     RV9CVA        599 30    
QSO:  3522 CW 2023-04-08 2232 RG61PP        599 YG     RM5F          599 29    
QSO:  7119 PH 2023-04-08 2232 RG61PP        59  YG     RA4PBE        59  29    
QSO:  7023 CW 2023-04-08 2232 RG61PP        599 YG     RL2D          599 29    
QSO:  3522 CW 2023-04-08 2232 RG61PP        599 YG     RA5G          599 29    
QSO:  3522 CW 2023-04-08 2233 RG61PP        599 YG     EI7CC         599 27    
QSO:  3522 CW 2023-04-08 2234 RG61PP        599 YG     RT5P          599 29    
QSO:  3522 CW 2023-04-08 2234 RG61PP        599 YG     UC0A          599 32    
QSO:  3522 CW 2023-04-08 2234 RG61PP        599 YG     R5AG          599 AL    
QSO:  7023 CW 2023-04-08 2234 RG61PP        599 YG     R0SBI         599 32    
QSO:  3522 CW 2023-04-08 2235 RG61PP        599 YG     RK3ER         599 29    
QSO:  3522 CW 2023-04-08 2235 RG61PP        599 YG     RV3A          599 29    
QSO:  7157 PH 2023-04-08 2235 RG61PP        59  YG     9A5Y          59  28    
QSO:  3522 CW 2023-04-08 2235 RG61PP        599 YG     R8WO          599 30    
QSO:  3522 CW 2023-04-08 2235 RG61PP        599 YG     DF5EG         599 28    
QSO:  3522 CW 2023-04-08 2236 RG61PP        599 YG     R8WX          599 30    
QSO:  3522 CW 2023-04-08 2236 RG61PP        599 YG     UN4L          599 30    
QSO:  3522 CW 2023-04-08 2236 RG61PP        599 YG     UI8C          599 30    
QSO:  3522 CW 2023-04-08 2236 RG61PP        599 YG     S59AW         599 28    
QSO:  3522 CW 2023-04-08 2236 RG61PP        599 YG     YT1WA         599 28    
QSO:  3522 CW 2023-04-08 2237 RG61PP        599 YG     RA3DSV        599 29    
QSO:  7015 CW 2023-04-08 2237 RG61PP        599 YG     RT0O          599 32    
QSO:  3522 CW 2023-04-08 2237 RG61PP        599 YG     YO8BDW        599 28    
QSO:  7015 CW 2023-04-08 2238 RG61PP        599 YG     UA7KA         599 29    
QSO:  1831 CW 2023-04-08 2239 RG61PP        599 YG     RA3YDA        599 29    
QSO:  1831 CW 2023-04-08 2239 RG61PP        599 YG     OL8R          599 28    
QSO:  1831 CW 2023-04-08 2240 RG61PP        599 YG     UB7K          599 29    
QSO:  7015 CW 2023-04-08 2240 RG61PP        599 YG     UA6YH         599 29    
QSO:  3509 CW 2023-04-08 2240 RG61PP        599 YG     DO2XU         599 28    
QSO:  1831 CW 2023-04-08 2240 RG61PP        599 YG     UA4Q          599 30    
QSO:  1831 CW 2023-04-08 2240 RG61PP        599 YG     SC3A          599 18    
QSO:  3509 CW 2023-04-08 2240 RG61PP        599 YG     RU4AA         599 29    
QSO:  1831 CW 2023-04-08 2241 RG61PP        599 YG     UA4Z          599 29    
QSO:  1831 CW 2023-04-08 2241 RG61PP        599 YG     RC6U          599 29    
QSO:  3509 CW 2023-04-08 2241 RG61PP        599 YG     UA6CC         599 29    
QSO:  1831 CW 2023-04-08 2241 RG61PP        599 YG     R7RF          599 29    
