START-OF-LOG: 3.0
CREATED-BY: Lux-Log v6.05.00 by LX1NO
CONTEST: REF-SSB
CALLSIGN: F5IQJ
LOCATION:05
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 116918
CONTEST: REF-SSB
NAME: DANIEL
OPERATORS: F5IQJ
SOAPBOX : IC 7410 - 80 W -ANTENNE VERTICALE GAP TITAN
QSO:  7000 PH 2019-02-24 0917 F5IQJ         59  05       F4EPM/P       59  70
QSO:  7000 PH 2019-02-24 0918 F5IQJ         59  05       F6DRQ         59  85
QSO:  7000 PH 2019-02-24 0919 F5IQJ         59  05       F6GED         59  76
QSO:  7000 PH 2019-02-24 0919 F5IQJ         59  05       F4BQS         59  62
QSO:  7000 PH 2019-02-24 0920 F5IQJ         59  05       F5AAR         59  49
QSO:  7000 PH 2019-02-24 0920 F5IQJ         59  05       F6LIA         59  33
QSO:  7000 PH 2019-02-24 0921 F5IQJ         59  05       F5KKD         59  93
QSO:  7000 PH 2019-02-24 0922 F5IQJ         59  05       F6FNA         59  77
QSO:  7000 PH 2019-02-24 0922 F5IQJ         59  05       F4EDD         59  78
QSO:  7000 PH 2019-02-24 0923 F5IQJ         59  05       F4BXY         59  17
QSO:  7000 PH 2019-02-24 0924 F5IQJ         59  05       ON5HE         59  0206
QSO:  7000 PH 2019-02-24 0925 F5IQJ         59  05       F6DHA         59  51
QSO:  7000 PH 2019-02-24 0925 F5IQJ         59  05       F5NPL         59  57
QSO:  7000 PH 2019-02-24 0926 F5IQJ         59  05       F6FGH         59  49
QSO:  7000 PH 2019-02-24 0927 F5IQJ         59  05       F5BQV         59  56
QSO:  7000 PH 2019-02-24 0927 F5IQJ         59  05       F5MBF         59  77
QSO:  7000 PH 2019-02-24 0929 F5IQJ         59  05       F6KSO         59  49
QSO:  7000 PH 2019-02-24 0932 F5IQJ         59  05       F5TLZ         59  54
QSO:  7000 PH 2019-02-24 0934 F5IQJ         59  05       HB9HLM        59  0262
QSO:  7000 PH 2019-02-24 1126 F5IQJ         59  05       F6GGX         59  32
QSO:  7000 PH 2019-02-24 1127 F5IQJ         59  05       F6ALX         59  91
QSO:  7000 PH 2019-02-24 1130 F5IQJ         59  05       F5AIB         59  54
QSO:  7000 PH 2019-02-24 1130 F5IQJ         59  05       F5ASD         59  77
QSO:  7000 PH 2019-02-24 1131 F5IQJ         59  05       F5CT          59  61
QSO:  7000 PH 2019-02-24 1132 F5IQJ         59  05       F6KHI         59  28
QSO:  7000 PH 2019-02-24 1133 F5IQJ         59  05       F4GMW         59  77
QSO:  7000 PH 2019-02-24 1134 F5IQJ         59  05       F4DBD         59  78
QSO:  7000 PH 2019-02-24 1135 F5IQJ         59  05       F6KBF         59  78
QSO:  7000 PH 2019-02-24 1137 F5IQJ         59  05       F4EGH         59  0017
QSO:  7000 PH 2019-02-24 1138 F5IQJ         59  05       ON4GI         59  0126
QSO:  7000 PH 2019-02-24 1139 F5IQJ         59  05       F5BBD         59  02
QSO:  7000 PH 2019-02-24 1140 F5IQJ         59  05       F5KOU         59  80
QSO:  7000 PH 2019-02-24 1141 F5IQJ         59  05       F4EHY         59  80
QSO:  7000 PH 2019-02-24 1142 F5IQJ         59  05       F4FSB         59  49
QSO:  7000 PH 2019-02-24 1143 F5IQJ         59  05       F4HWF         59  59
QSO:  7000 PH 2019-02-24 1143 F5IQJ         59  05       F6BAT         59  59
QSO:  7000 PH 2019-02-24 1144 F5IQJ         59  05       F4FHW         59  85
QSO:  7000 PH 2019-02-24 1145 F5IQJ         59  05       F5OGL         59  53
QSO:  7000 PH 2019-02-24 1145 F5IQJ         59  05       F1ISM         59  60
QSO:  7000 PH 2019-02-24 1146 F5IQJ         59  05       F4HXK         59  49
QSO:  7000 PH 2019-02-24 1147 F5IQJ         59  05       F4DVP         59  62
QSO:  7000 PH 2019-02-24 1147 F5IQJ         59  05       F6FWQ         59  86
QSO:  7000 PH 2019-02-24 1148 F5IQJ         59  05       F6EPM         59  33
QSO:  7000 PH 2019-02-24 1149 F5IQJ         59  05       F5KLP         59  49
QSO:  7000 PH 2019-02-24 1150 F5IQJ         59  05       F8CGM         59  49
QSO: 14000 PH 2019-02-24 1154 F5IQJ         59  05       YL2CI         59  0326
QSO: 14000 PH 2019-02-24 1154 F5IQJ         59  05       YL3CW         59  0527
QSO: 14000 PH 2019-02-24 1157 F5IQJ         59  05       ES1BH         59  0137
QSO: 14000 PH 2019-02-24 1158 F5IQJ         59  05       HZ1SK         59  0154
QSO:  7000 PH 2019-02-24 1211 F5IQJ         59  05       PF6HPP        59  0329
QSO:  7000 PH 2019-02-24 1212 F5IQJ         59  05       F4FSV         59  64
QSO:  7000 PH 2019-02-24 1213 F5IQJ         59  05       F5UTN         59  27
QSO:  7000 PH 2019-02-24 1214 F5IQJ         59  05       F4DXP         59  29
QSO:  7000 PH 2019-02-24 1218 F5IQJ         59  05       F4HTL         59  62
QSO:  7000 PH 2019-02-24 1219 F5IQJ         59  05       F6BSZ         59  14
QSO:  7000 PH 2019-02-24 1223 F5IQJ         59  05       F4GDO         59  72
QSO:  7000 PH 2019-02-24 1304 F5IQJ         59  05       F4IFF         59  37
QSO:  7000 PH 2019-02-24 1307 F5IQJ         59  05       F4KIY         59  57
QSO:  7000 PH 2019-02-24 1320 F5IQJ         59  05       F8KGZ         59  54
QSO:  7000 PH 2019-02-24 1326 F5IQJ         59  05       F4HIK         59  86
QSO:  7000 PH 2019-02-24 1331 F5IQJ         59  05       F6CZV/P       59  29
QSO:  7000 PH 2019-02-24 1334 F5IQJ         59  05       F6KDL         59  68
QSO:  3500 PH 2019-02-24 1416 F5IQJ         59  05       F5SIZ         59  12
QSO:  7000 PH 2019-02-24 1425 F5IQJ         59  05       F5RAG         59  64
QSO:  7000 PH 2019-02-24 1426 F5IQJ         59  05       F8EMH         59  54
QSO:  7000 PH 2019-02-24 1428 F5IQJ         59  05       F4DLO         59  91
QSO:  7000 PH 2019-02-24 1429 F5IQJ         59  05       F4GGQ         59  29
QSO:  7000 PH 2019-02-24 1432 F5IQJ         59  05       TM4A          59  79
QSO:  7000 PH 2019-02-24 1532 F5IQJ         59  05       F6CBA         59  40
QSO:  7000 PH 2019-02-24 1537 F5IQJ         59  05       F5KMB         59  60
QSO:  7000 PH 2019-02-24 1540 F5IQJ         59  05       F6AXN         59  28
QSO:  7000 PH 2019-02-24 1541 F5IQJ         59  05       F6KPQ         59  56
QSO:  7000 PH 2019-02-24 1542 F5IQJ         59  05       F4GDO         59  72
QSO:  7000 PH 2019-02-24 1545 F5IQJ         59  05       TM6HPP        59  02
QSO:  7000 PH 2019-02-24 1550 F5IQJ         59  05       F5NWL         59  50
QSO:  7000 PH 2019-02-24 1551 F5IQJ         59  05       F1RHX         59  35
QSO:  7000 PH 2019-02-24 1552 F5IQJ         59  05       F5LWF         59  51
QSO:  7000 PH 2019-02-24 1553 F5IQJ         59  05       F5KEQ         59  44
QSO:  7000 PH 2019-02-24 1554 F5IQJ         59  05       DK5AF         59  0264
QSO:  7000 PH 2019-02-24 1555 F5IQJ         59  05       F4AFM         59  80
QSO:  7000 PH 2019-02-24 1557 F5IQJ         59  05       F5OQL         59  79
QSO:  3500 PH 2019-02-24 1603 F5IQJ         59  05       F5MMF         59  24
QSO:  3500 PH 2019-02-24 1604 F5IQJ         59  05       F4HIK         59  86
QSO:  3500 PH 2019-02-24 1605 F5IQJ         59  05       F6KJJ         59  38
QSO:  3500 PH 2019-02-24 1608 F5IQJ         59  05       F6IPQ         59  47
QSO:  3500 PH 2019-02-24 1616 F5IQJ         59  05       F6IGS         59  33
QSO:  3500 PH 2019-02-24 1618 F5IQJ         59  05       F6HSB         59  47
END-OF-LOG:

