START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: K4WW
LOCATION: KY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 35400
NAME: Shelby Summerville
OPERATORS: K4WW
CLUB: Kentucky Contest Group
CREATED-BY: N1MM Logger+ 1.0.7925.0
SOAPBOX: Activity, and efficiency of operators, exceeded my expectations.
QSO: 14083 DG 2019-08-31 1308 K4WW          EM78       KC3JNW        FN11
QSO: 14083 DG 2019-08-31 1309 K4WW          EM78       S51A          JN76
QSO: 14083 DG 2019-08-31 1311 K4WW          EM78       AA5AU         EL49
QSO: 14083 DG 2019-08-31 1314 K4WW          EM78       W3YA          FN10
QSO: 14083 DG 2019-08-31 1315 K4WW          EM78       K4JKB         FM17
QSO: 14083 DG 2019-08-31 1318 K4WW          EM78       WA3AAN        FN20
QSO: 14083 DG 2019-08-31 1319 K4WW          EM78       K1ST          FN41
QSO: 14083 DG 2019-08-31 1321 K4WW          EM78       AB1J          FN42
QSO: 14093 DG 2019-08-31 1331 K4WW          EM78       WA3EKL        FM19
QSO: 14093 DG 2019-08-31 1333 K4WW          EM78       M0CSD         IO94
QSO: 14093 DG 2019-08-31 1335 K4WW          EM78       AG5JW         EM40
QSO: 14093 DG 2019-08-31 1338 K4WW          EM78       VE1RSM        FN75
QSO: 14093 DG 2019-08-31 1343 K4WW          EM78       CT1ILT        IN50
QSO: 14093 DG 2019-08-31 1347 K4WW          EM78       CO2YQ         EL83
QSO: 14093 DG 2019-08-31 1359 K4WW          EM78       PA4O          JO33
QSO: 14083 DG 2019-08-31 1412 K4WW          EM78       K4XU          CN94
QSO: 14083 DG 2019-08-31 1413 K4WW          EM78       KG5RJ         EM12
QSO: 14083 DG 2019-08-31 1414 K4WW          EM78       NN5T          EM12
QSO: 14083 DG 2019-08-31 1705 K4WW          EM78       NW6P          CM87
QSO: 14083 DG 2019-08-31 1706 K4WW          EM78       WA7BNM        DM04
QSO: 14083 DG 2019-08-31 1706 K4WW          EM78       K7RL          CN88
QSO: 14083 DG 2019-08-31 1711 K4WW          EM78       EA6VQ         JM19
QSO: 14080 DG 2019-08-31 1713 K4WW          EM78       VE3CX         EN58
QSO: 14080 DG 2019-08-31 1716 K4WW          EM78       W6SX          DM07
QSO: 14080 DG 2019-08-31 1717 K4WW          EM78       KN0W          CN88
QSO: 14080 DG 2019-08-31 1720 K4WW          EM78       N6WM          CM97
QSO: 14080 DG 2019-08-31 1721 K4WW          EM78       NG7M          DN31
QSO: 14080 DG 2019-08-31 1722 K4WW          EM78       WT0DX         DM79
QSO: 14080 DG 2019-08-31 1724 K4WW          EM78       CO8IH         FL20
QSO: 14080 DG 2019-08-31 1725 K4WW          EM78       K6SRZ         CM88
QSO: 14080 DG 2019-08-31 1729 K4WW          EM78       K6UM          CN85
QSO: 14080 DG 2019-08-31 1730 K4WW          EM78       K2RD          DM09
QSO: 14083 DG 2019-08-31 1733 K4WW          EM78       VE6WQ         DO33
QSO: 14080 DG 2019-08-31 1735 K4WW          EM78       YW1K          FJ49
QSO: 14080 DG 2019-08-31 1735 K4WW          EM78       YW1K          FJ49
QSO: 14080 DG 2019-08-31 1737 K4WW          EM78       K7VIC         DN28
QSO: 14080 DG 2019-08-31 1738 K4WW          EM78       NN7SS         CN87
QSO: 14080 DG 2019-08-31 1740 K4WW          EM78       VA5KG         DO70
QSO: 14080 DG 2019-08-31 1742 K4WW          EM78       N7DED         CN88
QSO: 14080 DG 2019-08-31 1750 K4WW          EM78       W0QL          DM79
QSO: 14090 DG 2019-08-31 1758 K4WW          EM78       HB9CZF        JN47
QSO: 14090 DG 2019-08-31 1800 K4WW          EM78       IK3ASM        JN55
QSO: 14090 DG 2019-08-31 1802 K4WW          EM78       SP9MRP        JO90
QSO: 14090 DG 2019-08-31 1802 K4WW          EM78       SP9MRP        JO90
QSO: 14090 DG 2019-08-31 1803 K4WW          EM78       S57AW         JN76
QSO: 14090 DG 2019-08-31 1806 K4WW          EM78       IU4JIC        JN54
QSO: 14090 DG 2019-08-31 1811 K4WW          EM78       SV1AZL        KM17
QSO: 14090 DG 2019-08-31 1812 K4WW          EM78       EA8AQV        IL28
QSO: 14090 DG 2019-08-31 1814 K4WW          EM78       KZ6ZZ         EM78
QSO: 14090 DG 2019-08-31 1816 K4WW          EM78       KG5RJ         EM12
QSO: 14090 DG 2019-08-31 1817 K4WW          EM78       OT1A          JO10
QSO: 14089 DG 2019-08-31 1823 K4WW          EM78       IZ4OSH        JN54
QSO: 14090 DG 2019-08-31 1823 K4WW          EM78       IZ4OSH        JN54
QSO: 14090 DG 2019-08-31 1826 K4WW          EM78       IZ3XEF        JN55
QSO: 14093 DG 2019-08-31 1829 K4WW          EM78       ON2AD         JO21
QSO: 14093 DG 2019-08-31 1834 K4WW          EM78       K7STO         DN07
QSO: 14093 DG 2019-08-31 1835 K4WW          EM78       OK2EA         JN89
QSO: 14091 DG 2019-08-31 1842 K4WW          EM78       XE2PXN        DL64
QSO: 14093 DG 2019-08-31 1845 K4WW          EM78       PC1EMR        JO21
QSO: 14093 DG 2019-08-31 1848 K4WW          EM78       AI4WW         EL96
QSO: 14093 DG 2019-08-31 1849 K4WW          EM78       IT9GSF        JM67
QSO: 14093 DG 2019-08-31 1851 K4WW          EM78       KW6S          CM96
QSO: 14080 DG 2019-08-31 1858 K4WW          EM78       DL6ZBN        JO40
QSO: 14083 DG 2019-08-31 1859 K4WW          EM78       Z39A          KN11
QSO: 14080 DG 2019-08-31 1901 K4WW          EM78       NV6D          CN80
QSO: 14080 DG 2019-08-31 1901 K4WW          EM78       AJ4F          EL29
QSO: 14080 DG 2019-08-31 1902 K4WW          EM78       W6OAT         CN87
QSO: 14080 DG 2019-08-31 1903 K4WW          EM78       NA2NY         FN33
QSO: 14080 DG 2019-08-31 1904 K4WW          EM78       K1AR          FN42
QSO: 14080 DG 2019-08-31 1907 K4WW          EM78       EA7ZY         IM67
QSO: 14080 DG 2019-08-31 1908 K4WW          EM78       WC4E          FN42
QSO: 14080 DG 2019-08-31 1909 K4WW          EM78       WA8ZBT        EM12
QSO: 14080 DG 2019-08-31 1910 K4WW          EM78       W7CD          CN87
QSO: 14080 DG 2019-08-31 1913 K4WW          EM78       9A1A          JN85
QSO: 14080 DG 2019-08-31 1914 K4WW          EM78       K2YG          FN51
QSO: 14080 DG 2019-08-31 1916 K4WW          EM78       VO1CRP        GN37
QSO: 14080 DG 2019-08-31 1926 K4WW          EM78       K6XN          CM87
QSO: 14080 DG 2019-08-31 1927 K4WW          EM78       N4BP          EL96
QSO: 14080 DG 2019-08-31 1928 K4WW          EM78       AF6SA         CM98
QSO: 14080 DG 2019-08-31 1929 K4WW          EM78       N7NM          CN87
QSO: 14080 DG 2019-08-31 1931 K4WW          EM78       KF7F          DM37
QSO: 14083 DG 2019-08-31 1937 K4WW          EM78       KM6JD         DM26
QSO: 14083 DG 2019-08-31 1938 K4WW          EM78       K9MK          EM12
QSO: 14083 DG 2019-08-31 1939 K4WW          EM78       W7QL          DN40
QSO: 14080 DG 2019-08-31 1942 K4WW          EM78       K6TD          CM97
QSO: 14083 DG 2019-08-31 1942 K4WW          EM78       K6TD          CM97
QSO: 14083 DG 2019-08-31 1944 K4WW          EM78       KI6DY         EM17
QSO: 14083 DG 2019-08-31 1945 K4WW          EM78       W1JV          FN42
QSO: 14083 DG 2019-08-31 1946 K4WW          EM78       WE6Z          CM98
QSO: 14093 DG 2019-08-31 1954 K4WW          EM78       W7VHM         CN94
QSO: 14093 DG 2019-08-31 1955 K4WW          EM78       N0GOS         DN70
QSO: 14093 DG 2019-08-31 1958 K4WW          EM78       KE3KK         FN42
QSO: 14093 DG 2019-08-31 2000 K4WW          EM78       NT6F          CM87
QSO: 14093 DG 2019-08-31 2004 K4WW          EM78       CE7VPQ        FE36
QSO: 14091 DG 2019-08-31 2007 K4WW          EM78       YV4BCD        FK60
QSO: 14093 DG 2019-08-31 2007 K4WW          EM78       YV4BCD        FK60
QSO: 14093 DG 2019-08-31 2008 K4WW          EM78       9A1CBM        JN83
QSO: 14093 DG 2019-08-31 2009 K4WW          EM78       EA5IAG        IM97
QSO: 14093 DG 2019-08-31 2010 K4WW          EM78       YO3JF         KN34
QSO: 14093 DG 2019-08-31 2015 K4WW          EM78       W5BT          EM03
QSO: 14093 DG 2019-08-31 2019 K4WW          EM78       NZ5X          DM96
QSO: 14093 DG 2019-08-31 2021 K4WW          EM78       AE6JV         CM97
QSO: 14080 DG 2019-08-31 2032 K4WW          EM78       W5YF          EM12
QSO: 14080 DG 2019-08-31 2034 K4WW          EM78       NV6D          CN80
QSO: 14080 DG 2019-08-31 2035 K4WW          EM78       LX7I          JN29
QSO: 14080 DG 2019-08-31 2036 K4WW          EM78       WU9B          DM43
QSO:  7091 DG 2019-08-31 2209 K4WW          EM78       DH6BH         JO33
QSO:  7091 DG 2019-08-31 2212 K4WW          EM78       9A1A          JN85
QSO:  7091 DG 2019-08-31 2214 K4WW          EM78       WD4GBW        FM17
QSO:  7091 DG 2019-08-31 2215 K4WW          EM78       N7IVV         FM18
QSO:  7091 DG 2019-08-31 2216 K4WW          EM78       SQ3MZM        JO72
QSO:  7091 DG 2019-08-31 2219 K4WW          EM78       YO6BHN        KN25
QSO:  7091 DG 2019-08-31 2221 K4WW          EM78       ON4PB         JO20
QSO:  7091 DG 2019-08-31 2224 K4WW          EM78       EA8AQV        IL28
QSO:  7090 DG 2019-08-31 2230 K4WW          EM78       N3QE          FM19
QSO:  7090 DG 2019-08-31 2231 K4WW          EM78       AB4SF         FM17
QSO:  7090 DG 2019-08-31 2235 K4WW          EM78       AI0Y          EN34
QSO:  7083 DG 2019-08-31 2240 K4WW          EM78       N6MA          DM45
QSO:  7081 DG 2019-08-31 2246 K4WW          EM78       CO8RBD        FL10
QSO:  7083 DG 2019-08-31 2247 K4WW          EM78       8P2K          GK03
QSO:  7082 DG 2019-08-31 2249 K4WW          EM78       CT3KN         IM12
QSO:  7083 DG 2019-08-31 2253 K4WW          EM78       S51A          JN76
QSO:  7083 DG 2019-08-31 2253 K4WW          EM78       KN4GDX        FM18
QSO:  7083 DG 2019-08-31 2254 K4WW          EM78       AI3KS         FM19
QSO:  7083 DG 2019-08-31 2255 K4WW          EM78       W1HS          FN33
QSO:  7083 DG 2019-08-31 2255 K4WW          EM78       KG4W          FM17
QSO:  7083 DG 2019-08-31 2258 K4WW          EM78       S50B          JN65
QSO:  7083 DG 2019-08-31 2259 K4WW          EM78       OK2EA         JN89
QSO:  7083 DG 2019-08-31 2308 K4WW          EM78       K5JAZ         EM32
QSO:  7083 DG 2019-08-31 2318 K4WW          EM78       EA7GXD        IM76
QSO:  7093 DG 2019-08-31 2325 K4WW          EM78       CX5UA         GF26
QSO:  7093 DG 2019-08-31 2329 K4WW          EM78       W3PLS         FM29
QSO:  7083 DG 2019-08-31 2342 K4WW          EM78       NV6D          CN80
QSO:  7083 DG 2019-08-31 2343 K4WW          EM78       K4QD          EL98
QSO:  7083 DG 2019-08-31 2344 K4WW          EM78       N3FCP         FM29
QSO:  7083 DG 2019-08-31 2348 K4WW          EM78       NA3M          FM19
QSO:  7083 DG 2019-08-31 2348 K4WW          EM78       N1WW          FN32
QSO:  7083 DG 2019-08-31 2349 K4WW          EM78       IX1CLD        JN35
QSO:  7083 DG 2019-08-31 2354 K4WW          EM78       WA0I          EM39
QSO:  7083 DG 2019-09-01 0005 K4WW          EM78       CT1ILT        IN50
QSO:  7083 DG 2019-09-01 0007 K4WW          EM78       DF2SD         JO31
QSO:  7080 DG 2019-09-01 0011 K4WW          EM78       IT9CIL        JM77
QSO:  7083 DG 2019-09-01 0011 K4WW          EM78       IT9CIL        JM77
QSO:  7083 DG 2019-09-01 0013 K4WW          EM78       VE2EBK        FN46
QSO:  7083 DG 2019-09-01 0015 K4WW          EM78       DH8BQA        JO73
QSO:  7081 DG 2019-09-01 0016 K4WW          EM78       ZW5B          GG54
QSO:  3581 DG 2019-09-01 0656 K4WW          EM78       NA5NN         EM50
QSO:  3581 DG 2019-09-01 0656 K4WW          EM78       ZW5B          GG54
QSO:  3581 DG 2019-09-01 0657 K4WW          EM78       K3UA          EN90
QSO:  3582 DG 2019-09-01 0658 K4WW          EM78       K6TD          CM97
QSO:  3581 DG 2019-09-01 0658 K4WW          EM78       KA6BIM        CN73
QSO:  3582 DG 2019-09-01 0659 K4WW          EM78       KE5LQ         EL29
QSO:  3582 DG 2019-09-01 0708 K4WW          EM78       K7RL          CN88
QSO:  3582 DG 2019-09-01 0708 K4WW          EM78       K1JSM         FN41
QSO:  3581 DG 2019-09-01 0711 K4WW          EM78       KP4AJ         FK68
QSO:  3580 DG 2019-09-01 0712 K4WW          EM78       K6JDC         FM07
QSO:  7081 DG 2019-09-01 0719 K4WW          EM78       W0YK          CM97
QSO:  7080 DG 2019-09-01 0720 K4WW          EM78       CM8NMN        FK29
QSO:  7082 DG 2019-09-01 0721 K4WW          EM78       CM8NMN        FK29
QSO:  7081 DG 2019-09-01 0722 K4WW          EM78       N5WRX         EL17
QSO:  7081 DG 2019-09-01 0723 K4WW          EM78       K6JDC         FM07
QSO:  7081 DG 2019-09-01 0724 K4WW          EM78       WA3EKL        FM19
QSO:  7081 DG 2019-09-01 0725 K4WW          EM78       NA5NN         EM50
QSO:  7081 DG 2019-09-01 0726 K4WW          EM78       WA1FCN        EM63
QSO:  7081 DG 2019-09-01 0729 K4WW          EM78       CO8IH         FL20
QSO:  7081 DG 2019-09-01 0729 K4WW          EM78       EA8PT         IL38
QSO:  7081 DG 2019-09-01 0731 K4WW          EM78       CO8IH         FL20
QSO:  7081 DG 2019-09-01 0734 K4WW          EM78       VK3BDX        QF21
QSO:  7081 DG 2019-09-01 0743 K4WW          EM78       AA3B          FN20
QSO:  7080 DG 2019-09-01 0747 K4WW          EM78       ZL2RX         RE68
QSO:  7082 DG 2019-09-01 0747 K4WW          EM78       ZL2RX         RE68
QSO:  7081 DG 2019-09-01 0748 K4WW          EM78       AF6SA         CM98
QSO:  7081 DG 2019-09-01 0748 K4WW          EM78       NB6Q          CM97
QSO:  3581 DG 2019-09-01 0802 K4WW          EM78       W7CD          CN87
QSO:  3581 DG 2019-09-01 0803 K4WW          EM78       W7EW          CN84
QSO:  3581 DG 2019-09-01 0804 K4WW          EM78       N6GP          DM13
QSO:  3581 DG 2019-09-01 0806 K4WW          EM78       W0YK          CM97
QSO:  3581 DG 2019-09-01 0807 K4WW          EM78       K4RO          EM66
QSO:  3580 DG 2019-09-01 0809 K4WW          EM78       NG7M          DN31
QSO:  3581 DG 2019-09-01 0809 K4WW          EM78       NG7M          DN31
QSO:  3580 DG 2019-09-01 0813 K4WW          EM78       W6OAT         CN87
QSO:  3581 DG 2019-09-01 0813 K4WW          EM78       W6OAT         CN87
QSO:  3581 DG 2019-09-01 0816 K4WW          EM78       K7HKR         DM34
QSO:  3581 DG 2019-09-01 0817 K4WW          EM78       AB1HL         RR99
QSO:  3581 DG 2019-09-01 0818 K4WW          EM78       KH6TU         BL10
QSO:  3582 DG 2019-09-01 0819 K4WW          EM78       VK3BDX        QF21
QSO:  1840 DG 2019-09-01 0826 K4WW          EM78       W5KDJ         EM20
QSO:  1841 DG 2019-09-01 0826 K4WW          EM78       W5KDJ         EM20
QSO:  1841 DG 2019-09-01 0827 K4WW          EM78       WA3EKL        FM19
QSO:  1841 DG 2019-09-01 0830 K4WW          EM78       KT1TK         FN42
QSO:  1841 DG 2019-09-01 0831 K4WW          EM78       NA5NN         EM50
QSO:  1841 DG 2019-09-01 0834 K4WW          EM78       W6SX          DM07
QSO:  1841 DG 2019-09-01 0837 K4WW          EM78       W9PA          EN60
QSO:  1841 DG 2019-09-01 0840 K4WW          EM78       AA3B          FN20
QSO:  1841 DG 2019-09-01 0843 K4WW          EM78       K1SFA         FN32
QSO:  1841 DG 2019-09-01 0844 K4WW          EM78       W8DC          EN72
QSO:  1841 DG 2019-09-01 0847 K4WW          EM78       W3KB          FN10
QSO:  1841 DG 2019-09-01 0849 K4WW          EM78       WB5BHS        EM35
QSO:  1841 DG 2019-09-01 0850 K4WW          EM78       KA6BIM        CN73
QSO:  1841 DG 2019-09-01 0853 K4WW          EM78       WU6W          DM09
QSO:  1841 DG 2019-09-01 0857 K4WW          EM78       XE2BY         DM12
QSO:  1840 DG 2019-09-01 0858 K4WW          EM78       W0YK          CM97
QSO:  1841 DG 2019-09-01 0858 K4WW          EM78       W0YK          CM97
QSO:  1841 DG 2019-09-01 0901 K4WW          EM78       VE3MGY        EN92
QSO:  1841 DG 2019-09-01 0904 K4WW          EM78       HK3W          FJ34
QSO:  3580 DG 2019-09-01 0912 K4WW          EM78       KG4W          FM17
QSO:  3580 DG 2019-09-01 0913 K4WW          EM78       W2FDJ         FM29
QSO:  3580 DG 2019-09-01 0914 K4WW          EM78       AA5AU         EL49
QSO:  3580 DG 2019-09-01 0914 K4WW          EM78       W3KB          FN10
QSO:  3580 DG 2019-09-01 0915 K4WW          EM78       AI9T          EM69
QSO:  3582 DG 2019-09-01 0917 K4WW          EM78       LU4FM         FF97
QSO:  3580 DG 2019-09-01 0917 K4WW          EM78       LU4FM         FF97
QSO:  3580 DG 2019-09-01 0919 K4WW          EM78       WU6W          DM09
QSO:  3580 DG 2019-09-01 0922 K4WW          EM78       K3UL          FN11
QSO:  3580 DG 2019-09-01 0922 K4WW          EM78       K3UL          FN11
QSO:  3580 DG 2019-09-01 0923 K4WW          EM78       N1WW          FN32
QSO:  3580 DG 2019-09-01 0924 K4WW          EM78       N1WW          FN32
QSO:  3580 DG 2019-09-01 0927 K4WW          EM78       VE2SCA        FN35
QSO:  3580 DG 2019-09-01 0927 K4WW          EM78       NN5T          EM12
QSO:  3580 DG 2019-09-01 0927 K4WW          EM78       NN5T          EM12
QSO:  3580 DG 2019-09-01 0930 K4WW          EM78       WK6I          CM98
QSO:  3580 DG 2019-09-01 0931 K4WW          EM78       W2HUV         FM29
QSO:  3580 DG 2019-09-01 0932 K4WW          EM78       AA3B          FN20
QSO:  3581 DG 2019-09-01 1005 K4WW          EM78       WA3EKL        FM19
QSO:  3581 DG 2019-09-01 1008 K4WW          EM78       VE3CV         EN93
QSO:  3581 DG 2019-09-01 1008 K4WW          EM78       K1BZ          FM19
QSO:  3581 DG 2019-09-01 1009 K4WW          EM78       NA3M          FM19
QSO:  3581 DG 2019-09-01 1011 K4WW          EM78       W3RGA         FN10
QSO:  3581 DG 2019-09-01 1012 K4WW          EM78       N4AU          EM62
QSO:  3581 DG 2019-09-01 1014 K4WW          EM78       WB5BHS        EM35
QSO:  3581 DG 2019-09-01 1014 K4WW          EM78       VE3MGY        EN92
QSO:  3581 DG 2019-09-01 1021 K4WW          EM78       AA5JF         EM83
QSO:  3581 DG 2019-09-01 1022 K4WW          EM78       N3QE          FM19
QSO:  3581 DG 2019-09-01 1024 K4WW          EM78       WX4W          EM78
QSO:  3581 DG 2019-09-01 1025 K4WW          EM78       K1HTV         FM18
QSO:  3581 DG 2019-09-01 1027 K4WW          EM78       N9UDO         EN53
QSO:  3581 DG 2019-09-01 1027 K4WW          EM78       K1JT          FN20
QSO:  3581 DG 2019-09-01 1028 K4WW          EM78       KF7F          DM37
QSO:  3581 DG 2019-09-01 1029 K4WW          EM78       AG2J          FM29
QSO:  3581 DG 2019-09-01 1032 K4WW          EM78       WR4K          EM73
QSO:  3581 DG 2019-09-01 1033 K4WW          EM78       KQ4AV         FM06
QSO:  3581 DG 2019-09-01 1034 K4WW          EM78       N7ZZ          EN64
QSO:  3581 DG 2019-09-01 1035 K4WW          EM78       WA6POZ        EM70
QSO:  3581 DG 2019-09-01 1037 K4WW          EM78       K1SFA         FN32
QSO:  3581 DG 2019-09-01 1037 K4WW          EM78       W8DC          EN72
QSO:  3581 DG 2019-09-01 1038 K4WW          EM78       NU1T          FN42
QSO:  3581 DG 2019-09-01 1040 K4WW          EM78       W5BT          EM03
QSO:  3581 DG 2019-09-01 1043 K4WW          EM78       WC4E          FN42
QSO:  3581 DG 2019-09-01 1044 K4WW          EM78       K1OYQ         EM83
QSO:  3581 DG 2019-09-01 1045 K4WW          EM78       KV4ZY         EN91
QSO:  3581 DG 2019-09-01 1046 K4WW          EM78       K4RUM         FN30
QSO:  3581 DG 2019-09-01 1047 K4WW          EM78       NN4SS         EM94
QSO:  3581 DG 2019-09-01 1049 K4WW          EM78       N8HMG         EN91
QSO:  3581 DG 2019-09-01 1050 K4WW          EM78       NF3R          FN20
QSO:  3581 DG 2019-09-01 1051 K4WW          EM78       N3CKI         FM03
QSO:  3581 DG 2019-09-01 1053 K4WW          EM78       WA3RGY        FM29
QSO:  7081 DG 2019-09-01 1101 K4WW          EM78       AG2J          FM29
QSO:  7081 DG 2019-09-01 1103 K4WW          EM78       VO1CRP        GN37
QSO:  7081 DG 2019-09-01 1104 K4WW          EM78       AB1HL         RR99
QSO:  7081 DG 2019-09-01 1104 K4WW          EM78       K1AR          FN42
QSO:  7081 DG 2019-09-01 1105 K4WW          EM78       AI9T          EM69
QSO:  7081 DG 2019-09-01 1108 K4WW          EM78       K3SSS         FN54
QSO:  7081 DG 2019-09-01 1110 K4WW          EM78       VE3UTT        FN04
QSO:  7081 DG 2019-09-01 1111 K4WW          EM78       VE1RSM        FN75
QSO:  7081 DG 2019-09-01 1115 K4WW          EM78       K4SBZ         EM70
QSO:  7081 DG 2019-09-01 1118 K4WW          EM78       WX4W          EM78
QSO:  7081 DG 2019-09-01 1118 K4WW          EM78       KT9L          EM69
QSO:  7081 DG 2019-09-01 1119 K4WW          EM78       WC4E          FN42
QSO:  7081 DG 2019-09-01 1122 K4WW          EM78       WB8JUI        EN81
QSO:  7081 DG 2019-09-01 1123 K4WW          EM78       NJ2F          EL96
QSO:  7081 DG 2019-09-01 1125 K4WW          EM78       N9WG          EM69
QSO:  7081 DG 2019-09-01 1128 K4WW          EM78       W8KVK         EM89
QSO:  7081 DG 2019-09-01 1129 K4WW          EM78       N3CKI         FM03
QSO:  7081 DG 2019-09-01 1130 K4WW          EM78       W1OP          FN41
QSO:  7080 DG 2019-09-01 1136 K4WW          EM78       W2HUV         FM29
QSO:  7081 DG 2019-09-01 1136 K4WW          EM78       W2HUV         FM29
QSO:  7081 DG 2019-09-01 1137 K4WW          EM78       KQ4AV         FM06
QSO:  7080 DG 2019-09-01 1140 K4WW          EM78       VK5WU         PF95
QSO:  7081 DG 2019-09-01 1140 K4WW          EM78       VK5WU         PF95
QSO:  7083 DG 2019-09-01 1143 K4WW          EM78       K0AD          EN35
QSO:  7081 DG 2019-09-01 1146 K4WW          EM78       VA3PC         FN06
QSO:  7081 DG 2019-09-01 1147 K4WW          EM78       VK3TNL        QF31
QSO:  7081 DG 2019-09-01 1148 K4WW          EM78       VK3TNL        QF31
QSO:  7080 DG 2019-09-01 1154 K4WW          EM78       CO8WN         FL20
QSO:  7080 DG 2019-09-01 1157 K4WW          EM78       K8GI          EN91
QSO:  7082 DG 2019-09-01 1159 K4WW          EM78       NF3R          FN20
END-OF-LOG:
