START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: DL2DCX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 17010
NAME: Marcus Engelmann
OPERATORS: DL2DCX
CLUB: RHEIN RUHR DX ASSOCIATION
CREATED-BY: N1MM Logger+ 1.0.7925.0
SOAPBOX: Nice contest. See you next year. 73!
QSO:  7082 DG 2019-08-31 1502 DL2DCX        JO31       SQ8W          KN09
QSO:  7082 DG 2019-08-31 1506 DL2DCX        JO31       HB9DHG        JN46
QSO:  7082 DG 2019-08-31 1509 DL2DCX        JO31       YO3JW         KN35
QSO:  7082 DG 2019-08-31 1509 DL2DCX        JO31       SP2MKT        JO83
QSO:  7081 DG 2019-08-31 1510 DL2DCX        JO31       G0RPM         IO91
QSO:  7082 DG 2019-08-31 1511 DL2DCX        JO31       3Z0X          KO03
QSO:  7083 DG 2019-08-31 1514 DL2DCX        JO31       HB0WR         JN47
QSO:  7081 DG 2019-08-31 1515 DL2DCX        JO31       F5RD          JN16
QSO:  7082 DG 2019-08-31 1516 DL2DCX        JO31       SP5DL         KO02
QSO: 14083 DG 2019-08-31 1519 DL2DCX        JO31       EA6VQ         JM19
QSO:  7081 DG 2019-08-31 1527 DL2DCX        JO31       S57YK         JN65
QSO:  7081 DG 2019-08-31 1529 DL2DCX        JO31       IX1CLD        JN35
QSO:  7081 DG 2019-08-31 1530 DL2DCX        JO31       IU4DTV        JN54
QSO:  7082 DG 2019-08-31 1532 DL2DCX        JO31       US7KC         KO21
QSO:  7081 DG 2019-08-31 1532 DL2DCX        JO31       LX7I          JN29
QSO: 14085 DG 2019-08-31 1541 DL2DCX        JO31       SP2FOV        JO94
QSO: 14084 DG 2019-08-31 1543 DL2DCX        JO31       OH2LU         KP20
QSO: 14084 DG 2019-08-31 1544 DL2DCX        JO31       YU5R          KN04
QSO: 14083 DG 2019-08-31 1545 DL2DCX        JO31       YO6BHN        KN25
QSO: 14083 DG 2019-08-31 1546 DL2DCX        JO31       9A2JK         JN86
QSO: 14083 DG 2019-08-31 1549 DL2DCX        JO31       S50R          JN76
QSO: 14084 DG 2019-08-31 1550 DL2DCX        JO31       SP5DL         KO02
QSO:  7082 DG 2019-08-31 1555 DL2DCX        JO31       UW5EKD        KN78
QSO:  7081 DG 2019-08-31 1558 DL2DCX        JO31       IZ4OSH        JN54
QSO:  7081 DG 2019-08-31 1600 DL2DCX        JO31       UX1CN         KN59
QSO:  7081 DG 2019-08-31 1602 DL2DCX        JO31       ON4PB         JO20
QSO:  7081 DG 2019-08-31 1603 DL2DCX        JO31       PA0PIW        JO22
QSO:  7081 DG 2019-08-31 1603 DL2DCX        JO31       ER4DX         KN38
QSO:  7082 DG 2019-08-31 1604 DL2DCX        JO31       IK3SSJ        JN55
QSO:  7082 DG 2019-08-31 1606 DL2DCX        JO31       S53X          JN65
QSO:  7081 DG 2019-08-31 1606 DL2DCX        JO31       OR3A          JO21
QSO:  7082 DG 2019-08-31 1651 DL2DCX        JO31       OG8T          KP24
QSO:  7082 DG 2019-08-31 1652 DL2DCX        JO31       S55OO         JN76
QSO:  7082 DG 2019-08-31 1652 DL2DCX        JO31       IK3ORD        JN55
QSO:  7082 DG 2019-08-31 1653 DL2DCX        JO31       IK2SAR        JN55
QSO:  7082 DG 2019-08-31 1654 DL2DCX        JO31       UA6CE         LN05
QSO:  7083 DG 2019-08-31 1655 DL2DCX        JO31       DL4MCA        JN58
QSO:  7081 DG 2019-08-31 1657 DL2DCX        JO31       OH8WW         KP24
QSO:  7082 DG 2019-08-31 1659 DL2DCX        JO31       SP7O          KO00
QSO:  3581 DG 2019-08-31 1700 DL2DCX        JO31       9A1A          JN85
QSO:  3582 DG 2019-08-31 1700 DL2DCX        JO31       SP5DL         KO02
QSO: 14083 DG 2019-08-31 1704 DL2DCX        JO31       EA3FHP        JN11
QSO: 14085 DG 2019-08-31 1706 DL2DCX        JO31       EI5KO         IO63
QSO: 14085 DG 2019-08-31 1706 DL2DCX        JO31       VP8LP         GD18
QSO: 14084 DG 2019-08-31 1708 DL2DCX        JO31       DL3YCX        JO32
QSO: 14084 DG 2019-08-31 1709 DL2DCX        JO31       GW0KRL        IO73
QSO: 14082 DG 2019-08-31 1711 DL2DCX        JO31       HB9TOC        JN46
QSO: 14082 DG 2019-08-31 1714 DL2DCX        JO31       LC6C          JP20
QSO: 14081 DG 2019-08-31 1716 DL2DCX        JO31       G3YBO         IO93
QSO: 14082 DG 2019-08-31 1717 DL2DCX        JO31       HA6NN         JN98
QSO: 14081 DG 2019-08-31 1718 DL2DCX        JO31       P33W          KM65
QSO: 14081 DG 2019-08-31 1720 DL2DCX        JO31       9A1A          JN85
QSO: 14082 DG 2019-08-31 1721 DL2DCX        JO31       OM7JG         JN98
QSO: 14083 DG 2019-08-31 1723 DL2DCX        JO31       S51A          JN76
QSO:  7080 DG 2019-08-31 1726 DL2DCX        JO31       OH3OJ         KP10
QSO:  7081 DG 2019-08-31 1728 DL2DCX        JO31       M0ICR         IO91
QSO:  7081 DG 2019-08-31 1730 DL2DCX        JO31       SP1DOZ        JO73
QSO:  7080 DG 2019-08-31 1731 DL2DCX        JO31       UA6LJX        KN97
QSO: 14083 DG 2019-08-31 1732 DL2DCX        JO31       S57YK         JN65
QSO: 14083 DG 2019-08-31 1735 DL2DCX        JO31       LX7I          JN29
QSO: 14083 DG 2019-08-31 1736 DL2DCX        JO31       EA7ZY         IM67
QSO:  7080 DG 2019-08-31 1743 DL2DCX        JO31       9A2EU         JN75
QSO:  7083 DG 2019-08-31 1744 DL2DCX        JO31       S50B          JN65
QSO:  7082 DG 2019-08-31 1748 DL2DCX        JO31       DL1FCU        JN49
QSO:  7082 DG 2019-08-31 1751 DL2DCX        JO31       UT5YY         KN28
QSO: 14083 DG 2019-08-31 1756 DL2DCX        JO31       OZ1DSD        JO45
QSO: 14083 DG 2019-08-31 1802 DL2DCX        JO31       K1DG          FN43
QSO: 14083 DG 2019-08-31 1803 DL2DCX        JO31       SP2MKI        JO93
QSO: 14083 DG 2019-08-31 1804 DL2DCX        JO31       G3RIK         IO83
QSO: 14083 DG 2019-08-31 1805 DL2DCX        JO31       OZ1ADL        JO46
QSO: 14081 DG 2019-08-31 1810 DL2DCX        JO31       SV5DKL        KM46
QSO:  7080 DG 2019-08-31 1814 DL2DCX        JO31       DM7CW         JO43
QSO:  7082 DG 2019-08-31 1817 DL2DCX        JO31       IT9CIL        JM77
QSO:  7082 DG 2019-08-31 1819 DL2DCX        JO31       YO3GNF        KN34
QSO:  7081 DG 2019-08-31 1821 DL2DCX        JO31       S57AM         JN66
QSO:  7081 DG 2019-08-31 1821 DL2DCX        JO31       M0BEW         IO82
QSO:  7080 DG 2019-08-31 1823 DL2DCX        JO31       YO7CVL        KN24
QSO:  7081 DG 2019-08-31 1826 DL2DCX        JO31       HB9DDO        JN47
QSO:  7082 DG 2019-08-31 1830 DL2DCX        JO31       UA9MA         MO64
QSO:  7082 DG 2019-08-31 1834 DL2DCX        JO31       IK4LZH        JN54
QSO:  7083 DG 2019-08-31 1835 DL2DCX        JO31       IS0HNW        JN40
QSO:  7081 DG 2019-08-31 1835 DL2DCX        JO31       R7CT          KN95
QSO: 14082 DG 2019-08-31 1843 DL2DCX        JO31       LY2J          KO14
QSO: 14083 DG 2019-08-31 1844 DL2DCX        JO31       G0SOR         IO91
QSO: 14081 DG 2019-08-31 1845 DL2DCX        JO31       RV3ZN         KO81
QSO: 14082 DG 2019-08-31 1847 DL2DCX        JO31       2E0RUS        IO91
QSO: 14081 DG 2019-08-31 1848 DL2DCX        JO31       G3RLE         IO83
QSO: 14082 DG 2019-08-31 1850 DL2DCX        JO31       2E1ADT        IO70
QSO: 14082 DG 2019-08-31 1853 DL2DCX        JO31       ER4DX         KN38
QSO: 14081 DG 2019-08-31 1854 DL2DCX        JO31       G0HDV         IO93
QSO: 14084 DG 2019-08-31 1858 DL2DCX        JO31       M0IEP         IO91
QSO: 14085 DG 2019-08-31 1859 DL2DCX        JO31       N8CWU         EM89
QSO: 14084 DG 2019-08-31 1901 DL2DCX        JO31       PA4O          JO33
QSO: 14082 DG 2019-08-31 1902 DL2DCX        JO31       M0KKM         JO02
QSO: 14082 DG 2019-08-31 1903 DL2DCX        JO31       OH4KA         KP20
QSO: 14084 DG 2019-08-31 1904 DL2DCX        JO31       OE7DMT        JN67
QSO: 14084 DG 2019-08-31 1905 DL2DCX        JO31       IK3ORD        JN55
QSO: 14083 DG 2019-08-31 1907 DL2DCX        JO31       G0ORH         IO91
QSO: 14085 DG 2019-08-31 1909 DL2DCX        JO31       HB0WR         JN47
QSO: 14083 DG 2019-08-31 1913 DL2DCX        JO31       MI3RLA        IO74
QSO:  7080 DG 2019-08-31 1917 DL2DCX        JO31       OH1NOA        KP01
QSO:  7082 DG 2019-08-31 1918 DL2DCX        JO31       CT3KN         IM12
QSO:  7083 DG 2019-08-31 1924 DL2DCX        JO31       DL5RK         JN68
QSO:  7082 DG 2019-08-31 1926 DL2DCX        JO31       G0HDV         IO93
QSO:  7083 DG 2019-08-31 1929 DL2DCX        JO31       PB7Z          JO32
QSO:  7083 DG 2019-08-31 1931 DL2DCX        JO31       ZL2RX         RE68
QSO:  7084 DG 2019-08-31 1935 DL2DCX        JO31       OM7JG         JN98
QSO: 14081 DG 2019-08-31 1948 DL2DCX        JO31       N6EE          FN22
QSO: 14083 DG 2019-08-31 1951 DL2DCX        JO31       VE2DSB        FN35
QSO: 14082 DG 2019-08-31 1959 DL2DCX        JO31       M0FLF         IO93
QSO: 14081 DG 2019-08-31 2006 DL2DCX        JO31       S56A          JN76
QSO:  3581 DG 2019-08-31 2008 DL2DCX        JO31       HB9DHG        JN46
QSO: 14082 DG 2019-08-31 2009 DL2DCX        JO31       S59X          JN66
QSO: 14082 DG 2019-08-31 2011 DL2DCX        JO31       G4CTY         JO01
QSO: 14081 DG 2019-08-31 2013 DL2DCX        JO31       CX3AL         GF15
QSO: 14080 DG 2019-08-31 2026 DL2DCX        JO31       EA8PT         IL38
QSO: 14083 DG 2019-08-31 2027 DL2DCX        JO31       YW1K          FJ49
QSO: 14084 DG 2019-08-31 2029 DL2DCX        JO31       G3WPH         IO91
QSO: 14082 DG 2019-08-31 2046 DL2DCX        JO31       YV6BXN        FK60
QSO: 14083 DG 2019-08-31 2104 DL2DCX        JO31       EA3KU         JN00
QSO:  7082 DG 2019-08-31 2247 DL2DCX        JO31       K1SFA         FN32
QSO:  7081 DG 2019-08-31 2247 DL2DCX        JO31       EA3KU         JN00
QSO:  7082 DG 2019-08-31 2250 DL2DCX        JO31       K4QD          EL98
QSO:  7081 DG 2019-08-31 2251 DL2DCX        JO31       ZW5B          GG54
QSO:  7081 DG 2019-08-31 2253 DL2DCX        JO31       N6EE          FN22
QSO:  7082 DG 2019-08-31 2258 DL2DCX        JO31       W1OP          FN41
QSO:  7081 DG 2019-08-31 2300 DL2DCX        JO31       K1AR          FN42
QSO:  7084 DG 2019-08-31 2306 DL2DCX        JO31       N3XL          FM18
QSO:  3585 DG 2019-08-31 2312 DL2DCX        JO31       CT3KN         IM12
QSO:  3585 DG 2019-08-31 2314 DL2DCX        JO31       HB9BUN        JN47
QSO:  3585 DG 2019-08-31 2315 DL2DCX        JO31       S55OO         JN76
QSO:  3585 DG 2019-08-31 2316 DL2DCX        JO31       PA4O          JO33
QSO:  3586 DG 2019-08-31 2318 DL2DCX        JO31       W1UE          FN41
QSO:  3585 DG 2019-08-31 2319 DL2DCX        JO31       DL5RK         JN68
QSO:  3585 DG 2019-08-31 2320 DL2DCX        JO31       I3VJW         JN55
QSO:  3584 DG 2019-08-31 2323 DL2DCX        JO31       OZ2ABI        JO46
QSO:  3585 DG 2019-08-31 2326 DL2DCX        JO31       UA6CE         LN05
QSO:  3585 DG 2019-08-31 2330 DL2DCX        JO31       KG4W          FM17
QSO:  3584 DG 2019-08-31 2332 DL2DCX        JO31       DH6BH         JO33
QSO:  3586 DG 2019-08-31 2333 DL2DCX        JO31       DF2LH         JO53
QSO:  3586 DG 2019-08-31 2334 DL2DCX        JO31       DK8ZZ         JO30
QSO:  7082 DG 2019-08-31 2344 DL2DCX        JO31       K3WW          FN20
QSO:  3584 DG 2019-09-01 0001 DL2DCX        JO31       PB7Z          JO32
QSO:  3584 DG 2019-09-01 0001 DL2DCX        JO31       M0ICR         IO91
QSO:  3585 DG 2019-09-01 0003 DL2DCX        JO31       SP2V          JO94
QSO:  3584 DG 2019-09-01 0003 DL2DCX        JO31       S57AM         JN66
QSO:  3584 DG 2019-09-01 0005 DL2DCX        JO31       S51A          JN76
QSO:  3584 DG 2019-09-01 0005 DL2DCX        JO31       CM8NMN        FK29
QSO:  3584 DG 2019-09-01 0007 DL2DCX        JO31       IK4LZH        JN54
QSO:  3584 DG 2019-09-01 0007 DL2DCX        JO31       YT5YTT        JN94
QSO:  3585 DG 2019-09-01 0008 DL2DCX        JO31       IK8IOO        JM88
QSO:  3584 DG 2019-09-01 0011 DL2DCX        JO31       R2IN          KO76
QSO:  3584 DG 2019-09-01 0011 DL2DCX        JO31       N1WW          FN32
QSO:  7083 DG 2019-09-01 0017 DL2DCX        JO31       KA2KON        FN43
QSO:  7083 DG 2019-09-01 0019 DL2DCX        JO31       YO4DFT        KN44
QSO:  7083 DG 2019-09-01 0020 DL2DCX        JO31       K3AJ          FM19
QSO:  7083 DG 2019-09-01 0034 DL2DCX        JO31       NA5NN         EM50
QSO:  7083 DG 2019-09-01 0040 DL2DCX        JO31       CT1ILT        IN50
QSO:  3582 DG 2019-09-01 0357 DL2DCX        JO31       M6ENP         IO84
QSO:  3581 DG 2019-09-01 0358 DL2DCX        JO31       G3RIK         IO83
QSO:  3581 DG 2019-09-01 0400 DL2DCX        JO31       N3QE          FM19
QSO:  3582 DG 2019-09-01 0401 DL2DCX        JO31       ON7BJ         JO21
QSO:  3581 DG 2019-09-01 0402 DL2DCX        JO31       IK3OGN        JN55
QSO:  3581 DG 2019-09-01 0403 DL2DCX        JO31       S53X          JN65
QSO:  7081 DG 2019-09-01 0408 DL2DCX        JO31       RW7M          KN97
QSO:  7082 DG 2019-09-01 0414 DL2DCX        JO31       UY5VA         KN87
QSO:  7082 DG 2019-09-01 0417 DL2DCX        JO31       YO9HP         KN35
QSO:  7082 DG 2019-09-01 0420 DL2DCX        JO31       YL1ZF         KO27
QSO:  3581 DG 2019-09-01 0426 DL2DCX        JO31       KP4AJ         FK68
QSO:  3582 DG 2019-09-01 0429 DL2DCX        JO31       WA3EKL        FM19
QSO:  3581 DG 2019-09-01 0433 DL2DCX        JO31       W3RGA         FN10
QSO:  3581 DG 2019-09-01 0435 DL2DCX        JO31       G3WPH         IO91
QSO:  3582 DG 2019-09-01 0439 DL2DCX        JO31       G0ORH         IO91
QSO:  3582 DG 2019-09-01 0441 DL2DCX        JO31       DB1BW         JO62
QSO:  3582 DG 2019-09-01 0444 DL2DCX        JO31       DL3YCX        JO32
QSO:  3582 DG 2019-09-01 0446 DL2DCX        JO31       M3ECT         IO83
QSO:  3581 DG 2019-09-01 0447 DL2DCX        JO31       OE4WWL        JN87
QSO:  3581 DG 2019-09-01 0447 DL2DCX        JO31       SM4DQE        JP70
QSO:  3581 DG 2019-09-01 0458 DL2DCX        JO31       LA6CF         JO49
QSO:  3582 DG 2019-09-01 0459 DL2DCX        JO31       DM5EL         JO61
QSO:  3582 DG 2019-09-01 0500 DL2DCX        JO31       IX1CLD        JN35
QSO:  3581 DG 2019-09-01 0504 DL2DCX        JO31       SP2MKI        JO93
QSO:  3581 DG 2019-09-01 0505 DL2DCX        JO31       AA3B          FN20
QSO:  7082 DG 2019-09-01 0511 DL2DCX        JO31       IZ4JMA        JN54
QSO:  7082 DG 2019-09-01 0512 DL2DCX        JO31       AA3B          FN20
QSO:  7081 DG 2019-09-01 0513 DL2DCX        JO31       S50VZZ        JN76
QSO:  7081 DG 2019-09-01 0515 DL2DCX        JO31       ES6DO         KO27
QSO:  3581 DG 2019-09-01 0533 DL2DCX        JO31       ON3CQ         JO21
QSO:  3582 DG 2019-09-01 0534 DL2DCX        JO31       M0IHT         IO80
QSO:  3582 DG 2019-09-01 0536 DL2DCX        JO31       G3TXF         IO91
QSO:  3581 DG 2019-09-01 0538 DL2DCX        JO31       PA0PIW        JO22
QSO:  3582 DG 2019-09-01 0540 DL2DCX        JO31       MM0EAX        IO89
QSO:  3582 DG 2019-09-01 0542 DL2DCX        JO31       G2U           IO91
QSO:  7081 DG 2019-09-01 0616 DL2DCX        JO31       EA3FHP        JN11
QSO:  7082 DG 2019-09-01 0617 DL2DCX        JO31       YO7DBR        KN24
QSO:  7081 DG 2019-09-01 0621 DL2DCX        JO31       YU5R          KN04
QSO:  7081 DG 2019-09-01 0624 DL2DCX        JO31       G2U           IO91
QSO:  7082 DG 2019-09-01 0626 DL2DCX        JO31       LC6C          JP20
QSO: 14082 DG 2019-09-01 0633 DL2DCX        JO31       E73Y          JN93
QSO: 14080 DG 2019-09-01 0636 DL2DCX        JO31       G3TKK         IO83
QSO: 14080 DG 2019-09-01 0637 DL2DCX        JO31       TR8CA         JJ40
QSO: 14082 DG 2019-09-01 0642 DL2DCX        JO31       UC4I          LO43
QSO: 14082 DG 2019-09-01 0645 DL2DCX        JO31       UA6CE         LN05
QSO: 14082 DG 2019-09-01 0646 DL2DCX        JO31       M6ENP         IO84
QSO: 14081 DG 2019-09-01 0648 DL2DCX        JO31       IS0GRB        JM49
QSO:  7082 DG 2019-09-01 0655 DL2DCX        JO31       2E0CVN        IO80
QSO:  7082 DG 2019-09-01 0656 DL2DCX        JO31       ES5RY         KO38
QSO:  7082 DG 2019-09-01 0657 DL2DCX        JO31       SP9UNX        JN99
QSO:  7081 DG 2019-09-01 0658 DL2DCX        JO31       EA8PT         IL38
QSO:  7083 DG 2019-09-01 0659 DL2DCX        JO31       YL3FW         KO06
QSO: 14081 DG 2019-09-01 0704 DL2DCX        JO31       LY1R          KO14
QSO: 14083 DG 2019-09-01 0737 DL2DCX        JO31       EA6ZS         JM19
QSO: 14083 DG 2019-09-01 0738 DL2DCX        JO31       YL3FW         KO06
QSO: 14083 DG 2019-09-01 0739 DL2DCX        JO31       RW0A          NO66
QSO:  7082 DG 2019-09-01 0749 DL2DCX        JO31       I2SVA         JN45
QSO:  7081 DG 2019-09-01 0750 DL2DCX        JO31       IX1AMY        JN35
QSO:  7081 DG 2019-09-01 0759 DL2DCX        JO31       G0JEI         IO93
QSO:  7082 DG 2019-09-01 0800 DL2DCX        JO31       EI9HSB        IO63
END-OF-LOG:
