START-OF-LOG: 2.0
REF-SECTION: DX
CONTEST: REF-SSB
CALLSIGN: OE6HLF
CATEGORY: SINGLE-OP ALL LOW 
CLAIMED-SCORE: 24278
CREATED-BY: UcxLog 6.70
NAME: Ackerl Bernhard
SOAPBOX: All QSOs with Indoor antennas, 100w, Good Contest, 73s
QSO: 14000 PH 2011-02-26 1021 OE6HLF        59  054    TM2B          59  03
QSO: 14000 PH 2011-02-26 1022 OE6HLF        59  055    F4EJW         59  29
QSO: 14000 PH 2011-02-26 1026 OE6HLF        59  056    F6KLO         59  19
QSO: 14000 PH 2011-02-26 1027 OE6HLF        59  057    F5MNC         59  41
QSO: 14000 PH 2011-02-26 1031 OE6HLF        59  058    F5OHM         59  36
QSO: 14000 PH 2011-02-26 1033 OE6HLF        59  059    F6BUL/P       59  73
QSO: 14000 PH 2011-02-26 1037 OE6HLF        59  060    F4FFH         59  50
QSO: 14000 PH 2011-02-26 1040 OE6HLF        59  061    F6KRC         59  35
QSO: 14000 PH 2011-02-26 1044 OE6HLF        59  062    F6KFI         59  72
QSO: 14000 PH 2011-02-26 1052 OE6HLF        59  063    F6BSZ/P       59  14
QSO: 14000 PH 2011-02-26 1055 OE6HLF        59  064    F6APE         59  49
QSO: 14000 PH 2011-02-26 1102 OE6HLF        59  065    F8KCF         59  74
QSO:  7000 PH 2011-02-26 1106 OE6HLF        59  066    F6CLQ         59  89
QSO:  7000 PH 2011-02-26 1110 OE6HLF        59  067    F6KBF         59  78
QSO:  7000 PH 2011-02-26 1113 OE6HLF        59  068    F8DHB         59  60
QSO:  7000 PH 2011-02-26 1114 OE6HLF        59  069    F6FDR         59  84
QSO:  7000 PH 2011-02-26 1119 OE6HLF        59  070    F5KIN         59  63
QSO:  7000 PH 2011-02-26 1121 OE6HLF        59  071    F5KKD         59  93
QSO:  7000 PH 2011-02-26 1124 OE6HLF        59  072    F6KHP         59  88
QSO:  7000 PH 2011-02-26 1539 OE6HLF        59  073    F5KAR/P       59  76
QSO:  7000 PH 2011-02-26 1544 OE6HLF        59  074    F5KED/P       59  46
QSO:  7000 PH 2011-02-26 1545 OE6HLF        59  075    F6KMX         59  94
QSO:  7000 PH 2011-02-26 1558 OE6HLF        59  076    F8KGZ         59  54
QSO:  7000 PH 2011-02-26 1617 OE6HLF        59  077    F4DNK         59  76
QSO:  7000 PH 2011-02-26 1621 OE6HLF        59  078    F5INJ         59  80
QSO:  7000 PH 2011-02-26 1626 OE6HLF        59  079    F1EOY         59  31
QSO:  7000 PH 2011-02-26 1635 OE6HLF        59  080    F6KTM         59  59
QSO:  7000 PH 2011-02-26 1712 OE6HLF        59  081    F8BUO         59  68
QSO:  7000 PH 2011-02-26 1720 OE6HLF        59  082    F6KRK         59  78
QSO:  7000 PH 2011-02-26 1724 OE6HLF        59  083    F5CDE         59  78
QSO:  7000 PH 2011-02-26 1727 OE6HLF        59  084    F6DYX         59  49
QSO:  3500 PH 2011-02-26 1754 OE6HLF        59  085    F6KUP         59  55
QSO:  3500 PH 2011-02-26 1759 OE6HLF        59  086    F6KFV         59  78
QSO:  3500 PH 2011-02-26 1804 OE6HLF        59  087    F8DHB         59  60
QSO:  3500 PH 2011-02-26 1925 OE6HLF        59  088    F5AMH         59  41
QSO:  3500 PH 2011-02-26 1926 OE6HLF        59  089    TM2R          59  42
QSO:  3500 PH 2011-02-26 1927 OE6HLF        59  090    F6KBF         59  78
QSO:  3500 PH 2011-02-26 1928 OE6HLF        59  091    TM22P         59  22
QSO:  3500 PH 2011-02-26 1937 OE6HLF        59  092    F6KMX         59  94
QSO:  3500 PH 2011-02-26 1941 OE6HLF        59  093    F4EKQ         59  86
QSO:  3500 PH 2011-02-26 2004 OE6HLF        59  094    F8KCF         59  74
QSO:  3500 PH 2011-02-26 2011 OE6HLF        59  095    F5DRD         59  80
QSO:  3500 PH 2011-02-26 2018 OE6HLF        59  096    F6KRC         59  35
QSO:  3500 PH 2011-02-26 2020 OE6HLF        59  097    F5ADE         59  36
QSO:  3500 PH 2011-02-26 2024 OE6HLF        59  098    F4BKV         59  17
QSO:  3500 PH 2011-02-27 0120 OE6HLF        59  099    TM2C          59  44
QSO:  3500 PH 2011-02-27 0122 OE6HLF        59  100    F5FJL         59  68
QSO:  3500 PH 2011-02-27 0123 OE6HLF        59  101    F5KMB         59  60
QSO:  3500 PH 2011-02-27 0134 OE6HLF        59  102    F5KDK/P       59  83
QSO:  3500 PH 2011-02-27 0137 OE6HLF        59  103    F6CCZ/P       59  37
QSO:  3500 PH 2011-02-27 0138 OE6HLF        59  104    F6IGS         59  33
QSO:  3500 PH 2011-02-27 0146 OE6HLF        59  105    F5KDC         59  63
QSO:  3500 PH 2011-02-27 0155 OE6HLF        59  106    TM2T          59  13
QSO:  3500 PH 2011-02-27 0201 OE6HLF        59  107    F6KNB         59  33
QSO:  3500 PH 2011-02-27 0210 OE6HLF        59  108    F6KRK         59  78
QSO:  3500 PH 2011-02-27 0217 OE6HLF        59  109    F6KQL         59  21
QSO:  7000 PH 2011-02-27 0955 OE6HLF        59  110    TM2C          59  44
QSO:  7000 PH 2011-02-27 1000 OE6HLF        59  111    F6KEH         59  34
QSO:  7000 PH 2011-02-27 1001 OE6HLF        59  112    F5JSQ         59  51
QSO:  7000 PH 2011-02-27 1005 OE6HLF        59  113    F5KOU         59  80
QSO:  7000 PH 2011-02-27 1010 OE6HLF        59  114    F5KOJ         59  52
QSO:  7000 PH 2011-02-27 1016 OE6HLF        59  116    F5PU          59  81
QSO:  7000 PH 2011-02-27 1036 OE6HLF        59  117    F4FLF         59  77
QSO:  7000 PH 2011-02-27 1039 OE6HLF        59  118    F5BLC         59  12
QSO:  7000 PH 2011-02-27 1042 OE6HLF        59  119    F5RMY         59  54
QSO: 14000 PH 2011-02-27 1054 OE6HLF        59  120    F5KAR/P       59  76
QSO: 14000 PH 2011-02-27 1100 OE6HLF        59  121    TM0L          59  46
QSO: 14000 PH 2011-02-27 1101 OE6HLF        59  122    F6KUJ         59  34
QSO: 14000 PH 2011-02-27 1103 OE6HLF        59  123    F5SSQ         59  86
QSO:  7000 PH 2011-02-27 1120 OE6HLF        59  124    F6AXN         59  28
QSO:  7000 PH 2011-02-27 1121 OE6HLF        59  125    F6KUP         59  55
QSO:  7000 PH 2011-02-27 1139 OE6HLF        59  126    F6CUC         59  57
QSO:  7000 PH 2011-02-27 1140 OE6HLF        59  127    F6FTB         59  37
QSO:  7000 PH 2011-02-27 1143 OE6HLF        59  128    TM2T          59  13
QSO: 14000 PH 2011-02-27 1145 OE6HLF        59  129    F6KFA         59  92
QSO: 14000 PH 2011-02-27 1148 OE6HLF        59  130    F6KNB         59  33
QSO: 14000 PH 2011-02-27 1150 OE6HLF        59  131    F1BZG         59  45
QSO: 14000 PH 2011-02-27 1153 OE6HLF        59  132    F6API         59  31
QSO: 14000 PH 2011-02-27 1202 OE6HLF        59  133    F8CNX         59  85
QSO:  7000 PH 2011-02-27 1216 OE6HLF        59  134    TM95BV        59  55
QSO:  7000 PH 2011-02-27 1221 OE6HLF        59  135    F6ARL         59  06
QSO:  7000 PH 2011-02-27 1240 OE6HLF        59  136    F5AGQ         59  81
QSO:  7000 PH 2011-02-27 1256 OE6HLF        59  137    F5NMK         59  57
QSO:  7000 PH 2011-02-27 1301 OE6HLF        59  138    F6PTT         59  94
QSO:  7000 PH 2011-02-27 1310 OE6HLF        59  139    F6APE         59  49
QSO:  7000 PH 2011-02-27 1320 OE6HLF        59  140    TM2B          59  03
QSO:  7000 PH 2011-02-27 1321 OE6HLF        59  141    F6IPQ         59  47
QSO:  7000 PH 2011-02-27 1327 OE6HLF        59  142    F6GNG         59  27
QSO: 14000 PH 2011-02-27 1333 OE6HLF        59  143    F4EQH         59  85
QSO: 14000 PH 2011-02-27 1340 OE6HLF        59  144    TM9FL         59  86
QSO: 14000 PH 2011-02-27 1342 OE6HLF        59  145    F6CCZ/P       59  37
QSO: 21000 PH 2011-02-27 1350 OE6HLF        59  146    FM5AN         59  FM
QSO: 21000 PH 2011-02-27 1351 OE6HLF        59  147    FM5WD         59  FM
QSO: 14000 PH 2011-02-27 1406 OE6HLF        59  148    F6KBU         59  91
QSO:  7000 PH 2011-02-27 1410 OE6HLF        59  149    F6BUL/P       59  73
QSO:  7000 PH 2011-02-27 1415 OE6HLF        59  150    F5FJL         59  68
QSO:  7000 PH 2011-02-27 1419 OE6HLF        59  151    F5KDJ         59  45
QSO:  7000 PH 2011-02-27 1423 OE6HLF        59  152    F6KRC         59  35
QSO:  7000 PH 2011-02-27 1429 OE6HLF        59  153    F5OAM         59  47
QSO:  7000 PH 2011-02-27 1433 OE6HLF        59  154    F5NHB         59  21
QSO:  7000 PH 2011-02-27 1444 OE6HLF        59  155    F4FJH         59  22
QSO:  7000 PH 2011-02-27 1448 OE6HLF        59  156    F4FRQ         59  90
QSO:  7000 PH 2011-02-27 1455 OE6HLF        59  157    F8BXS         59  01
QSO:  7000 PH 2011-02-27 1459 OE6HLF        59  158    F4FGY         59  79
QSO:  7000 PH 2011-02-27 1501 OE6HLF        59  159    F4EOH         59  84
QSO:  7000 PH 2011-02-27 1502 OE6HLF        59  160    F6GDO         59  73
QSO:  7000 PH 2011-02-27 1506 OE6HLF        59  161    F5AHO         59  68
QSO:  7000 PH 2011-02-27 1509 OE6HLF        59  162    TM9FL         59  86
QSO:  7000 PH 2011-02-27 1513 OE6HLF        59  163    F4CWZ         59  54
QSO:  7000 PH 2011-02-27 1520 OE6HLF        59  164    TM5KFU        59  24
QSO:  7000 PH 2011-02-27 1522 OE6HLF        59  165    F6KMB         59  59
QSO: 21000 PH 2011-02-27 1525 OE6HLF        59  166    FY5PO         59  FY
QSO: 21000 PH 2011-02-27 1545 OE6HLF        59  167    F6KRC         59  35
QSO:  7000 PH 2011-02-27 1552 OE6HLF        59  168    F4DXW         59  29
QSO:  7000 PH 2011-02-27 1557 OE6HLF        59  169    F4EEI         59  52
QSO:  7000 PH 2011-02-27 1559 OE6HLF        59  170    F1NZC         59  63
QSO:  7000 PH 2011-02-27 1605 OE6HLF        59  171    F5SSQ         59  86
QSO:  7000 PH 2011-02-27 1619 OE6HLF        59  172    F5KMB         59  60
QSO:  7000 PH 2011-02-27 1622 OE6HLF        59  173    F8CPA         59  56
QSO:  7000 PH 2011-02-27 1628 OE6HLF        59  174    F6CCZ/P       59  37
QSO:  7000 PH 2011-02-27 1631 OE6HLF        59  175    F1UIJ/P       59  91
QSO:  7000 PH 2011-02-27 1633 OE6HLF        59  176    F1TZG         59  26
QSO:  7000 PH 2011-02-27 1646 OE6HLF        59  177    F8KLY         59  69
QSO:  7000 PH 2011-02-27 1650 OE6HLF        59  178    F5BOY         59  73
QSO:  7000 PH 2011-02-27 1654 OE6HLF        59  179    F6HQP         59  73
QSO:  7000 PH 2011-02-27 1657 OE6HLF        59  180    F1TXI         59  79
QSO:  7000 PH 2011-02-27 1702 OE6HLF        59  181    F8ATM         59  81
QSO:  7000 PH 2011-02-27 1704 OE6HLF        59  182    F8KDX         59  77
QSO:  7000 PH 2011-02-27 1716 OE6HLF        59  183    F6KFA         59  92
QSO:  7000 PH 2011-02-27 1720 OE6HLF        59  184    F5IQJ         59  05
QSO:  7000 PH 2011-02-27 1726 OE6HLF        59  185    F5AJE         59  16
QSO:  7000 PH 2011-02-27 1732 OE6HLF        59  186    F8NUH         59  38
QSO:  7000 PH 2011-02-27 1738 OE6HLF        59  187    TM0L          59  46
QSO:  7000 PH 2011-02-27 1742 OE6HLF        59  188    F9OE          59  29
QSO:  7000 PH 2011-02-27 1742 OE6HLF        59  189    F5RD          59  03
QSO:  7000 PH 2011-02-27 1743 OE6HLF        59  190    F4AIF         59  01
QSO:  7000 PH 2011-02-27 1745 OE6HLF        59  191    F5GQN         59  38
QSO:  7000 PH 2011-02-27 1746 OE6HLF        59  192    F5SVO         59  44
QSO:  7000 PH 2011-02-27 1751 OE6HLF        59  193    F4EAT         59  77
QSO:  7000 PH 2011-02-27 1758 OE6HLF        59  194    F6CNM         59  29
END-OF-LOG:
