START-OF-LOG: 2.0
CONTEST: REF-SSB
CALLSIGN: PE1LTY
CATEGORY: SINGLE-OP ALL LOW 
REF-SECTION: DX
CLAIMED-SCORE: 8307
CREATED-BY: UcxLog 6.71
NAME: Hennie Nijboer
SOAPBOX: Many thanks for the nice contest. Till the next time. 
QSO:  3500 PH 2011-02-26 2055 PE1LTY        59  041    F5AMH         59  41
QSO:  3500 PH 2011-02-26 2107 PE1LTY        59  042    F5KMB         59  60
QSO:  3500 PH 2011-02-26 2109 PE1LTY        59  043    F6KRK         59  78
QSO:  3500 PH 2011-02-26 2110 PE1LTY        59  044    F6CXJ         59  47
QSO:  7000 PH 2011-02-27 0954 PE1LTY        59  045    F5AMH         59  41
QSO:  7000 PH 2011-02-27 1004 PE1LTY        59  046    F5SSQ         59  86
QSO:  7000 PH 2011-02-27 1014 PE1LTY        59  047    F8KLY         59  69
QSO:  7000 PH 2011-02-27 1016 PE1LTY        59  048    F4EQH         59  85
QSO:  7000 PH 2011-02-27 1050 PE1LTY        59  049    F6HRU         59  86
QSO:  7000 PH 2011-02-27 1057 PE1LTY        59  050    F6KUP         59  55
QSO:  7000 PH 2011-02-27 1059 PE1LTY        59  051    F5KOJ         59  52
QSO:  7000 PH 2011-02-27 1102 PE1LTY        59  052    F5KMB         59  60
QSO:  7000 PH 2011-02-27 1104 PE1LTY        59  053    F6KRC         59  35
QSO:  7000 PH 2011-02-27 1109 PE1LTY        59  054    F6BSZ/P       59  14
QSO:  7000 PH 2011-02-27 1113 PE1LTY        59  055    TM95BV        59  55
QSO:  7000 PH 2011-02-27 1116 PE1LTY        59  056    F5JSQ         59  51
QSO:  7000 PH 2011-02-27 1126 PE1LTY        59  057    F6CLQ         59  89
QSO:  7000 PH 2011-02-27 1128 PE1LTY        59  058    F8BCA/P       59  49
QSO:  7000 PH 2011-02-27 1132 PE1LTY        59  059    F6KPQ/P       59  56
QSO:  7000 PH 2011-02-27 1137 PE1LTY        59  060    F8BDQ         59  18
QSO:  7000 PH 2011-02-27 1142 PE1LTY        59  061    F4ERS         59  37
QSO:  7000 PH 2011-02-27 1144 PE1LTY        59  062    F6DYX         59  49
QSO:  7000 PH 2011-02-27 1149 PE1LTY        59  063    F1CKB         59  49
QSO:  7000 PH 2011-02-27 1153 PE1LTY        59  064    F5CDE         59  78
QSO:  7000 PH 2011-02-27 1156 PE1LTY        59  065    F4GGD         59  16
QSO:  7000 PH 2011-02-27 1241 PE1LTY        59  066    F5AIB         59  54
QSO:  7000 PH 2011-02-27 1247 PE1LTY        59  067    F5OWT         59  45
QSO:  7000 PH 2011-02-27 1249 PE1LTY        59  068    F6KLO         59  19
QSO:  7000 PH 2011-02-27 1253 PE1LTY        59  069    F2QH          59  95
QSO:  7000 PH 2011-02-27 1258 PE1LTY        59  070    F5NMK         59  57
QSO:  7000 PH 2011-02-27 1301 PE1LTY        59  071    F6KBF         59  78
QSO:  7000 PH 2011-02-27 1327 PE1LTY        59  072    F6EXV         59  33
QSO:  7000 PH 2011-02-27 1329 PE1LTY        59  073    F6HQP         59  73
QSO:  7000 PH 2011-02-27 1331 PE1LTY        59  074    F6DSV         59  31
QSO:  7000 PH 2011-02-27 1333 PE1LTY        59  075    F6GDO         59  73
QSO:  7000 PH 2011-02-27 1335 PE1LTY        59  076    F4BHW         59  18
QSO:  7000 PH 2011-02-27 1338 PE1LTY        59  077    TM5KFU        59  24
QSO:  7000 PH 2011-02-27 1340 PE1LTY        59  078    F5NHB         59  29
QSO:  7000 PH 2011-02-27 1341 PE1LTY        59  079    F5LEN         59  54
QSO:  7000 PH 2011-02-27 1343 PE1LTY        59  080    F8DRE         59  28
QSO:  7000 PH 2011-02-27 1346 PE1LTY        59  081    TM2B          59  03
QSO:  7000 PH 2011-02-27 1348 PE1LTY        59  082    F6GNG         59  27
QSO:  7000 PH 2011-02-27 1350 PE1LTY        59  083    F4CUI         59  43
QSO:  7000 PH 2011-02-27 1356 PE1LTY        59  084    F4EUG         59  22
QSO:  7000 PH 2011-02-27 1358 PE1LTY        59  085    TK5KP         59  2A
QSO:  7000 PH 2011-02-27 1407 PE1LTY        59  086    F8FGU         59  09
QSO:  7000 PH 2011-02-27 1409 PE1LTY        59  087    F5KLP         59  49
QSO:  7000 PH 2011-02-27 1416 PE1LTY        59  088    TM90LH        59  76
QSO:  7000 PH 2011-02-27 1423 PE1LTY        59  089    F6KFA         59  92
QSO:  7000 PH 2011-02-27 1426 PE1LTY        59  090    F6IRM         59  52
QSO:  7000 PH 2011-02-27 1427 PE1LTY        59  091    F5KOU         59  80
QSO:  7000 PH 2011-02-27 1429 PE1LTY        59  092    F6APE         59  49
QSO:  7000 PH 2011-02-27 1434 PE1LTY        59  093    F5AGQ         59  81
QSO:  7000 PH 2011-02-27 1441 PE1LTY        59  094    F4FGY         59  79
QSO:  7000 PH 2011-02-27 1446 PE1LTY        59  095    F4GAJ         59  14
QSO:  7000 PH 2011-02-27 1454 PE1LTY        59  096    F6KBU         59  91
QSO:  7000 PH 2011-02-27 1457 PE1LTY        59  097    F8CZI         59  68
QSO:  7000 PH 2011-02-27 1511 PE1LTY        59  098    F5AHO         59  68
QSO:  7000 PH 2011-02-27 1520 PE1LTY        59  099    F5KDJ         59  45
QSO:  7000 PH 2011-02-27 1523 PE1LTY        59  100    F5NHJ         59  32
QSO:  7000 PH 2011-02-27 1533 PE1LTY        59  101    F5UTN         59  27
QSO:  7000 PH 2011-02-27 1544 PE1LTY        59  102    F4DPW         59  95
QSO:  7000 PH 2011-02-27 1556 PE1LTY        59  103    F6PTT         59  94
QSO:  7000 PH 2011-02-27 1558 PE1LTY        59  104    F6KCV         59  29
QSO: 14000 PH 2011-02-27 1608 PE1LTY        59  105    TK5KP         59  2A
QSO:  7000 PH 2011-02-27 1627 PE1LTY        59  106    F4FEP         59  29
QSO:  7000 PH 2011-02-27 1629 PE1LTY        59  107    F6KNB         59  33
QSO:  7000 PH 2011-02-27 1632 PE1LTY        59  108    F8CPA         59  56
QSO:  7000 PH 2011-02-27 1635 PE1LTY        59  109    F6KRK         59  78
QSO:  7000 PH 2011-02-27 1638 PE1LTY        59  110    F8ATS         59  91
QSO:  7000 PH 2011-02-27 1641 PE1LTY        59  111    F6CCZ/P       59  37
END-OF-LOG:

