START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WPX Contest Log 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: WC8VOA
LOCATION: OH
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-TIME: 24-HOURS
CLUB: West Chester ARA
CLAIMED-SCORE: 46726
OPERATORS: N8DZ N8VSI N8MIQ KB8ZYE
NAME: Scott Pettigrew
SOAPBOX: Operating from VOA Bethany Station - Sry for late submission.
QSO: 14000 PH 2013-03-30 0152 WC8VOA        59  019    9Y4LDK        59  231    0
QSO: 14000 PH 2013-03-30 0154 WC8VOA        59  020    PY1VOY        59  142    0
QSO: 14000 PH 2013-03-30 0155 WC8VOA        59  021    NP4Z          59  445    0
QSO: 14000 PH 2013-03-30 0155 WC8VOA        59  022    YW2LV         59  244    0
QSO: 14000 PH 2013-03-30 0157 WC8VOA        59  023    VE6AO         59  191    0
QSO: 14000 PH 2013-03-30 0158 WC8VOA        59  024    K7ZSD         59  189    0
QSO: 14000 PH 2013-03-30 0159 WC8VOA        59  025    WP2Z          59  443    0
QSO: 14000 PH 2013-03-30 0200 WC8VOA        59  026    AG5Z          59  069    0
QSO: 14000 PH 2013-03-30 0201 WC8VOA        59  027    PV7M          59  039    0
QSO: 14000 PH 2013-03-30 0202 WC8VOA        59  028    ZF2AH         59  325    0
QSO: 14000 PH 2013-03-30 0207 WC8VOA        59  029    WC6H          59  196    0
QSO: 14000 PH 2013-03-30 0422 WC8VOA        59  030    PW7T          59  334    0
QSO: 14000 PH 2013-03-30 0425 WC8VOA        59  031    KP2MM         59  737    0
QSO: 14000 PH 2013-03-30 0429 WC8VOA        59  032    HD2A          59  741    0
QSO:  7000 PH 2013-03-30 0435 WC8VOA        59  033    KM3T          59  516    0
QSO:  7000 PH 2013-03-30 0437 WC8VOA        59  034    KP2TM         59  847    0
QSO:  3500 PH 2013-03-30 0445 WC8VOA        59  035    NE1C          59  182    0
QSO:  3500 PH 2013-03-30 0448 WC8VOA        59  036    N0MA          59  61     0
QSO:  3500 PH 2013-03-30 0449 WC8VOA        59  037    AA3B          59  403    0
QSO:  3500 PH 2013-03-30 0452 WC8VOA        59  038    AB1AC         59  214    0
QSO:  3500 PH 2013-03-30 0458 WC8VOA        59  039    NM1C          59  187    0
QSO:  3500 PH 2013-03-30 0503 WC8VOA        59  040    WR3N          59  393    0
QSO:  3500 PH 2013-03-30 0506 WC8VOA        59  041    CF3A          59  6632   0
QSO:  3500 PH 2013-03-30 0516 WC8VOA        59  042    WX3B          59  273    0
QSO:  3500 PH 2013-03-30 0523 WC8VOA        59  043    W8L           59  286    0
QSO:  3500 PH 2013-03-30 0525 WC8VOA        59  044    EB8AH         59  876    0
QSO:  3500 PH 2013-03-30 0527 WC8VOA        59  045    K1DQV         59  68     0
QSO:  3500 PH 2013-03-30 0530 WC8VOA        59  046    W9QL          59  148    0
QSO:  3500 PH 2013-03-30 0534 WC8VOA        59  047    D4C           59  530    0
QSO:  3500 PH 2013-03-30 0539 WC8VOA        59  048    WZ8DX         59  160    0
QSO:  3500 PH 2013-03-30 0545 WC8VOA        59  049    NV9L          59  596    0
QSO:  3500 PH 2013-03-30 0546 WC8VOA        59  050    VE3CX         59  211    0
QSO:  3500 PH 2013-03-30 0548 WC8VOA        59  051    K9CT          59  105    0
QSO:  3500 PH 2013-03-30 0551 WC8VOA        59  052    K2RR          59  97     0
QSO: 14000 PH 2013-03-30 0645 WC8VOA        59  053    TG0AA         59  473    0
QSO: 14000 PH 2013-03-30 0651 WC8VOA        59  054    VK7ZX         59  206    0
QSO: 28000 PH 2013-03-30 2042 WC8VOA        59  055    PA5FB         59  905    0
QSO: 28000 PH 2013-03-30 2045 WC8VOA        59  056    PW2D          59  319    0
QSO: 28000 PH 2013-03-30 2049 WC8VOA        59  057    ZZ2T          59  118    0
QSO: 28000 PH 2013-03-30 2051 WC8VOA        59  058    KP4RV         59  891    0
QSO: 28000 PH 2013-03-30 2056 WC8VOA        59  059    PY1LMP        59  220    0
QSO: 28000 PH 2013-03-30 2059 WC8VOA        59  060    PY1RBM        59  278    0
QSO: 28000 PH 2013-03-30 2102 WC8VOA        59  061    W3EP          59  168    0
QSO: 28000 PH 2013-03-30 2104 WC8VOA        59  062    PX2B          59  1306   0
QSO: 28000 PH 2013-03-30 2107 WC8VOA        59  063    HI3CC         59  784    0
QSO: 28000 PH 2013-03-30 2109 WC8VOA        59  064    WP2Z          59  3076   0
QSO: 28000 PH 2013-03-30 2110 WC8VOA        59  065    PY1NX         59  893    0
QSO: 28000 PH 2013-03-30 2112 WC8VOA        59  066    PY2HT         59  195    0
QSO: 28000 PH 2013-03-30 2114 WC8VOA        59  067    PX5E          59  2140   0
QSO: 28000 PH 2013-03-30 2116 WC8VOA        59  068    CW5W          59  2030   0
QSO: 28000 PH 2013-03-30 2118 WC8VOA        59  069    ZY2WPX        59  1069   0
QSO: 28000 PH 2013-03-30 2123 WC8VOA        59  070    NP3PR         59  529    0
QSO: 28000 PH 2013-03-30 2125 WC8VOA        59  071    CE3CT         59  1156   0
QSO: 28000 PH 2013-03-30 2130 WC8VOA        59  072    PP1CY         59  679    0
QSO: 28000 PH 2013-03-30 2136 WC8VOA        59  073    3G3W          59  906    0
QSO: 28000 PH 2013-03-30 2139 WC8VOA        59  074    PY2BX         59  203    0
QSO: 28000 PH 2013-03-30 2142 WC8VOA        59  075    CX5CBA        59  755    0
QSO: 28000 PH 2013-03-30 2143 WC8VOA        59  076    PU1MKZ        59  384    0
QSO: 28000 PH 2013-03-30 2145 WC8VOA        59  077    XR3Y          59  709    0
QSO: 28000 PH 2013-03-30 2147 WC8VOA        59  078    LU6FOV        59  667    0
QSO: 28000 PH 2013-03-30 2150 WC8VOA        59  079    PU2SPW        59  301    0
QSO: 28000 PH 2013-03-30 2152 WC8VOA        59  080    ZX5ZZ         59  536    0
QSO: 14000 PH 2013-03-31 0024 WC8VOA        59  081    CE1DY         59  789    0
QSO: 14000 PH 2013-03-31 0030 WC8VOA        59  082    K0RH          59  860    0
QSO: 14000 PH 2013-03-31 0031 WC8VOA        59  083    WI6I          59  492    0
QSO: 14000 PH 2013-03-31 0032 WC8VOA        59  084    YW4D          59  1803   0
QSO: 14000 PH 2013-03-31 0035 WC8VOA        59  085    CX2DK         59  892    0
QSO: 14000 PH 2013-03-31 0041 WC8VOA        59  086    YW5T          59  1037   0
QSO: 14000 PH 2013-03-31 0042 WC8VOA        59  087    K4CME         59  318    0
QSO: 14000 PH 2013-03-31 0050 WC8VOA        59  088    K0LUZ         59  424    0
QSO: 14000 PH 2013-03-31 0053 WC8VOA        59  089    KG9N/P        59  1126   0
QSO: 14000 PH 2013-03-31 0100 WC8VOA        59  090    XE2ST         59  213    0
QSO: 14000 PH 2013-03-31 0104 WC8VOA        59  091    KP4RV         59  1172   0
QSO: 14000 PH 2013-03-31 0107 WC8VOA        59  092    VE2GIO        59  503    0
QSO: 14000 PH 2013-03-31 0110 WC8VOA        59  093    AK7AZ         59  310    0
QSO: 14000 PH 2013-03-31 0115 WC8VOA        59  094    VE7JH         59  059    0
QSO: 14000 PH 2013-03-31 0116 WC8VOA        59  095    NE5D          59  1284   0
QSO: 14000 PH 2013-03-31 0123 WC8VOA        59  096    NR5M          59  2527   0
QSO: 14000 PH 2013-03-31 0125 WC8VOA        59  097    PY2EX         59  615    0
QSO: 14000 PH 2013-03-31 0128 WC8VOA        59  098    AC7HU         59  317    0
QSO: 14000 PH 2013-03-31 0130 WC8VOA        59  099    K6UW          59  152    0
QSO: 14000 PH 2013-03-31 0135 WC8VOA        59  100    XE1B          59  1242   0
QSO:  7000 PH 2013-03-31 0149 WC8VOA        59  101    WN9O          59  501    0
QSO:  7000 PH 2013-03-31 0151 WC8VOA        59  102    WX3B          59  1093   0
QSO:  7000 PH 2013-03-31 0153 WC8VOA        59  103    NQ4I          59  1391   0
QSO:  7000 PH 2013-03-31 0155 WC8VOA        59  104    LZ9W          59  1447   0
QSO:  7000 PH 2013-03-31 0156 WC8VOA        59  105    NX0X          59  1803   0
QSO:  7000 PH 2013-03-31 0157 WC8VOA        59  106    TM6M          59  1144   0
QSO:  7000 PH 2013-03-31 0159 WC8VOA        59  107    IO5O          59  2482   0
QSO:  7000 PH 2013-03-31 0200 WC8VOA        59  108    WU3A          59  1521   0
QSO:  7000 PH 2013-03-31 0202 WC8VOA        59  109    DR1A          59  1659   0
QSO:  7000 PH 2013-03-31 0204 WC8VOA        59  110    LX7I          59  1987   0
QSO:  7000 PH 2013-03-31 0206 WC8VOA        59  111    YT3M          59  1418   0
QSO:  7000 PH 2013-03-31 0207 WC8VOA        59  112    CR6K          59  2040   0
QSO:  7000 PH 2013-03-31 0209 WC8VOA        59  113    ED1R          59  2783   0
QSO:  7000 PH 2013-03-31 0212 WC8VOA        59  114    TM0R          59  1860   0
QSO:  7000 PH 2013-03-31 0214 WC8VOA        59  115    KX9DX         59  391    0
QSO:  7000 PH 2013-03-31 0214 WC8VOA        59  116    VE3RHD        59  446    0
QSO:  7000 PH 2013-03-31 0215 WC8VOA        59  117    WR3Z          59  1961   0
QSO:  7000 PH 2013-03-31 0218 WC8VOA        59  118    PY6HD         59  547    0
QSO:  7000 PH 2013-03-31 0219 WC8VOA        59  119    KU2M          59  995    0
QSO:  7000 PH 2013-03-31 0222 WC8VOA        59  120    WW8OH         59  822    0
QSO:  7000 PH 2013-03-31 0225 WC8VOA        59  121    N4NX          59  393    0
QSO:  7000 PH 2013-03-31 0226 WC8VOA        59  122    VE3UTT        59  1086   0
QSO:  7000 PH 2013-03-31 0229 WC8VOA        59  123    WI9WI         59  584    0
QSO:  7000 PH 2013-03-31 0231 WC8VOA        59  124    W1PL          59  585    0
QSO:  7000 PH 2013-03-31 0233 WC8VOA        59  125    W5WMU         59  958    0
QSO:  7000 PH 2013-03-31 0233 WC8VOA        59  126    W2IRT         59  287    0
QSO:  7000 PH 2013-03-31 0236 WC8VOA        59  127    WR5O          59  949    0
QSO:  7000 PH 2013-03-31 0239 WC8VOA        59  128    K1LZ          59  2770   0
QSO: 14000 PH 2013-03-31 0248 WC8VOA        59  129    KJ3X          59  3001   0
QSO: 14000 PH 2013-03-31 0249 WC8VOA        59  130    VO1JNS        59  1005   0
QSO: 14000 PH 2013-03-31 0250 WC8VOA        59  131    CN2R          59  3209   0
QSO: 14000 PH 2013-03-31 0253 WC8VOA        59  132    6V7S          59  2448   0
QSO:  7000 PH 2013-03-31 0309 WC8VOA        59  133    K0AD          59  075    0
QSO:  7000 PH 2013-03-31 0312 WC8VOA        59  134    9A33P         59  3100   0
QSO:  7000 PH 2013-03-31 0313 WC8VOA        59  135    IW2HAJ        59  1559   0
QSO:  7000 PH 2013-03-31 0316 WC8VOA        59  136    S50A          59  1627   0
QSO:  7000 PH 2013-03-31 0317 WC8VOA        59  137    K4BAI         59  1555   0
QSO:  7000 PH 2013-03-31 0318 WC8VOA        59  138    8P5A          59  4507   0
QSO:  7000 PH 2013-03-31 0319 WC8VOA        59  139    W3FV          59  1026   0
QSO:  7000 PH 2013-03-31 0320 WC8VOA        59  140    YY4DNN        59  1016   0
QSO:  7000 PH 2013-03-31 0322 WC8VOA        59  141    K4PV          59  1174   0
QSO:  7000 PH 2013-03-31 0323 WC8VOA        59  142    WC6H          59  680    0
QSO:  7000 PH 2013-03-31 0325 WC8VOA        59  143    AA3B          59  1359   0
QSO:  7000 PH 2013-03-31 0326 WC8VOA        59  144    VA3SWG        59  773    0
QSO:  7000 PH 2013-03-31 0329 WC8VOA        59  145    VB2T          59  1653   0
QSO:  7000 PH 2013-03-31 0329 WC8VOA        59  146    KT5J          59  2353   0
QSO:  7000 PH 2013-03-31 0333 WC8VOA        59  147    W9FZ          59  063    0
QSO:  7000 PH 2013-03-31 0341 WC8VOA        59  148    HA30S         59  1447   0
QSO:  7000 PH 2013-03-31 0345 WC8VOA        59  149    IR4M          59  1753   0
QSO:  7000 PH 2013-03-31 0346 WC8VOA        59  150    II9P          59  1182   0
END-OF-LOG:
