START-OF-LOG: 3.0
CONTEST: SAC-SSB
CALLSIGN: 9A9O
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: 9A9O
CLAIMED-SCORE: 52608
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
CATEGORY-MODE: SSB
NAME: Marijan Cosic
SOAPBOX: icom 756 pro2   ,ant: dipol 40/80 , mosley ta33m, 4el/28mhz
QSO: 21000 PH 2025-10-11 1454 9A9O          59     145 OG5O          59     179 0
QSO: 21000 PH 2025-10-11 1454 9A9O          59     146 SM5INC        59     120 0
QSO: 21000 PH 2025-10-11 1455 9A9O          59     147 OI5AY         59      41 0
QSO: 14000 PH 2025-10-11 1456 9A9O          59     148 SD9D          59      79 0
QSO: 14000 PH 2025-10-11 1456 9A9O          59     149 OH2OA         59     138 0
QSO: 14000 PH 2025-10-11 1458 9A9O          59     150 OH0V          59     166 0
QSO: 21000 PH 2025-10-11 1458 9A9O          59     151 SM0D          59      80 0
QSO: 14000 PH 2025-10-11 1458 9A9O          59     152 SM6TOL        59      71 0
QSO: 14000 PH 2025-10-11 1459 9A9O          59     153 SA2T          59     131 0
QSO: 14000 PH 2025-10-11 1459 9A9O          59     154 SJ2W          59     383 0
QSO: 14000 PH 2025-10-11 1501 9A9O          59     155 OH3JR         59     137 0
QSO: 21000 PH 2025-10-11 1501 9A9O          59     156 SE5E          59     318 0
QSO: 21000 PH 2025-10-11 1504 9A9O          59     157 OH1RX         59      73 0
QSO: 21000 PH 2025-10-11 1504 9A9O          59     158 SA0IAT        59     157 0
QSO: 21000 PH 2025-10-11 1504 9A9O          59     159 OH9JS         59      47 0
QSO: 14000 PH 2025-10-11 1507 9A9O          59     160 LA/US1PM      59      57 0
QSO: 14000 PH 2025-10-11 1513 9A9O          59     161 SM6NT         59      74 0
