START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: REF-SSB
LOCATION: DX
CALLSIGN: LA6FJA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 80m	
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: BAND-LIMITED
CLAIMED-SCORE: 5358
OFFTIME: 2012-02-25 2040 2012-02-26 0030
OPERATORS: LA6FJA
CLUB: LACC ( Ringsjoen Contest Club)
NAME: Stein Roar Brobakken
SOAPBOX: nice Contest, just to work a few French during the evening. 73s Merci
SOAPBOX: LA6FJA TS2000 1kw and 4 el parasitt array + beverages
QSO:  3739 PH 2012-02-25 2344 LA6FJA        59  062    F5SPA/QRP     59  24    
QSO:  3739 PH 2012-02-25 2349 LA6FJA        59  063    F4EAN         59  13    
QSO:  3739 PH 2012-02-25 2349 LA6FJA        59  064    F4DLL         59  93    
QSO:  3739 PH 2012-02-25 2350 LA6FJA        59  065    F1ROA         59  67    
QSO:  3739 PH 2012-02-25 2350 LA6FJA        59  066    TM2B          59  03    
QSO:  3739 PH 2012-02-25 2351 LA6FJA        59  067    F4EIN         59  33    
QSO:  3739 PH 2012-02-25 2352 LA6FJA        59  068    F6EKJ         59  21    
QSO:  3739 PH 2012-02-25 2353 LA6FJA        59  069    F4DVO         59  45    
QSO:  3739 PH 2012-02-25 2354 LA6FJA        59  070    F5AQJ         59  89    
QSO:  3739 PH 2012-02-25 2355 LA6FJA        59  071    F1DLZ         59  60    
QSO:  3739 PH 2012-02-25 2357 LA6FJA        59  072    F6EMW         59  56    
QSO:  3739 PH 2012-02-26 0003 LA6FJA        59  073    F5RHY         59  74    
QSO:  3739 PH 2012-02-26 0006 LA6FJA        59  074    F6KLO         59  19    
QSO:  3739 PH 2012-02-26 0013 LA6FJA        59  075    F6BXD         59  59    
QSO:  3739 PH 2012-02-26 0019 LA6FJA        59  076    F8UNF         59  57    
QSO:  3739 PH 2012-02-26 0021 LA6FJA        59  077    TM6D          59  38    
QSO:  3739 PH 2012-02-26 0025 LA6FJA        59  078    F6KFV         59  78    
QSO:  3739 PH 2012-02-26 0026 LA6FJA        59  079    F5JCZ         59  02    
QSO:  3739 PH 2012-02-26 0031 LA6FJA        59  080    F4AQW         59  86    
QSO:  3739 PH 2012-02-26 0033 LA6FJA        59  081    F6FNA         59  77    
QSO:  3739 PH 2012-02-26 0037 LA6FJA        59  082    F5PBG         59  29    
QSO:  3739 PH 2012-02-26 0040 LA6FJA        59  083    F6KWP         59  54    
QSO:  3739 PH 2012-02-26 0041 LA6FJA        59  084    F4GFP         59  24    
QSO:  3675 PH 2012-02-26 0051 LA6FJA        59  085    F5KED/P       59  36    
QSO:  3779 PH 2012-02-26 0056 LA6FJA        59  086    F6IGS         59  33    
QSO:  3775 PH 2012-02-26 0100 LA6FJA        59  087    F6KJG         59  10    
QSO:  3775 PH 2012-02-26 0102 LA6FJA        59  088    TM5KFU        59  24    
QSO:  3711 PH 2012-02-26 0113 LA6FJA        59  089    F6REF         59  00    
QSO:  3686 PH 2012-02-26 0114 LA6FJA        59  090    TM5FFT        59  56    
QSO:  3663 PH 2012-02-26 0117 LA6FJA        59  091    F6KCI         59  37    
QSO:  3685 PH 2012-02-26 0123 LA6FJA        59  092    F4DNK         59  76    
END-OF-LOG:

