START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: OM3TBG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: OM3TBG
CLAIMED-SCORE: 13197
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
CATEGORY-MODE: CW
NAME: Milan Dostal
SOAPBOX: rig: trx drake tr7 - 80w, ant windom 42 m long
QSO:  7000 CW 2025-09-20 1915 OM3TBG        599     45 OH4R          599    351 0
QSO:  7000 CW 2025-09-20 1919 OM3TBG        599     46 OH1KBX        599     24 0
QSO:  7000 CW 2025-09-20 1920 OM3TBG        599     47 OG9E          599    440 0
QSO:  7000 CW 2025-09-20 1922 OM3TBG        599     48 OI5AY         599    460 0
QSO:  7000 CW 2025-09-20 1925 OM3TBG        599     49 LA3BO         599    616 0
QSO:  7000 CW 2025-09-20 1926 OM3TBG        599     50 SC7DX         599    300 0
QSO:  7000 CW 2025-09-20 1927 OM3TBG        599     51 SG4G          599    454 0
QSO:  7000 CW 2025-09-20 1928 OM3TBG        599     52 SD6M          599    437 0
QSO:  7000 CW 2025-09-20 1929 OM3TBG        599     53 OG1F          599    892 0
QSO:  7000 CW 2025-09-20 1931 OM3TBG        599     54 SI6T          599    223 0
QSO:  7000 CW 2025-09-20 1933 OM3TBG        599     55 SE4A          599    537 0
QSO:  7000 CW 2025-09-20 1935 OM3TBG        599     56 LB4UH         599    536 0
QSO:  7000 CW 2025-09-20 1936 OM3TBG        599     57 OH3FM         599    729 0
QSO:  7000 CW 2025-09-20 1938 OM3TBG        599     58 SK3W          599    252 0
QSO:  7000 CW 2025-09-20 1947 OM3TBG        599     59 LC7X          599    411 0
QSO:  7000 CW 2025-09-20 1951 OM3TBG        599     60 OH2CV         599    351 0
QSO:  7000 CW 2025-09-20 1953 OM3TBG        599     61 OZ1IVA        599    361 0
QSO:  7000 CW 2025-09-20 1955 OM3TBG        599     62 LA1U          599     38 0
QSO:  7000 CW 2025-09-20 1958 OM3TBG        599     63 OH2OA         599    485 0
QSO:  7000 CW 2025-09-20 1959 OM3TBG        599     64 OH1X          599    280 0
QSO:  7000 CW 2025-09-20 2000 OM3TBG        599     65 OH0V          599    993 0
QSO:  7000 CW 2025-09-20 2008 OM3TBG        599     66 OG6N          599    686 0
QSO:  7000 CW 2025-09-20 2009 OM3TBG        599     67 OZ5W          599    360 0
QSO:  7000 CW 2025-09-20 2011 OM3TBG        599     68 SE4T          599    609 0
QSO:  7000 CW 2025-09-20 2014 OM3TBG        599     69 SK0QO         599    488 0
QSO:  7000 CW 2025-09-20 2016 OM3TBG        599     70 OF9X          599    851 0
QSO:  7000 CW 2025-09-20 2017 OM3TBG        599     71 OG7Z          599    798 0
QSO:  7000 CW 2025-09-20 2020 OM3TBG        599     72 OY1CT         599    771 0
QSO:  7000 CW 2025-09-20 2021 OM3TBG        599     73 OH5Z          599   1182 0
QSO:  7000 CW 2025-09-20 2023 OM3TBG        599     74 LA8HGA        599    607 0
QSO:  7000 CW 2025-09-20 2026 OM3TBG        599     75 OH6OS         599    735 0
QSO:  7000 CW 2025-09-20 2028 OM3TBG        599     76 OH3KQ         599    236 0
QSO:  7000 CW 2025-09-20 2029 OM3TBG        599     77 OH0Z          599    994 0
QSO:  7000 CW 2025-09-20 2036 OM3TBG        599     78 SE0X          599    459 0
QSO:  7000 CW 2025-09-20 2037 OM3TBG        599     79 OH2XX         599    953 0
QSO:  7000 CW 2025-09-20 2039 OM3TBG        599     80 SE4E          599    630 0
QSO:  7000 CW 2025-09-20 2040 OM3TBG        599     81 LA8OM         599    843 0
QSO:  7000 CW 2025-09-20 2040 OM3TBG        599     82 SB7S          599    440 0
QSO:  7000 CW 2025-09-20 2042 OM3TBG        599     83 OZ1IKY        599    612 0
QSO:  7000 CW 2025-09-20 2046 OM3TBG        599     84 TF3W          599   1025 0
QSO:  7000 CW 2025-09-20 2047 OM3TBG        599     85 OH3KAV        599    347 0
QSO:  7000 CW 2025-09-20 2048 OM3TBG        599     86 SM6M          599    926 0
QSO:  7000 CW 2025-09-20 2050 OM3TBG        599     87 OH8CW         599    381 0
QSO:  7000 CW 2025-09-20 2103 OM3TBG        599     88 OH7KBF        599    523 0
QSO:  7000 CW 2025-09-20 2107 OM3TBG        599     89 OF60AP        599    563 0
QSO:  7000 CW 2025-09-20 2111 OM3TBG        599     90 OZ3SM         599    260 0
QSO:  3500 CW 2025-09-20 2120 OM3TBG        599     91 LA8OM         599    902 0
QSO:  3500 CW 2025-09-20 2121 OM3TBG        599     92 OG6N          599    806 0
QSO:  3500 CW 2025-09-20 2122 OM3TBG        599     93 OH0V          599   1142 0
QSO:  3500 CW 2025-09-20 2124 OM3TBG        599     94 OG5B          599    614 0
QSO:  3500 CW 2025-09-20 2125 OM3TBG        599     95 7S1DX         599    216 0
QSO:  3500 CW 2025-09-20 2126 OM3TBG        599     96 SK1BL         599    754 0
QSO:  3500 CW 2025-09-20 2128 OM3TBG        599     97 SM5CSS        599    708 0
QSO:  3500 CW 2025-09-20 2132 OM3TBG        599     98 OH6CT         599    498 0
QSO:  3500 CW 2025-09-20 2134 OM3TBG        599     99 SE5E          599   1172 0
QSO:  3500 CW 2025-09-20 2135 OM3TBG        599    100 OF60AP        599    602 0
QSO:  3500 CW 2025-09-20 2136 OM3TBG        599    101 SM6EAN        599    660 0
QSO:  3500 CW 2025-09-20 2138 OM3TBG        599    102 SF6W          599    575 0
QSO:  3500 CW 2025-09-20 2139 OM3TBG        599    103 SM5IMO        599    726 0
QSO:  3500 CW 2025-09-20 2141 OM3TBG        599    104 OZ5W          599    201 0
QSO:  3500 CW 2025-09-20 2144 OM3TBG        599    105 SC7DX         599    218 0
QSO:  3500 CW 2025-09-20 2150 OM3TBG        599    106 OF9X          599    958 0
QSO:  3500 CW 2025-09-20 2152 OM3TBG        599    107 SE4A          599    673 0
QSO:  3500 CW 2025-09-20 2155 OM3TBG        599    108 SJ2W          599   1252 0
QSO:  3500 CW 2025-09-20 2156 OM3TBG        599    109 SD6O          599    807 0
QSO:  3500 CW 2025-09-20 2200 OM3TBG        599    110 OH2BA         599    467 0
QSO:  3500 CW 2025-09-20 2201 OM3TBG        599    111 SF5O          599    606 0
QSO:  3500 CW 2025-09-20 2203 OM3TBG        599    112 SG4G          599    681 0
QSO:  3500 CW 2025-09-20 2204 OM3TBG        599    113 SE5T          599    749 0
QSO:  7000 CW 2025-09-21 0533 OM3TBG        599    114 OH3Z          599    713 0
QSO:  7000 CW 2025-09-21 0536 OM3TBG        599    115 LA3BO         599    919 0
QSO:  7000 CW 2025-09-21 0541 OM3TBG        599    116 OZ3TQ         599    178 0
QSO:  7000 CW 2025-09-21 0545 OM3TBG        599    117 SD6O          599   1087 0
QSO:  7000 CW 2025-09-21 0550 OM3TBG        599    118 SE6K          599    297 0
QSO:  7000 CW 2025-09-21 0551 OM3TBG        599    119 SM6EAN        599    832 0
QSO:  7000 CW 2025-09-21 0558 OM3TBG        599    120 LC2F          599    361 0
QSO: 21000 CW 2025-09-21 0820 OM3TBG        599    121 TF3W          599   1432 0
QSO: 21000 CW 2025-09-21 0821 OM3TBG        599    122 OG1R          599    554 0
QSO: 21000 CW 2025-09-21 0823 OM3TBG        599    123 SM2EKM        599    649 0
QSO: 21000 CW 2025-09-21 0824 OM3TBG        599    124 OH8WW         599    765 0
QSO: 21000 CW 2025-09-21 0825 OM3TBG        599    125 OY1CT         599   1213 0
QSO: 21000 CW 2025-09-21 0826 OM3TBG        599    126 OH2HEX        599    570 0
QSO: 21000 CW 2025-09-21 0827 OM3TBG        599    127 OH4BCS        599    327 0
QSO: 21000 CW 2025-09-21 0829 OM3TBG        599    128 OH3OJ         599    451 0
QSO: 21000 CW 2025-09-21 0830 OM3TBG        599    129 OG9E          599    901 0
QSO: 21000 CW 2025-09-21 0833 OM3TBG        599    130 OH8CW         599    554 0
QSO: 21000 CW 2025-09-21 0834 OM3TBG        599    131 OH3KAV        599    455 0
QSO: 21000 CW 2025-09-21 0835 OM3TBG        599    132 OH8Z          599    858 0
QSO: 21000 CW 2025-09-21 0836 OM3TBG        599    133 OH5Z          599   1680 0
QSO: 21000 CW 2025-09-21 0837 OM3TBG        599    134 OG7Z          599   1178 0
QSO: 21000 CW 2025-09-21 0838 OM3TBG        599    135 OH6RX         599   1626 0
QSO: 21000 CW 2025-09-21 0841 OM3TBG        599    136 LA9OI         599    805 0
QSO: 21000 CW 2025-09-21 0841 OM3TBG        599    137 OH7Z          599    685 0
QSO: 21000 CW 2025-09-21 0849 OM3TBG        599    138 OG6N          599   1163 0
QSO: 21000 CW 2025-09-21 0851 OM3TBG        599    139 OH2OA         599    707 0
QSO: 21000 CW 2025-09-21 0855 OM3TBG        599    140 OH2MGA        599    527 0
QSO: 21000 CW 2025-09-21 0857 OM3TBG        599    141 LC5T          599    961 0
QSO: 21000 CW 2025-09-21 0859 OM3TBG        599    142 OH7K          599    701 0
QSO: 21000 CW 2025-09-21 0901 OM3TBG        599    143 SA2/S54MI     599    315 0
QSO: 21000 CW 2025-09-21 0903 OM3TBG        599    144 OH8MBN        599    659 0
QSO: 28000 CW 2025-09-21 0910 OM3TBG        599    145 TF3W          599   1524 0
QSO: 28000 CW 2025-09-21 0916 OM3TBG        599    146 SJ2W          599   1992 0
QSO: 28000 CW 2025-09-21 0917 OM3TBG        599    147 OG1F          599   1834 0
QSO: 21000 CW 2025-09-21 1119 OM3TBG        599    148 OH6LW         599    468 0
QSO: 21000 CW 2025-09-21 1122 OM3TBG        599    149 OG5B          599    970 0
QSO: 21000 CW 2025-09-21 1123 OM3TBG        599    150 OH7KBF        599    807 0
QSO: 21000 CW 2025-09-21 1127 OM3TBG        599    151 SD3A          599    540 0
QSO: 21000 CW 2025-09-21 1137 OM3TBG        599    152 OH3Z          599   1040 0
QSO: 21000 CW 2025-09-21 1140 OM3TBG        599    153 SJ2W          599   2182 0
QSO: 14000 CW 2025-09-21 1146 OM3TBG        599    154 OZ1FWM        599    114 0
QSO: 14000 CW 2025-09-21 1149 OM3TBG        599    155 LA/DH0JAE     599    290 0
QSO: 14000 CW 2025-09-21 1150 OM3TBG        599    156 LA8HGA        599    993 0
QSO: 14000 CW 2025-09-21 1152 OM3TBG        599    157 SE6K          599    515 0
QSO: 14000 CW 2025-09-21 1155 OM3TBG        599    158 SA0IAT        599    779 0
QSO: 14000 CW 2025-09-21 1157 OM3TBG        599    159 OH2PM         599    231 0
QSO: 14000 CW 2025-09-21 1159 OM3TBG        599    160 SD6M          599    913 0
END-OF-LOG:
