START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL1MWG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: 14
CLAIMED-SCORE: 41925
CREATED-BY: UcxLog 6.79
NAME: Markus Weber
CLUB: BAVARIAN CONTEST CLUB
SOAPBOX: This was my first Contest on HF (my third overall)
QSO: 14242 PH 2011-10-30 0756 DL1MWG        59  14     OG73X         59  15     0
QSO: 14245 PH 2011-10-30 0757 DL1MWG        59  14     SV1JGX        59  20     0
QSO: 14262 PH 2011-10-30 0759 DL1MWG        59  14     G5W           59  14     0
QSO: 14289 PH 2011-10-30 0804 DL1MWG        59  14     LZ5R          59  20     0
QSO: 14298 PH 2011-10-30 0807 DL1MWG        59  14     G6T           59  14     0
QSO: 14311 PH 2011-10-30 0811 DL1MWG        59  14     C37N          59  14     0
QSO: 14322 PH 2011-10-30 0812 DL1MWG        59  14     IZ8FOV        59  15     0
QSO: 14323 PH 2011-10-30 0814 DL1MWG        59  14     SZ1A          59  20     0
QSO: 14325 PH 2011-10-30 0815 DL1MWG        59  14     ED1T          59  14     0
QSO: 14344 PH 2011-10-30 0819 DL1MWG        59  14     ES5G          59  15     0
QSO: 21130 PH 2011-10-30 0823 DL1MWG        59  14     EA7ELY        59  14     0
QSO: 21137 PH 2011-10-30 0825 DL1MWG        59  14     PW7T          59  11     0
QSO: 21145 PH 2011-10-30 0827 DL1MWG        59  14     UT4EK         59  16     0
QSO: 21146 PH 2011-10-30 0828 DL1MWG        59  14     RL6M          59  16     0
QSO: 21150 PH 2011-10-30 0830 DL1MWG        59  14     A73A          59  21     0
QSO: 21178 PH 2011-10-30 0837 DL1MWG        59  14     SV1UT         59  20     0
QSO: 21186 PH 2011-10-30 0839 DL1MWG        59  14     UA1AFZ        59  16     0
QSO: 21187 PH 2011-10-30 0840 DL1MWG        59  14     RA3TT         59  16     0
QSO: 21204 PH 2011-10-30 0851 DL1MWG        59  14     EE5I          59  14     0
QSO: 21215 PH 2011-10-30 0852 DL1MWG        59  14     RW4W          59  16     0
QSO: 21217 PH 2011-10-30 0853 DL1MWG        59  14     UA4W          59  16     0
QSO: 21219 PH 2011-10-30 0856 DL1MWG        59  14     A65BP         59  21     0
QSO: 21245 PH 2011-10-30 0907 DL1MWG        59  14     EE9Z          59  33     0
QSO: 21249 PH 2011-10-30 0910 DL1MWG        59  14     RU5A          59  16     0
QSO: 21302 PH 2011-10-30 0920 DL1MWG        59  14     UU7J          59  16     0
QSO: 21305 PH 2011-10-30 0923 DL1MWG        59  14     EE7L          59  14     0
QSO: 21326 PH 2011-10-30 0936 DL1MWG        59  14     EA7LL         59  14     0
QSO: 21396 PH 2011-10-30 0944 DL1MWG        59  14     H22H          59  20     0
QSO: 21412 PH 2011-10-30 0947 DL1MWG        59  14     CS5DX         59  14     0
QSO: 21415 PH 2011-10-30 0948 DL1MWG        59  14     GM7A          59  14     0
QSO: 21419 PH 2011-10-30 0950 DL1MWG        59  14     RT4RO         59  16     0
QSO: 21426 PH 2011-10-30 0952 DL1MWG        59  14     OG6N          59  15     0
QSO: 21431 PH 2011-10-30 0953 DL1MWG        59  14     ES5RY         59  15     0
QSO: 21436 PH 2011-10-30 0953 DL1MWG        59  14     RX1CQ         59  16     0
QSO: 28289 PH 2011-10-30 1010 DL1MWG        59  14     P3J           59  20     0
QSO: 28292 PH 2011-10-30 1010 DL1MWG        59  14     EK6TA         59  21     0
QSO: 28303 PH 2011-10-30 1012 DL1MWG        59  14     EU6AA         59  16     0
QSO: 28336 PH 2011-10-30 1013 DL1MWG        59  14     RX6AM         59  16     0
QSO: 28338 PH 2011-10-30 1016 DL1MWG        59  14     R7AW          59  16     0
QSO: 28386 PH 2011-10-30 1021 DL1MWG        59  14     CR3A          59  33     0
QSO: 28396 PH 2011-10-30 1022 DL1MWG        59  14     P33W          59  20     0
QSO: 28401 PH 2011-10-30 1030 DL1MWG        59  14     A65BP         59  21     0
QSO: 28426 PH 2011-10-30 1031 DL1MWG        59  14     EI9E          59  14     0
QSO: 28447 PH 2011-10-30 1032 DL1MWG        59  14     R3GZ          59  16     0
QSO: 28450 PH 2011-10-30 1045 DL1MWG        59  14     A73A          59  21     0
QSO: 28510 PH 2011-10-30 1053 DL1MWG        59  14     RW0A          59  18     0
QSO: 28553 PH 2011-10-30 1103 DL1MWG        59  14     RA9JBA        59  17     0
QSO: 28554 PH 2011-10-30 1103 DL1MWG        59  14     H2T           59  20     0
QSO: 28618 PH 2011-10-30 1109 DL1MWG        59  14     RT4RO         59  16     0
QSO: 28627 PH 2011-10-30 1111 DL1MWG        59  14     UB0A          59  18     0
QSO: 28633 PH 2011-10-30 1113 DL1MWG        59  14     UA1OMS        59  16     0
QSO: 28637 PH 2011-10-30 1114 DL1MWG        59  14     CT3HF         59  33     0
QSO: 28688 PH 2011-10-30 1117 DL1MWG        59  14     RA6XV         59  16     0
QSO: 28751 PH 2011-10-30 1120 DL1MWG        59  14     G0TSM         59  14     0
QSO: 28798 PH 2011-10-30 1124 DL1MWG        59  14     CT3FQ         59  33     0
QSO: 28817 PH 2011-10-30 1130 DL1MWG        59  14     ZX2B          59  11     0
QSO: 28829 PH 2011-10-30 1429 DL1MWG        59  14     NE8P          59  4      0
QSO: 28846 PH 2011-10-30 1432 DL1MWG        59  14     N1LN          59  5      0
QSO: 28848 PH 2011-10-30 1435 DL1MWG        59  14     W2FU          59  5      0
QSO: 28853 PH 2011-10-30 1436 DL1MWG        59  14     NA4K          59  4      0
QSO: 28858 PH 2011-10-30 1439 DL1MWG        59  14     K3XC          59  4      0
QSO: 28874 PH 2011-10-30 1442 DL1MWG        59  14     W0AIH         59  4      0
QSO: 28887 PH 2011-10-30 1448 DL1MWG        59  14     N7DR          59  4      0
QSO: 28896 PH 2011-10-30 1450 DL1MWG        59  14     KC1XX         59  5      0
QSO: 28901 PH 2011-10-30 1451 DL1MWG        59  14     W5PR          59  4      0
QSO: 28905 PH 2011-10-30 1453 DL1MWG        59  14     W9RE          59  4      0
QSO: 28938 PH 2011-10-30 1456 DL1MWG        59  14     K0OB          59  4      0
QSO: 28942 PH 2011-10-30 1459 DL1MWG        59  14     IR2L          59  15     0
QSO: 28948 PH 2011-10-30 1500 DL1MWG        59  14     K0EJ          59  4      0
QSO: 28954 PH 2011-10-30 1501 DL1MWG        59  14     N2WN          59  4      0
QSO: 28968 PH 2011-10-30 1506 DL1MWG        59  14     SP1RKT        59  15     0
QSO: 28998 PH 2011-10-30 1510 DL1MWG        59  14     K2PLF         59  5      0
QSO: 29002 PH 2011-10-30 1511 DL1MWG        59  14     K2PS          59  5      0
QSO: 29014 PH 2011-10-30 1512 DL1MWG        59  14     VA3EC         59  04     0
QSO: 29018 PH 2011-10-30 1513 DL1MWG        59  14     N4XD          59  5      0
QSO: 29030 PH 2011-10-30 1515 DL1MWG        59  14     N0AT          59  4      0
QSO: 21137 PH 2011-10-30 1519 DL1MWG        59  14     VY2TT         59  5      0
QSO: 21146 PH 2011-10-30 1523 DL1MWG        59  14     VE3JM         59  04     0
QSO: 21148 PH 2011-10-30 1524 DL1MWG        59  14     IT9YAO        59  15     0
QSO: 21173 PH 2011-10-30 1530 DL1MWG        59  14     UA3RC         59  16     0
QSO: 21187 PH 2011-10-30 1534 DL1MWG        59  14     CR3L          59  33     0
QSO: 21222 PH 2011-10-30 1601 DL1MWG        59  14     K3LR          59  5      0
QSO: 14108 PH 2011-10-30 1623 DL1MWG        59  14     UT7E          59  16     0
QSO: 14113 PH 2011-10-30 1625 DL1MWG        59  14     VU2PAI        59  22     0
QSO: 14141 PH 2011-10-30 1635 DL1MWG        59  14     OH2BAH        59  15     0
QSO: 14161 PH 2011-10-30 1638 DL1MWG        59  14     OH2BH         59  15     0
QSO: 14190 PH 2011-10-30 1645 DL1MWG        59  14     RM3Q          59  16     0
QSO: 14216 PH 2011-10-30 1649 DL1MWG        59  14     UT0MF         59  16     0
QSO: 14233 PH 2011-10-30 1653 DL1MWG        59  14     UU7J          59  16     0
QSO: 14241 PH 2011-10-30 1654 DL1MWG        59  14     C4W           59  20     0
QSO: 14254 PH 2011-10-30 1657 DL1MWG        59  14     UY7MM         59  16     0
QSO: 14301 PH 2011-10-30 1707 DL1MWG        59  14     UA5A          59  16     0
QSO: 14305 PH 2011-10-30 1708 DL1MWG        59  14     ED5O          59  14     0
QSO: 14321 PH 2011-10-30 1710 DL1MWG        59  14     RL3A          59  16     0
QSO: 14326 PH 2011-10-30 1712 DL1MWG        59  14     SX5P          59  20     0
QSO:  7050 PH 2011-10-30 1717 DL1MWG        59  14     EE3E          59  14     0
QSO:  7058 PH 2011-10-30 1718 DL1MWG        59  14     IK3UNA/1      59  15     0
QSO:  7063 PH 2011-10-30 1720 DL1MWG        59  14     SQ0OSE        59  15     0
QSO:  7066 PH 2011-10-30 1724 DL1MWG        59  14     RM3F          59  16     0
QSO:  7070 PH 2011-10-30 1725 DL1MWG        59  14     J48OV         59  20     0
QSO:  7078 PH 2011-10-30 1728 DL1MWG        59  14     RU9CK         59  17     0
QSO:  7080 PH 2011-10-30 1729 DL1MWG        59  14     SQ9HZM        59  15     0
QSO:  7084 PH 2011-10-30 1737 DL1MWG        59  14     R3CM          59  16     0
QSO:  7088 PH 2011-10-30 1737 DL1MWG        59  14     OH0V          59  15     0
QSO:  7093 PH 2011-10-30 1741 DL1MWG        59  14     IZ4GWE        59  15     0
QSO:  7107 PH 2011-10-30 1748 DL1MWG        59  14     EV1R          59  16     0
QSO:  7110 PH 2011-10-30 1755 DL1MWG        59  14     4L0A          59  21     0
QSO:  7126 PH 2011-10-30 1759 DL1MWG        59  14     IW2MZX        59  15     0
QSO:  7189 PH 2011-10-30 1813 DL1MWG        59  14     HA8PH         59  15     0
END-OF-LOG:
