START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.4.0
CONTEST: REF-CW
LOCATION: DX
CALLSIGN: SM3X
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 20223
OFFTIME: 2011-01-29 1030 2011-01-29 1225
OFFTIME: 2011-01-29 1718 2011-01-30 0816
OFFTIME: 2011-01-30 1012 2011-01-30 1321
OPERATORS: SM3CVM
CLUB: SK3JR
NAME: Lars Aronsson
SOAPBOX: 
RIG: TS-850, 3 ELE QUAD AND VERTICAL FÖR 7 MHz
QSO: 14000 CW 2011-01-29 1631 SM3X          599 098    F6DTZ         599 65    
QSO: 14000 CW 2011-01-29 1632 SM3X          599 099    F6APE         599 49    
QSO: 14000 CW 2011-01-29 1634 SM3X          599 100    F5ROL         599 83    
QSO: 14000 CW 2011-01-29 1637 SM3X          599 101    F5OZC/P       599 49    
QSO:  7000 CW 2011-01-29 1702 SM3X          599 102    F6KPQ/P       599 56    
QSO:  7000 CW 2011-01-29 1704 SM3X          599 103    F6DEV         599 09    
QSO:  7000 CW 2011-01-29 1705 SM3X          599 104    F5XX          599 81    
QSO:  7000 CW 2011-01-29 1713 SM3X          599 105    F8EMH         599 54    
QSO:  7000 CW 2011-01-29 1716 SM3X          599 106    F6ENO         599 51    
QSO:  7000 CW 2011-01-29 1718 SM3X          599 107    F3CW          599 54    
QSO:  7000 CW 2011-01-29 1718 SM3X          599 108    F6PTT         599 94    
QSO:  7000 CW 2011-01-30 0816 SM3X          599 109    F8BPN         599 19    
QSO:  7000 CW 2011-01-30 0819 SM3X          599 110    F6BUL/P       599 73    
QSO:  7000 CW 2011-01-30 0821 SM3X          599 111    F8BUO         599 68    
QSO:  7000 CW 2011-01-30 0835 SM3X          599 112    F5KKD         599 93    
QSO:  7000 CW 2011-01-30 0836 SM3X          599 113    F6HDI         599 57    
QSO:  7000 CW 2011-01-30 0838 SM3X          599 114    F5UTN         599 27    
QSO:  7000 CW 2011-01-30 0839 SM3X          599 115    F6KLO         599 19    
QSO:  7000 CW 2011-01-30 0845 SM3X          599 116    F5NKX         599 50    
QSO: 14000 CW 2011-01-30 0919 SM3X          599 117    F6EVG         599 08    
QSO: 14000 CW 2011-01-30 0921 SM3X          599 118    F6KRK         599 78    
QSO: 14000 CW 2011-01-30 0922 SM3X          599 119    F6KSV         599 29    
QSO: 14000 CW 2011-01-30 0924 SM3X          599 120    F6CXV         599 69    
QSO: 14000 CW 2011-01-30 0926 SM3X          599 121    F6FNL         599 81    
QSO: 14000 CW 2011-01-30 0927 SM3X          599 122    F8BPN         599 19    
QSO: 14000 CW 2011-01-30 0956 SM3X          599 123    F5MPN         599 08    
QSO: 14000 CW 2011-01-30 0957 SM3X          599 124    F6KPQ/P       599 56    
QSO: 14000 CW 2011-01-30 0959 SM3X          599 125    F5NTZ         599 77    
QSO: 14000 CW 2011-01-30 1012 SM3X          599 126    F6CZQ         599 73    
QSO: 14000 CW 2011-01-30 1321 SM3X          599 127    TM9FL         599 86    
QSO: 14000 CW 2011-01-30 1324 SM3X          599 128    F6BGH         599 57    
QSO: 14000 CW 2011-01-30 1328 SM3X          599 129    F8DRE         599 28    
QSO: 14000 CW 2011-01-30 1329 SM3X          599 130    F6FTB         599 21    
QSO: 14000 CW 2011-01-30 1330 SM3X          599 131    F5OCL         599 68    
QSO: 14000 CW 2011-01-30 1333 SM3X          599 132    F8BXS         599 01    
QSO: 14000 CW 2011-01-30 1335 SM3X          599 133    F8KHO         599 51    
QSO: 14000 CW 2011-01-30 1338 SM3X          599 134    F6EQI         599 24    
QSO: 14000 CW 2011-01-30 1339 SM3X          599 135    F5RWE         599 36    
QSO: 14000 CW 2011-01-30 1340 SM3X          599 136    F6DEO         599 95    
QSO: 14000 CW 2011-01-30 1341 SM3X          599 137    F5JMI         599 84    
QSO: 14000 CW 2011-01-30 1344 SM3X          599 138    F8FWM         599 95    
QSO: 14000 CW 2011-01-30 1345 SM3X          599 139    F5USS         599 59    
QSO: 14000 CW 2011-01-30 1346 SM3X          599 140    F8FSK         599 50    
QSO: 14000 CW 2011-01-30 1349 SM3X          599 141    F4EUG         599 22    
QSO: 14000 CW 2011-01-30 1350 SM3X          599 142    F5LWF         599 51    
QSO: 14000 CW 2011-01-30 1356 SM3X          599 143    F5SEY         599 44    
QSO: 14000 CW 2011-01-30 1359 SM3X          599 144    F5SSQ         599 86    
QSO: 14000 CW 2011-01-30 1400 SM3X          599 145    F5KED/P       599 36    
QSO: 14000 CW 2011-01-30 1401 SM3X          599 146    F6EKJ         599 21    
QSO: 14000 CW 2011-01-30 1403 SM3X          599 147    F6ATP         599 01    
QSO: 14000 CW 2011-01-30 1405 SM3X          599 148    F5ADH         599 60    
QSO: 14000 CW 2011-01-30 1408 SM3X          599 149    F5AKL         599 51    
QSO: 14000 CW 2011-01-30 1409 SM3X          599 150    F2AI          599 77    
QSO: 14000 CW 2011-01-30 1410 SM3X          599 151    F6GED         599 76    
QSO: 14000 CW 2011-01-30 1415 SM3X          599 152    F2NZ/P        599 44    
QSO: 14000 CW 2011-01-30 1416 SM3X          599 153    F8CZI         599 68    
QSO: 14000 CW 2011-01-30 1417 SM3X          599 154    F5RJW         599 71    
QSO: 14000 CW 2011-01-30 1419 SM3X          599 155    F6FNA         599 77    
QSO: 14000 CW 2011-01-30 1422 SM3X          599 156    F2IF          599 82    
QSO: 14000 CW 2011-01-30 1423 SM3X          599 157    F5AIB         599 54    
QSO: 14000 CW 2011-01-30 1425 SM3X          599 158    F5NQL         599 89    
QSO: 14000 CW 2011-01-30 1426 SM3X          599 159    F8NUH         599 38    
QSO: 14000 CW 2011-01-30 1427 SM3X          599 160    F5OGM         599 95    
QSO: 14000 CW 2011-01-30 1429 SM3X          599 161    F5MA          599 78    
QSO: 14000 CW 2011-01-30 1431 SM3X          599 162    TM22P         599 22    
QSO: 14000 CW 2011-01-30 1531 SM3X          599 163    F6HJO/P       599 21    
QSO: 14000 CW 2011-01-30 1540 SM3X          599 164    F5VV          599 01    
QSO: 14000 CW 2011-01-30 1542 SM3X          599 165    F6BAG         599 45    
QSO: 14000 CW 2011-01-30 1543 SM3X          599 166    F1BZG         599 45    
QSO: 14000 CW 2011-01-30 1545 SM3X          599 167    F5MPS         599 81    
QSO: 14000 CW 2011-01-30 1547 SM3X          599 168    FM5AN         599 FM    
QSO: 14000 CW 2011-01-30 1548 SM3X          599 169    F6CFB         599 49    
QSO: 14000 CW 2011-01-30 1549 SM3X          599 170    F5SZB         599 16    
QSO: 14000 CW 2011-01-30 1550 SM3X          599 171    F6ACD         599 85    
QSO: 14000 CW 2011-01-30 1551 SM3X          599 172    F4BDG         599 77    
QSO: 14000 CW 2011-01-30 1551 SM3X          599 173    F5INJ         599 80    
QSO: 14000 CW 2011-01-30 1552 SM3X          599 174    F6CYT         599 44    
QSO: 14000 CW 2011-01-30 1553 SM3X          599 175    F5JU          599 35    
QSO: 14000 CW 2011-01-30 1554 SM3X          599 176    F8TMQ         599 38    
QSO: 14000 CW 2011-01-30 1556 SM3X          599 177    F6KAP         599 17    
QSO: 14000 CW 2011-01-30 1557 SM3X          599 178    F5VHC         599 86    
QSO: 14000 CW 2011-01-30 1558 SM3X          599 179    F5LMJ         599 67    
QSO: 14000 CW 2011-01-30 1600 SM3X          599 180    F5OWL         599 83    
QSO:  7000 CW 2011-01-30 1728 SM3X          599 181    F5NHJ         599 32    
QSO:  7000 CW 2011-01-30 1734 SM3X          599 182    F6KDU/P       599 64    
QSO:  7000 CW 2011-01-30 1736 SM3X          599 183    F6ACD         599 85    
QSO:  7000 CW 2011-01-30 1743 SM3X          599 184    F5UB          599 62    
QSO:  7000 CW 2011-01-30 1745 SM3X          599 185    F5VJC         599 50    
QSO:  7000 CW 2011-01-30 1748 SM3X          599 186    F6CZV         599 92    
QSO:  7000 CW 2011-01-30 1755 SM3X          599 187    F8DRE         599 28    
END-OF-LOG:

