START-OF-LOG: 3.0
CALLSIGN: W9YK
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 65044
NAME: E F Benson
LOCATION: IL
OPERATORS: W9YK
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6014.0
SOAPBOX: Good to work the world even if propagation doesn't cooperate
QSO: 14021 CW 2016-11-26 1320 W9YK          599 4      IR4M          599 15
QSO: 14034 CW 2016-11-26 1354 W9YK          599 4      YT5A          599 15
QSO: 14039 CW 2016-11-26 1359 W9YK          599 4      OE5OHO        599 15
QSO: 14040 CW 2016-11-26 1907 W9YK          599 4      VE2VIA        599 05
QSO: 14036 CW 2016-11-26 2300 W9YK          599 4      ZF2MJ         599 08
QSO: 14027 CW 2016-11-26 2301 W9YK          599 4      KH7M          599 31
QSO: 14016 CW 2016-11-26 2305 W9YK          599 4      VE7SZ         599 03
QSO: 14007 CW 2016-11-26 2306 W9YK          599 4      VP5M          599 08
QSO:  7041 CW 2016-11-26 2308 W9YK          599 4      PJ4Q          599 09
QSO:  7031 CW 2016-11-26 2323 W9YK          599 4      XL3A          599 04
QSO:  7023 CW 2016-11-26 2339 W9YK          599 4      DR4A          599 14
QSO:  7022 CW 2016-11-26 2340 W9YK          599 4      S57Z          599 15
QSO:  7022 CW 2016-11-26 2341 W9YK          599 4      9A7A          599 15
QSO:  7021 CW 2016-11-26 2343 W9YK          599 4      ZX2F          599 11
QSO:  7021 CW 2016-11-26 2343 W9YK          599 4      CN2R          599 33
QSO:  7020 CW 2016-11-26 2344 W9YK          599 4      IR4M          599 15
QSO:  7019 CW 2016-11-26 2346 W9YK          599 4      CN2AA         599 33
QSO:  7017 CW 2016-11-26 2347 W9YK          599 4      HK1NA         599 09
QSO:  7015 CW 2016-11-26 2348 W9YK          599 4      CR3W          599 33
QSO:  7014 CW 2016-11-26 2349 W9YK          599 4      DR5N          599 14
QSO:  7014 CW 2016-11-26 2350 W9YK          599 4      PZ5V          599 09
QSO:  7013 CW 2016-11-26 2350 W9YK          599 4      VP5CW         599 08
QSO:  7009 CW 2016-11-26 2351 W9YK          599 4      YT5A          599 15
QSO:  7018 CW 2016-11-26 2353 W9YK          599 4      IO5O          599 15
QSO:  7056 CW 2016-11-26 2356 W9YK          599 4      PJ2T          599 09
QSO:  7053 CW 2016-11-26 2358 W9YK          599 4      YN2SX         599 07
QSO:  3511 CW 2016-11-27 0003 W9YK          599 4      VE3JM         599 04
QSO:  3530 CW 2016-11-27 0240 W9YK          599 4      VE7VR         599 03
QSO:  3521 CW 2016-11-27 0242 W9YK          599 4      XE2ST         599 06
QSO:  3513 CW 2016-11-27 0244 W9YK          599 4      VE7GL         599 03
QSO:  3509 CW 2016-11-27 1004 W9YK          599 4      VE3EJ         599 04
QSO:  3519 CW 2016-11-27 1005 W9YK          599 4      4M1K          599 09
QSO:  3518 CW 2016-11-27 1043 W9YK          599 4      VA7DZ         599 03
QSO:  3515 CW 2016-11-27 1045 W9YK          599 4      ZF2MJ         599 08
QSO:  3510 CW 2016-11-27 1046 W9YK          599 4      6Y3T          599 08
QSO:  3509 CW 2016-11-27 1047 W9YK          599 4      VC3W/2        599 05
QSO:  3507 CW 2016-11-27 1048 W9YK          599 4      HK1NA         599 09
QSO:  3525 CW 2016-11-27 1116 W9YK          599 4      VE7NY         599 03
QSO:  3531 CW 2016-11-27 1117 W9YK          599 4      N7AT          599 03
QSO:  3537 CW 2016-11-27 1120 W9YK          599 4      KH6J          599 31
QSO:  3544 CW 2016-11-27 1121 W9YK          599 4      VA3DF         599 04
QSO:  3530 CW 2016-11-27 1126 W9YK          599 4      TI5W          599 07
QSO:  3529 CW 2016-11-27 1127 W9YK          599 4      XE2X          599 06
QSO:  7022 CW 2016-11-27 1144 W9YK          599 4      VK6LW         599 29
QSO:  7035 CW 2016-11-27 1146 W9YK          599 4      PJ4A          599 09
QSO:  7031 CW 2016-11-27 1156 W9YK          599 4      VE9HF         599 05
QSO:  7025 CW 2016-11-27 1159 W9YK          599 4      VE2VIA        599 05
QSO: 21017 CW 2016-11-27 1446 W9YK          599 4      ZF9CW         599 08
QSO: 21019 CW 2016-11-27 1452 W9YK          599 4      VP5M          599 08
QSO: 21017 CW 2016-11-27 1524 W9YK          599 4      6Y3T          599 08
QSO: 21013 CW 2016-11-27 1542 W9YK          599 4      K5TR          599 04
QSO: 21019 CW 2016-11-27 1547 W9YK          599 4      XE1ZW         599 06
QSO: 21020 CW 2016-11-27 1548 W9YK          599 4      TM2Y          599 14
QSO: 21021 CW 2016-11-27 1548 W9YK          599 4      EF5T          599 14
QSO: 21022 CW 2016-11-27 1550 W9YK          599 4      EF8R          599 33
QSO: 21023 CW 2016-11-27 1551 W9YK          599 4      CO8ZZ         599 08
QSO: 21025 CW 2016-11-27 1552 W9YK          599 4      LX7I          599 14
QSO: 21031 CW 2016-11-27 1556 W9YK          599 4      TM6M          599 14
QSO: 21033 CW 2016-11-27 1557 W9YK          599 4      CU4DX         599 14
QSO: 21044 CW 2016-11-27 1558 W9YK          599 4      I2VXJ         599 15
QSO: 21048 CW 2016-11-27 1559 W9YK          599 4      V47T          599 08
QSO: 21049 CW 2016-11-27 1600 W9YK          599 4      PJ4A          599 09
QSO: 21055 CW 2016-11-27 1602 W9YK          599 4      CQ8CQ         599 14
QSO: 21064 CW 2016-11-27 1607 W9YK          599 4      KP4BD         599 08
QSO: 21066 CW 2016-11-27 1611 W9YK          599 4      ZD8W          599 36
QSO: 21068 CW 2016-11-27 1625 W9YK          599 4      TM1A          599 14
QSO: 21064 CW 2016-11-27 1637 W9YK          599 4      CR6K          599 14
QSO: 21032 CW 2016-11-27 1643 W9YK          599 4      PJ2T          599 09
QSO: 21030 CW 2016-11-27 1643 W9YK          599 4      HK1NA         599 09
QSO: 21028 CW 2016-11-27 1644 W9YK          599 4      N6WM          599 03
QSO: 21025 CW 2016-11-27 1646 W9YK          599 4      VO1BQ         599 05
QSO: 21025 CW 2016-11-27 1647 W9YK          599 4      VP2VI         599 08
QSO: 21010 CW 2016-11-27 1654 W9YK          599 4      KP2M          599 08
QSO: 21009 CW 2016-11-27 1655 W9YK          599 4      CN2R          599 33
QSO: 21008 CW 2016-11-27 1655 W9YK          599 4      ZF2MJ         599 08
QSO: 21007 CW 2016-11-27 1657 W9YK          599 4      CN2AA         599 33
QSO: 21005 CW 2016-11-27 1657 W9YK          599 4      PZ5V          599 09
QSO: 21008 CW 2016-11-27 1659 W9YK          599 4      EA1RKV        599 14
QSO: 28008 CW 2016-11-27 1706 W9YK          599 4      XE1CT         599 06
QSO: 28003 CW 2016-11-27 1707 W9YK          599 4      HK1NA         599 09
QSO: 28002 CW 2016-11-27 1707 W9YK          599 4      CW4MAX        599 13
QSO: 28018 CW 2016-11-27 1709 W9YK          599 4      WX0B          599 04
QSO: 14022 CW 2016-11-27 1712 W9YK          599 4      EA1DAV        599 14
QSO: 14023 CW 2016-11-27 1713 W9YK          599 4      J70BH         599 08
QSO: 14004 CW 2016-11-27 1724 W9YK          599 4      K5TR          599 04
QSO: 14008 CW 2016-11-27 1725 W9YK          599 4      VE3EJ         599 04
QSO: 14011 CW 2016-11-27 1726 W9YK          599 4      EA5FV         599 14
QSO: 14012 CW 2016-11-27 1727 W9YK          599 4      IK3SCB        599 15
QSO: 14013 CW 2016-11-27 1728 W9YK          599 4      HK1NA         599 09
QSO: 14015 CW 2016-11-27 1729 W9YK          599 4      N9RV          599 04
QSO: 14016 CW 2016-11-27 1730 W9YK          599 4      TM6X          599 14
QSO: 14028 CW 2016-11-27 1732 W9YK          599 4      KH6J          599 31
QSO: 14029 CW 2016-11-27 1733 W9YK          599 4      TI5W          599 07
QSO: 14030 CW 2016-11-27 1733 W9YK          599 4      IO4T          599 15
QSO: 14032 CW 2016-11-27 1735 W9YK          599 4      ED2RA         599 14
QSO: 14034 CW 2016-11-27 1736 W9YK          599 4      PJ4Q          599 09
QSO: 14035 CW 2016-11-27 1736 W9YK          599 4      VP2VI         599 08
QSO: 14041 CW 2016-11-27 1738 W9YK          599 4      KP2M          599 08
QSO: 14043 CW 2016-11-27 1738 W9YK          599 4      VC2T          599 05
QSO: 14045 CW 2016-11-27 1740 W9YK          599 4      TF3CW         599 40
QSO: 14046 CW 2016-11-27 1741 W9YK          599 4      FY5KE         599 09
QSO: 14047 CW 2016-11-27 1742 W9YK          599 4      CN8KD         599 33
QSO: 14053 CW 2016-11-27 2000 W9YK          599 4      VA1MM         599 05
QSO: 14047 CW 2016-11-27 2002 W9YK          599 4      PJ2T          599 09
QSO: 14043 CW 2016-11-27 2003 W9YK          599 4      YT1A          599 15
QSO: 14042 CW 2016-11-27 2004 W9YK          599 4      VP9I          599 05
QSO: 14040 CW 2016-11-27 2005 W9YK          599 4      LZ9W          599 20
QSO: 14036 CW 2016-11-27 2006 W9YK          599 4      ZF9CW         599 08
QSO: 14036 CW 2016-11-27 2006 W9YK          599 4      PZ5V          599 09
QSO: 14030 CW 2016-11-27 2007 W9YK          599 4      VE2FK         599 05
QSO: 14027 CW 2016-11-27 2012 W9YK          599 4      ZD8W          599 36
QSO: 14026 CW 2016-11-27 2013 W9YK          599 4      VE7GL         599 03
QSO: 14024 CW 2016-11-27 2014 W9YK          599 4      PR7AB         599 11
QSO: 14021 CW 2016-11-27 2024 W9YK          599 4      CO2JD         599 08
QSO: 14020 CW 2016-11-27 2026 W9YK          599 4      XE2B          599 06
QSO: 14038 CW 2016-11-27 2057 W9YK          599 4      KP4EJ         599 08
QSO: 14041 CW 2016-11-27 2100 W9YK          599 4      P49Y          599 09
QSO: 14050 CW 2016-11-27 2111 W9YK          599 4      KP2Q          599 08
QSO: 14058 CW 2016-11-27 2113 W9YK          599 4      NP2P          599 08
QSO: 14058 CW 2016-11-27 2113 W9YK          599 4      9Y4/VE3EY     599 09
QSO: 14061 CW 2016-11-27 2114 W9YK          599 4      8P5A          599 08
QSO: 14063 CW 2016-11-27 2115 W9YK          599 4      V26K          599 08
QSO: 14094 CW 2016-11-27 2116 W9YK          599 4      CO8ZZ         599 08
QSO: 14013 CW 2016-11-27 2119 W9YK          599 4      YW4D          599 09
QSO: 14017 CW 2016-11-27 2125 W9YK          599 4      6Y3T          599 08
QSO: 14023 CW 2016-11-27 2126 W9YK          599 4      VE7FO         599 03
QSO:  7019 CW 2016-11-27 2314 W9YK          599 4      P40W          599 09
QSO:  7020 CW 2016-11-27 2315 W9YK          599 4      VC3W/2        599 02
QSO:  7005 CW 2016-11-27 2323 W9YK          599 4      DL1A          599 14
QSO:  7006 CW 2016-11-27 2323 W9YK          599 4      TK0C          599 15
QSO:  7010 CW 2016-11-27 2328 W9YK          599 4      TM1A          599 14
QSO:  7019 CW 2016-11-27 2330 W9YK          599 4      S52AW         599 15
QSO:  7034 CW 2016-11-27 2333 W9YK          599 4      OK2D          599 15
QSO:  7041 CW 2016-11-27 2335 W9YK          599 4      OL3Z          599 15
QSO:  7045 CW 2016-11-27 2339 W9YK          599 4      CU4DX         599 14
QSO:  7048 CW 2016-11-27 2340 W9YK          599 4      NP4DX         599 08
QSO:  7048 CW 2016-11-27 2353 W9YK          599 4      EF8R          599 33
QSO:  7053 CW 2016-11-27 2354 W9YK          599 4      VE6WZ         599 04
QSO:  7060 CW 2016-11-27 2355 W9YK          599 4      S50A          599 15
QSO:  7061 CW 2016-11-27 2357 W9YK          599 4      HG5F          599 15
QSO:  7063 CW 2016-11-27 2358 W9YK          599 4      V26K          599 08
QSO:  7066 CW 2016-11-27 2358 W9YK          599 4      KP2Q          599 08
END-OF-LOG:
