START-OF-LOG: 3.0
CALLSIGN: DL3NGN
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 8284
NAME: Thomas Arnol
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UcxLog 7.58
SOAPBOX: Hard job with only 5W on a 2x8.5m vertical Dipol
QSO:  3500 CW 2016-11-26 1920 DL3NGN        599 14     HG1S          599 15     0
QSO:  3500 CW 2016-11-26 1922 DL3NGN        599 14     M3X           599 14     0
QSO:  3500 CW 2016-11-26 1924 DL3NGN        599 14     HG7T          599 15     0
QSO:  1800 CW 2016-11-26 1946 DL3NGN        599 14     DM5N          599 14     0
QSO:  3500 CW 2016-11-26 1950 DL3NGN        599 14     S53X          599 15     0
QSO:  3500 CW 2016-11-26 1951 DL3NGN        599 14     PI4COM        599 14     0
QSO:  3500 CW 2016-11-26 1954 DL3NGN        599 14     OM7RU         599 15     0
QSO:  3500 CW 2016-11-26 1956 DL3NGN        599 14     LY9A          599 15     0
QSO:  3500 CW 2016-11-26 1958 DL3NGN        599 14     UR4LRG        599 16     0
QSO:  1800 CW 2016-11-26 2007 DL3NGN        599 14     9A1A          599 15     0
QSO:  1800 CW 2016-11-26 2010 DL3NGN        599 14     OK1TN         599 15     0
QSO:  3500 CW 2016-11-26 2017 DL3NGN        599 14     HG6N          599 15     0
QSO:  3500 CW 2016-11-26 2027 DL3NGN        599 14     OH5DX         599 15     0
QSO:  3500 CW 2016-11-26 2028 DL3NGN        599 14     YU0U          599 15     0
QSO:  3500 CW 2016-11-26 2029 DL3NGN        599 14     S57K          599 15     0
QSO:  3500 CW 2016-11-26 2031 DL3NGN        599 14     3Z0X          599 15     0
QSO:  3500 CW 2016-11-26 2032 DL3NGN        599 14     IK5ZWU        599 15     0
QSO:  3500 CW 2016-11-26 2037 DL3NGN        599 14     SP5XO         599 15     0
QSO:  3500 CW 2016-11-26 2039 DL3NGN        599 14     LZ6Y          599 20     0
QSO:  3500 CW 2016-11-26 2044 DL3NGN        599 14     PA6Y          599 14     0
QSO:  3500 CW 2016-11-26 2045 DL3NGN        599 14     SO4R          599 15     0
QSO:  3500 CW 2016-11-26 2047 DL3NGN        599 14     R7AZ          599 16     0
QSO:  3500 CW 2016-11-26 2049 DL3NGN        599 14     SP2KPD        599 15     0
QSO:  3500 CW 2016-11-26 2051 DL3NGN        599 14     UA1OMS        599 16     0
QSO:  3500 CW 2016-11-26 2053 DL3NGN        599 14     LY2MM         599 15     0
QSO:  3500 CW 2016-11-26 2054 DL3NGN        599 14     YT5A          599 15     0
QSO:  3500 CW 2016-11-26 2100 DL3NGN        599 14     M3W           599 14     0
QSO:  3500 CW 2016-11-26 2102 DL3NGN        599 14     9A1A          599 15     0
QSO:  3500 CW 2016-11-26 2103 DL3NGN        599 14     OK2QA         599 15     0
QSO:  3500 CW 2016-11-26 2108 DL3NGN        599 14     SP4DZT        599 15     0
QSO:  1800 CW 2016-11-26 2111 DL3NGN        599 14     DR3A          599 14     0
QSO:  1800 CW 2016-11-26 2112 DL3NGN        599 14     DR4A          599 14     0
QSO:  3500 CW 2016-11-26 2129 DL3NGN        599 14     UA1ANA        599 16     0
QSO:  3500 CW 2016-11-26 2131 DL3NGN        599 14     OH8A          599 15     0
QSO:  3500 CW 2016-11-26 2141 DL3NGN        599 14     PI4CC         599 14     0
QSO:  3500 CW 2016-11-26 2149 DL3NGN        599 14     RA0AM         599 17     0
QSO:  7000 CW 2016-11-27 0725 DL3NGN        599 14     9A1A          599 15     0
QSO:  7000 CW 2016-11-27 0727 DL3NGN        599 14     S52AW         599 15     0
QSO:  7000 CW 2016-11-27 0728 DL3NGN        599 14     S51YI         599 15     0
QSO:  7000 CW 2016-11-27 0731 DL3NGN        599 14     YO9SP         599 20     0
QSO:  7000 CW 2016-11-27 0732 DL3NGN        599 14     HA8KW         599 15     0
QSO:  7000 CW 2016-11-27 0734 DL3NGN        599 14     SO4M          599 15     0
QSO:  7000 CW 2016-11-27 0735 DL3NGN        599 14     OM4Q          599 15     0
QSO:  7000 CW 2016-11-27 0736 DL3NGN        599 14     YT8I          599 15     0
QSO:  7000 CW 2016-11-27 0737 DL3NGN        599 14     YT6W          599 15     0
QSO:  7000 CW 2016-11-27 0737 DL3NGN        599 14     YT7A          599 15     0
QSO:  7000 CW 2016-11-27 0739 DL3NGN        599 14     OH3OJ         599 15     0
QSO:  7000 CW 2016-11-27 0741 DL3NGN        599 14     OM5AW         599 15     0
QSO:  7000 CW 2016-11-27 0743 DL3NGN        599 14     OM9Q          599 15     0
QSO:  7000 CW 2016-11-27 0744 DL3NGN        599 14     SN8Q          599 15     0
QSO:  7000 CW 2016-11-27 0745 DL3NGN        599 14     HA8FM         599 15     0
QSO: 14000 CW 2016-11-27 1147 DL3NGN        599 14     OH8X          599 15     0
QSO: 14000 CW 2016-11-27 1316 DL3NGN        599 14     RK4F          599 16     0
QSO: 14000 CW 2016-11-27 1319 DL3NGN        599 14     N2MF          599 05     0
QSO: 14000 CW 2016-11-27 1424 DL3NGN        599 14     CN2AA         599 33     0
QSO: 14000 CW 2016-11-27 1444 DL3NGN        599 14     3V8SS         599 33     0
QSO: 14000 CW 2016-11-27 1445 DL3NGN        599 14     EA1DAV        599 14     0
QSO:  7000 CW 2016-11-27 1755 DL3NGN        599 14     U7AB          599 16     0
QSO:  7000 CW 2016-11-27 1800 DL3NGN        599 14     IZ8FWN        599 15     0
QSO:  7000 CW 2016-11-27 1802 DL3NGN        599 14     UZ7K          599 16     0
END-OF-LOG:
