START-OF-LOG: 3.0
CALLSIGN: M0NQN
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 13464
NAME: Bob
LOCATION: DX
OPERATORS: M0NQN
CLUB: Gloucester Amateur Radio and Electronics Society
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: The weekend heralded a slight improvement in conditions on HF.
QSO:  7075 CW 2016-11-26 1724 M0NQN         599 14     UA5D          599 16
QSO: 14032 CW 2016-11-26 1729 M0NQN         599 14     W3W           599 05
QSO: 14006 CW 2016-11-26 1731 M0NQN         599 14     W3UA          599 05
QSO: 14004 CW 2016-11-26 1733 M0NQN         599 14     K1ZZ          599 05
QSO: 14053 CW 2016-11-26 1735 M0NQN         599 14     FY5KE         599 09
QSO: 14053 CW 2016-11-26 1736 M0NQN         599 14     VE9CB         599 05
QSO: 14039 CW 2016-11-26 1737 M0NQN         599 14     K0ZR          599 05
QSO: 14024 CW 2016-11-26 1739 M0NQN         599 14     K1KP          599 05
QSO: 14008 CW 2016-11-26 1740 M0NQN         599 14     K1KI          599 05
QSO: 14003 CW 2016-11-26 1742 M0NQN         599 14     K8AZ          599 04
QSO:  7000 CW 2016-11-26 2026 M0NQN         599 14     PJ2T          599 09
QSO:  7000 CW 2016-11-26 2030 M0NQN         599 14     NR4M          599 05
QSO:  7000 CW 2016-11-26 2043 M0NQN         599 14     WE3C          599 05
QSO:  7019 CW 2016-11-26 2047 M0NQN         599 14     CN2AA         599 33
QSO:  7004 CW 2016-11-26 2051 M0NQN         599 14     K3WW          599 05
QSO:  7001 CW 2016-11-26 2052 M0NQN         599 14     K2LE          599 05
QSO:  7062 CW 2016-11-26 2055 M0NQN         599 14     N5DX          599 05
QSO:  7016 CW 2016-11-27 0641 M0NQN         599 14     KP2M          599 08
QSO:  7012 CW 2016-11-27 0656 M0NQN         599 14     HK1NA         599 09
QSO:  7059 CW 2016-11-27 0710 M0NQN         599 14     PS2T          599 11
QSO:  7069 CW 2016-11-27 0718 M0NQN         599 14     NP4DX         599 08
QSO: 14041 CW 2016-11-27 0727 M0NQN         599 14     ZD8W          599 36
QSO: 21034 CW 2016-11-27 1425 M0NQN         599 14     P33W          599 20
QSO: 21038 CW 2016-11-27 1426 M0NQN         599 14     PV8ADI        599 11
QSO: 21038 CW 2016-11-27 1427 M0NQN         599 14     J70BH         599 08
QSO: 21073 CW 2016-11-27 1436 M0NQN         599 14     TO1A          599 09
QSO: 21066 CW 2016-11-27 1439 M0NQN         599 14     ZD8W          599 36
QSO: 21066 CW 2016-11-27 1455 M0NQN         599 14     HI3CC         599 08
QSO: 21049 CW 2016-11-27 1458 M0NQN         599 14     PJ4A          599 09
QSO: 21059 CW 2016-11-27 1503 M0NQN         599 14     KP2Q          599 08
QSO: 21005 CW 2016-11-27 1504 M0NQN         599 14     NR4M          599 05
QSO: 21029 CW 2016-11-27 1506 M0NQN         599 14     K3CCR         599 05
QSO: 21047 CW 2016-11-27 1508 M0NQN         599 14     V47T          599 22
QSO: 14063 CW 2016-11-27 1511 M0NQN         599 14     NO9E          599 05
QSO: 14066 CW 2016-11-27 1515 M0NQN         599 14     4U0WFP        599 15
QSO: 14035 CW 2016-11-27 1705 M0NQN         599 14     PJ4Q          599 09
QSO: 14062 CW 2016-11-27 1708 M0NQN         599 14     8P5A          599 08
QSO: 14086 CW 2016-11-27 1711 M0NQN         599 14     WB9Z          599 04
QSO: 14092 CW 2016-11-27 1712 M0NQN         599 14     K3OO          599 05
QSO: 14094 CW 2016-11-27 1713 M0NQN         599 14     CT9/R7KW      599 33
QSO: 14100 CW 2016-11-27 1720 M0NQN         599 14     KP4BD         599 08
QSO: 21039 CW 2016-11-27 1722 M0NQN         599 14     YW4D          599 09
QSO: 21022 CW 2016-11-27 1725 M0NQN         599 14     EF8R          599 33
QSO: 21046 CW 2016-11-27 1729 M0NQN         599 14     LP1H          599 13
QSO: 14022 CW 2016-11-27 1738 M0NQN         599 14     K6ND          599 05
QSO: 14001 CW 2016-11-27 1740 M0NQN         599 14     VE3JM         599 04
QSO: 14053 CW 2016-11-27 2102 M0NQN         599 14     LT1F          599 13
QSO: 14057 CW 2016-11-27 2102 M0NQN         599 14     PR9M          599 11
QSO: 14069 CW 2016-11-27 2105 M0NQN         599 14     PS2T          599 11
END-OF-LOG:
