START-OF-LOG: 3.0
CALLSIGN: LU8EHR
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 68354
NAME: Hugo Daniel Blanco
LOCATION: DX
OPERATORS: LU8EHR
CLUB: LU Contest Group
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Wonderfull as allways, perhaps too many time with Davis Cup...
QSO: 14000 CW 2016-11-26 0144 LU8EHR        599 13     OA4DX         599 10     0
QSO: 14000 CW 2016-11-26 0146 LU8EHR        599 13     D4C           599 35     0
QSO: 14000 CW 2016-11-26 0153 LU8EHR        599 13     JH8SLS        599 25     0
QSO:  7000 CW 2016-11-26 0215 LU8EHR        599 13     VE6WZ         599 04     0
QSO:  7000 CW 2016-11-26 0219 LU8EHR        599 13     K9OM          599 05     0
QSO:  7000 CW 2016-11-26 0222 LU8EHR        599 13     LY8O          599 15     0
QSO:  7000 CW 2016-11-26 0228 LU8EHR        599 13     PS2T          599 11     0
QSO:  7000 CW 2016-11-26 0235 LU8EHR        599 13     OA4SS         599 10     0
QSO:  7000 CW 2016-11-26 0237 LU8EHR        599 13     LU2WA         599 13     0
QSO:  7000 CW 2016-11-26 0240 LU8EHR        599 13     RA9Y          599 18     0
QSO:  7000 CW 2016-11-26 0247 LU8EHR        599 13     M6T           599 14     0
QSO:  7000 CW 2016-11-26 0254 LU8EHR        599 13     OU2W          599 14     0
QSO:  7000 CW 2016-11-26 0256 LU8EHR        599 13     RT6A          599 16     0
QSO:  7000 CW 2016-11-26 0302 LU8EHR        599 13     SN3A          599 15     0
QSO:  7000 CW 2016-11-26 0309 LU8EHR        599 13     DC4A          599 14     0
QSO:  7000 CW 2016-11-26 0318 LU8EHR        599 13     UC8U          599 18     0
QSO:  7000 CW 2016-11-26 0323 LU8EHR        599 13     I2VXJ         599 15     0
QSO:  7000 CW 2016-11-26 0325 LU8EHR        599 13     ZX2F          599 11     0
QSO:  7000 CW 2016-11-26 0329 LU8EHR        599 13     UA4S          599 16     0
QSO:  7000 CW 2016-11-26 0331 LU8EHR        599 13     PY1MX         599 11     0
QSO:  7000 CW 2016-11-26 0333 LU8EHR        599 13     HG7T          599 15     0
QSO:  7000 CW 2016-11-26 0336 LU8EHR        599 13     HG1S          599 15     0
QSO:  7000 CW 2016-11-26 0339 LU8EHR        599 13     OL6P          599 15     0
QSO:  7000 CW 2016-11-26 0348 LU8EHR        599 13     ZD8W          599 36     0
QSO:  7000 CW 2016-11-26 0356 LU8EHR        599 13     DD1A          599 14     0
QSO:  7000 CW 2016-11-26 0358 LU8EHR        599 13     SN8B          599 15     0
QSO:  7000 CW 2016-11-26 0401 LU8EHR        599 13     CB1H          599 12     0
QSO:  7000 CW 2016-11-26 0407 LU8EHR        599 13     N6WM          599 03     0
QSO:  3500 CW 2016-11-26 0435 LU8EHR        599 13     PS2T          599 11     0
QSO:  3500 CW 2016-11-26 0439 LU8EHR        599 13     LU1ICX        599 13     0
QSO: 14000 CW 2016-11-26 0452 LU8EHR        599 13     JA1BJI        599 25     0
QSO: 14000 CW 2016-11-26 0459 LU8EHR        599 13     JJ0JML        599 25     0
QSO: 14000 CW 2016-11-26 0502 LU8EHR        599 13     JE1LFX        599 25     0
QSO: 14000 CW 2016-11-26 0505 LU8EHR        599 13     7N4SJX        599 25     0
QSO: 14000 CW 2016-11-26 0507 LU8EHR        599 13     JA3YBK        599 25     0
QSO: 14000 CW 2016-11-26 0509 LU8EHR        599 13     FY5KE         599 09     0
QSO: 14000 CW 2016-11-26 0516 LU8EHR        599 13     HK1NA         599 09     0
QSO: 14000 CW 2016-11-26 0517 LU8EHR        599 13     PS2T          599 11     0
QSO: 14000 CW 2016-11-26 0528 LU8EHR        599 13     JE1ZWT        599 25     0
QSO: 14000 CW 2016-11-26 0531 LU8EHR        599 13     JR4OZR        599 25     0
QSO: 14000 CW 2016-11-26 0541 LU8EHR        599 13     DS4GGM        599 25     0
QSO: 14000 CW 2016-11-26 0547 LU8EHR        599 13     JR5YCE        599 25     0
QSO: 14000 CW 2016-11-26 0548 LU8EHR        599 13     PR9M          599 11     0
QSO: 14000 CW 2016-11-26 0551 LU8EHR        599 13     UP2L          599 17     0
QSO: 14000 CW 2016-11-26 0557 LU8EHR        599 13     JA6LCJ        599 25     0
QSO: 14000 CW 2016-11-26 0559 LU8EHR        599 13     V73NS         599 31     0
QSO: 14000 CW 2016-11-26 0600 LU8EHR        599 13     K3LR          599 05     0
QSO: 14000 CW 2016-11-26 0603 LU8EHR        599 13     RW9USA        599 18     0
QSO: 14000 CW 2016-11-26 0611 LU8EHR        599 13     TX8F          599 32     0
QSO: 14000 CW 2016-11-26 0616 LU8EHR        599 13     RT6A          599 16     0
QSO:  7000 CW 2016-11-26 0645 LU8EHR        599 13     PX2V          599 11     0
QSO:  7000 CW 2016-11-26 0648 LU8EHR        599 13     OH5DX         599 15     0
QSO:  7000 CW 2016-11-26 0650 LU8EHR        599 13     OM7RU         599 15     0
QSO:  7000 CW 2016-11-26 0703 LU8EHR        599 13     EA5KM         599 14     0
QSO:  7000 CW 2016-11-26 0705 LU8EHR        599 13     JA1BPA        599 25     0
QSO:  7000 CW 2016-11-26 0707 LU8EHR        599 13     CE3CT         599 12     0
QSO:  7000 CW 2016-11-26 0711 LU8EHR        599 13     KH6LC         599 31     0
QSO:  7000 CW 2016-11-26 0718 LU8EHR        599 13     K6LL          599 03     0
QSO:  7000 CW 2016-11-26 0729 LU8EHR        599 13     OH1TX         599 15     0
QSO:  7000 CW 2016-11-26 0731 LU8EHR        599 13     6Y3T          599 08     0
QSO:  7000 CW 2016-11-26 0738 LU8EHR        599 13     KH6J          599 31     0
QSO:  7000 CW 2016-11-26 0740 LU8EHR        599 13     K7ZS          599 03     0
QSO:  7000 CW 2016-11-26 0743 LU8EHR        599 13     JA7AKH        599 25     0
QSO:  7000 CW 2016-11-26 0746 LU8EHR        599 13     K6XX          599 03     0
QSO:  7000 CW 2016-11-26 0758 LU8EHR        599 13     NR5M          599 04     0
QSO:  7000 CW 2016-11-26 0802 LU8EHR        599 13     P49Y          599 09     0
QSO:  7000 CW 2016-11-26 0810 LU8EHR        599 13     N5AW          599 04     0
QSO:  7000 CW 2016-11-26 0815 LU8EHR        599 13     JA3YBK        599 25     0
QSO:  7000 CW 2016-11-26 0831 LU8EHR        599 13     VE7YBH        599 03     0
QSO:  7000 CW 2016-11-26 0842 LU8EHR        599 13     JR8VSE        599 25     0
QSO:  7000 CW 2016-11-26 0849 LU8EHR        599 13     JA7ZFN        599 25     0
QSO:  7000 CW 2016-11-26 0852 LU8EHR        599 13     RT0C          599 19     0
QSO:  7000 CW 2016-11-26 0858 LU8EHR        599 13     B4T           599 24     0
QSO:  7000 CW 2016-11-26 0859 LU8EHR        599 13     W9RE          599 04     0
QSO:  7000 CW 2016-11-26 0904 LU8EHR        599 13     K7WP          599 03     0
QSO:  7000 CW 2016-11-26 0907 LU8EHR        599 13     JA0QNJ        599 25     0
QSO:  7000 CW 2016-11-26 0912 LU8EHR        599 13     JE6RWM        599 25     0
QSO:  7000 CW 2016-11-26 0915 LU8EHR        599 13     JA6SHL        599 25     0
QSO:  7000 CW 2016-11-26 0921 LU8EHR        599 13     DS4EOI        599 25     0
QSO:  7000 CW 2016-11-26 0924 LU8EHR        599 13     W2VJN         599 03     0
QSO:  7000 CW 2016-11-26 0927 LU8EHR        599 13     K5TR          599 04     0
QSO:  7000 CW 2016-11-26 0930 LU8EHR        599 13     N5FO          599 04     0
QSO: 28000 CW 2016-11-26 1701 LU8EHR        599 13     PS2T          599 11     0
QSO: 28000 CW 2016-11-26 1703 LU8EHR        599 13     NX5M          599 04     0
QSO: 28000 CW 2016-11-26 1708 LU8EHR        599 13     T42CT         599 08     0
QSO: 28000 CW 2016-11-26 1710 LU8EHR        599 13     LT7H          599 13     0
QSO: 28000 CW 2016-11-26 1713 LU8EHR        599 13     M6T           599 14     0
QSO: 28000 CW 2016-11-26 1718 LU8EHR        599 13     CE3OP         599 12     0
QSO: 28000 CW 2016-11-26 1721 LU8EHR        599 13     PX1M          599 11     0
QSO: 28000 CW 2016-11-26 1724 LU8EHR        599 13     K5WA          599 04     0
QSO: 28000 CW 2016-11-26 1731 LU8EHR        599 13     W2FU          599 05     0
QSO: 28000 CW 2016-11-26 1737 LU8EHR        599 13     K2SSS         599 05     0
QSO: 28000 CW 2016-11-26 1741 LU8EHR        599 13     OA4SS         599 10     0
QSO: 21000 CW 2016-11-26 1809 LU8EHR        599 13     PP5JY         599 11     0
QSO: 21000 CW 2016-11-26 1813 LU8EHR        599 13     PP1CZ         599 11     0
QSO: 21000 CW 2016-11-26 1816 LU8EHR        599 13     PY2XIZ        599 11     0
QSO: 21000 CW 2016-11-26 1817 LU8EHR        599 13     WE3C          599 05     0
QSO: 21000 CW 2016-11-26 1826 LU8EHR        599 13     CB1H          599 12     0
QSO: 21000 CW 2016-11-26 1827 LU8EHR        599 13     PS2T          599 11     0
QSO: 21000 CW 2016-11-26 1829 LU8EHR        599 13     CE3DNP        599 12     0
QSO: 21000 CW 2016-11-26 1831 LU8EHR        599 13     LU1UG         599 13     0
QSO: 21000 CW 2016-11-26 1836 LU8EHR        599 13     K5TR          599 04     0
QSO: 21000 CW 2016-11-26 2006 LU8EHR        599 13     PR9M          599 11     0
QSO: 21000 CW 2016-11-26 2008 LU8EHR        599 13     K4TCG         599 04     0
QSO: 21000 CW 2016-11-26 2011 LU8EHR        599 13     ZD8W          599 36     0
QSO: 21000 CW 2016-11-26 2013 LU8EHR        599 13     KU2M          599 05     0
QSO: 21000 CW 2016-11-26 2022 LU8EHR        599 13     PX2V          599 11     0
QSO: 21000 CW 2016-11-26 2024 LU8EHR        599 13     CE3OP         599 12     0
QSO: 28000 CW 2016-11-26 2029 LU8EHR        599 13     PY3KN         599 11     0
QSO: 28000 CW 2016-11-26 2031 LU8EHR        599 13     WE3C          599 05     0
QSO: 28000 CW 2016-11-26 2033 LU8EHR        599 13     W3LPL         599 05     0
QSO: 28000 CW 2016-11-26 2035 LU8EHR        599 13     PY1MX         599 11     0
QSO: 21000 CW 2016-11-26 2042 LU8EHR        599 13     K4OAQ         599 05     0
QSO: 21000 CW 2016-11-26 2044 LU8EHR        599 13     NR4M          599 05     0
QSO: 21000 CW 2016-11-26 2047 LU8EHR        599 13     N0NI          599 04     0
QSO: 21000 CW 2016-11-26 2053 LU8EHR        599 13     PT4T          599 11     0
QSO: 21000 CW 2016-11-26 2056 LU8EHR        599 13     AA9A          599 04     0
QSO: 21000 CW 2016-11-26 2058 LU8EHR        599 13     W9RE          599 04     0
QSO: 21000 CW 2016-11-26 2059 LU8EHR        599 13     HK1NA         599 09     0
QSO: 21000 CW 2016-11-26 2107 LU8EHR        599 13     PY1MX         599 11     0
QSO: 21000 CW 2016-11-26 2109 LU8EHR        599 13     PY2QI         599 11     0
QSO: 21000 CW 2016-11-26 2111 LU8EHR        599 13     N1LN          599 05     0
QSO: 21000 CW 2016-11-26 2113 LU8EHR        599 13     YW4D          599 09     0
QSO: 21000 CW 2016-11-26 2124 LU8EHR        599 13     6Y3T          599 08     0
QSO: 21000 CW 2016-11-26 2135 LU8EHR        599 13     PJ2T          599 09     0
QSO: 21000 CW 2016-11-26 2141 LU8EHR        599 13     K6AW          599 03     0
QSO: 21000 CW 2016-11-26 2142 LU8EHR        599 13     NR5M          599 04     0
QSO: 21000 CW 2016-11-26 2201 LU8EHR        599 13     JA7ZFN        599 25     0
QSO: 14000 CW 2016-11-26 2204 LU8EHR        599 13     DP1POL        599 38     0
QSO: 14000 CW 2016-11-26 2208 LU8EHR        599 13     KU2C          599 05     0
QSO: 14000 CW 2016-11-26 2214 LU8EHR        599 13     N4OX          599 04     0
QSO: 14000 CW 2016-11-26 2221 LU8EHR        599 13     K9CT          599 04     0
QSO: 14000 CW 2016-11-26 2230 LU8EHR        599 13     WB9Z          599 04     0
QSO: 14000 CW 2016-11-26 2232 LU8EHR        599 13     KP2Q          599 08     0
QSO: 14000 CW 2016-11-26 2242 LU8EHR        599 13     VC2T          599 05     0
QSO: 14000 CW 2016-11-26 2253 LU8EHR        599 13     HC2AO         599 10     0
QSO: 14000 CW 2016-11-26 2258 LU8EHR        599 13     VE7SCC        599 03     0
QSO: 14000 CW 2016-11-26 2354 LU8EHR        599 13     W7VJ          599 03     0
QSO: 14000 CW 2016-11-26 2359 LU8EHR        599 13     VE7NY         599 03     0
QSO: 14000 CW 2016-11-27 0001 LU8EHR        599 13     PJ4A          599 09     0
QSO: 14000 CW 2016-11-27 0004 LU8EHR        599 13     N7AT          599 03     0
QSO: 14000 CW 2016-11-27 0007 LU8EHR        599 13     N5CR          599 03     0
QSO:  7000 CW 2016-11-27 0013 LU8EHR        599 13     WX0B          599 03     0
QSO:  7000 CW 2016-11-27 0019 LU8EHR        599 13     W3LPL         599 05     0
QSO:  7000 CW 2016-11-27 0021 LU8EHR        599 13     PS2T          599 11     0
QSO:  7000 CW 2016-11-27 0025 LU8EHR        599 13     W2FU          599 05     0
QSO: 21000 CW 2016-11-27 2038 LU8EHR        599 13     NP2P          599 08     0
QSO: 21000 CW 2016-11-27 2040 LU8EHR        599 13     8P5A          599 08     0
QSO: 21000 CW 2016-11-27 2046 LU8EHR        599 13     PJ4A          599 09     0
QSO: 21000 CW 2016-11-27 2048 LU8EHR        599 13     W0AIH         599 04     0
QSO: 21000 CW 2016-11-27 2051 LU8EHR        599 13     N5FO          599 04     0
QSO: 21000 CW 2016-11-27 2052 LU8EHR        599 13     W3LPL         599 05     0
QSO: 21000 CW 2016-11-27 2053 LU8EHR        599 13     K3LR          599 05     0
QSO: 21000 CW 2016-11-27 2100 LU8EHR        599 13     AA2A          599 05     0
QSO: 21000 CW 2016-11-27 2102 LU8EHR        599 13     N4BP          599 05     0
QSO: 21000 CW 2016-11-27 2111 LU8EHR        599 13     K1JP          599 05     0
QSO: 21000 CW 2016-11-27 2116 LU8EHR        599 13     K5YAA         599 04     0
QSO: 21000 CW 2016-11-27 2120 LU8EHR        599 13     PY2ZA         599 11     0
QSO: 14000 CW 2016-11-27 2132 LU8EHR        599 13     AA2A          599 05     0
QSO: 14000 CW 2016-11-27 2134 LU8EHR        599 13     P40C          599 09     0
QSO: 14000 CW 2016-11-27 2141 LU8EHR        599 13     ZD8W          599 36     0
QSO: 14000 CW 2016-11-27 2145 LU8EHR        599 13     CB1H          599 12     0
QSO: 14000 CW 2016-11-27 2149 LU8EHR        599 13     VE3VEE        599 04     0
QSO: 14000 CW 2016-11-27 2155 LU8EHR        599 13     CE3OP         599 12     0
QSO: 14000 CW 2016-11-27 2157 LU8EHR        599 13     NP2P          599 08     0
QSO:  7000 CW 2016-11-27 2206 LU8EHR        599 13     LY2W          599 15     0
QSO:  7000 CW 2016-11-27 2210 LU8EHR        599 13     JS3CGH        599 25     0
QSO:  7000 CW 2016-11-27 2212 LU8EHR        599 13     M3D           599 14     0
QSO:  7000 CW 2016-11-27 2227 LU8EHR        599 13     LY4A          599 15     0
QSO:  7000 CW 2016-11-27 2238 LU8EHR        599 13     LZ1EV         599 20     0
QSO:  7000 CW 2016-11-27 2242 LU8EHR        599 13     S51F          599 15     0
QSO:  7000 CW 2016-11-27 2244 LU8EHR        599 13     YT5A          599 15     0
QSO:  7000 CW 2016-11-27 2248 LU8EHR        599 13     P33W          599 20     0
QSO:  7000 CW 2016-11-27 2255 LU8EHR        599 13     NR3X          599 05     0
QSO:  7000 CW 2016-11-27 2258 LU8EHR        599 13     HG5D          599 15     0
QSO:  7000 CW 2016-11-27 2259 LU8EHR        599 13     NP2P          599 08     0
QSO:  7000 CW 2016-11-27 2316 LU8EHR        599 13     PJ4A          599 09     0
QSO:  7000 CW 2016-11-27 2327 LU8EHR        599 13     R7AB          599 16     0
QSO:  3500 CW 2016-11-27 2330 LU8EHR        599 13     HK1NA         599 09     0
QSO:  3500 CW 2016-11-27 2337 LU8EHR        599 13     FY5FY         599 09     0
END-OF-LOG:
