START-OF-LOG: 3.0
CALLSIGN: N4HAI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 34656
NAME: Tom
LOCATION: OH
OPERATORS: N4HAI
CLUB: Delara Contest Team
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: Chores kept getting in the way.  Always a fun contest.
QSO: 21009 CW 2016-11-27 1352 N4HAI         599 4      CN2R          599 33
QSO: 21016 CW 2016-11-27 1430 N4HAI         599 4      EA2EA         599 14
QSO: 21017 CW 2016-11-27 1430 N4HAI         599 4      6Y3T          599 08
QSO: 21022 CW 2016-11-27 1435 N4HAI         599 4      EF8R          599 33
QSO: 21023 CW 2016-11-27 1435 N4HAI         599 4      CR3W          599 33
QSO: 21027 CW 2016-11-27 1437 N4HAI         599 4      EA5KV         599 14
QSO: 21037 CW 2016-11-27 1525 N4HAI         599 4      TM3R          599 14
QSO: 21042 CW 2016-11-27 1527 N4HAI         599 4      DJ5MW         599 14
QSO: 21044 CW 2016-11-27 1528 N4HAI         599 4      TM6X          599 14
QSO: 21046 CW 2016-11-27 1528 N4HAI         599 4      F5IN          599 14
QSO: 21047 CW 2016-11-27 1529 N4HAI         599 4      F6SKA         599 14
QSO: 21048 CW 2016-11-27 1531 N4HAI         599 4      EF3T          599 14
QSO: 21055 CW 2016-11-27 1533 N4HAI         599 4      CQ8CQ         599 14
QSO: 21019 CW 2016-11-27 1550 N4HAI         599 4      IO5O          599 15
QSO: 21020 CW 2016-11-27 1550 N4HAI         599 4      TM2Y          599 14
QSO: 21025 CW 2016-11-27 1557 N4HAI         599 4      LX7I          599 14
QSO: 21026 CW 2016-11-27 1558 N4HAI         599 4      G5O           599 14
QSO: 21027 CW 2016-11-27 1600 N4HAI         599 4      F8AAN         599 14
QSO: 21030 CW 2016-11-27 1601 N4HAI         599 4      9A5D          599 15
QSO: 21030 CW 2016-11-27 1602 N4HAI         599 4      HK1NA         599 09
QSO: 21031 CW 2016-11-27 1603 N4HAI         599 4      TM6M          599 14
QSO: 21033 CW 2016-11-27 1604 N4HAI         599 4      CU4DX         599 14
QSO: 21035 CW 2016-11-27 1605 N4HAI         599 4      IR4M          599 15
QSO: 21039 CW 2016-11-27 1616 N4HAI         599 4      XE2AU         599 06
QSO: 21050 CW 2016-11-27 1725 N4HAI         599 4      9Y4/VE3EY     599 09
QSO: 21066 CW 2016-11-27 1731 N4HAI         599 4      ZD8W          599 36
QSO: 21068 CW 2016-11-27 1732 N4HAI         599 4      TO1A          599 09
QSO: 21070 CW 2016-11-27 1734 N4HAI         599 4      EF8U          599 33
QSO: 14002 CW 2016-11-27 1735 N4HAI         599 4      TK0C          599 15
QSO: 14007 CW 2016-11-27 1737 N4HAI         599 4      VE3EJ         599 04
QSO: 14011 CW 2016-11-27 1738 N4HAI         599 4      EA5FV         599 14
QSO: 14018 CW 2016-11-27 1742 N4HAI         599 4      CO8ZZ         599 08
QSO: 14022 CW 2016-11-27 1743 N4HAI         599 4      EA1DAV        599 14
QSO: 14022 CW 2016-11-27 1743 N4HAI         599 4      J70BH         599 08
QSO: 14026 CW 2016-11-27 1745 N4HAI         599 4      IR4M          599 15
QSO: 14031 CW 2016-11-27 1747 N4HAI         599 4      VE9DX         599 05
QSO: 14034 CW 2016-11-27 1934 N4HAI         599 4      PJ4Q          599 09
QSO: 14040 CW 2016-11-27 1935 N4HAI         599 4      ED8X          599 33
QSO: 14043 CW 2016-11-27 1937 N4HAI         599 4      VP5CW         599 08
QSO: 14046 CW 2016-11-27 1937 N4HAI         599 4      PJ4A          599 09
QSO: 14047 CW 2016-11-27 1938 N4HAI         599 4      PJ2T          599 09
QSO: 14051 CW 2016-11-27 1939 N4HAI         599 4      VE2VIA        599 05
QSO: 14052 CW 2016-11-27 1940 N4HAI         599 4      FY5KE         599 09
QSO: 14060 CW 2016-11-27 1943 N4HAI         599 4      8R1/AG6UT     599 09
QSO: 14062 CW 2016-11-27 1945 N4HAI         599 4      8P5A          599 08
QSO: 14068 CW 2016-11-27 1950 N4HAI         599 4      NP4DX         599 08
QSO: 14069 CW 2016-11-27 1951 N4HAI         599 4      PS2T          599 11
QSO: 14042 CW 2016-11-27 1952 N4HAI         599 4      VP9I          599 05
QSO: 14035 CW 2016-11-27 1954 N4HAI         599 4      VP2VI         599 08
QSO:  7009 CW 2016-11-27 2345 N4HAI         599 4      CR3W          599 33
QSO:  7010 CW 2016-11-27 2345 N4HAI         599 4      VC2T          599 05
QSO:  7019 CW 2016-11-27 2349 N4HAI         599 4      P40W          599 09
QSO:  7020 CW 2016-11-27 2349 N4HAI         599 4      VC3W/2        599 02
QSO:  7042 CW 2016-11-27 2359 N4HAI         599 4      PJ4Q          599 14
END-OF-LOG:
